1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,151.834198,-164.654705,9.301044,0.438121,-6.775519,3.497003,3.542674,6.850060,-3.577775,-3.451679,-0.068979,0.327847,-0.074856,-148.603416,188.269492,1546.132879,-914.693328,0
0.001042,196.073406,-99.458154,-40.873209,-0.518919,-6.342521,0.958665,5.412433,6.335026,-1.070875,-5.279831,0.022176,0.335081,-0.071140,-173.833322,188.420108,1547.775309,-915.803618,0
0.002083,190.943240,-44.632447,-113.722481,-1.937591,-5.215993,-1.507264,6.445721,5.406514,1.414887,-6.532665,-0.010640,0.337975,-0.078573,-173.169081,188.420278,1548.033969,-916.853178,0
0.003125,145.246342,6.822443,-179.620996,-3.187373,-3.410613,-3.647352,6.627398,3.542236,3.524402,-6.665139,0.036760,0.348310,-0.086006,-147.736525,188.495712,1548.407721,-918.196148,0
0.004167,86.769228,59.369618,-206.111641,-3.637746,-0.647500,-5.413327,5.556261,1.035979,5.405634,-5.673471,0.014883,0.333634,-0.067423,-100.181362,188.269454,1548.117115,-918.569983,0
0.005208,32.947684,137.039369,-178.867593,-3.266189,2.071580,-6.559803,4.046071,-1.492040,6.470960,-4.068633,-0.025225,0.302974,-0.063706,-30.503591,188.420247,1548.310624,-918.539624,0
0.006250,-18.071479,187.108347,-126.408826,-2.196555,4.133823,-6.225917,1.684269,-3.595700,6.373728,-1.839271,-0.098148,0.331981,-0.048839,33.252301,188.420349,1548.500004,-918.761597,0
0.007292,-79.610872,196.198985,-62.892038,-0.946773,6.163042,-5.268509,-1.173359,-5.488994,5.274582,1.135735,-0.098148,0.318476,-0.052556,98.922109,188.495609,1548.647131,-919.528576,0
0.008333,-151.964294,164.276048,-8.914312,0.100342,6.874920,-3.454261,-3.353483,-6.286934,3.647000,3.368882,-0.182010,0.325297,-0.037689,149.258078,188.269407,1549.091173,-920.120557,0
0.009375,-196.226102,99.443592,41.174878,1.079901,6.386880,-0.899833,-5.223242,-5.764646,1.140100,5.231100,-0.222118,0.334392,-0.048839,174.420434,188.420403,1549.781086,-920.595406,0
0.010417,-191.107236,45.545741,114.340094,2.453536,5.238335,1.566096,-6.248960,-4.828880,-1.375254,6.446083,-0.236703,0.334805,-0.086006,174.105201,188.420403,1549.887329,-921.533183,0
0.011458,-145.319938,-6.331969,179.983424,3.759615,3.462310,3.690094,-6.434422,-2.993618,-3.450950,6.559633,-0.265872,0.350446,-0.093440,148.436220,188.495631,1550.180649,-921.875343,0
0.012500,-87.328721,-59.184514,206.291793,4.243765,0.666172,5.524455,-5.336790,-0.418448,-5.382911,5.609599,-0.229410,0.350377,-0.063706,100.903574,188.269537,1550.470074,-922.444183,0
0.013542,-32.930881,-137.335811,178.950532,3.804652,-2.041899,6.630704,-3.788751,2.145841,-6.435555,3.963126,-0.211179,0.338871,-0.063706,30.809245,188.420251,1550.213100,-922.527487,0
0.014583,18.178681,-187.346064,126.370249,2.757537,-4.089465,6.300840,-1.483724,4.158826,-6.287593,1.752689,-0.171072,0.349688,-0.067423,-32.912873,188.420345,1550.411915,-922.317742,0
0.015625,79.853674,-196.554152,62.403849,1.496495,-6.173726,5.291137,1.385259,6.095644,-5.243404,-1.226102,-0.094502,0.330189,-0.037689,-98.605197,188.495673,1550.732975,-922.139311,0
0.016667,151.675999,-164.114434,8.608398,0.494418,-6.823222,3.505048,3.531319,6.882703,-3.624277,-3.478174,-0.068979,0.325711,-0.063706,-148.580900,188.269541,1551.460912,-921.999890,0
0.017708,196.344604,-98.671238,-40.751692,-0.462623,-6.382886,0.954642,5.431358,6.364042,-1.083558,-5.298756,0.018530,0.334874,-0.052556,-174.227363,188.344858,1551.959125,-921.918000,0
0.018750,190.909340,-45.266677,-114.001969,-1.903813,-5.274705,-1.499218,6.472216,5.428276,1.372612,-6.532665,0.022176,0.341351,-0.063706,-173.754514,188.420301,1552.403553,-921.630377,0
0.019792,145.257642,5.835862,-180.532372,-3.221151,-3.454646,-3.679534,6.653893,3.596641,3.511720,-6.714344,0.054991,0.344727,-0.078573,-148.423283,188.495799,1553.589794,-921.787686,0
0.020833,88.057420,59.287403,-206.111641,-3.682783,-0.596127,-5.497804,5.567616,0.992455,5.469046,-5.703751,-0.025225,0.332394,-0.071140,-100.699245,188.344851,1554.018842,-923.396238,0
0.021875,33.953377,137.873265,-178.867593,-3.164855,2.078919,-6.660371,4.004436,-1.568207,6.559738,-4.114053,-0.025225,0.338388,-0.056273,-30.548624,188.269541,1555.318211,-925.057355,0
0.022917,-17.732481,187.026132,-126.372371,-2.185296,4.218221,-6.306372,1.646420,-3.639224,6.428686,-1.812776,-0.083563,0.336804,-0.059989,33.364884,188.420316,1555.647929,-926.037060,0
0.023958,-80.221068,196.551336,-62.308758,-0.935513,6.273126,-5.244373,-1.218778,-5.554280,5.304174,1.177370,-0.120025,0.313102,-0.086006,99.417475,188.495754,1556.546548,-926.799354,0
0.025000,-151.433198,163.700542,-8.136605,0.089083,6.918953,-3.462307,-3.432967,-6.359474,3.604725,3.418087,-0.185656,0.323713,-0.030256,148.841520,188.344901,1556.589031,-927.618638,0
0.026042,-197.152696,97.799291,41.089817,1.091161,6.463939,-0.875696,-5.268661,-5.797289,1.131645,5.321939,-0.200241,0.334943,-0.078573,174.420434,188.269404,1557.460244,-928.243254,0
0.027083,-190.474440,43.948419,114.157819,2.509832,5.322733,1.574142,-6.286810,-4.825253,-1.349889,6.465008,-0.269518,0.332394,-0.056273,173.621093,188.420200,1557.514014,-927.363721,0
0.028125,-144.382044,-6.202774,181.052771,3.804652,3.491666,3.714230,-6.498766,-3.026261,-3.505907,6.593698,-0.269518,0.356991,-0.119457,148.942845,188.420307,1558.463638,-927.733409,0
0.029167,-87.633819,-59.067064,205.878637,4.277543,0.629477,5.556637,-5.370855,-0.393059,-5.416731,5.624739,-0.243995,0.340938,-0.052556,101.522782,188.345008,1558.475012,-928.383519,0
0.030208,-34.083473,-138.251922,178.986987,3.804652,-2.012544,6.723226,-3.872019,2.174857,-6.528560,4.042611,-0.196595,0.335426,-0.074856,31.225803,188.269400,1560.329169,-929.478934,0
0.031250,17.636285,-186.817539,126.795557,2.780056,-4.122490,6.341068,-1.510218,4.184215,-6.355233,1.764044,-0.141902,0.347759,-0.082290,-32.518831,188.420283,1560.905737,-930.216335,0
0.032292,80.316971,-196.965227,63.120798,1.541533,-6.210420,5.335387,1.404184,6.160930,-5.230722,-1.267737,-0.101794,0.323024,-0.048839,-98.897913,188.420394,1561.211828,-931.596750,0
0.033333,151.427401,-163.832554,9.021555,0.494418,-6.856248,3.505048,3.607018,6.929854,-3.636959,-3.493314,-0.050748,0.325711,-0.030256,-148.085534,188.420267,1561.519114,-932.081629,0
0.034375,197.056499,-98.072243,-40.605872,-0.485141,-6.423250,0.954642,5.469207,6.374923,-1.079330,-5.393381,-0.017932,0.332601,-0.082290,-173.945905,188.269510,1562.168109,-933.065449,0
0.035417,190.344344,-44.056941,-113.564509,-1.892554,-5.274705,-1.515309,6.513850,5.446411,1.440252,-6.608364,0.003945,0.332876,-0.048839,-172.617423,188.420330,1562.470244,-933.838259,0
0.036458,144.285848,6.552307,-180.653888,-3.243670,-3.410613,-3.663443,6.691742,3.640165,3.558222,-6.752194,0.007591,0.329638,-0.074856,-147.781559,188.420323,1563.353645,-933.709049,0
0.037500,86.531930,59.299148,-205.917214,-3.694042,-0.625483,-5.534009,5.548691,0.992455,5.469046,-5.730246,0.000299,0.344176,-0.074856,-100.597920,188.420334,1563.525801,-933.058230,0
0.038542,33.546580,137.755815,-178.879744,-3.221151,2.086258,-6.648303,4.068780,-1.589969,6.580875,-4.117838,-0.017932,0.336046,-0.059989,-30.987699,188.269375,1563.698820,-933.294182,0
0.039583,-17.336984,186.849957,-126.785528,-2.241592,4.100798,-6.314417,1.669130,-3.606581,6.437141,-1.850626,-0.090856,0.326675,-0.071140,32.779452,188.420235,1563.925451,-932.941124,0
0.040625,-80.187169,196.621806,-63.451015,-0.935513,6.232762,-5.268509,-1.233918,-5.536145,5.287264,1.147090,-0.149195,0.324746,-0.071140,99.271117,188.420314,1563.714972,-932.960292,0
0.041667,-151.851295,164.041148,-9.096587,0.055305,6.904275,-3.434148,-3.406472,-6.297815,3.655455,3.406732,-0.211179,0.325573,-0.067423,148.897812,188.420352,1563.699379,-932.604724,0
0.042708,-196.994497,98.597951,40.798177,0.989827,6.463939,-0.855583,-5.291371,-5.779154,1.152783,5.291660,-0.240349,0.334392,-0.067423,174.431692,188.269454,1563.434149,-932.417890,0
0.043750,-190.474440,44.664865,114.036302,2.453536,5.297046,1.578164,-6.271670,-4.828880,-1.392164,6.442298,-0.251287,0.339560,-0.059989,173.452218,188.344914,1563.037574,-932.969853,0
0.044792,-144.359445,-6.355459,180.700373,3.782133,3.436624,3.726298,-6.472272,-3.029888,-3.548182,6.578558,-0.254934,0.350652,-0.059989,148.256087,188.420271,1562.834208,-933.271077,0
0.045833,-86.560327,-59.020084,206.303945,4.243765,0.636816,5.568705,-5.382210,-0.393059,-5.450551,5.620954,-0.236703,0.335977,-0.063706,100.858541,188.420265,1563.051864,-933.278455,0
0.046875,-32.535384,-137.723397,178.950532,3.804652,-2.027221,6.727249,-3.853095,2.185738,-6.460920,3.985836,-0.192949,0.318752,-0.056273,30.854278,188.269492,1561.765443,-932.538447,0
0.047917,17.896183,-187.287339,126.273035,2.768796,-4.107813,6.341068,-1.498863,4.238620,-6.372143,1.748904,-0.138256,0.327847,-0.041406,-32.518831,188.344887,1562.125742,-933.070458,0
0.048958,80.181372,-196.824287,63.412438,1.507755,-6.239776,5.319296,1.400399,6.128287,-5.272997,-1.218532,-0.116379,0.318545,-0.033973,-98.819105,188.420406,1562.539657,-932.315106,0
0.050000,151.788998,-164.220139,9.762807,0.483158,-6.834231,3.492980,3.603233,6.937108,-3.624277,-3.481959,-0.050748,0.328122,-0.056273,-148.434542,188.420345,1562.558403,-932.678002,0
0.051042,197.124299,-99.293724,-40.508659,-0.485141,-6.375547,1.006938,5.499487,6.425701,-1.104695,-5.385811,0.007591,0.339422,-0.071140,-174.373722,188.269366,1563.366454,-933.020838,0
0.052083,190.638142,-45.548557,-113.929059,-1.870035,-5.271035,-1.523355,6.536560,5.439157,1.402204,-6.604580,0.000299,0.341902,-0.059989,-173.281664,188.344943,1563.507063,-933.222341,0
0.053125,144.466647,5.812372,-180.909073,-3.198633,-3.432630,-3.707693,6.703097,3.589387,3.579360,-6.763549,0.003945,0.332325,-0.074856,-147.972950,188.420280,1563.129143,-934.160777,0
0.054167,87.017826,59.087737,-206.160247,-3.694042,-0.577780,-5.562168,5.571401,0.999709,5.507094,-5.715106,0.011237,0.334874,-0.089723,-100.395270,188.420249,1563.233252,-934.768543,0
