1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,134.511413,50.372940,-180.374400,-3.198633,-3.311537,-1.177401,4.242887,3.364513,1.000593,-4.161096,-0.047102,0.418450,-0.100873,-125.917892,188.495740,1189.878532,5.814688,0
0.001042,60.677700,103.014075,-193.729087,-3.480115,-1.895120,-2.810626,4.250457,2.008015,2.700043,-4.320066,-0.072625,0.426511,-0.097156,-137.074892,188.495729,1188.744266,5.245238,0
0.002083,-2.692281,157.651862,-163.483576,-2.883372,-0.221841,-3.804238,3.633512,0.488302,3.630090,-3.574422,-0.076271,0.402534,-0.097156,-126.390742,188.571056,1187.881927,4.551908,0
0.003125,-65.418166,182.504304,-111.936185,-1.881295,1.521159,-4.230647,2.289859,-1.234523,4.205028,-2.295094,-0.105440,0.421137,-0.093440,-94.158159,188.495693,1187.311789,3.620800,0
0.004167,-121.533595,184.313035,-32.707285,-0.361289,2.977940,-4.142147,0.722895,-2.645426,4.040156,-0.747031,-0.174718,0.403774,-0.141757,-35.749970,188.495662,1186.279418,3.637007,0
0.005208,-164.371612,152.777683,35.609413,0.967308,3.957689,-3.369784,-0.806220,-3.613835,3.414488,0.816172,-0.160133,0.408391,-0.071140,15.711831,188.495736,1185.763658,3.321091,0
0.006250,-184.847077,81.415002,89.453470,2.003164,4.420042,-1.957809,-2.577571,-3.962027,2.040555,2.549700,-0.192949,0.418932,-0.097156,53.686160,188.495683,1184.972901,4.776142,0
0.007292,-179.728211,13.564078,144.014476,3.039020,4.166849,-0.614219,-3.402687,-3.893114,0.687759,3.522444,-0.222118,0.426442,-0.097156,96.828060,188.495707,1184.818739,4.757422,0
0.008333,-134.754508,-50.328777,180.250761,3.692059,3.253150,1.127619,-4.136965,-2.939213,-1.003235,4.188603,-0.225764,0.422997,-0.100873,126.020896,188.495687,1183.753192,4.947777,0
0.009375,-61.304993,-102.981657,194.115818,3.928504,1.844072,2.748776,-4.182384,-1.655255,-2.690002,4.389208,-0.203887,0.427820,-0.112023,139.249427,188.495761,1183.618698,5.252151,0
0.010417,1.918089,-157.595954,163.566516,3.500651,0.218496,3.814798,-3.493526,-0.084764,-3.620049,3.685198,-0.243995,0.423686,-0.093440,127.338120,188.495718,1183.394936,5.293261,0
0.011458,65.208971,-182.789000,112.432281,2.509832,-1.579546,4.164775,-2.195292,1.627180,-4.194988,2.413440,-0.174718,0.418450,-0.108307,92.189631,188.495830,1183.342153,5.854212,0
0.012500,121.448699,-184.339342,33.324899,0.922271,-3.098708,4.072252,-0.624543,3.106996,-4.076618,0.804817,-0.163779,0.405083,-0.074856,37.102648,188.495723,1183.732735,5.584946,0
0.013542,164.467515,-152.757010,-35.490018,-0.395067,-4.060109,3.340117,0.915927,4.071778,-3.455178,-0.731891,-0.138256,0.410595,-0.108307,-15.924061,188.495682,1184.253075,6.309209,0
0.014583,184.818680,-80.748353,-89.212559,-1.408404,-4.522463,1.944232,2.691063,4.448986,-1.996695,-2.518408,-0.109087,0.406875,-0.126890,-52.401033,188.571138,1183.863935,6.490097,0
0.015625,179.767614,-12.556824,-143.591290,-2.399222,-4.269269,0.624779,3.504825,4.311160,-0.762269,-3.513862,-0.090856,0.412111,-0.082290,-95.430349,188.495635,1184.728211,7.634353,0
0.016667,134.240214,50.596095,-180.313642,-3.142336,-3.344562,-1.193491,4.280737,3.400783,0.996366,-4.191376,-0.054394,0.421619,-0.126890,-126.694717,188.495673,1185.300948,7.990269,0
