1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,179.871825,-113.618010,-8.925568,2.724468,-5.210793,-0.346761,5.479713,5.767381,0.223657,-5.178121,-0.000585,0.193972,-0.043161,-65.052780,188.646111,1011.273877,-1295.365033,0
0.001042,191.441175,-62.213763,-81.225758,1.367268,-3.900740,-2.747754,6.360316,4.447787,2.720690,-6.152971,0.046904,0.196650,-0.039427,-58.549530,188.721366,1010.607702,-1295.453078,0
0.002083,157.209509,-18.275516,-153.858334,0.010068,-1.763473,-4.374873,5.711058,2.348934,4.386777,-5.530348,0.006721,0.205273,-0.039427,-37.920091,188.796983,1009.479872,-1296.384338,0
0.003125,96.663241,28.960819,-205.661364,-0.962592,0.721722,-5.561480,4.308063,-0.121170,5.591227,-4.267312,-0.026156,0.206775,-0.013287,-18.602611,188.721469,1008.693088,-1296.464747,0
0.004167,54.367057,103.596644,-183.859281,-0.589362,3.086207,-6.005961,2.308048,-2.536138,6.082240,-2.403001,-0.073645,0.200765,-0.031958,-8.570641,188.646063,1008.190123,-1296.162274,0
0.005208,12.842162,180.962753,-135.195455,0.292818,4.950103,-5.486077,0.121466,-4.421798,5.691948,-0.222041,-0.135746,0.194168,-0.043161,8.507458,188.721443,1006.502458,-1296.828624,0
0.006250,-42.339103,196.921627,-80.917993,1.299408,6.111044,-3.731963,-2.662136,-5.535550,3.925140,2.432113,-0.172276,0.178555,-0.054364,34.757968,188.796907,1005.748771,-1296.720324,0
0.007292,-130.992086,172.192017,-35.430303,2.181588,6.611633,-1.973880,-4.658419,-6.101616,2.120562,4.495664,-0.208806,0.177314,-0.050629,64.254447,188.646087,1005.057786,-1296.929189,0
0.008333,-180.207196,113.647956,8.949432,3.063768,5.308681,0.566014,-5.609919,-4.940079,-0.242176,5.381568,-0.245336,0.192926,-0.084238,69.615387,188.721460,1004.390336,-1297.316797,0
0.009375,-191.719834,62.328276,81.028031,4.420968,4.076735,2.911447,-6.490522,-3.594754,-2.701438,6.335071,-0.259948,0.196650,-0.024490,62.196027,188.721460,1003.767578,-1297.183602,0
0.010417,-157.352058,18.619565,153.672917,5.755548,1.882663,4.530629,-5.822607,-1.540010,-4.325558,5.676869,-0.219765,0.207167,-0.069301,41.464798,188.796851,1003.218439,-1297.379551,0
0.011458,-96.896530,-28.640931,205.414395,6.796068,-0.588331,5.717236,-4.423343,0.944797,-5.580369,4.420949,-0.186888,0.206775,-0.035692,22.859848,188.646102,1002.007638,-1297.829144,0
0.012500,-54.271413,-102.793520,184.030872,6.400218,-2.970567,6.126000,-2.441986,3.334035,-6.067185,2.545964,-0.201500,0.198479,-0.065566,10.509328,188.721414,1001.489035,-1297.546004,0
0.013542,-12.701149,-180.244196,135.527084,5.506728,-4.777659,5.641832,-0.255403,5.208667,-5.613942,0.407698,-0.143052,0.192273,-0.065566,-4.521661,188.721462,1000.156831,-1296.831692,0
0.014583,41.754196,-196.903762,81.188068,4.443588,-5.910198,3.832158,2.513274,6.403286,-3.893298,-2.274918,-0.051727,0.177836,-0.058098,-29.290561,188.796898,999.479730,-1296.997396,0
0.015625,129.998850,-172.017100,35.404924,3.584028,-6.396586,2.034390,4.517019,6.914216,-2.109704,-4.299333,-0.048074,0.176530,-0.020755,-59.737080,188.646092,998.535313,-1296.935649,0
0.016667,179.554235,-113.738819,-8.851705,2.724468,-5.129137,-0.378509,5.442399,5.767381,0.261428,-5.192353,-0.000585,0.192600,-0.043161,-63.424140,188.723775,998.106564,-1297.366729,0
0.017709,191.384463,-61.343938,-80.745644,1.389888,-3.865238,-2.803314,6.345391,4.363245,2.729083,-6.106719,-0.011544,0.192730,-0.069301,-57.622110,188.722212,996.798938,-1296.712457,0
0.018750,157.572469,-17.671470,-153.021213,0.055308,-1.699568,-4.319313,5.640162,2.304825,4.357400,-5.444960,-0.022503,0.208800,-0.050629,-35.115211,188.797654,995.503154,-1295.895702,0
0.019792,96.572501,28.900415,-205.058145,-1.019142,0.739473,-5.533700,4.267018,-0.146900,5.545064,-4.181924,-0.037115,0.206514,-0.069301,-16.736461,188.646804,994.022567,-1295.219594,0
0.020833,53.663822,102.642253,-184.462501,-0.589362,3.054255,-5.958338,2.293123,-2.510408,6.036077,-2.310497,-0.062686,0.193972,-0.069301,-7.055101,188.797523,992.627440,-1294.703434,0
0.021875,12.309065,179.899634,-135.404735,0.292818,4.889749,-5.474171,0.099077,-4.403419,5.599621,-0.182904,-0.113828,0.188288,-0.069301,9.027718,188.721507,991.136959,-1294.053338,0
0.022917,-41.851375,197.429025,-80.905682,1.344648,6.054240,-3.684340,-2.617360,-5.509820,3.862190,2.442786,-0.183235,0.176922,-0.061832,33.660898,188.796840,990.206373,-1294.034303,0
0.023958,-129.347424,172.010803,-35.073296,2.249448,6.515776,-1.842917,-4.632300,-5.987667,2.057612,4.438739,-0.219765,0.174113,-0.058098,64.955667,188.571051,988.212807,-1292.535540,0
0.025000,-179.980346,114.227840,9.109470,3.086388,5.269628,0.518391,-5.594993,-4.895970,-0.250569,5.328200,-0.259948,0.189595,-0.054364,69.185607,188.796900,987.553133,-1291.977789,0
0.026042,-191.413587,61.603422,80.043182,4.409658,4.012830,2.875730,-6.419626,-3.502860,-2.726618,6.235451,-0.263601,0.190901,-0.061832,62.490087,188.721500,985.482419,-1290.964545,0
0.027083,-158.293485,17.894711,152.663447,5.766858,1.886213,4.439352,-5.733054,-1.466495,-4.250017,5.616386,-0.248989,0.188942,-0.087972,42.618418,188.796963,984.202203,-1290.083637,0
0.028125,-96.851160,-28.387232,204.712690,6.773448,-0.595431,5.653738,-4.378567,0.981555,-5.475452,4.328445,-0.238030,0.206775,-0.091706,22.724128,188.570645,982.261127,-1288.872473,0
0.029167,-53.681603,-102.092828,184.892614,5.540658,-2.896012,6.062502,-2.408403,3.275223,-5.979055,2.503270,-0.179582,0.206645,-0.031958,12.228448,188.796863,981.362764,-1287.699240,0
0.030209,-12.270134,-179.024024,135.884091,5.495418,-4.710204,5.606115,-0.266597,5.182937,-5.563582,0.372120,-0.143052,0.176922,-0.065566,-4.408561,188.796936,980.241739,-1287.214716,0
