1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,171.542861,-194.927477,56.958243,-10.996337,-0.244200,8.058608,-7.081807,0.732601,-7.570208,7.570208,0.209402,4.097680,0
0.001043,225.995609,-149.160443,-25.221979,-17.120879,-3.663004,9.523810,-4.639805,4.151404,-9.035409,4.639805,0.209402,4.087912,0
0.002084,212.298906,-108.404398,-126.109893,9.326007,-6.105006,9.035409,-1.709402,6.593407,-8.058608,1.709402,0.209402,4.097680,0
0.003125,179.894510,-39.586814,-193.925279,20.461538,-8.058608,7.081807,1.709402,8.547009,-6.593407,-1.709402,0.209402,4.107448,0
0.004167,136.800003,56.624177,-225.995609,13.501832,-8.547009,4.151404,5.616606,9.035409,-3.174603,-5.128205,-0.278999,4.097680,0
0.005209,82.681321,151.164839,-207.287917,-8.490842,-8.058608,1.221001,8.058608,8.547009,-0.244200,-7.570208,-1.255800,4.117216,0
0.006250,11.191209,212.298906,-167.868136,-18.234432,-5.616606,-2.686203,9.035409,5.616606,3.174603,-8.058608,-0.278999,4.097680,0
0.007292,-91.367035,219.314291,-123.103299,2.087912,-2.686203,-5.616606,9.035409,3.174603,6.105006,-8.547009,0.209402,4.097680,0
0.008334,-173.881323,192.589015,-59.296705,14.893773,0.244200,-8.058608,7.570208,-0.244200,8.058608,-7.081807,0.209402,4.107448,0
0.009375,-229.002203,146.487915,22.215385,22.131868,4.151404,-9.035409,5.128205,-3.663004,9.035409,-4.151404,0.209402,4.087912,0
0.010417,-214.303301,105.397805,123.771431,-4.315018,7.081807,-8.547009,2.197802,-6.105006,8.547009,-1.221001,0.209402,4.097680,0
0.011458,-182.567037,36.580221,191.252752,-14.336996,8.547009,-6.593407,-1.221001,-8.058608,6.593407,1.709402,0.697802,4.097680,0
0.012501,-138.136267,-59.630771,223.323082,-7.377289,9.523810,-3.663004,-5.128205,-8.547009,4.151404,5.128205,0.209402,4.087912,0
0.013542,-85.687914,-154.171432,203.947257,14.058608,8.547009,-0.244200,-7.081807,-8.058608,0.732601,8.058608,0.209402,4.107448,0
0.014583,-13.529671,-215.305499,164.861542,24.637363,6.105006,3.174603,-8.547009,-5.616606,-2.686203,9.035409,0.209402,4.087912,0
0.015625,89.028573,-221.318686,120.430772,3.201465,3.174603,6.105006,-8.547009,-2.686203,-5.616606,9.035409,-0.278999,4.146520,0
0.016667,171.542861,-195.261543,56.958243,-14.336996,-0.244200,8.058608,-7.570208,0.732601,-7.570208,7.570208,1.186203,4.117216,0
0.017709,226.329675,-148.826377,-25.890110,-16.564103,-4.151404,9.035409,-4.639805,4.151404,-9.035409,4.639805,0.209402,4.087912,0
0.018750,212.298906,-108.070332,-126.109893,8.769231,-6.105006,8.547009,-1.709402,6.593407,-8.058608,1.709402,0.209402,4.097680,0
0.019792,180.562641,-38.584616,-194.259345,20.739927,-8.058608,6.593407,1.709402,8.547009,-6.105006,-1.709402,-0.278999,4.097680,0
0.020834,136.131871,57.292309,-225.995609,12.109890,-9.035409,4.151404,5.616606,9.035409,-3.663004,-5.128205,0.209402,4.087912,0
0.021875,82.347255,149.828575,-206.953851,-8.769231,-8.058608,0.732601,8.058608,8.058608,-0.244200,-7.081807,0.209402,4.087912,0
0.022917,10.857143,211.630774,-167.534070,-18.512821,-5.616606,-2.686203,9.035409,6.105006,3.174603,-8.547009,0.697802,4.087912,0
0.023959,-90.698903,218.646159,-123.103299,2.087912,-2.686203,-5.616606,9.523810,3.174603,6.105006,-8.547009,0.209402,4.097680,0
0.025001,-173.881323,192.589015,-60.298902,17.399267,0.732601,-7.570208,8.058608,-0.244200,8.058608,-7.081807,-0.278999,4.136752,0
0.026042,-228.668137,146.487915,22.215385,26.307692,4.151404,-9.035409,5.616606,-3.663004,9.035409,-4.151404,-0.278999,4.097680,0
0.027084,-214.303301,105.397805,123.771431,-4.593407,6.593407,-8.547009,2.197802,-6.593407,8.547009,-1.221001,0.209402,4.146520,0
