1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,-169.204399,103.393409,107.736266,-12.388278,8.547009,-0.732601,-7.081807,-7.570208,0.732601,7.570208,0.209402,2.114774,0
0.001042,-169.538465,20.879121,140.474728,4.871795,6.593407,2.686203,-8.058608,-5.616606,-2.197802,8.547009,0.209402,2.144078,0
0.002083,-147.824179,-67.648353,159.850553,19.626374,3.174603,6.105006,-8.547009,-2.686203,-5.128205,8.547009,-0.767399,2.134310,0
0.003126,-80.342859,-123.437365,169.872531,10.996337,1.221001,8.058608,-7.081807,0.732601,-7.570208,7.081807,-0.767399,2.153846,0
0.004167,5.178022,-150.496707,164.527476,-9.604396,-3.663004,8.547009,-4.639805,3.663004,-8.547009,4.639805,-0.767399,2.134310,0
0.005208,92.703299,-164.193410,129.116486,-19.347985,-6.105006,8.058608,-1.709402,6.593407,-7.570208,1.709402,-0.767399,2.114774,0
0.006250,136.465937,-170.206597,47.270331,-4.871795,-8.058608,6.593407,1.709402,8.058608,-6.593407,-1.221001,-0.278999,2.105006,0
0.007292,153.837366,-157.512091,-40.589012,14.893773,-8.547009,4.151404,5.128205,8.547009,-3.663004,-4.639805,-0.767399,2.105006,0
0.008333,167.868136,-105.063739,-110.408794,15.172161,-7.570208,1.221001,7.081807,8.058608,-0.244200,-7.081807,-0.278999,2.114774,0
0.009375,167.200004,-22.549451,-143.481322,0.417582,-6.105006,-2.197802,8.547009,6.105006,2.686203,-8.058608,-0.767399,2.134310,0
0.010417,147.156047,66.312089,-162.189015,-15.728938,-2.686203,-5.128205,9.035409,3.174603,6.105006,-8.058608,0.209402,2.134310,0
0.011458,78.004397,121.432970,-171.208795,-6.542125,0.244200,-7.570208,7.570208,0.244200,8.058608,-6.593407,-0.278999,2.134310,0
0.012500,-7.516484,148.492311,-166.197806,8.769231,3.663004,-8.547009,5.128205,-3.663004,9.035409,-4.151404,-0.767399,2.134310,0
0.013542,-94.707694,162.857146,-130.452750,21.853480,6.593407,-8.058608,2.197802,-6.105006,8.547009,-1.221001,-0.767399,2.183150,0
0.014584,-138.136267,168.536267,-49.608792,7.098901,8.547009,-6.593407,-1.221001,-8.058608,6.593407,2.197802,-0.278999,2.114774,0
0.015625,-155.507696,155.507696,38.250550,-12.388278,8.547009,-3.663004,-4.639805,-8.547009,4.151404,5.128205,0.209402,2.105006,0
0.016667,-168.870333,103.059343,108.404398,-12.109890,8.547009,-0.244200,-7.081807,-7.081807,0.732601,7.570208,-0.278999,2.114774,0
0.017708,-169.204399,19.876924,141.142860,4.315018,6.593407,2.686203,-8.547009,-5.616606,-2.197802,8.058608,-0.278999,2.124542,0
0.018751,-147.824179,-68.650551,160.184619,20.183150,3.663004,5.616606,-8.547009,-2.686203,-5.128205,8.547009,-0.278999,2.114774,0
0.019791,-80.008793,-124.105497,169.204399,11.274725,-0.244200,8.058608,-7.081807,0.732601,-7.570208,7.081807,-0.278999,2.124542,0
0.020833,6.180220,-148.826377,163.525278,-6.820513,-3.663004,9.035409,-4.639805,3.663004,-8.058608,4.639805,-0.767399,2.192918,0
0.021875,93.037365,-164.527476,127.112091,-18.512821,-6.105006,8.547009,-1.221001,6.593407,-7.570208,1.709402,-0.767399,2.124542,0
0.022917,136.465937,-170.206597,46.602199,-3.479853,-8.058608,7.081807,1.709402,8.058608,-6.105006,-1.221001,-0.278999,2.144078,0
0.023958,153.837366,-157.178025,-41.591210,13.780220,-8.547009,3.663004,5.128205,8.547009,-3.663004,-4.639805,-0.767399,2.114774,0
0.025000,167.200004,-104.729673,-110.742860,15.172161,-8.058608,0.732601,7.081807,8.058608,-0.244200,-6.593407,-0.767399,2.124542,0
0.026042,168.202202,-21.213187,-143.147256,-1.531136,-5.616606,-2.197802,8.547009,6.105006,2.686203,-8.058608,-0.767399,2.124542,0
0.027084,145.485718,67.314287,-162.189015,-16.285714,-2.686203,-5.128205,9.035409,3.174603,5.616606,-8.058608,-0.278999,2.124542,0
0.028125,77.336265,121.767036,-171.876927,-8.490842,0.732601,-7.570208,7.570208,-0.244200,8.058608,-7.081807,-0.278999,2.124542,0
0.029167,-8.852747,147.490113,-165.529674,9.882784,4.151404,-8.547009,5.128205,-3.174603,9.035409,-4.151404,-0.278999,2.134310,0
0.030209,-94.707694,162.189015,-130.118684,21.575092,6.593407,-8.058608,1.709402,-6.105006,8.058608,-1.221001,0.209402,2.124542,0
0.031250,-138.470333,168.536267,-48.940660,7.098901,8.547009,-6.105006,-1.221001,-7.570208,6.593407,2.197802,-0.767399,2.114774,0
0.032291,-156.175828,155.173630,40.254946,-8.490842,9.035409,-3.663004,-4.639805,-8.547009,4.151404,5.128205,-0.767399,2.124542,0
0.033333,-168.536267,102.391211,108.738464,-12.388278,8.058608,-0.244200,-7.081807,-7.570208,0.732601,7.570208,-0.278999,2.114774,0
0.034375,-169.204399,18.874726,141.142860,4.593407,6.105006,2.686203,-7.570208,-5.616606,-2.197802,8.058608,-0.278999,2.124542,0
0.035417,-146.821981,-69.652749,160.184619,19.904762,3.663004,6.105006,-8.547009,-2.686203,-5.616606,8.547009,-0.278999,2.124542,0
0.036458,-79.006595,-124.105497,170.206597,10.717949,0.244200,8.058608,-7.081807,0.732601,-7.570208,7.570208,-0.278999,2.134310,0
0.037500,7.516484,-150.830773,164.527476,-6.820513,-3.174603,9.035409,-4.639805,3.663004,-9.035409,4.639805,-0.278999,2.134310,0
0.038542,93.705497,-164.527476,127.780223,-18.234432,-6.105006,8.547009,-1.221001,6.593407,-8.058608,1.221001,-0.278999,2.114774,0
0.039584,136.465937,-170.206597,46.268133,-4.315018,-8.058608,6.593407,1.709402,8.058608,-6.105006,-1.709402,-0.278999,2.114774,0
0.040625,154.505498,-157.846157,-43.261539,15.450549,-8.547009,4.151404,5.128205,8.547009,-3.663004,-4.639805,-0.767399,2.124542,0
0.041667,167.200004,-103.727475,-111.076926,16.285714,-7.570208,0.732601,7.081807,8.058608,-0.244200,-7.081807,-0.767399,2.124542,0
0.042709,167.200004,-20.210989,-143.147256,-4.315018,-6.105006,-2.197802,8.547009,6.105006,2.686203,-8.058608,-0.767399,2.153846,0
0.043750,145.151652,68.316485,-162.523081,-17.956044,-3.174603,-5.128205,9.035409,3.174603,6.105006,-8.058608,-0.278999,2.124542,0
0.044792,76.668134,122.435168,-171.542861,-8.769231,0.244200,-7.570208,7.570208,-0.244200,8.058608,-7.081807,-0.278999,2.124542,0
0.045833,-9.854945,148.826377,-165.529674,10.996337,3.663004,-8.547009,5.128205,-3.663004,8.547009,-4.151404,-0.278999,2.124542,0
0.046876,-95.709892,162.857146,-129.116486,21.575092,6.593407,-8.058608,1.709402,-6.105006,8.058608,0.732601,-0.278999,2.114774,0
0.047917,-139.472531,168.202202,-47.938463,7.377289,8.547009,-6.105006,-1.221001,-7.570208,6.593407,1.709402,-0.278999,2.114774,0
0.048958,-156.509894,154.171432,40.923078,-12.666667,9.035409,-3.663004,-4.639805,-8.058608,3.663004,5.128205,-0.278999,2.114774,0
0.050000,-168.536267,101.389013,109.072530,-12.109890,8.058608,-0.244200,-7.081807,-7.570208,0.732601,7.081807,-0.278999,2.124542,0
0.051042,-169.538465,18.206594,140.474728,5.428571,6.105006,2.686203,-8.058608,-5.128205,-2.197802,8.547009,-0.767399,2.163614,0
0.052083,-146.821981,-70.320881,160.184619,20.183150,3.174603,6.105006,-8.547009,-2.686203,-5.616606,9.035409,-1.255800,2.134310,0
0.053125,-78.004397,-124.439563,169.872531,11.831502,-0.244200,9.035409,-7.081807,0.732601,-7.570208,7.081807,-0.767399,2.124542,0
0.054167,8.184616,-150.830773,163.859344,-7.098901,-3.663004,8.547009,-4.639805,3.663004,-8.058608,4.639805,-0.278999,2.134310,0
0.055209,94.373628,-164.527476,126.443959,-17.677656,-6.593407,8.058608,-1.221001,6.593407,-7.570208,1.709402,-0.767399,2.114774,0
0.056250,137.468135,-169.872531,45.265935,-3.201465,-8.058608,7.081807,1.709402,8.547009,-6.105006,-1.709402,-0.278999,2.114774,0
0.057292,154.839564,-156.509894,-43.595605,15.172161,-8.058608,4.151404,5.128205,9.035409,-3.663004,-4.639805,-0.278999,2.105006,0
0.058333,167.200004,-103.059343,-111.410991,15.172161,-7.570208,1.221001,7.081807,8.058608,-0.244200,-7.081807,-0.278999,2.124542,0
0.059375,167.200004,-19.208792,-143.481322,-1.809524,-5.616606,-2.197802,9.035409,6.105006,2.686203,-8.058608,-0.278999,2.134310,0
0.060416,144.817586,68.984617,-163.191212,-16.285714,-2.686203,-5.128205,9.035409,3.174603,6.105006,-8.058608,-0.767399,2.163614,0
0.061458,75.665936,123.103299,-172.879125,-10.439560,0.732601,-7.570208,7.570208,-0.244200,8.058608,-6.593407,-0.767399,2.134310,0
