1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,-185.239565,151.164839,27.894506,3.201465,8.058608,-6.593407,-0.732601,-7.570208,6.593407,1.709402,-0.278999,2.700855,0
0.001042,-179.226378,116.087915,120.430772,-18.791209,8.547009,-4.151404,-3.663004,-7.570208,4.151404,4.151404,0.209402,2.700855,0
0.002083,-165.529674,37.248352,169.872531,-12.945055,8.058608,-0.732601,-6.593407,-7.081807,1.221001,7.081807,-0.278999,2.700855,0
0.003125,-146.487915,-64.307694,182.901103,9.882784,6.593407,2.197802,-7.570208,-5.616606,-2.197802,8.058608,-0.278999,2.720391,0
0.004167,-98.716486,-148.492311,170.206597,26.864469,3.663004,5.128205,-8.058608,-3.174603,-4.639805,8.547009,-0.767399,2.730159,0
0.005208,-8.852747,-178.892312,160.852751,11.553114,0.244200,7.570208,-7.081807,0.244200,-7.081807,7.081807,-0.767399,2.720391,0
0.006250,90.698903,-183.569235,130.452750,-13.501832,-2.686203,8.058608,-4.639805,3.174603,-8.058608,4.639805,-0.278999,2.739927,0
0.007292,164.527476,-167.200004,65.643958,-20.739927,-5.616606,8.058608,-1.709402,6.105006,-7.570208,2.197802,-0.278999,2.652015,0
0.008334,183.235169,-152.835168,-30.232968,0.139194,-7.570208,6.593407,1.221001,8.058608,-6.105006,-1.221001,-0.278999,2.710623,0
0.009374,177.221982,-118.092310,-122.769234,22.967033,-8.058608,4.639805,4.151404,8.058608,-3.174603,-4.151404,-0.278999,2.720391,0
0.010416,163.859344,-39.252748,-171.542861,16.842491,-7.570208,1.221001,6.593407,7.570208,-0.732601,-6.593407,-0.278999,2.710623,0
0.011458,143.815388,61.301100,-185.239565,-7.655678,-6.105006,-1.709402,8.547009,6.105006,2.686203,-8.058608,-0.278999,2.720391,0
0.012500,97.046156,145.485718,-172.879125,-23.523810,-3.174603,-4.639805,8.547009,3.174603,5.616606,-8.058608,-0.278999,2.710623,0
0.013541,7.182418,176.219784,-163.191212,-4.593407,0.244200,-7.081807,7.570208,0.244200,7.570208,-7.081807,-0.278999,2.720391,0
