1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,-104.729673,167.534070,-111.410991,16.285714,7.081807,-7.570208,1.221001,-6.593407,8.058608,-0.732601,-0.767399,2.153846,0
0.001042,-143.815388,167.534070,-29.230770,1.252747,8.547009,-6.105006,-1.709402,-8.058608,6.105006,2.686203,-0.278999,2.114774,0
0.002083,-160.184619,148.492311,61.969232,-16.007326,8.547009,-3.174603,-5.128205,-8.547009,3.174603,5.616606,-0.278999,2.114774,0
0.003125,-171.876927,85.019782,117.758244,-8.490842,8.058608,0.244200,-7.081807,-7.081807,0.244200,7.570208,-0.278999,2.114774,0
0.004167,-166.531872,0.835165,146.153849,7.098901,6.105006,3.663004,-8.058608,-4.639805,-3.174603,8.547009,-0.278999,2.124542,0
0.005208,-139.138465,-88.360442,159.850553,23.245421,2.686203,6.593407,-8.058608,-1.709402,-6.105006,8.547009,-0.278999,2.124542,0
0.006250,-60.967034,-134.461541,170.206597,7.655678,-0.244200,8.058608,-6.593407,1.221001,-7.570208,7.081807,-0.278999,2.124542,0
0.007292,27.226374,-155.173630,160.184619,-10.161172,-4.151404,9.035409,-3.663004,4.639805,-8.058608,4.151404,-0.278999,2.134310,0
0.008333,103.059343,-169.204399,110.408794,-11.831502,-7.081807,8.058608,-0.732601,7.081807,-7.570208,1.221001,-0.767399,2.124542,0
0.009375,142.479124,-169.538465,26.892308,1.531136,-8.058608,6.593407,2.197802,8.547009,-5.616606,-2.197802,-3.209402,2.134310,0
0.010417,158.180223,-150.496707,-63.973628,18.234432,-8.547009,3.663004,5.616606,8.547009,-2.686203,-5.128205,-0.278999,2.183150,0
0.011459,170.206597,-86.690112,-119.762640,10.996337,-7.570208,0.244200,7.570208,7.081807,0.244200,-7.081807,-0.767399,2.114774,0
0.012500,164.861542,-2.505495,-148.158245,-4.036630,-5.128205,-2.686203,8.547009,5.128205,3.663004,-8.058608,-0.278999,2.124542,0
0.013541,137.134069,86.356046,-162.189015,-19.626374,-2.197802,-5.616606,9.035409,2.686203,6.105006,-7.570208,-0.278999,2.124542,0
0.014583,58.628573,132.791212,-172.210993,-5.150183,1.221001,-7.570208,7.081807,-0.732601,7.570208,-6.593407,-0.278999,2.124542,0
0.015626,-28.896704,154.505498,-162.523081,13.223443,4.639805,-8.547009,4.639805,-3.663004,8.547009,-3.174603,-0.278999,2.124542,0
0.016666,-105.063739,167.200004,-112.079123,16.564103,7.570208,-7.570208,1.221001,-6.105006,8.058608,-0.244200,-0.767399,2.114774,0
0.017708,-144.149454,167.534070,-30.232968,2.087912,8.547009,-6.105006,-2.197802,-8.058608,6.105006,2.686203,-0.767399,2.173382,0
0.018750,-159.850553,148.826377,60.967034,-15.450549,9.035409,-3.174603,-5.128205,-8.058608,3.174603,5.616606,-0.767399,2.124542,0
0.019792,-171.542861,85.019782,117.758244,-9.326007,7.570208,0.244200,-7.081807,-7.081807,-0.244200,7.570208,-0.278999,2.163614,0
0.020833,-166.531872,1.169231,145.819783,7.098901,5.616606,3.174603,-8.547009,-5.128205,-3.174603,9.035409,-0.767399,2.124542,0
0.021875,-139.472531,-87.692310,159.850553,22.688645,2.686203,6.593407,-8.058608,-2.197802,-6.105006,8.058608,-0.278999,2.124542,0
0.022917,-60.967034,-134.127476,169.872531,8.212454,-0.732601,8.547009,-7.081807,1.221001,-8.058608,7.081807,-0.767399,2.124542,0
0.023958,27.226374,-154.505498,160.852751,-9.882784,-4.151404,9.035409,-4.151404,4.639805,-8.547009,4.151404,-0.278999,2.124542,0
0.025000,101.723079,-168.536267,109.406596,-14.058608,-6.593407,8.058608,-0.732601,7.081807,-7.570208,0.732601,-0.278999,2.105006,0
0.026041,141.810992,-169.538465,27.894506,1.531136,-8.058608,6.105006,2.197802,8.547009,-5.616606,-2.197802,0.209402,2.105006,0
0.027083,158.180223,-150.830773,-62.971430,19.069597,-8.058608,3.663004,5.128205,8.547009,-3.174603,-5.128205,2.163004,2.124542,0
0.028125,170.206597,-87.358244,-120.096706,12.109890,-7.570208,0.244200,7.570208,7.081807,0.732601,-7.081807,-0.767399,2.183150,0
0.029166,164.861542,-3.507692,-147.824179,-4.315018,-5.616606,-3.174603,8.547009,5.128205,3.663004,-8.058608,-0.278999,2.153846,0
0.030208,137.802201,86.356046,-162.189015,-19.069597,-2.197802,-6.105006,8.547009,2.686203,6.593407,-8.058608,-0.278999,2.212454,0
0.031251,59.630771,132.457146,-172.210993,-4.871795,1.221001,-8.058608,7.081807,-0.732601,8.058608,-6.105006,-0.278999,2.114774,0
