1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,-203.613191,136.465937,72.993408,-0.695971,8.547009,-8.058608,0.244200,-8.058608,8.547009,0.244200,-0.278999,3.550672,0
0.001042,-182.901103,86.690112,158.848355,-17.399267,9.523810,-5.128205,-3.663004,-8.547009,6.105006,4.151404,-0.278999,3.501832,0
0.002083,-159.516487,-2.505495,196.263741,-10.439560,9.523810,-2.197802,-6.593407,-8.547009,2.197802,7.081807,-0.278999,3.492063,0
0.003126,-127.780223,-105.397805,195.261543,15.172161,7.570208,1.221001,-8.547009,-7.081807,-1.221001,9.035409,-0.278999,3.501832,0
0.004167,-67.648353,-183.569235,169.872531,29.926740,5.128205,5.128205,-9.523810,-4.639805,-4.639805,9.523810,-0.278999,3.492063,0
0.005208,36.246155,-202.945059,150.162641,4.593407,1.709402,8.058608,-8.547009,-1.221001,-7.570208,8.547009,0.209402,3.492063,0
0.006250,131.120882,-191.586817,105.731870,-16.285714,-2.197802,9.523810,-6.105006,2.686203,-8.547009,6.105006,0.209402,3.492063,0
0.007292,192.254949,-164.861542,29.564836,-19.347985,-5.616606,10.012210,-3.174603,6.105006,-9.035409,3.174603,-0.278999,3.482295,0
0.008334,201.608796,-139.806597,-76.000002,5.150183,-8.058608,8.547009,0.244200,8.547009,-8.058608,-0.244200,-0.278999,3.501832,0
0.009375,179.894510,-89.028573,-162.523081,26.029304,-9.035409,6.105006,4.151404,9.523810,-5.128205,-3.174603,-0.278999,3.501832,0
0.010417,156.843960,0.167033,-199.270334,14.615385,-9.035409,2.197802,7.081807,9.035409,-1.709402,-6.593407,-0.278999,3.589744,0
0.011459,126.109893,103.393409,-197.265938,-9.604396,-7.570208,-1.221001,9.035409,8.058608,1.709402,-8.547009,-0.767399,3.521368,0
0.012500,65.309892,181.564839,-172.545059,-25.472527,-4.639805,-4.639805,10.012210,5.128205,5.128205,-9.035409,-0.767399,3.511600,0
0.013542,-38.250550,200.272532,-152.835168,-0.139194,-1.221001,-7.570208,9.035409,1.221001,8.058608,-8.058608,-0.278999,3.492063,0
0.014583,-133.459344,189.582422,-108.404398,20.183150,2.686203,-8.547009,6.593407,-2.197802,9.523810,-6.105006,0.209402,3.501832,0
0.015626,-195.929675,162.523081,-32.571429,22.688645,6.105006,-9.035409,3.663004,-5.616606,9.523810,-3.174603,0.209402,3.482295,0
0.016667,-204.281323,136.800003,72.993408,-0.974359,8.547009,-8.058608,0.244200,-8.058608,8.547009,0.732601,0.209402,3.482295,0
0.017708,-183.235169,86.021980,159.850553,-21.575092,9.523810,-5.616606,-3.174603,-9.035409,6.105006,3.663004,0.209402,3.492063,0
0.018750,-159.516487,-2.839561,195.929675,-10.161172,9.523810,-1.709402,-7.081807,-9.035409,2.197802,7.081807,-0.278999,3.482295,0
0.019792,-127.780223,-106.065936,194.593411,14.893773,8.058608,1.709402,-8.547009,-7.081807,-1.221001,9.035409,-0.278999,3.521368,0
0.020833,-67.314287,-183.903301,169.204399,27.142857,5.128205,5.128205,-9.523810,-4.151404,-4.639805,9.523810,-0.767399,3.511600,0
0.021875,35.578023,-202.610994,150.162641,5.150183,1.221001,8.058608,-8.547009,-0.732601,-7.570208,8.547009,-0.278999,3.521368,0
0.022917,131.454948,-191.586817,105.731870,-16.285714,-2.197802,9.035409,-6.105006,2.197802,-8.547009,6.593407,-1.744200,3.511600,0
0.023958,193.591213,-164.861542,29.898902,-17.956044,-5.616606,9.523810,-3.663004,5.616606,-9.035409,3.174603,-0.278999,3.482295,0
0.025000,201.942862,-139.138465,-75.665936,5.150183,-8.058608,8.547009,0.244200,8.058608,-8.547009,-0.244200,-0.278999,3.492063,0
0.026042,180.896707,-89.362639,-162.189015,26.864469,-9.035409,6.105006,3.663004,9.035409,-5.128205,-3.663004,0.209402,3.492063,0
0.027083,156.843960,0.501099,-199.270334,14.336996,-9.035409,2.686203,7.081807,9.523810,-1.709402,-7.081807,-0.278999,3.482295,0
0.028125,124.773629,103.727475,-197.265938,-10.439560,-7.570208,-0.732601,9.035409,7.570208,1.709402,-8.547009,0.209402,3.501832,0
0.029167,64.307694,181.564839,-173.213191,-25.472527,-4.639805,-4.639805,10.012210,5.128205,5.128205,-9.523810,1.674603,3.501832,0
0.030208,-39.252748,199.938466,-152.835168,0.695971,-0.732601,-7.570208,9.035409,1.709402,8.058608,-8.058608,-0.278999,3.531136,0
0.031251,-133.459344,189.582422,-108.070332,20.183150,2.686203,-9.035409,6.593407,-2.197802,9.035409,-5.616606,-0.278999,3.501832,0
0.032292,-195.929675,162.189015,-31.903297,22.688645,6.105006,-9.035409,3.663004,-5.616606,9.523810,-3.174603,0.209402,3.501832,0
0.033333,-203.947257,136.800003,73.327474,1.531136,8.547009,-8.058608,0.244200,-8.058608,8.547009,0.244200,0.209402,3.492063,0
0.034375,-182.901103,86.356046,159.850553,-22.131868,9.523810,-5.616606,-3.663004,-9.035409,5.616606,3.663004,-0.278999,3.492063,0
0.035417,-159.182421,-2.171429,195.929675,-9.047619,9.523810,-2.197802,-7.081807,-9.035409,2.197802,7.081807,0.209402,3.482295,0
0.036458,-127.446157,-105.731870,195.261543,14.893773,8.058608,1.709402,-8.547009,-7.570208,-1.221001,9.035409,0.209402,3.501832,0
0.037500,-67.648353,-184.237367,169.538465,29.648352,5.128205,5.128205,-9.523810,-4.151404,-4.639805,9.523810,-0.278999,3.492063,0
0.038542,35.912089,-202.945059,147.824179,5.150183,1.709402,8.058608,-8.547009,-0.732601,-7.570208,8.547009,-0.278999,3.492063,0
0.039584,131.789014,-191.586817,105.063739,-16.285714,-2.197802,9.523810,-6.105006,2.686203,-8.547009,6.593407,-0.278999,3.501832,0
0.040625,193.925279,-163.859344,28.896704,-17.120879,-5.616606,9.523810,-3.174603,6.105006,-9.035409,3.174603,-0.767399,3.492063,0
0.041667,201.942862,-139.138465,-76.334068,6.820513,-8.058608,8.547009,0.244200,8.058608,-7.570208,-0.244200,-0.278999,3.501832,0
0.042709,180.562641,-88.360442,-161.854949,26.029304,-9.035409,6.105006,3.663004,9.035409,-5.128205,-3.174603,-1.744200,3.521368,0
0.043750,156.843960,0.835165,-199.270334,15.728938,-9.035409,2.197802,6.593407,9.035409,-1.709402,-7.081807,-0.278999,3.492063,0
0.044792,125.441761,103.727475,-197.600004,-10.717949,-7.570208,-0.732601,9.035409,7.570208,1.709402,-8.547009,-0.278999,3.511600,0
0.045833,64.975826,181.564839,-172.545059,-25.194139,-4.639805,-5.128205,10.012210,5.128205,5.128205,-9.035409,0.209402,3.492063,0
0.046875,-39.586814,200.606598,-152.835168,0.139194,-0.732601,-7.570208,9.035409,1.221001,7.570208,-8.058608,0.209402,3.482295,0
0.047916,-134.127476,188.914290,-107.736266,21.296703,2.686203,-8.547009,6.593407,-1.709402,8.547009,-6.105006,-0.278999,3.492063,0
0.048959,-196.263741,162.189015,-32.237363,22.410256,6.105006,-9.035409,3.663004,-5.616606,9.523810,-2.686203,-0.278999,3.482295,0
0.050000,-204.615389,136.131871,73.661540,-0.695971,8.547009,-8.058608,0.244200,-7.570208,8.547009,0.732601,-0.278999,3.521368,0
