1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,167.200004,-197.600004,62.971430,-11.553114,0.244200,8.058608,-7.081807,0.244200,-7.570208,7.570208,0.209402,4.097680,0
0.001042,223.657148,-152.835168,-17.204396,-20.183150,-3.663004,9.523810,-4.639805,4.151404,-9.035409,5.128205,-0.278999,4.078144,0
0.002084,214.303301,-113.749453,-119.428574,9.326007,-6.105006,9.035409,-2.197802,6.593407,-8.058608,2.197802,0.209402,4.107448,0
0.003125,182.567037,-44.597803,-190.584620,19.904762,-8.058608,7.570208,1.709402,8.547009,-6.593407,-1.221001,-0.278999,4.156288,0
0.004167,139.472531,49.608792,-226.663741,14.615385,-9.035409,4.639805,5.616606,9.523810,-3.663004,-5.128205,-0.767399,4.097680,0
0.005208,87.358244,143.147256,-209.960444,-5.985348,-8.058608,1.221001,8.058608,8.547009,-0.244200,-7.081807,-0.278999,4.097680,0
0.006250,17.538462,207.621983,-171.876927,-17.677656,-5.616606,-2.686203,9.035409,6.105006,2.686203,-8.547009,0.209402,4.087912,0
0.007292,-83.683518,220.650554,-126.109893,0.695971,-3.174603,-5.616606,9.035409,3.663004,5.616606,-8.058608,0.209402,4.087912,0
0.008334,-169.872531,194.927477,-65.309892,16.842491,0.244200,-8.058608,8.058608,0.244200,7.570208,-7.081807,0.209402,4.097680,0
0.009375,-226.663741,149.828575,15.200000,23.802198,4.151404,-9.035409,5.128205,-3.663004,8.547009,-4.639805,0.209402,4.078144,0
0.010417,-215.305499,110.074728,116.756047,-3.479853,6.593407,-8.547009,2.686203,-6.105006,8.547009,-2.197802,0.209402,4.097680,0
0.011458,-185.573631,41.925276,187.243960,-15.450549,8.547009,-6.593407,-1.221001,-8.058608,6.593407,1.709402,0.209402,4.097680,0
0.012500,-142.145058,-52.615386,223.657148,-8.490842,9.523810,-3.663004,-4.639805,-8.547009,4.151404,5.616606,0.209402,4.087912,0
0.013542,-89.362639,-146.153849,206.953851,14.336996,8.547009,-0.732601,-7.570208,-8.058608,1.221001,7.570208,-0.278999,4.097680,0
0.014583,-19.542858,-210.294510,168.536267,23.523810,6.593407,2.686203,-8.547009,-5.616606,-2.197802,8.547009,0.209402,4.126984,0
0.015625,81.679123,-222.989016,123.437365,1.252747,3.174603,6.105006,-9.035409,-3.174603,-5.128205,9.035409,-0.278999,4.087912,0
0.016667,167.868136,-196.931873,61.969232,-10.439560,-0.244200,8.058608,-7.570208,0.244200,-7.570208,7.570208,0.209402,4.097680,0
0.017708,224.659346,-152.167036,-18.206594,-18.791209,-3.663004,9.035409,-5.128205,4.151404,-8.547009,5.128205,0.209402,4.078144,0
0.018750,212.967038,-112.079123,-120.430772,9.326007,-6.105006,9.035409,-1.709402,6.593407,-8.547009,1.709402,0.209402,4.097680,0
0.019792,181.564839,-43.929671,-190.918686,20.739927,-8.058608,7.081807,1.709402,8.547009,-6.593407,-1.221001,0.209402,4.097680,0
0.020834,138.804399,50.610990,-226.329675,14.336996,-9.035409,4.151404,5.128205,9.035409,-3.663004,-4.639805,-0.278999,4.078144,0
0.021875,86.690112,143.815388,-209.626378,-7.377289,-8.058608,1.221001,8.058608,8.058608,-0.732601,-7.081807,0.209402,4.087912,0
0.022917,16.536264,207.956049,-171.542861,-17.956044,-6.105006,-2.197802,9.035409,6.105006,3.174603,-8.058608,-0.278999,4.107448,0
0.023958,-85.019782,220.316488,-125.775827,1.531136,-3.174603,-5.616606,9.035409,3.663004,5.616606,-8.547009,-0.278999,4.097680,0
0.025001,-170.540663,194.259345,-64.641760,17.120879,0.244200,-7.570208,7.570208,0.244200,8.058608,-7.081807,0.209402,4.136752,0
0.026041,-226.997807,149.494509,15.868132,23.802198,4.151404,-8.547009,5.616606,-3.663004,9.523810,-4.151404,0.209402,4.078144,0
0.027083,-215.639565,109.740662,118.092310,-3.758242,6.593407,-8.547009,2.197802,-6.105006,9.035409,-1.709402,0.209402,4.097680,0
0.028125,-184.905499,41.591210,187.912092,-15.172161,8.547009,-6.593407,-1.221001,-8.058608,6.593407,1.709402,0.697802,4.097680,0
0.029167,-141.142860,-53.951650,223.991214,-9.326007,9.523810,-3.663004,-4.639805,-8.547009,4.151404,5.128205,0.209402,4.078144,0
0.030208,-87.024178,-147.490113,205.951653,13.780220,8.547009,-0.244200,-7.570208,-8.058608,0.244200,7.570208,0.209402,4.087912,0
0.031250,-19.542858,-211.630774,167.200004,23.523810,6.105006,3.174603,-8.547009,-5.616606,-2.686203,8.547009,0.209402,4.087912,0
0.032292,83.015386,-222.989016,122.435168,4.871795,3.663004,6.105006,-8.547009,-2.686203,-5.128205,9.035409,0.209402,4.087912,0
0.033333,168.202202,-196.597807,61.301100,-13.223443,-0.244200,8.058608,-7.081807,0.244200,-7.570208,7.570208,-0.278999,4.107448,0
0.034375,224.659346,-151.832970,-19.208792,-18.791209,-3.663004,9.523810,-4.639805,4.151404,-8.547009,5.128205,-0.278999,4.117216,0
