1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,166.197806,-83.683518,-159.182421,0.139194,-7.570208,3.174603,6.105006,8.547009,-2.197802,-5.128205,0.209402,2.720391,0
0.001042,158.180223,9.520879,-176.887916,-8.212454,-6.593407,-0.244200,8.547009,7.570208,1.221001,-7.081807,0.209402,2.691087,0
0.002083,127.112091,107.736266,-179.894510,-6.263736,-4.151404,-3.174603,8.547009,5.128205,4.151404,-7.570208,-0.767399,2.710623,0
0.003125,54.619781,165.195608,-165.529674,11.831502,-1.221001,-6.105006,8.547009,2.197802,7.081807,-7.081807,0.209402,2.691087,0
0.004167,-43.261539,184.905499,-149.828575,17.677656,2.197802,-7.570208,6.105006,-1.221001,8.058608,-5.616606,0.697802,2.700855,0
0.005209,-133.793410,174.883520,-106.734068,8.490842,4.639805,-7.570208,4.151404,-4.151404,8.058608,-2.686203,0.209402,2.661783,0
0.006250,-171.208795,162.523081,-18.206594,-9.882784,7.570208,-7.081807,1.221001,-6.105006,7.570208,0.244200,0.209402,2.661783,0
0.007292,-182.232971,138.136267,81.010991,-7.655678,8.547009,-5.128205,-2.197802,-7.570208,5.616606,3.174603,0.697802,2.681319,0
0.008333,-165.195608,83.683518,160.518685,2.087912,9.035409,-2.197802,-5.128205,-7.570208,2.686203,6.105006,0.209402,2.681319,0
0.009375,-157.846157,-8.852747,177.890114,10.161172,7.570208,1.221001,-7.570208,-6.105006,-0.244200,8.058608,0.209402,2.691087,0
0.010416,-125.775827,-107.402200,180.562641,8.212454,5.128205,4.151404,-7.570208,-4.151404,-3.174603,8.547009,-1.255800,2.720391,0
0.011466,-50.945056,-164.861542,167.534070,-8.212454,2.197802,7.081807,-7.570208,-1.221001,-6.105006,8.058608,0.209402,2.681319,0
0.012513,48.272529,-184.237367,150.162641,-15.728938,-1.221001,8.547009,-5.616606,2.197802,-7.570208,6.105006,0.209402,2.730159,0
0.013544,135.463739,-173.213191,106.400002,-3.758242,-3.174603,8.547009,-2.686203,5.128205,-7.081807,3.663004,0.209402,2.730159,0
0.014583,172.879125,-161.520883,18.874726,11.553114,-6.593407,8.058608,0.244200,7.570208,-7.081807,0.732601,0.697802,2.671551,0
0.015625,183.569235,-136.800003,-80.676925,9.326007,-7.570208,6.105006,3.174603,8.547009,-4.639805,-2.197802,0.209402,2.691087,0
0.016667,166.197806,-82.681321,-159.182421,-0.974359,-7.570208,2.686203,6.105006,8.547009,-2.197802,-5.128205,0.697802,2.681319,0
0.017708,157.846157,10.523077,-177.556048,-7.934066,-6.593407,-0.244200,8.547009,7.570208,1.221001,-7.081807,0.697802,2.691087,0
0.018750,126.778025,108.738464,-179.560444,-6.263736,-4.151404,-3.174603,8.547009,5.128205,4.151404,-7.570208,0.697802,2.700855,0
0.019792,53.283518,165.195608,-165.863740,11.553114,-1.221001,-6.105006,8.547009,2.197802,6.593407,-7.081807,0.697802,2.691087,0
0.020834,-44.931869,184.905499,-149.828575,17.956044,2.197802,-7.570208,6.593407,-1.221001,8.058608,-5.128205,1.186203,2.710623,0
0.021875,-134.461541,174.549454,-106.065936,9.604396,5.128205,-7.570208,3.663004,-3.663004,8.547009,-2.686203,0.209402,2.671551,0
0.022917,-171.208795,162.523081,-17.538462,-9.326007,7.570208,-6.593407,0.732601,-6.105006,7.570208,0.244200,0.209402,2.681319,0
0.023958,-182.232971,137.468135,81.679123,-8.490842,8.547009,-5.128205,-2.197802,-7.570208,5.616606,3.174603,0.209402,2.691087,0
0.025001,-165.195608,83.015386,160.518685,2.644689,9.035409,-2.197802,-5.128205,-7.570208,2.686203,6.105006,0.209402,2.691087,0
0.026042,-156.843960,-9.520879,178.558246,9.604396,7.570208,1.221001,-7.570208,-6.593407,-0.244200,8.058608,0.697802,2.691087,0
0.027083,-125.441761,-107.402200,180.562641,7.655678,5.128205,4.151404,-8.058608,-3.663004,-3.174603,8.547009,0.209402,2.700855,0
0.028125,-52.281320,-164.193410,165.863740,-9.604396,2.197802,7.081807,-7.570208,-0.732601,-6.105006,8.058608,0.209402,2.681319,0
0.029167,46.936265,-184.237367,150.496707,-15.172161,-1.221001,8.547009,-6.105006,2.197802,-7.570208,6.593407,0.697802,2.691087,0
0.030208,136.131871,-173.547257,105.731870,-4.315018,-4.151404,8.547009,-3.174603,4.639805,-7.081807,3.663004,0.697802,2.671551,0
0.031250,172.545059,-161.520883,17.538462,10.996337,-6.593407,7.570208,0.244200,7.081807,-6.593407,0.732601,0.209402,2.681319,0
0.032292,183.235169,-136.465937,-80.342859,9.882784,-7.570208,6.105006,2.686203,8.547009,-4.639805,-2.197802,0.209402,2.691087,0
0.033334,165.863740,-82.013189,-158.848355,-0.695971,-7.570208,3.174603,6.105006,8.547009,-2.197802,-5.128205,0.209402,2.700855,0
0.034375,157.846157,11.191209,-177.890114,-6.820513,-6.593407,-0.244200,8.058608,7.570208,1.221001,-7.081807,0.209402,2.632479,0
0.035417,126.443959,109.072530,-179.894510,-5.985348,-4.151404,-3.174603,9.035409,5.128205,4.151404,-7.570208,0.209402,2.700855,0
0.036458,52.949452,165.529674,-165.529674,11.274725,-1.221001,-6.105006,8.547009,1.709402,7.081807,-7.570208,0.209402,2.691087,0
0.037500,-46.268133,185.239565,-149.494509,17.120879,2.197802,-7.570208,6.593407,-1.221001,8.058608,-5.128205,0.209402,2.691087,0
0.038541,-135.797805,174.549454,-105.063739,8.490842,5.128205,-7.570208,3.663004,-4.151404,8.547009,-2.686203,0.697802,2.671551,0
0.039583,-171.542861,162.189015,-16.202198,-8.769231,7.570208,-7.081807,0.732601,-6.105006,8.058608,0.244200,0.209402,2.661783,0
0.040625,-182.232971,137.134069,83.349452,-6.820513,8.547009,-5.128205,-2.197802,-7.570208,5.616606,3.174603,0.697802,2.691087,0
0.041667,-165.195608,82.347255,160.518685,4.871795,8.547009,-2.197802,-5.128205,-7.570208,3.174603,6.105006,-1.255800,2.691087,0
0.042708,-156.843960,-10.523077,178.892312,10.439560,7.570208,1.221001,-7.570208,-6.593407,-0.244200,8.058608,0.209402,2.691087,0
0.043750,-124.773629,-108.070332,180.562641,7.377289,5.128205,4.151404,-8.058608,-4.151404,-3.174603,8.547009,0.209402,2.720391,0
0.044792,-50.945056,-164.861542,165.863740,-7.934066,2.197802,6.593407,-7.570208,-0.732601,-6.105006,8.058608,0.697802,2.739927,0
0.045834,47.270331,-184.237367,150.496707,-15.172161,-1.221001,8.547009,-6.105006,2.197802,-7.081807,6.105006,0.209402,2.691087,0
0.046875,137.134069,-173.213191,105.731870,-4.315018,-4.151404,8.547009,-3.174603,4.639805,-7.570208,3.663004,0.209402,2.661783,0
0.047917,172.545059,-161.186817,17.204396,10.161172,-6.593407,8.058608,0.244200,7.081807,-6.593407,0.244200,0.697802,2.661783,0
0.048959,183.235169,-135.797805,-82.681321,8.769231,-7.570208,6.105006,3.174603,8.058608,-4.639805,-2.686203,0.209402,2.681319,0
0.050000,165.863740,-82.013189,-159.516487,-1.531136,-7.570208,2.686203,5.616606,8.547009,-1.709402,-5.128205,0.697802,2.671551,0
0.051042,158.180223,11.859341,-176.553850,-7.098901,-6.593407,-0.244200,8.547009,7.081807,1.221001,-7.081807,0.209402,2.681319,0
0.052083,125.775827,109.740662,-180.228575,-6.263736,-4.151404,-3.174603,9.035409,5.128205,4.151404,-7.570208,0.697802,2.720391,0
0.053126,51.279122,165.863740,-164.527476,11.553114,-0.732601,-6.105006,8.547009,1.709402,7.081807,-7.081807,0.209402,2.681319,0
0.054166,-46.602199,185.239565,-149.828575,16.564103,2.197802,-7.570208,6.593407,-1.221001,8.547009,-5.616606,0.209402,2.700855,0
0.055208,-136.131871,174.215389,-104.729673,7.655678,5.128205,-8.547009,3.663004,-4.151404,8.058608,-2.686203,0.209402,2.671551,0
0.056250,-171.542861,162.189015,-15.868132,-7.934066,7.570208,-7.081807,0.244200,-6.593407,7.081807,0.244200,0.209402,2.671551,0
0.057292,-182.232971,136.465937,84.017584,-7.098901,8.547009,-5.128205,-2.686203,-6.593407,5.616606,3.174603,0.697802,2.681319,0
0.058333,-164.527476,82.013189,161.186817,3.758242,9.035409,-2.197802,-5.128205,-8.058608,3.174603,6.105006,0.697802,2.681319,0
0.059375,-156.843960,-11.525275,179.560444,8.490842,7.570208,1.221001,-7.570208,-6.593407,-0.244200,8.058608,0.209402,2.691087,0
0.060417,-124.439563,-108.404398,180.896707,7.377289,5.128205,4.151404,-7.570208,-4.151404,-3.174603,8.547009,0.209402,2.691087,0
0.061465,-47.604397,-165.529674,165.529674,-7.655678,1.709402,7.081807,-7.570208,-1.221001,-6.105006,8.058608,0.209402,2.691087,0
0.062504,49.942858,-183.903301,149.160443,-14.336996,-1.221001,8.547009,-5.616606,2.197802,-7.570208,6.593407,0.209402,2.691087,0
0.063544,137.134069,-172.879125,103.393409,-2.366300,-4.151404,8.547009,-2.686203,5.128205,-7.081807,3.174603,0.209402,2.681319,0
0.064585,172.545059,-160.852751,15.868132,9.047619,-6.593407,7.570208,0.244200,7.570208,-7.081807,0.732601,0.209402,2.681319,0
0.065626,183.235169,-135.797805,-83.683518,8.212454,-7.570208,5.128205,2.686203,8.547009,-4.639805,-2.197802,0.209402,2.691087,0
0.066666,165.529674,-80.676925,-160.184619,-2.644689,-8.058608,2.686203,6.105006,8.547009,-1.709402,-5.128205,0.697802,2.681319,0
0.067708,157.512091,13.195605,-178.558246,-6.542125,-6.593407,0.244200,8.058608,7.570208,1.709402,-7.081807,0.209402,2.681319,0
