1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,-137.468135,171.876927,-53.283518,-5.150183,9.523810,-8.547009,0.244200,-8.547009,9.035409,0.732601,0.209402,2.661783,0
0.001042,-149.160443,162.857146,35.243957,-5.428571,10.989011,-5.616606,-4.151404,-10.012210,6.105006,5.128205,0.209402,2.700855,0
0.002083,-166.865938,113.415387,111.745057,10.161172,10.989011,-2.197802,-7.081807,-9.523810,3.174603,8.058608,0.209402,2.661783,0
0.003126,-169.204399,27.894506,140.140662,17.120879,9.035409,1.709402,-9.523810,-8.058608,-1.221001,10.500611,0.209402,2.700855,0
0.004168,-155.173630,-63.639562,157.178025,6.263736,6.105006,6.105006,-11.477411,-4.639805,-5.128205,10.989011,0.209402,2.681319,0
0.005208,-87.692310,-119.428574,172.545059,-7.377289,1.709402,9.523810,-9.523810,-0.732601,-8.058608,10.012210,0.209402,2.681319,0
0.006250,2.839561,-146.153849,169.538465,-7.934066,-2.197802,10.500611,-7.081807,3.174603,-10.012210,7.570208,0.209402,2.681319,0
0.007292,96.043958,-159.850553,140.808794,0.417582,-6.105006,10.989011,-3.174603,7.081807,-9.523810,4.151404,0.697802,2.671551,0
0.008333,137.468135,-170.540663,54.619781,7.377289,-9.035409,9.523810,0.244200,9.523810,-8.547009,-0.244200,0.697802,2.661783,0
0.009375,150.162641,-161.854949,-33.907693,6.542125,-10.012210,6.593407,5.128205,10.500611,-5.616606,-4.151404,0.209402,2.652015,0
0.010422,168.202202,-111.410991,-110.742860,-6.542125,-10.012210,2.686203,8.547009,10.500611,-1.709402,-7.081807,0.209402,2.661783,0
0.011466,169.872531,-25.221979,-139.806597,-13.501832,-8.058608,-0.732601,10.500611,8.547009,2.197802,-9.523810,0.209402,2.681319,0
0.012500,156.509894,64.975826,-156.843960,-4.593407,-5.128205,-5.128205,11.477411,5.616606,6.593407,-10.500611,0.209402,2.681319,0
0.013542,89.028573,120.096706,-171.876927,8.212454,-0.732601,-8.547009,10.500611,1.709402,9.035409,-9.035409,0.209402,2.691087,0
0.014584,-2.171429,147.156047,-168.536267,8.769231,3.174603,-10.012210,7.570208,-2.197802,10.500611,-6.593407,0.209402,2.691087,0
0.015625,-95.041760,161.186817,-139.472531,-0.139194,7.081807,-10.012210,4.151404,-6.105006,10.989011,-2.686203,0.697802,2.671551,0
0.016667,-137.134069,171.876927,-52.615386,-5.428571,9.523810,-8.547009,0.244200,-8.547009,9.523810,0.732601,0.209402,2.661783,0
0.017708,-148.826377,162.857146,35.243957,-5.150183,10.989011,-5.616606,-3.663004,-10.012210,6.593407,5.128205,0.697802,2.652015,0
0.018751,-166.197806,113.081321,111.076926,8.490842,10.500611,-2.197802,-7.570208,-9.523810,2.686203,8.058608,0.209402,2.661783,0
0.019792,-169.204399,27.560440,140.140662,16.842491,9.035409,1.709402,-9.523810,-8.058608,-1.221001,10.500611,0.697802,2.681319,0
0.020833,-155.841762,-63.973628,157.512091,7.377289,6.105006,6.105006,-10.500611,-4.639805,-5.616606,10.989011,0.697802,2.691087,0
0.021875,-87.024178,-119.762640,172.210993,-5.985348,1.709402,9.035409,-9.523810,-0.732601,-8.058608,10.012210,0.209402,2.671551,0
0.022917,3.841758,-146.487915,169.538465,-7.934066,-2.197802,10.989011,-6.593407,3.174603,-10.012210,7.570208,0.209402,2.681319,0
0.023958,96.043958,-160.184619,140.140662,1.531136,-6.105006,10.989011,-3.174603,7.081807,-9.523810,3.663004,-0.767399,2.681319,0
0.025000,137.802201,-170.540663,53.617584,6.263736,-9.035409,9.523810,0.732601,9.523810,-8.058608,0.244200,0.209402,2.661783,0
0.026042,150.496707,-161.854949,-34.909891,6.263736,-10.012210,6.593407,4.639805,10.989011,-5.128205,-4.151404,0.209402,2.661783,0
0.027084,167.868136,-111.745057,-110.742860,-7.098901,-10.012210,3.174603,8.058608,10.500611,-1.709402,-7.081807,0.209402,2.671551,0
0.028125,170.540663,-26.224176,-139.806597,-14.336996,-8.058608,-0.732601,10.012210,8.547009,2.197802,-10.989011,0.209402,2.681319,0
0.029167,156.175828,65.978023,-157.178025,-4.871795,-5.128205,-5.128205,11.477411,5.616606,6.105006,-10.500611,0.697802,2.671551,0
0.030208,88.360442,120.430772,-172.210993,8.212454,-0.732601,-8.058608,10.500611,1.221001,9.035409,-9.035409,0.697802,2.671551,0
0.031251,-3.507692,147.490113,-168.536267,10.439560,3.174603,-10.012210,8.058608,-2.197802,10.989011,-6.593407,0.697802,2.691087,0
0.032292,-95.709892,161.520883,-139.138465,-0.417582,7.081807,-10.012210,4.151404,-6.105006,10.989011,-3.174603,0.697802,2.554335,0
0.033333,-137.468135,171.876927,-51.947254,-4.593407,9.523810,-8.547009,0.244200,-8.547009,9.035409,0.732601,0.209402,2.661783,0
0.034375,-149.160443,162.523081,35.578023,-3.758242,10.989011,-4.639805,-4.151404,-10.012210,6.593407,4.639805,0.209402,2.691087,0
0.035417,-167.200004,112.413189,111.410991,8.769231,10.989011,-1.709402,-7.570208,-10.012210,2.686203,8.058608,0.209402,2.671551,0
0.036458,-169.204399,26.892308,140.140662,16.007326,9.035409,1.709402,-9.523810,-8.058608,-1.221001,10.012210,0.209402,2.681319,0
0.037500,-154.839564,-64.975826,157.846157,6.542125,5.616606,6.105006,-10.500611,-4.639805,-5.128205,10.989011,0.209402,2.681319,0
0.038542,-86.021980,-120.764838,172.545059,-5.985348,1.709402,9.035409,-9.035409,-0.732601,-8.547009,9.523810,0.209402,2.681319,0
0.039584,4.509890,-146.821981,169.204399,-8.769231,-2.686203,10.989011,-7.081807,3.174603,-10.012210,7.570208,0.697802,2.691087,0
0.040625,97.046156,-160.184619,139.138465,3.201465,-6.105006,10.989011,-3.174603,7.081807,-9.523810,3.663004,0.697802,2.671551,0
0.041667,137.802201,-170.206597,52.615386,7.377289,-8.547009,9.523810,0.732601,9.523810,-8.058608,0.244200,0.697802,2.671551,0
0.042709,150.496707,-161.520883,-35.578023,6.542125,-10.012210,6.593407,5.128205,10.989011,-5.616606,-4.151404,0.209402,2.759463,0
0.043750,167.868136,-111.076926,-111.076926,-6.542125,-10.012210,3.174603,8.547009,10.500611,-1.709402,-7.570208,-0.278999,2.671551,0
0.044792,170.540663,-25.221979,-139.806597,-14.058608,-8.058608,-0.732601,10.500611,9.035409,2.197802,-9.035409,0.209402,2.691087,0
0.045833,155.841762,66.312089,-157.512091,-5.985348,-5.128205,-5.128205,11.477411,5.616606,6.105006,-10.012210,0.209402,2.691087,0
0.046876,87.692310,121.098904,-171.876927,7.377289,-0.732601,-8.547009,10.500611,1.709402,9.523810,-9.035409,0.209402,2.681319,0
0.047917,-3.841758,147.824179,-168.202202,9.882784,3.663004,-10.012210,8.058608,-2.197802,10.500611,-6.593407,0.697802,2.691087,0
0.048958,-96.043958,161.520883,-137.802201,-2.087912,7.081807,-10.012210,4.151404,-6.105006,10.989011,-2.686203,0.209402,2.681319,0
0.050000,-137.802201,171.876927,-51.279122,-4.315018,9.523810,-8.547009,0.244200,-8.547009,9.035409,1.221001,0.697802,2.661783,0
0.051042,-149.494509,163.191212,36.914287,-4.871795,10.989011,-5.616606,-4.151404,-10.012210,6.593407,5.128205,0.697802,2.652015,0
0.052083,-167.534070,112.079123,111.745057,9.047619,10.989011,-2.197802,-7.081807,-9.523810,2.686203,8.058608,0.209402,2.671551,0
0.053125,-169.204399,25.890110,140.140662,15.450549,9.035409,2.197802,-9.523810,-8.058608,-1.221001,10.500611,0.209402,2.778999,0
0.054167,-154.505498,-65.978023,158.514289,9.047619,6.105006,6.105006,-10.500611,-4.639805,-5.128205,10.989011,0.209402,2.691087,0
0.055209,-85.687914,-121.098904,172.545059,-4.871795,1.221001,10.012210,-9.523810,-0.732601,-8.547009,10.012210,-0.278999,2.700855,0
0.056251,5.512088,-146.821981,168.870333,-8.212454,-2.686203,10.989011,-7.081807,3.174603,-9.523810,7.570208,0.209402,2.749695,0
0.057292,97.046156,-160.518685,138.470333,3.201465,-6.105006,10.989011,-3.174603,7.081807,-9.523810,3.663004,0.209402,2.671551,0
0.058333,138.804399,-169.872531,51.947254,6.263736,-9.035409,9.523810,0.732601,9.523810,-9.523810,-0.244200,0.209402,2.661783,0
0.059376,151.164839,-161.520883,-36.246155,6.542125,-10.500611,6.593407,4.639805,10.989011,-5.616606,-4.151404,0.209402,2.652015,0
0.060427,168.536267,-109.072530,-112.747255,-5.706960,-10.012210,2.686203,8.547009,10.500611,-1.709402,-7.570208,0.209402,2.661783,0
0.061459,170.206597,-25.221979,-139.472531,-13.223443,-8.058608,-1.221001,10.989011,8.547009,2.197802,-9.035409,0.697802,2.671551,0
0.062509,154.505498,67.982419,-157.512091,-4.871795,-4.639805,-5.616606,11.477411,5.616606,6.105006,-10.012210,0.697802,2.681319,0
0.063543,86.690112,121.432970,-171.876927,7.098901,-0.244200,-8.058608,10.012210,1.221001,9.035409,-9.035409,0.209402,2.603175,0
0.064583,-4.509890,147.824179,-168.202202,10.439560,3.663004,-10.012210,8.058608,-2.197802,10.500611,-6.593407,0.209402,2.691087,0
0.065625,-96.712090,161.186817,-137.802201,-0.695971,7.081807,-10.500611,3.663004,-6.105006,10.989011,-2.686203,-3.209402,2.691087,0
0.066667,-138.136267,171.542861,-50.945056,-3.479853,9.523810,-8.547009,0.244200,-9.035409,9.035409,0.732601,0.209402,2.769231,0
0.067709,-149.828575,162.189015,37.248352,-5.428571,10.989011,-5.616606,-4.151404,-10.012210,6.105006,5.128205,0.209402,2.661783,0
0.068750,-167.200004,111.410991,112.079123,7.655678,10.989011,-1.709402,-7.570208,-9.523810,2.686203,8.547009,0.209402,2.661783,0
0.069792,-168.870333,25.221979,140.474728,14.893773,9.035409,2.197802,-9.523810,-8.058608,-1.221001,10.500611,0.209402,2.681319,0
0.070834,-155.841762,-66.312089,157.846157,6.542125,5.616606,6.105006,-10.500611,-4.639805,-5.128205,10.989011,0.209402,2.681319,0
0.071875,-84.685716,-121.767036,172.879125,-4.871795,1.709402,9.523810,-9.523810,-0.732601,-9.035409,10.012210,0.697802,2.671551,0
0.072917,5.512088,-146.821981,168.870333,-8.212454,-2.197802,10.989011,-7.081807,3.663004,-9.523810,7.570208,0.697802,2.691087,0
0.073960,98.048354,-160.518685,137.802201,4.036630,-6.105006,10.989011,-3.174603,7.081807,-9.523810,3.663004,0.209402,2.769231,0
0.075001,138.804399,-169.872531,50.945056,7.377289,-9.035409,9.523810,0.732601,10.012210,-8.547009,-0.244200,0.209402,2.671551,0
0.076042,150.830773,-161.186817,-37.582418,6.542125,-10.500611,6.593407,5.128205,10.989011,-5.616606,-4.151404,0.209402,2.671551,0
0.077083,167.868136,-110.074728,-111.745057,-6.820513,-10.012210,2.686203,8.058608,10.500611,-2.197802,-7.570208,0.209402,2.661783,0
0.078125,170.206597,-23.551649,-139.806597,-14.336996,-8.058608,-1.709402,10.500611,8.547009,2.197802,-9.523810,0.209402,2.691087,0
0.079167,155.173630,67.982419,-157.846157,-4.871795,-5.128205,-5.616606,11.477411,5.616606,5.616606,-10.500611,0.209402,2.691087,0
0.080208,86.690112,121.767036,-171.208795,7.098901,-0.244200,-8.547009,10.500611,1.221001,9.523810,-9.035409,0.697802,2.671551,0
0.081250,-5.178022,148.158245,-168.202202,10.717949,3.174603,-10.012210,7.570208,-2.686203,10.989011,-6.593407,0.697802,2.691087,0
0.082292,-96.712090,161.520883,-136.800003,-2.366300,7.081807,-10.012210,4.151404,-6.593407,10.500611,-3.663004,0.697802,2.671551,0
0.083334,-138.804399,171.208795,-49.942858,-3.758242,10.012210,-8.547009,-0.244200,-8.547009,9.035409,0.732601,0.697802,2.661783,0
0.084375,-149.828575,161.854949,37.582418,-4.593407,10.989011,-5.616606,-4.151404,-10.012210,6.593407,5.128205,0.209402,2.661783,0
0.085417,-167.534070,110.742860,112.747255,8.212454,10.989011,-2.197802,-7.570208,-10.012210,2.686203,8.547009,0.209402,2.671551,0
0.086458,-169.204399,23.885715,140.474728,14.893773,9.035409,1.709402,-9.523810,-8.058608,-1.221001,10.012210,-0.278999,2.700855,0
0.087501,-153.837366,-66.980221,158.180223,6.263736,6.105006,6.105006,-10.500611,-4.639805,-5.616606,10.989011,0.209402,2.681319,0
0.088542,-84.351650,-121.767036,172.545059,-4.871795,1.221001,9.523810,-9.523810,-0.244200,-8.058608,10.012210,0.209402,2.681319,0
