1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,166.865938,21.547253,-146.487915,-10.996337,-6.593407,-3.174603,10.989011,7.081807,4.151404,-9.523810,0.697802,2.661783,0
0.001041,128.448355,105.063739,-165.195608,13.223443,-2.686203,-7.081807,10.989011,3.663004,8.058608,-10.012210,0.209402,2.671551,0
0.002083,44.263737,143.815388,-168.870333,13.501832,1.221001,-9.035409,9.523810,-0.244200,10.500611,-8.058608,0.697802,2.788767,0
0.003124,-49.942858,156.843960,-160.518685,12.388278,5.616606,-10.012210,6.105006,-4.151404,10.989011,-4.639805,0.209402,2.661783,0
0.004167,-118.426376,171.876927,-96.712090,-9.604396,8.547009,-9.523810,2.197802,-7.081807,10.012210,-0.732601,0.209402,2.652015,0
0.005208,-143.815388,170.206597,-5.512088,-9.882784,10.500611,-7.081807,-2.197802,-9.523810,8.058608,3.174603,0.209402,2.749695,0
0.006249,-157.846157,146.487915,86.690112,-8.490842,10.989011,-4.151404,-5.616606,-10.012210,4.639805,7.081807,0.697802,2.661783,0
0.007291,-169.872531,69.986815,132.457146,7.655678,10.012210,0.244200,-8.547009,-9.035409,0.732601,9.523810,0.697802,2.652015,0
0.008333,-165.529674,-19.542858,148.158245,13.223443,7.570208,4.151404,-10.012210,-6.105006,-3.174603,10.989011,0.697802,2.671551,0
0.009374,-126.778025,-103.727475,166.531872,-10.439560,3.663004,8.058608,-10.012210,-2.686203,-6.593407,10.500611,0.697802,2.671551,0
0.010416,-41.925276,-141.810992,169.872531,-10.996337,-0.244200,10.500611,-8.547009,1.221001,-10.012210,9.035409,0.697802,2.671551,0
0.011458,50.945056,-155.841762,161.186817,-9.047619,-4.639805,10.989011,-5.128205,5.128205,-10.012210,5.616606,1.674603,2.681319,0
0.012500,120.096706,-170.874729,96.712090,11.831502,-7.570208,10.012210,-0.732601,8.547009,-9.035409,1.709402,0.697802,2.700855,0
0.013541,145.485718,-167.868136,5.178022,12.388278,-9.523810,8.058608,3.174603,10.500611,-7.081807,-1.709402,0.697802,2.652015,0
0.014583,159.182421,-145.819783,-85.353848,12.109890,-10.500611,5.128205,6.593407,10.989011,-3.663004,-6.105006,0.697802,2.671551,0
0.015625,171.542861,-68.650551,-131.789014,-5.150183,-9.035409,0.732601,9.523810,10.012210,0.244200,-8.058608,0.209402,2.700855,0
0.016666,167.200004,20.879121,-146.821981,-12.109890,-6.593407,-3.174603,10.989011,7.081807,4.151404,-9.523810,0.209402,2.671551,0
0.017708,128.114289,105.397805,-165.529674,12.388278,-2.686203,-7.081807,10.989011,3.663004,8.058608,-9.523810,0.697802,2.671551,0
0.018750,43.595605,143.481322,-169.204399,12.945055,1.221001,-9.035409,9.523810,-0.244200,10.012210,-8.058608,0.697802,2.671551,0
0.019792,-49.942858,157.512091,-160.184619,11.553114,5.616606,-10.500611,6.105006,-4.151404,10.989011,-4.639805,0.697802,2.661783,0
0.020833,-118.426376,171.876927,-96.712090,-9.604396,8.547009,-9.035409,1.709402,-7.570208,10.012210,-0.732601,0.697802,2.652015,0
0.021875,-144.483520,170.206597,-4.843956,-9.604396,10.500611,-7.081807,-1.709402,-9.523810,7.570208,3.174603,0.697802,2.661783,0
0.022916,-158.180223,146.487915,86.690112,-8.490842,11.477411,-4.151404,-5.616606,-10.012210,4.639805,7.081807,0.697802,2.661783,0
