1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,-132.457146,209.960444,-97.714288,9.326007,-1.221001,-6.593407,8.547009,1.709402,7.081807,-8.058608,-0.278999,4.097680,0
0.001042,-199.270334,174.215389,-27.894506,20.461538,2.197802,-8.547009,7.081807,-1.709402,8.547009,-5.616606,0.209402,4.136752,0
0.002083,-226.329675,128.448355,70.320881,7.377289,5.616606,-9.035409,3.663004,-4.639805,9.035409,-3.174603,0.209402,4.097680,0
0.003125,-202.945059,74.997804,158.514289,-10.161172,8.058608,-8.058608,0.732601,-7.081807,8.058608,0.244200,0.209402,4.107448,0
0.004166,-161.854949,-1.503297,217.978027,-18.234432,9.035409,-5.128205,-3.174603,-8.547009,5.616606,3.663004,0.209402,4.078144,0
0.005209,-118.092310,-102.725277,216.307697,4.036630,9.035409,-2.197802,-6.105006,-8.547009,2.686203,6.593407,0.209402,4.087912,0
0.006250,-54.953847,-180.562641,188.580224,19.347985,7.570208,1.221001,-8.058608,-7.081807,0.244200,8.547009,0.209402,4.097680,0
0.007291,30.901100,-229.670335,143.481322,18.512821,5.128205,5.128205,-9.035409,-4.639805,-4.151404,9.035409,0.209402,4.087912,0
0.008333,129.784618,-212.298906,94.373628,-4.871795,1.709402,7.081807,-8.058608,-1.221001,-6.593407,8.547009,-0.278999,4.087912,0
0.009375,197.265938,-176.553850,24.887913,-15.450549,-1.709402,9.035409,-6.105006,2.197802,-8.058608,6.593407,-0.278999,4.205128,0
0.010416,223.991214,-130.786816,-72.659342,-10.996337,-5.128205,9.035409,-3.663004,5.616606,-8.547009,3.663004,-0.278999,4.117216,0
0.011458,200.606598,-76.668134,-161.854949,16.285714,-8.058608,8.058608,-0.244200,8.058608,-7.570208,0.244200,-0.278999,4.185592,0
0.012500,159.182421,-0.835165,-220.316488,22.967033,-8.547009,5.616606,3.663004,9.035409,-4.639805,-3.174603,-0.278999,4.068376,0
0.013541,116.087915,100.720881,-218.980225,0.695971,-8.547009,2.686203,6.593407,8.547009,-2.197802,-6.105006,0.209402,4.087912,0
0.014583,51.279122,178.558246,-191.252752,-13.780220,-7.081807,-0.732601,8.058608,7.570208,1.709402,-8.058608,0.697802,4.107448,0
0.015625,-33.907693,226.997807,-145.819783,-11.831502,-4.639805,-4.151404,9.523810,4.639805,5.128205,-8.547009,0.697802,4.087912,0
0.016667,-133.459344,209.626378,-97.046156,9.604396,-1.221001,-7.081807,8.547009,1.709402,7.081807,-8.058608,0.209402,4.087912,0
0.017708,-199.270334,173.881323,-25.890110,21.296703,2.197802,-8.547009,7.081807,-1.709402,8.547009,-6.105006,0.209402,4.097680,0
0.018750,-226.329675,128.448355,69.652749,12.109890,5.616606,-8.547009,4.151404,-5.128205,9.035409,-3.174603,-4.186203,4.117216,0
0.019791,-202.945059,74.329672,158.848355,-7.377289,8.058608,-8.058608,0.732601,-7.081807,8.058608,-0.244200,-0.278999,4.117216,0
0.020834,-161.520883,-1.503297,217.978027,-18.234432,9.035409,-5.128205,-3.174603,-8.547009,5.128205,3.663004,0.209402,4.097680,0
0.021875,-118.092310,-103.059343,216.307697,5.428571,9.035409,-2.197802,-6.105006,-8.547009,2.686203,6.593407,0.209402,4.087912,0
0.022916,-53.951650,-181.230773,188.246158,19.069597,7.570208,1.221001,-8.547009,-7.081807,-0.732601,8.547009,0.209402,4.097680,0
0.023958,32.237363,-229.336269,142.813190,17.956044,5.128205,4.639805,-9.035409,-4.151404,-4.639805,9.035409,0.209402,4.087912,0
0.025000,130.452750,-211.964840,94.373628,-4.315018,1.709402,7.081807,-8.058608,-1.221001,-6.593407,8.547009,0.209402,4.078144,0
0.026041,197.265938,-176.553850,24.553847,-15.728938,-1.709402,9.035409,-6.105006,2.197802,-8.058608,6.105006,0.209402,4.097680,0
0.027083,223.657148,-130.118684,-72.993408,-5.706960,-5.128205,9.523810,-3.174603,5.128205,-8.547009,3.663004,-0.278999,4.107448,0
0.028125,200.940664,-77.002200,-160.852751,16.564103,-7.570208,8.058608,-0.244200,7.570208,-7.570208,0.244200,-0.278999,4.117216,0
0.029167,159.182421,-0.501099,-220.984620,24.637363,-8.547009,5.616606,3.663004,9.035409,-5.128205,-3.174603,-0.278999,4.126984,0
0.030208,115.419783,101.054947,-218.646159,0.695971,-9.035409,2.686203,6.593407,9.035409,-2.197802,-6.105006,0.209402,4.097680,0
0.031250,51.279122,178.558246,-190.918686,-14.336996,-7.081807,-0.732601,8.547009,7.570208,1.221001,-7.570208,0.209402,4.097680,0
0.032292,-34.909891,226.997807,-145.485718,-12.945055,-4.639805,-4.639805,9.523810,4.639805,4.639805,-8.547009,0.209402,4.097680,0
0.033333,-132.791212,209.960444,-97.046156,10.439560,-1.221001,-6.593407,8.547009,1.709402,7.081807,-8.058608,0.209402,4.087912,0
0.034375,-199.938466,173.881323,-27.226374,21.018315,2.197802,-8.058608,6.593407,-1.709402,8.547009,-6.105006,0.697802,4.087912,0
0.035416,-225.995609,128.114289,70.654947,11.553114,5.616606,-9.035409,4.151404,-5.128205,9.035409,-3.174603,0.209402,4.097680,0
0.036458,-201.942862,73.995606,159.850553,-10.161172,8.058608,-8.058608,0.732601,-7.570208,8.058608,0.244200,0.209402,4.107448,0
0.037507,-158.848355,-3.507692,218.980225,-17.677656,9.523810,-5.128205,-3.663004,-8.547009,5.616606,3.663004,0.209402,4.068376,0
0.038550,-117.424178,-106.734068,215.973631,5.150183,9.035409,-2.197802,-6.105006,-8.058608,2.197802,6.593407,0.209402,4.087912,0
0.039585,-52.949452,-181.564839,188.246158,21.018315,7.570208,1.221001,-8.058608,-7.081807,-0.732601,8.547009,-0.278999,4.107448,0
0.040634,35.243957,-229.002203,142.479124,17.120879,5.128205,5.128205,-8.547009,-4.151404,-4.639805,9.035409,-0.278999,4.136752,0
0.041675,131.789014,-211.630774,92.703299,-0.695971,1.709402,7.570208,-8.058608,-1.221001,-7.081807,8.058608,0.209402,4.097680,0
0.042714,198.602202,-175.551652,22.883517,-16.285714,-2.197802,9.035409,-6.593407,2.197802,-8.058608,6.593407,-0.278999,4.136752,0
0.043750,223.991214,-130.452750,-73.327474,-4.315018,-5.128205,9.523810,-3.174603,5.616606,-9.035409,3.663004,0.209402,4.097680,0
0.044792,200.272532,-76.668134,-162.189015,16.285714,-7.570208,8.547009,-0.244200,7.570208,-7.570208,0.244200,-0.278999,4.107448,0
0.045833,158.848355,0.167033,-220.650554,22.967033,-8.547009,5.616606,3.663004,9.035409,-4.639805,-3.663004,0.209402,4.068376,0
