1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,-146.153849,-91.701101,157.178025,26.029304,4.639805,6.593407,-10.500611,-3.663004,-6.593407,10.500611,-0.278999,2.691087,0
0.001042,-65.309892,-135.463739,171.876927,9.047619,0.244200,9.523810,-9.035409,0.244200,-8.547009,9.035409,-0.278999,2.691087,0
0.002083,27.226374,-152.167036,165.195608,-12.666667,-3.663004,10.989011,-6.105006,4.151404,-10.012210,6.593407,-1.744200,2.700855,0
0.003125,106.734068,-166.865938,115.085717,-17.120879,-7.081807,10.500611,-2.197802,7.570208,-9.523810,2.686203,-0.767399,2.720391,0
0.004167,144.483520,-170.540663,28.228572,1.531136,-9.523810,8.547009,1.709402,10.012210,-8.058608,-1.221001,-0.767399,2.681319,0
0.005208,155.173630,-156.175828,-64.641760,23.245421,-10.500611,5.616606,5.616606,10.989011,-5.128205,-5.128205,-1.255800,2.681319,0
0.006250,169.538465,-91.367035,-121.767036,11.831502,-10.012210,1.709402,8.547009,10.012210,-0.732601,-8.547009,-0.278999,2.661783,0
0.007291,167.868136,-2.505495,-147.156047,-5.150183,-7.570208,-2.686203,10.500611,7.570208,3.174603,-10.012210,-0.278999,2.681319,0
0.008334,143.147256,90.698903,-159.850553,-22.967033,-4.151404,-6.593407,10.989011,4.151404,6.593407,-10.500611,-0.278999,2.681319,0
0.009375,62.303298,133.125278,-173.213191,-5.428571,0.244200,-9.035409,10.012210,0.732601,9.523810,-9.035409,0.209402,2.681319,0
0.010416,-30.567034,150.162641,-167.200004,17.120879,4.151404,-10.012210,6.593407,-3.663004,10.500611,-5.616606,-0.278999,2.681319,0
0.011458,-108.404398,164.861542,-117.090113,20.461538,7.570208,-10.012210,2.686203,-7.081807,10.012210,-1.709402,-0.278999,2.671551,0
0.012500,-146.153849,168.202202,-30.567034,1.531136,10.500611,-8.058608,-0.732601,-9.523810,8.547009,1.709402,-1.744200,2.681319,0
0.013541,-157.178025,154.839564,62.637364,-19.347985,10.989011,-5.128205,-5.128205,-10.012210,5.128205,5.616606,-0.278999,2.671551,0
0.014583,-170.874729,88.694507,119.428574,-9.326007,10.500611,-1.221001,-8.058608,-9.523810,1.709402,9.035409,-0.278999,2.671551,0
0.015625,-169.872531,0.167033,143.815388,9.326007,8.058608,2.686203,-10.012210,-7.570208,-2.686203,10.500611,-0.278999,2.730159,0
0.016667,-145.151652,-93.037365,157.512091,27.421245,4.639805,6.593407,-10.500611,-4.151404,-6.105006,10.500611,-0.278999,2.681319,0
0.017708,-63.973628,-135.129673,171.208795,9.047619,0.732601,9.523810,-9.523810,0.244200,-9.035409,9.523810,-0.278999,2.691087,0
0.018750,28.896704,-152.167036,165.195608,-13.501832,-3.663004,10.500611,-6.593407,4.151404,-10.012210,6.105006,-0.278999,2.681319,0
0.019792,106.400002,-167.200004,113.749453,-16.564103,-7.081807,10.012210,-2.197802,7.570208,-10.012210,2.197802,-0.278999,2.671551,0
0.020833,144.149454,-170.874729,26.892308,1.809524,-9.523810,8.547009,1.709402,10.012210,-8.058608,-1.221001,0.209402,2.671551,0
0.021875,155.173630,-156.175828,-65.978023,23.802198,-10.500611,5.616606,5.616606,10.989011,-4.639805,-5.128205,2.651404,2.681319,0
0.022916,169.872531,-90.698903,-122.435168,12.945055,-9.523810,1.709402,8.547009,10.012210,-0.732601,-8.058608,-0.767399,2.730159,0
0.023958,167.868136,-1.503297,-147.824179,-5.985348,-7.570208,-2.197802,10.012210,7.570208,3.174603,-10.012210,-0.767399,2.691087,0
0.025000,143.147256,91.367035,-159.850553,-23.523810,-4.151404,-6.105006,10.989011,4.151404,6.593407,-10.012210,-0.767399,2.700855,0
0.026041,61.301100,133.459344,-173.547257,-5.428571,0.244200,-9.035409,10.012210,0.244200,9.523810,-8.547009,-0.278999,2.691087,0
0.027083,-30.901100,150.496707,-167.200004,17.120879,4.151404,-10.500611,6.593407,-3.663004,10.500611,-5.616606,-0.278999,2.681319,0
0.028125,-108.738464,165.529674,-115.753849,20.183150,7.570208,-10.012210,2.686203,-7.081807,10.500611,-2.197802,-0.278999,2.671551,0
0.029166,-145.819783,168.870333,-28.562638,0.417582,10.012210,-8.547009,-1.221001,-9.523810,8.058608,1.709402,0.209402,2.671551,0
0.030208,-157.846157,153.503300,63.973628,-19.347985,10.989011,-5.128205,-4.639805,-10.012210,5.128205,5.616606,-0.278999,2.661783,0
0.031250,-171.208795,87.692310,120.430772,-10.161172,10.012210,-1.221001,-8.058608,-9.523810,1.221001,8.547009,-0.278999,2.661783,0
0.032292,-170.206597,-0.835165,144.483520,10.161172,8.058608,3.174603,-10.012210,-7.081807,-2.686203,10.500611,-0.278999,2.700855,0
0.033333,-144.483520,-93.371431,157.178025,27.142857,4.639805,7.081807,-10.012210,-3.663004,-6.593407,10.500611,-0.767399,2.720391,0
0.034375,-62.637364,-135.797805,170.540663,9.604396,-0.732601,9.523810,-9.035409,0.244200,-9.035409,9.523810,-0.767399,2.700855,0
0.035416,29.564836,-152.501102,165.195608,-13.501832,-3.663004,10.500611,-6.105006,4.151404,-10.012210,6.105006,0.697802,2.700855,0
0.036459,107.068134,-167.200004,113.749453,-17.120879,-7.081807,10.500611,-2.197802,7.570208,-10.012210,2.197802,-0.278999,2.671551,0
0.037500,144.149454,-170.874729,25.556045,2.087912,-9.523810,8.547009,1.709402,9.523810,-8.058608,-1.709402,-0.278999,2.661783,0
0.038542,155.841762,-155.841762,-66.646155,23.523810,-10.500611,5.616606,5.616606,10.989011,-5.128205,-5.616606,-0.278999,2.661783,0
0.039583,169.538465,-89.696705,-122.435168,12.945055,-9.523810,1.221001,8.547009,10.012210,-1.221001,-8.547009,-0.278999,2.661783,0
0.040625,167.200004,-2.505495,-147.490113,2.366300,-7.570208,-2.197802,10.500611,7.570208,3.174603,-10.012210,-0.278999,2.671551,0
0.041666,142.145058,92.035167,-162.189015,-23.245421,-4.151404,-6.105006,10.989011,4.151404,7.081807,-10.012210,-0.278999,2.681319,0
0.042708,61.301100,133.793410,-173.547257,-4.871795,0.244200,-9.035409,9.523810,0.244200,10.012210,-9.035409,-0.278999,2.720391,0
0.043750,-31.903297,150.496707,-167.200004,18.234432,4.639805,-10.012210,6.593407,-3.174603,10.500611,-5.616606,-0.278999,2.691087,0
0.044791,-108.738464,165.529674,-115.419783,19.626374,8.058608,-10.012210,2.686203,-7.081807,10.012210,-1.709402,-0.767399,2.681319,0
0.045833,-146.153849,168.870333,-27.560440,1.252747,10.012210,-8.058608,-1.221001,-9.523810,8.547009,1.709402,-0.767399,2.720391,0
0.046875,-157.512091,153.503300,64.975826,-22.688645,10.989011,-5.128205,-5.616606,-10.012210,5.128205,6.105006,-0.278999,2.652015,0
0.047917,-171.542861,87.358244,120.430772,-9.326007,10.012210,-1.221001,-8.547009,-9.523810,1.221001,8.547009,-0.278999,2.661783,0
0.048958,-169.204399,-1.503297,145.151652,9.604396,8.058608,2.686203,-10.012210,-7.081807,-2.686203,10.012210,0.209402,2.671551,0
0.050000,-144.483520,-94.373628,157.512091,27.142857,4.639805,6.593407,-10.500611,-3.663004,-6.593407,10.500611,-0.278999,2.681319,0
0.051041,-62.303298,-136.131871,171.208795,8.769231,0.244200,9.523810,-9.035409,0.244200,-8.547009,9.035409,-0.278999,2.691087,0
0.052083,29.898902,-152.835168,164.527476,-12.945055,-3.663004,10.989011,-6.105006,4.151404,-10.012210,6.105006,-0.767399,2.691087,0
