1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,146.821981,-170.540663,-0.501099,9.047619,-10.012210,7.570208,2.686203,10.012210,-7.081807,-2.197802,-0.278999,2.661783,0
0.001043,159.182421,-144.483520,-94.707694,27.978022,-10.500611,4.151404,6.593407,10.500611,-3.663004,-6.105006,-0.278999,2.652015,0
0.002082,170.874729,-66.312089,-136.465937,10.439560,-9.523810,0.244200,9.523810,9.035409,0.244200,-9.035409,-0.278999,2.652015,0
0.003122,164.861542,25.556045,-152.167036,-13.501832,-6.593407,-3.663004,10.989011,6.593407,4.151404,-10.012210,-0.278999,2.661783,0
0.004164,121.098904,105.063739,-167.868136,-17.399267,-2.686203,-7.081807,10.500611,3.174603,7.570208,-9.523810,-0.278999,2.671551,0
0.005208,34.909891,144.817586,-172.545059,0.417582,1.221001,-9.523810,9.035409,-0.732601,10.012210,-8.058608,-0.278999,2.681319,0
0.006247,-58.628573,158.180223,-160.518685,22.131868,5.616606,-10.500611,5.616606,-5.128205,10.989011,-4.639805,-0.278999,2.661783,0
0.007289,-121.432970,170.206597,-94.039563,14.893773,8.547009,-9.523810,1.709402,-8.058608,9.523810,-0.732601,-0.278999,2.661783,0
0.008331,-148.492311,169.204399,-1.837363,-4.036630,10.500611,-7.570208,-2.197802,-9.523810,7.570208,2.686203,-0.278999,2.652015,0
0.009373,-160.852751,143.147256,91.701101,-23.523810,10.989011,-3.663004,-6.593407,-10.500611,4.151404,6.593407,-0.278999,2.661783,0
0.010414,-172.545059,64.307694,133.793410,-7.098901,10.012210,-0.244200,-9.035409,-9.035409,1.221001,9.523810,-0.278999,2.661783,0
0.011456,-167.534070,-27.560440,149.828575,16.285714,7.081807,4.151404,-10.012210,-6.105006,-3.663004,10.500611,-0.278999,2.661783,0
0.012497,-121.098904,-107.402200,164.527476,20.183150,3.174603,7.570208,-10.012210,-2.686203,-7.570208,10.012210,-0.278999,2.671551,0
0.013542,-37.248352,-147.490113,170.540663,2.923077,-0.732601,10.012210,-8.058608,1.221001,-9.523810,8.547009,-0.278999,2.691087,0
0.014584,57.292309,-160.184619,157.178025,-18.512821,-5.128205,10.989011,-5.128205,5.616606,-10.012210,5.128205,-0.278999,2.661783,0
0.015622,119.428574,-171.876927,91.032969,-10.161172,-8.058608,10.012210,-1.221001,8.547009,-9.035409,1.221001,-0.278999,2.661783,0
0.016664,146.821981,-170.540663,-0.835165,10.439560,-10.012210,8.058608,2.686203,10.500611,-7.081807,-2.686203,-0.767399,2.671551,0
0.017706,159.182421,-144.817586,-94.039563,27.142857,-10.500611,4.639805,6.593407,10.500611,-3.663004,-6.105006,-0.767399,2.681319,0
