1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,125.107695,95.375826,-164.861542,-13.223443,-1.221001,-6.593407,9.035409,2.197802,6.593407,-7.570208,-0.767399,2.144078,0
0.001042,45.265935,139.138465,-170.206597,-3.201465,2.197802,-8.058608,7.081807,-1.221001,8.547009,-6.105006,-0.278999,2.192918,0
0.002084,-44.263737,156.509894,-157.178025,16.285714,5.128205,-8.547009,4.151404,-4.639805,8.547009,-3.174603,-0.278999,2.124542,0
0.003125,-112.747255,168.202202,-97.714288,14.893773,7.570208,-7.570208,0.732601,-7.081807,7.570208,-0.244200,-0.278999,2.105006,0
0.004167,-144.817586,166.865938,-12.193407,-2.644689,8.547009,-5.616606,-2.686203,-8.058608,5.616606,3.663004,-0.278999,2.114774,0
0.005208,-161.520883,140.808794,77.002200,-18.234432,8.547009,-2.686203,-5.616606,-8.058608,2.686203,6.105006,-0.278999,2.114774,0
0.006250,-170.540663,70.654947,126.109893,-7.098901,7.570208,1.221001,-7.570208,-6.593407,-0.244200,8.058608,-0.278999,2.124542,0
0.007292,-164.527476,-15.534066,147.156047,11.274725,5.128205,4.151404,-8.058608,-4.151404,-3.663004,9.035409,-0.278999,2.124542,0
0.008334,-126.109893,-97.714288,162.523081,20.461538,2.197802,7.081807,-8.058608,-1.221001,-6.593407,8.547009,-2.721001,2.144078,0
0.009375,-46.602199,-140.808794,168.536267,7.377289,-1.221001,8.547009,-6.593407,2.197802,-8.058608,6.593407,-0.767399,2.153846,0
0.010417,43.595605,-158.514289,154.839564,-9.604396,-4.639805,9.035409,-3.174603,5.128205,-8.058608,3.663004,-0.767399,2.134310,0
0.011459,111.410991,-169.872531,95.375826,-10.996337,-7.081807,8.058608,0.244200,7.570208,-7.081807,0.244200,-0.767399,2.114774,0
0.012500,143.481322,-168.202202,9.854945,5.428571,-8.547009,6.105006,3.174603,8.547009,-5.128205,-2.686203,-0.278999,2.114774,0
0.013542,160.518685,-142.813190,-79.006595,20.739927,-8.547009,3.174603,5.616606,8.547009,-2.197802,-5.616606,-0.767399,2.134310,0
0.014584,169.204399,-71.991210,-127.780223,9.604396,-6.593407,-0.244200,8.058608,7.081807,0.732601,-7.570208,-0.278999,2.114774,0
0.015625,161.520883,14.531868,-149.494509,-9.047619,-4.639805,-3.663004,9.035409,5.128205,4.151404,-8.058608,-0.278999,2.124542,0
0.016667,123.771431,95.709892,-165.195608,-16.007326,-1.709402,-6.593407,8.547009,1.709402,7.081807,-7.570208,0.209402,2.124542,0
0.017708,44.597803,139.138465,-169.872531,-2.923077,1.709402,-8.058608,6.593407,-1.221001,8.547009,-6.105006,-0.278999,2.144078,0
0.018750,-45.600001,156.175828,-156.843960,16.842491,5.128205,-8.058608,4.151404,-4.639805,8.547009,-2.686203,-0.767399,2.144078,0
0.019792,-113.081321,168.536267,-97.046156,9.882784,7.570208,-7.081807,1.221001,-7.081807,7.570208,0.244200,-0.767399,2.114774,0
0.020833,-145.151652,166.531872,-11.191209,-2.644689,8.547009,-5.616606,-2.686203,-8.058608,5.616606,3.174603,-0.278999,2.153846,0
0.021875,-161.854949,140.808794,77.670331,-16.285714,8.547009,-2.686203,-6.105006,-8.058608,2.686203,6.105006,-0.278999,2.114774,0
0.022917,-170.540663,69.652749,126.443959,-7.098901,7.570208,1.221001,-7.570208,-7.081807,-0.244200,7.570208,-0.278999,2.124542,0
0.023958,-163.859344,-16.202198,147.824179,11.831502,5.128205,4.151404,-8.547009,-4.151404,-3.663004,8.547009,-0.278999,2.124542,0
0.025000,-124.773629,-97.714288,163.191212,19.347985,1.709402,7.081807,-8.058608,-1.221001,-6.593407,8.058608,-0.278999,2.124542,0
0.026042,-45.934067,-141.142860,167.868136,5.985348,-1.221001,8.547009,-6.105006,2.197802,-8.058608,6.593407,-0.767399,2.134310,0
0.027084,43.929671,-158.514289,154.171432,-13.223443,-4.639805,8.547009,-3.663004,5.128205,-8.058608,3.663004,-0.278999,2.124542,0
0.028125,110.742860,-170.540663,94.373628,-10.996337,-7.081807,8.058608,0.244200,7.570208,-7.081807,0.244200,-1.255800,2.124542,0
0.029167,143.481322,-168.202202,8.518682,4.315018,-8.058608,5.616606,3.174603,8.547009,-5.128205,-2.686203,-0.767399,2.134310,0
0.030209,160.184619,-142.145058,-80.342859,23.802198,-8.547009,3.174603,6.105006,8.547009,-2.197802,-5.616606,-0.767399,2.134310,0
0.031250,169.204399,-70.989013,-128.448355,8.490842,-7.081807,-0.244200,8.058608,7.081807,1.221001,-7.570208,-0.767399,2.114774,0
0.032292,162.189015,15.534066,-149.828575,-8.769231,-4.639805,-3.663004,8.547009,5.128205,4.151404,-8.058608,-0.278999,2.124542,0
0.033333,123.103299,96.378024,-165.195608,-15.172161,-1.709402,-6.105006,8.547009,1.709402,7.081807,-7.570208,-0.278999,2.134310,0
