1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,114.751651,119.762640,-194.259345,-14.893773,-7.081807,-1.709402,9.035409,7.081807,2.197802,-8.547009,-0.278999,3.511600,0
0.001042,49.942858,190.918686,-166.531872,-22.967033,-4.151404,-5.616606,10.012210,4.151404,6.105006,-9.035409,-0.278999,3.521368,0
0.002083,-59.964837,200.606598,-146.821981,5.428571,-0.244200,-8.058608,8.547009,0.732601,8.058608,-7.570208,-0.278999,3.550672,0
0.003125,-148.826377,183.903301,-96.378024,24.637363,3.174603,-9.035409,6.105006,-3.174603,9.035409,-5.616606,-0.278999,3.492063,0
0.004167,-196.263741,159.850553,-10.523077,17.399267,6.593407,-9.035409,2.686203,-6.105006,9.035409,-2.197802,0.209402,3.482295,0
0.005208,-199.938466,130.786816,93.705497,-7.655678,9.035409,-7.570208,-0.732601,-8.547009,8.058608,1.221001,0.209402,3.501832,0
0.006250,-175.885718,74.329672,173.881323,-24.358974,10.012210,-5.128205,-3.663004,-9.035409,5.128205,4.639805,0.209402,3.492063,0
0.007292,-155.841762,-24.887913,197.265938,-3.201465,9.523810,-1.221001,-7.081807,-8.547009,1.709402,7.570208,0.209402,3.482295,0
0.008334,-117.424178,-122.435168,191.252752,17.677656,7.570208,2.197802,-8.547009,-6.593407,-1.709402,9.035409,-0.278999,3.521368,0
0.009375,-51.947254,-193.257147,163.525278,28.813187,4.151404,5.616606,-9.523810,-3.663004,-5.128205,9.523810,-0.767399,3.511600,0
0.010416,57.626375,-202.610994,142.813190,1.252747,1.221001,8.547009,-8.058608,-0.244200,-7.570208,8.547009,-0.278999,3.492063,0
0.011458,147.490113,-185.907696,93.371431,-18.234432,-2.686203,8.058608,-6.105006,3.174603,-9.035409,5.616606,0.209402,3.501832,0
0.012500,194.259345,-161.854949,7.516484,-13.223443,-6.593407,9.523810,-2.686203,6.593407,-9.035409,2.686203,0.209402,3.482295,0
0.013542,198.268136,-132.791212,-96.378024,11.553114,-8.547009,8.058608,0.732601,8.547009,-7.570208,-0.732601,-0.278999,3.492063,0
0.014583,173.547257,-76.334068,-176.219784,28.813187,-9.035409,5.128205,4.639805,9.523810,-4.639805,-3.663004,0.209402,3.482295,0
