1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,-171.876927,74.329672,175.551652,-1.531136,10.012210,-4.639805,-3.663004,-9.035409,5.616606,5.128205,0.697802,3.560440,0
0.001042,-153.837366,-24.887913,198.936268,12.388278,9.523810,-0.732601,-7.081807,-8.547009,1.709402,8.058608,0.697802,3.472527,0
0.002083,-115.085717,-122.769234,193.925279,8.490842,7.570208,2.686203,-8.547009,-6.105006,-1.709402,9.523810,0.697802,3.511600,0
0.003126,-46.268133,-191.252752,164.861542,-8.769231,4.639805,6.105006,-9.523810,-3.174603,-5.128205,10.012210,0.697802,3.452991,0
0.004167,62.303298,-201.942862,144.483520,-4.593407,0.732601,9.035409,-8.058608,0.244200,-7.570208,8.547009,0.697802,3.462759,0
0.005209,152.835168,-182.232971,91.032969,-5.150183,-2.197802,9.523810,-5.128205,3.663004,-8.547009,6.105006,0.697802,3.452991,0
0.006250,195.261543,-158.848355,7.850550,9.047619,-6.105006,10.012210,-2.197802,7.081807,-8.547009,3.174603,0.697802,3.452991,0
0.007292,199.938466,-130.452750,-98.382420,14.058608,-8.058608,8.547009,1.221001,9.035409,-7.081807,-0.244200,0.697802,3.482295,0
0.008333,173.213191,-72.659342,-174.215389,3.758242,-9.035409,5.616606,5.128205,10.012210,-4.151404,-4.151404,1.186203,3.462759,0
0.009375,153.837366,26.892308,-198.602202,-9.047619,-8.547009,1.709402,8.547009,9.523810,-0.732601,-7.081807,1.186203,3.482295,0
0.010417,116.421981,124.105497,-192.589015,-4.871795,-6.105006,-1.709402,10.012210,7.081807,2.686203,-8.058608,1.186203,3.482295,0
0.011459,47.604397,192.589015,-163.525278,11.553114,-3.174603,-5.128205,10.012210,4.639805,6.593407,-9.035409,0.697802,3.482295,0
0.012500,-61.301100,203.279125,-143.147256,6.820513,0.244200,-7.570208,9.035409,0.732601,8.547009,-7.081807,1.186203,3.472527,0
0.013542,-151.832970,183.903301,-89.696705,7.098901,3.663004,-8.547009,6.593407,-2.197802,9.523810,-5.128205,0.697802,3.521368,0
0.014584,-193.591213,159.850553,-5.846154,-6.542125,7.081807,-8.547009,3.174603,-6.105006,9.523810,-1.709402,0.697802,3.452991,0
0.015625,-198.268136,131.120882,100.052749,-11.831502,9.523810,-7.081807,-0.732601,-8.058608,8.058608,1.221001,1.186203,3.482295,0
