1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,32.905495,-157.512091,159.182421,-12.109890,-4.639805,8.547009,-3.663004,4.639805,-8.058608,3.663004,-0.278999,2.124542,0
0.001042,107.068134,-170.206597,105.397805,-13.223443,-6.593407,8.058608,-0.732601,7.081807,-7.081807,0.732601,-0.767399,2.105006,0
0.002083,144.149454,-169.872531,20.879121,2.923077,-8.058608,6.105006,2.197802,8.547009,-5.616606,-2.197802,-0.278999,2.114774,0
0.003126,160.518685,-147.824179,-69.986815,19.069597,-8.547009,3.174603,5.616606,8.547009,-2.686203,-5.616606,-0.767399,2.105006,0
0.004166,170.540663,-81.345057,-123.771431,11.553114,-7.081807,0.244200,7.570208,7.570208,0.732601,-7.081807,-0.767399,2.114774,0
0.005208,164.193410,2.505495,-150.162641,-5.706960,-5.128205,-3.174603,9.035409,5.128205,4.151404,-8.547009,-0.278999,2.124542,0
0.006250,133.459344,91.367035,-163.859344,-19.347985,-1.709402,-6.105006,8.547009,2.197802,6.593407,-8.058608,-0.278999,2.124542,0
0.007291,53.283518,135.797805,-173.213191,-4.871795,1.221001,-8.058608,7.081807,-0.732601,8.058608,-6.105006,-0.767399,2.212454,0
0.008333,-35.243957,156.175828,-160.518685,16.007326,4.639805,-8.058608,4.151404,-4.151404,8.547009,-3.663004,-0.767399,2.134310,0
0.009376,-108.738464,169.204399,-107.068134,16.842491,7.081807,-7.570208,0.732601,-6.105006,8.058608,-0.244200,-0.278999,2.163614,0
0.010417,-145.485718,168.202202,-21.547253,0.417582,8.547009,-5.616606,-2.197802,-7.570208,6.105006,3.174603,-0.278999,2.134310,0
0.011458,-162.189015,146.153849,68.316485,-15.728938,8.547009,-2.686203,-5.616606,-8.058608,3.174603,5.616606,-0.278999,2.105006,0
0.012500,-172.545059,79.340661,122.101102,-8.212454,7.570208,0.732601,-7.081807,-7.081807,-0.244200,7.570208,-0.278999,2.105006,0
0.013542,-165.863740,-4.843956,148.826377,7.655678,5.616606,3.663004,-8.058608,-4.639805,-3.174603,8.547009,-0.278999,2.114774,0
0.014583,-135.797805,-93.705497,161.854949,22.967033,2.686203,6.593407,-8.058608,-1.709402,-6.105006,8.058608,-0.278999,2.114774,0
0.015625,-55.287913,-138.136267,169.872531,8.212454,-1.221001,8.547009,-6.593407,1.709402,-7.570208,6.593407,-0.278999,2.134310,0
0.016666,33.573627,-157.846157,159.182421,-10.439560,-4.151404,8.547009,-4.151404,5.128205,-8.058608,3.663004,-0.278999,2.124542,0
0.017709,107.402200,-170.206597,105.397805,-10.717949,-6.593407,7.570208,-0.244200,7.081807,-7.081807,0.732601,-0.767399,2.114774,0
0.018750,144.149454,-170.206597,20.210989,2.923077,-7.570208,6.105006,2.686203,8.547009,-5.128205,-2.686203,0.697802,2.134310,0
0.019792,160.852751,-147.824179,-70.654947,17.120879,-8.547009,2.686203,5.616606,8.547009,-2.686203,-5.128205,-0.767399,2.056166,0
0.020833,171.208795,-80.676925,-124.439563,12.666667,-7.081807,-0.244200,7.570208,7.081807,0.732601,-7.081807,-0.278999,2.105006,0
0.021875,163.859344,3.841758,-150.496707,-5.706960,-5.128205,-3.663004,8.547009,5.128205,4.151404,-8.058608,-0.278999,2.124542,0
0.022916,133.459344,92.369233,-163.859344,-19.904762,-1.709402,-6.105006,8.547009,1.709402,6.593407,-7.570208,-0.278999,2.114774,0
0.023958,52.615386,136.465937,-172.210993,-4.871795,1.709402,-8.058608,7.081807,-0.732601,8.058608,-6.105006,-0.278999,2.114774,0
0.025000,-35.912089,156.175828,-160.518685,14.058608,4.639805,-8.058608,4.151404,-4.151404,8.547009,-3.174603,-0.278999,2.114774,0
0.026041,-109.072530,168.536267,-107.402200,16.007326,7.081807,-7.081807,1.221001,-6.593407,8.058608,-0.244200,-0.278999,2.105006,0
0.027083,-145.819783,168.202202,-21.547253,-0.974359,8.547009,-5.616606,-2.197802,-8.058608,5.616606,3.174603,-0.278999,2.114774,0
