1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,-148.826377,-18.874726,228.668137,8.769231,10.012210,-4.151404,-3.663004,-8.547009,5.128205,5.128205,1.674603,4.058608,0
0.001046,-104.061541,-122.101102,212.967038,5.706960,9.523810,-1.221001,-6.105006,-7.570208,2.686203,7.570208,1.674603,4.058608,0
0.002089,-36.580221,-191.920883,181.898905,3.758242,7.570208,2.686203,-8.058608,-5.616606,-1.221001,9.035409,1.674603,4.068376,0
0.003130,60.967034,-226.663741,137.468135,-7.655678,4.639805,6.105006,-8.058608,-3.174603,-4.151404,9.523810,1.186203,4.058608,0
0.004167,151.832970,-202.945059,81.679123,-7.377289,1.709402,8.058608,-7.570208,-0.244200,-6.593407,8.547009,2.163004,4.097680,0
0.005208,211.964840,-163.859344,11.191209,-1.809524,-1.709402,9.523810,-5.128205,3.174603,-8.058608,6.593407,1.186203,4.068376,0
0.006250,223.323082,-121.767036,-93.037365,16.007326,-5.128205,9.523810,-2.197802,6.593407,-8.058608,3.663004,1.186203,4.146520,0
0.007292,194.927477,-61.635166,-170.206597,3.479853,-7.081807,8.547009,1.221001,8.547009,-6.593407,0.244200,1.186203,4.087912,0
0.008333,151.832970,20.879121,-226.329675,-5.706960,-8.547009,5.616606,5.128205,9.523810,-3.663004,-3.174603,1.186203,4.058608,0
0.009376,108.404398,122.769234,-210.628576,-3.479853,-8.058608,2.686203,7.570208,9.035409,-0.732601,-6.105006,1.674603,4.048840,0
0.010417,39.586814,193.591213,-180.562641,-0.695971,-6.105006,-1.221001,9.523810,8.058608,2.686203,-7.570208,1.674603,4.068376,0
0.011468,-59.296705,228.000005,-135.129673,10.717949,-3.174603,-4.639805,9.523810,4.639805,5.616606,-8.058608,1.674603,4.068376,0
0.012502,-149.828575,205.951653,-80.342859,10.717949,-0.244200,-6.593407,9.035409,1.709402,8.058608,-7.081807,1.674603,4.087912,0
0.013547,-210.294510,165.529674,-8.852747,4.593407,3.663004,-8.058608,6.593407,-1.709402,9.035409,-5.128205,1.674603,4.058608,0
0.014590,-220.984620,123.771431,95.041760,-10.996337,6.593407,-8.058608,3.663004,-4.639805,9.523810,-2.197802,2.163004,4.078144,0
0.015633,-191.920883,63.305496,172.210993,-0.417582,8.547009,-7.081807,0.244200,-7.081807,8.058608,1.221001,1.674603,4.166056,0
0.016670,-149.160443,-19.542858,228.668137,8.490842,10.012210,-3.663004,-4.151404,-8.058608,5.128205,5.128205,1.186203,4.068376,0
0.017709,-106.065936,-120.764838,212.967038,6.820513,9.523810,-1.221001,-6.105006,-7.570208,2.686203,7.570208,1.674603,4.058608,0
0.018750,-37.248352,-190.918686,182.567037,3.758242,7.570208,2.686203,-8.058608,-6.593407,-1.221001,9.035409,1.186203,4.078144,0
0.019791,58.294507,-225.661543,138.470333,-9.047619,4.639805,5.616606,-8.547009,-3.174603,-4.151404,9.523810,1.186203,4.058608,0
0.020833,151.164839,-203.279125,83.015386,-7.377289,1.709402,8.058608,-7.570208,-0.244200,-6.593407,8.547009,1.674603,4.078144,0
0.021876,210.962642,-163.859344,11.191209,-2.087912,-2.197802,9.523810,-5.128205,3.174603,-7.570208,6.105006,1.674603,4.058608,0
0.022916,222.989016,-122.101102,-92.703299,15.728938,-5.128205,9.523810,-2.197802,6.105006,-8.058608,3.663004,1.186203,4.078144,0
0.023959,194.593411,-61.969232,-169.872531,4.315018,-7.570208,8.547009,0.732601,8.547009,-6.593407,0.244200,0.209402,4.087912,0
0.025000,152.167036,19.876924,-226.997807,-4.871795,-8.547009,5.616606,5.128205,10.012210,-4.151404,-3.663004,1.186203,3.941392,0
0.026042,108.738464,122.435168,-210.628576,-2.366300,-8.058608,2.686203,7.570208,9.035409,-1.221001,-6.105006,1.186203,4.058608,0
0.027083,40.254946,192.923081,-180.896707,-1.809524,-6.105006,-1.221001,9.035409,7.570208,2.686203,-7.570208,1.674603,4.078144,0
0.028125,-55.956045,228.000005,-136.465937,12.388278,-3.174603,-4.639805,10.012210,4.639805,5.616606,-8.058608,1.674603,4.068376,0
0.029167,-148.826377,205.951653,-81.345057,10.717949,-0.244200,-7.081807,9.035409,1.709402,8.058608,-7.081807,1.674603,4.068376,0
0.030208,-208.958246,166.531872,-10.523077,5.150183,3.174603,-8.058608,6.105006,-2.197802,9.035409,-5.128205,1.674603,4.068376,0
0.031250,-220.984620,124.439563,93.037365,-11.831502,6.593407,-8.058608,3.663004,-4.639805,9.523810,-2.197802,1.674603,4.087912,0
0.032292,-192.589015,64.307694,171.542861,-0.695971,8.547009,-6.593407,0.244200,-7.081807,8.058608,0.732601,1.674603,4.078144,0
0.033334,-150.496707,-16.870330,227.331873,8.212454,10.012210,-4.151404,-3.663004,-8.058608,5.616606,5.128205,1.674603,4.058608,0
0.034375,-107.068134,-120.096706,213.301104,8.490842,9.523810,-0.732601,-6.105006,-8.058608,2.197802,7.081807,1.674603,4.058608,0
0.035417,-37.916484,-190.918686,183.569235,5.150183,7.570208,2.686203,-8.058608,-6.105006,-1.221001,9.035409,1.186203,4.078144,0
0.036458,57.626375,-225.661543,138.470333,-9.604396,5.128205,5.616606,-8.547009,-3.174603,-4.151404,9.523810,1.674603,4.068376,0
0.037500,150.496707,-203.279125,83.349452,-7.098901,1.709402,8.058608,-7.570208,-0.244200,-6.593407,8.547009,1.186203,4.068376,0
0.038542,210.962642,-164.527476,12.527473,-2.644689,-1.709402,9.523810,-5.616606,3.174603,-8.058608,6.593407,1.674603,4.068376,0
0.039583,223.991214,-122.769234,-91.032969,15.450549,-5.128205,9.523810,-2.197802,6.105006,-8.058608,3.663004,1.186203,4.078144,0
0.040625,195.261543,-62.303298,-169.538465,3.758242,-7.081807,8.547009,1.221001,8.547009,-6.593407,0.244200,1.674603,4.087912,0
0.041667,152.835168,19.208792,-225.995609,-5.428571,-8.547009,5.616606,5.128205,9.523810,-4.151404,-3.663004,1.674603,4.058608,0
0.042708,109.406596,121.767036,-210.628576,-4.315018,-7.570208,2.686203,7.570208,9.035409,-0.732601,-6.593407,1.674603,4.048840,0
0.043750,40.254946,192.589015,-181.898905,-0.974359,-6.105006,-0.732601,9.523810,7.570208,2.686203,-7.570208,1.674603,4.068376,0
0.044792,-54.953847,228.000005,-137.134069,12.388278,-3.174603,-4.639805,10.012210,4.639805,5.616606,-8.058608,-2.232601,4.087912,0
0.045834,-148.492311,206.285719,-81.010991,11.553114,-0.244200,-6.593407,9.035409,1.709402,8.058608,-7.081807,1.674603,4.068376,0
0.046875,-207.956049,166.865938,-10.857143,5.428571,3.663004,-8.058608,6.593407,-1.709402,9.523810,-4.639805,1.674603,4.068376,0
0.047917,-221.652752,125.107695,92.703299,-11.831502,6.593407,-8.058608,3.663004,-4.639805,9.523810,-2.197802,1.674603,4.117216,0
0.048959,-192.923081,64.975826,171.208795,-1.252747,8.547009,-7.081807,0.732601,-7.081807,8.058608,1.709402,1.674603,4.087912,0
0.050000,-150.496707,-16.202198,228.000005,7.377289,9.523810,-4.151404,-3.663004,-8.058608,6.593407,4.639805,1.186203,4.058608,0
0.051042,-107.736266,-119.094508,213.301104,8.212454,9.523810,-1.221001,-6.105006,-7.570208,2.686203,7.081807,1.186203,4.058608,0
0.052090,-37.582418,-190.918686,182.901103,4.036630,7.570208,2.686203,-7.570208,-6.105006,-0.732601,8.547009,1.674603,4.078144,0
0.053131,58.962639,-225.661543,138.470333,-9.047619,5.128205,6.105006,-8.058608,-3.174603,-4.151404,9.523810,1.186203,4.068376,0
