1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,-164.193410,20.879121,171.876927,-7.377289,7.570208,-0.244200,-7.081807,-7.081807,0.732601,7.081807,-0.278999,2.720391,0
0.001042,-139.138465,-79.674727,181.898905,13.780220,6.105006,2.686203,-8.058608,-5.128205,-2.197802,8.547009,-0.278999,2.730159,0
0.002083,-87.024178,-161.520883,166.197806,28.534799,3.174603,6.105006,-8.058608,-2.197802,-5.616606,8.058608,-0.278999,2.720391,0
0.003125,9.186813,-181.898905,158.848355,5.428571,-0.244200,8.058608,-6.593407,0.732601,-7.570208,7.081807,-0.278999,2.720391,0
0.004166,106.065936,-180.562641,123.103299,-16.564103,-3.174603,8.058608,-4.151404,3.663004,-7.570208,4.639805,-0.278999,2.710623,0
0.005208,167.200004,-168.202202,47.604397,-15.172161,-6.105006,8.058608,-1.221001,6.593407,-7.081807,1.709402,-0.278999,2.700855,0
0.006250,184.905499,-149.160443,-50.945056,7.377289,-7.570208,6.593407,2.197802,8.058608,-5.616606,-1.709402,0.209402,2.720391,0
0.007292,173.881323,-110.074728,-138.470333,25.472527,-7.570208,4.151404,5.128205,8.058608,-3.174603,-4.151404,-0.767399,2.778999,0
0.008333,162.189015,-21.881319,-173.547257,9.882784,-7.081807,0.732601,7.081807,7.570208,-0.244200,-7.081807,-0.767399,2.730159,0
0.009375,137.468135,78.004397,-184.571433,-9.882784,-5.616606,-2.686203,8.547009,5.616606,3.174603,-8.058608,-0.767399,2.759463,0
0.010417,85.019782,159.516487,-168.202202,-19.069597,-2.686203,-5.128205,8.058608,2.686203,6.105006,-7.570208,0.209402,2.720391,0
0.011459,-10.857143,180.228575,-161.186817,-1.809524,0.732601,-7.570208,7.081807,-0.244200,7.570208,-6.593407,-0.278999,2.720391,0
0.012500,-107.736266,179.226378,-125.107695,20.183150,3.663004,-8.058608,4.151404,-3.174603,8.058608,-4.151404,0.209402,2.710623,0
0.013541,-168.870333,165.529674,-49.608792,19.347985,6.593407,-7.570208,1.709402,-5.616606,7.570208,-1.221001,-0.278999,2.700855,0
0.014583,-186.909894,147.156047,48.606594,-2.644689,8.058608,-6.105006,-1.221001,-7.570208,6.593407,1.709402,0.209402,2.710623,0
