1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,-51.613188,-140.140662,168.870333,9.326007,-0.244200,9.523810,-9.035409,0.732601,-9.523810,9.035409,-0.767399,2.700855,0
0.001041,40.254946,-154.505498,161.186817,-14.615385,-4.639805,10.500611,-6.105006,4.639805,-10.500611,6.105006,-0.278999,2.691087,0
0.002083,111.076926,-167.534070,103.727475,-14.893773,-7.570208,10.012210,-1.709402,8.058608,-10.012210,2.197802,-0.278999,2.681319,0
0.003124,142.479124,-170.540663,13.195605,6.263736,-10.012210,8.058608,1.709402,10.012210,-7.570208,-2.197802,-0.278999,2.681319,0
0.004166,156.175828,-150.162641,-76.668134,24.080586,-10.500611,5.128205,6.105006,10.500611,-4.151404,-6.593407,-0.767399,2.681319,0
0.005208,169.538465,-81.010991,-126.778025,11.831502,-9.523810,1.221001,9.035409,9.523810,-0.732601,-8.547009,-0.278999,2.681319,0
0.006249,165.529674,8.852747,-147.156047,-9.047619,-7.081807,-3.174603,10.500611,7.081807,3.663004,-10.012210,-0.767399,2.749695,0
0.007291,133.125278,99.050552,-161.854949,-17.677656,-3.663004,-7.081807,10.500611,3.663004,7.081807,-10.500611,-0.278999,2.691087,0
0.008333,50.276924,138.470333,-171.208795,-3.758242,0.244200,-9.523810,9.523810,-0.244200,9.523810,-9.035409,-0.278999,2.700855,0
0.009374,-41.257144,152.167036,-163.525278,19.904762,4.639805,-10.500611,6.105006,-4.151404,10.500611,-5.616606,-0.278999,2.700855,0
0.010416,-112.413189,165.529674,-106.400002,18.234432,7.570208,-10.012210,2.197802,-8.058608,9.523810,-1.709402,-0.278999,2.671551,0
0.011458,-143.815388,168.536267,-15.200000,-2.644689,10.012210,-8.058608,-1.709402,-10.012210,8.058608,2.197802,-0.278999,2.681319,0
0.012500,-158.180223,148.158245,74.329672,-20.461538,10.989011,-4.639805,-5.128205,-10.500611,4.639805,5.616606,-0.767399,2.671551,0
0.013541,-169.204399,79.006595,123.437365,-8.490842,10.012210,-0.732601,-8.547009,-9.035409,0.732601,9.035409,-0.278999,2.671551,0
0.014583,-167.534070,-11.859341,144.817586,12.666667,7.570208,3.663004,-10.012210,-6.593407,-3.174603,10.500611,-0.278999,2.681319,0
0.015625,-135.129673,-100.386815,158.848355,25.194139,3.663004,7.081807,-10.500611,-3.174603,-7.081807,10.500611,-0.278999,2.691087,0
0.016667,-52.281320,-140.140662,168.870333,8.212454,-0.244200,10.012210,-9.035409,0.732601,-9.523810,9.035409,-0.767399,2.788767,0
0.017708,39.586814,-154.505498,162.189015,-14.058608,-4.151404,10.500611,-5.616606,4.639805,-10.500611,5.616606,-0.767399,2.691087,0
0.018749,111.076926,-167.200004,104.061541,-14.893773,-8.058608,10.012210,-1.709402,8.058608,-9.523810,1.709402,-0.767399,2.681319,0
0.019791,142.479124,-170.540663,13.529671,3.758242,-10.012210,8.058608,1.709402,9.523810,-7.570208,-1.709402,-0.767399,2.681319,0
0.020834,156.175828,-149.828575,-76.334068,23.802198,-10.989011,5.128205,6.105006,10.500611,-5.128205,-6.105006,-0.278999,2.671551,0
0.021875,169.538465,-81.010991,-126.109893,12.109890,-9.523810,0.732601,9.035409,9.523810,-0.732601,-8.547009,-0.278999,2.671551,0
0.022916,165.863740,8.852747,-146.821981,-8.490842,-7.570208,-3.174603,10.500611,7.081807,3.663004,-10.500611,-0.278999,2.681319,0
0.023958,133.459344,97.714288,-160.518685,-19.904762,-3.663004,-7.081807,10.989011,3.663004,7.081807,-10.500611,-0.278999,2.681319,0
0.024999,50.276924,137.802201,-172.545059,-4.036630,0.244200,-9.523810,9.523810,-0.244200,9.523810,-8.547009,-0.278999,2.691087,0
0.026041,-40.923078,152.167036,-163.859344,20.183150,4.639805,-10.500611,6.593407,-4.151404,10.500611,-5.616606,-0.278999,2.691087,0
0.027083,-112.747255,165.529674,-106.734068,18.234432,8.058608,-9.523810,2.197802,-7.570208,10.012210,-1.709402,-0.767399,2.681319,0
0.028125,-144.483520,168.870333,-14.531868,-1.531136,10.012210,-8.058608,-1.709402,-10.012210,8.058608,2.197802,-0.767399,2.691087,0
0.029166,-158.180223,148.158245,73.661540,-20.461538,10.989011,-5.128205,-5.616606,-10.500611,4.639805,6.105006,-0.767399,2.700855,0
0.030208,-171.208795,79.006595,123.437365,-10.717949,10.012210,-0.732601,-9.035409,-9.523810,0.732601,9.035409,-0.278999,2.671551,0
0.031249,-167.534070,-10.189011,144.483520,13.501832,7.570208,3.663004,-10.012210,-7.081807,-3.174603,10.012210,-0.278999,2.671551,0
0.032292,-135.463739,-99.718684,158.180223,25.194139,4.151404,7.081807,-10.989011,-3.663004,-7.081807,10.500611,-0.278999,2.691087,0
0.033333,-52.615386,-139.806597,169.204399,8.490842,-0.244200,9.523810,-9.035409,0.732601,-9.523810,8.547009,-0.278999,2.691087,0
0.034374,38.918682,-155.841762,161.854949,-14.893773,-4.639805,10.989011,-6.105006,4.639805,-10.500611,5.616606,-0.278999,2.691087,0
0.035416,110.742860,-167.534070,104.061541,-14.893773,-7.570208,10.012210,-2.197802,8.058608,-9.523810,1.709402,-0.767399,2.681319,0
0.036459,142.479124,-171.208795,13.195605,6.820513,-10.012210,8.547009,2.197802,9.523810,-7.570208,-2.197802,-0.767399,2.720391,0
0.037499,156.509894,-150.496707,-74.997804,24.080586,-10.989011,5.128205,5.616606,10.989011,-4.639805,-6.105006,-1.255800,2.681319,0
0.038541,169.538465,-81.010991,-125.775827,12.666667,-10.012210,0.732601,9.035409,9.523810,-0.732601,-9.035409,-0.767399,2.691087,0
0.039583,165.195608,8.852747,-147.156047,-8.212454,-7.570208,-3.174603,10.989011,7.081807,3.663004,-10.012210,-0.767399,2.749695,0
0.040625,133.459344,97.714288,-160.852751,-21.018315,-3.663004,-7.081807,10.989011,3.663004,7.081807,-10.500611,-0.278999,2.691087,0
0.041666,50.945056,137.802201,-171.542861,-4.315018,0.244200,-9.523810,9.523810,-0.244200,9.523810,-9.035409,-0.278999,2.691087,0
0.042709,-40.254946,152.167036,-163.859344,19.069597,4.639805,-10.500611,6.105006,-4.151404,10.500611,-5.616606,-0.278999,2.681319,0
0.043749,-112.079123,165.863740,-107.068134,18.512821,8.058608,-10.012210,2.197802,-7.570208,9.523810,-1.709402,-0.278999,2.671551,0
0.044792,-144.483520,168.536267,-16.202198,-2.923077,10.012210,-7.570208,-1.221001,-9.523810,7.570208,2.197802,-0.278999,2.681319,0
0.045833,-158.514289,148.158245,72.993408,-19.626374,10.989011,-4.639805,-5.616606,-10.500611,4.639805,6.105006,0.209402,2.681319,0
0.046874,-171.208795,79.674727,122.769234,-13.223443,10.012210,-0.732601,-8.547009,-9.523810,1.221001,9.035409,-0.767399,2.681319,0
0.047916,-167.200004,-9.854945,144.483520,12.666667,7.570208,3.174603,-10.500611,-7.081807,-3.174603,10.500611,-0.767399,2.691087,0
0.048958,-135.463739,-99.384618,158.180223,24.358974,4.151404,7.081807,-10.989011,-3.174603,-7.081807,10.500611,0.209402,2.730159,0
0.050000,-52.615386,-139.806597,169.204399,7.377289,-0.244200,9.523810,-9.035409,0.244200,-9.523810,9.035409,-0.767399,2.691087,0
0.051041,38.918682,-154.171432,161.520883,-14.893773,-4.639805,10.500611,-6.105006,4.639805,-10.500611,5.616606,-0.767399,2.681319,0
0.052083,110.408794,-167.200004,104.729673,-15.728938,-8.058608,10.012210,-2.197802,7.570208,-9.523810,1.709402,-0.278999,2.671551,0
0.053125,142.145058,-170.540663,14.531868,6.820513,-10.012210,8.547009,1.709402,10.012210,-8.058608,-1.709402,-0.278999,2.671551,0
