1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,-147.490113,164.861542,19.876924,-12.388278,10.500611,-6.593407,-3.174603,-10.500611,6.593407,4.151404,0.697802,2.691087,0
0.001042,-162.189015,125.107695,103.059343,-19.069597,10.989011,-3.174603,-7.081807,-10.012210,3.663004,7.570208,-0.278999,2.681319,0
0.002083,-169.538465,42.593408,141.476926,-2.644689,9.523810,0.732601,-9.523810,-9.035409,-0.732601,9.523810,-0.278999,2.691087,0
0.003124,-161.520883,-49.274726,152.167036,21.018315,6.105006,5.128205,-10.989011,-5.616606,-5.128205,10.500611,-0.278999,2.691087,0
0.004167,-103.393409,-114.417585,166.197806,16.564103,2.197802,8.547009,-10.012210,-1.709402,-8.058608,10.012210,-0.767399,2.700855,0
0.005208,-12.193407,-145.151652,170.206597,-4.593407,-2.197802,10.500611,-8.058608,2.197802,-10.012210,7.570208,-0.278999,2.710623,0
0.006250,78.672529,-160.184619,146.153849,-20.461538,-6.105006,10.989011,-4.639805,6.105006,-10.500611,4.151404,2.651404,2.710623,0
0.007291,126.778025,-171.542861,70.654947,-7.098901,-9.035409,10.012210,-0.244200,9.035409,-9.035409,0.244200,-0.767399,2.720391,0
0.008333,145.485718,-166.531872,-21.213187,16.564103,-10.500611,7.081807,3.663004,10.012210,-6.593407,-3.663004,-0.767399,2.691087,0
0.009375,160.518685,-126.109893,-105.731870,21.853480,-10.500611,3.174603,7.081807,10.500611,-2.686203,-7.081807,1.186203,2.700855,0
0.010416,168.202202,-44.263737,-143.481322,6.542125,-9.035409,-0.732601,8.547009,8.547009,0.732601,-9.523810,-0.767399,2.700855,0
0.011458,159.516487,46.936265,-154.505498,-17.120879,-5.616606,-5.128205,10.500611,5.616606,5.128205,-10.500611,-0.278999,2.691087,0
0.012501,100.720881,112.747255,-168.536267,-12.666667,-2.197802,-7.570208,10.500611,2.197802,8.058608,-9.523810,-0.278999,2.691087,0
0.013541,9.854945,141.810992,-171.542861,9.047619,2.197802,-10.012210,8.058608,-2.197802,10.012210,-7.570208,-0.278999,2.710623,0
0.014583,-81.679123,157.178025,-148.826377,26.307692,6.105006,-10.500611,4.639805,-6.105006,10.989011,-4.151404,-0.278999,2.700855,0
0.015625,-129.116486,169.204399,-74.329672,12.666667,9.523810,-9.035409,0.732601,-9.035409,9.523810,-0.244200,-0.767399,2.681319,0
0.016667,-147.824179,164.527476,19.542858,-12.109890,10.500611,-6.593407,-3.174603,-10.500611,6.593407,4.151404,-1.255800,2.691087,0
0.017708,-162.523081,124.105497,103.393409,-18.234432,10.500611,-3.174603,-7.081807,-10.012210,3.174603,7.570208,-0.767399,2.691087,0
0.018750,-169.872531,42.593408,141.476926,-2.366300,9.035409,0.732601,-9.523810,-8.547009,-0.732601,10.012210,-0.767399,2.710623,0
0.019791,-161.520883,-49.274726,152.501102,20.461538,6.105006,4.639805,-10.500611,-5.616606,-5.128205,10.989011,-0.767399,2.739927,0
