1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,-126.443959,-107.068134,193.257147,16.007326,7.570208,1.709402,-9.035409,-7.570208,-1.709402,9.035409,0.209402,3.521368,0
0.001042,-64.975826,-185.239565,167.534070,31.040293,4.639805,5.128205,-9.523810,-4.639805,-4.639805,9.523810,-0.278999,3.550672,0
0.002083,37.582418,-201.608796,149.494509,4.593407,1.221001,7.570208,-9.035409,-1.221001,-7.570208,8.547009,-0.767399,3.501832,0
0.003125,131.120882,-188.914290,105.063739,-16.007326,-2.686203,9.035409,-6.105006,2.197802,-8.547009,6.105006,-1.255800,3.511600,0
0.004167,191.586817,-163.191212,27.894506,-17.399267,-6.105006,9.523810,-3.174603,5.616606,-9.035409,3.174603,-0.278999,3.472527,0
0.005208,201.608796,-136.800003,-78.338463,6.820513,-8.547009,8.547009,0.244200,8.547009,-8.058608,-0.244200,-0.278999,3.492063,0
0.006250,179.226378,-87.358244,-163.525278,25.750916,-9.035409,5.616606,3.663004,9.035409,-5.616606,-3.663004,-0.278999,3.482295,0
0.007291,156.175828,1.837363,-198.268136,14.058608,-9.035409,2.686203,7.081807,9.035409,-1.709402,-7.081807,-0.278999,3.482295,0
0.008333,123.437365,104.395607,-195.929675,-10.717949,-7.570208,-1.221001,9.035409,7.570208,1.709402,-8.547009,-0.278999,3.511600,0
0.009375,62.971430,182.567037,-170.874729,-26.029304,-4.639805,-4.639805,10.012210,4.639805,4.639805,-9.523810,-0.278999,3.492063,0
0.010416,-40.254946,198.936268,-152.167036,0.974359,-1.221001,-7.570208,9.035409,1.709402,7.570208,-8.547009,-0.278999,3.501832,0
0.011458,-133.459344,186.575828,-108.738464,24.358974,2.686203,-9.035409,6.593407,-2.197802,8.547009,-6.105006,-0.767399,3.501832,0
0.012501,-193.591213,160.852751,-31.903297,23.245421,5.616606,-9.523810,3.663004,-5.616606,9.035409,-3.174603,-0.278999,3.492063,0
0.013541,-203.947257,134.461541,75.665936,-1.531136,8.058608,-9.035409,-0.244200,-8.058608,8.058608,0.244200,-0.278999,3.531136,0
0.014583,-181.230773,85.019782,161.186817,-23.802198,9.523810,-5.616606,-3.663004,-9.035409,5.616606,3.663004,-0.278999,3.482295,0
0.015625,-158.180223,-3.841758,195.261543,-8.490842,9.523810,-2.197802,-7.081807,-9.035409,2.197802,7.081807,-0.278999,3.482295,0
0.016667,-126.443959,-106.400002,193.591213,14.615385,8.058608,1.221001,-8.547009,-7.570208,-1.709402,8.547009,-0.278999,3.511600,0
0.017708,-65.978023,-184.905499,167.868136,30.761905,5.128205,5.128205,-9.523810,-5.616606,-4.639805,9.523810,-0.278999,3.492063,0
0.018750,36.580221,-201.608796,149.828575,4.871795,1.221001,7.570208,-8.547009,-1.221001,-7.570208,8.547009,-0.278999,3.492063,0
0.019791,130.452750,-189.248356,105.063739,-17.120879,-2.197802,9.035409,-6.593407,2.197802,-8.547009,6.105006,-0.278999,3.501832,0
0.020834,191.920883,-163.525278,28.228572,-16.842491,-5.616606,9.523810,-3.174603,6.105006,-9.035409,3.174603,-0.767399,3.521368,0
0.021875,201.274730,-137.134069,-77.336265,7.098901,-8.058608,8.547009,0.244200,8.058608,-8.058608,-0.244200,-0.767399,3.501832,0
0.022916,179.226378,-87.358244,-162.523081,26.586081,-9.035409,5.616606,3.663004,9.523810,-5.128205,-3.663004,-0.278999,3.501832,0
