1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,-127.112091,210.962642,-103.059343,7.934066,-1.709402,-6.593407,8.547009,2.197802,7.081807,-7.570208,0.209402,4.078144,0
0.001041,-195.595609,177.556048,-32.571429,20.739927,2.197802,-8.547009,6.593407,-1.221001,8.547009,-6.105006,0.209402,4.087912,0
0.002083,-226.663741,131.789014,64.641760,11.831502,5.616606,-9.035409,4.151404,-5.128205,9.523810,-3.174603,0.209402,4.087912,0
0.003124,-204.615389,79.340661,154.839564,-9.882784,7.570208,-8.058608,0.732601,-7.081807,8.547009,0.244200,0.697802,4.097680,0
0.004167,-165.529674,5.178022,214.637367,-17.399267,9.035409,-5.616606,-3.174603,-8.547009,6.105006,2.686203,0.209402,4.058608,0
0.005208,-121.767036,-96.043958,217.978027,2.923077,9.035409,-2.197802,-5.616606,-8.547009,3.174603,6.105006,0.209402,4.078144,0
0.006250,-58.628573,-176.553850,190.584620,18.791209,8.058608,1.221001,-7.570208,-7.081807,-0.732601,8.547009,-1.255800,4.107448,0
0.007291,23.885715,-229.336269,146.487915,25.194139,5.128205,4.639805,-9.035409,-4.639805,-4.151404,9.035409,-0.278999,4.087912,0
0.008334,125.107695,-212.632972,100.386815,-4.315018,2.197802,7.081807,-8.058608,-1.709402,-6.593407,8.547009,-1.744200,4.107448,0
0.009375,193.925279,-179.560444,30.232968,-10.439560,-1.709402,8.547009,-6.593407,2.197802,-7.570208,7.081807,0.209402,4.087912,0
0.010416,224.325280,-134.127476,-66.980221,-6.542125,-5.128205,9.035409,-3.663004,5.128205,-8.547009,4.151404,-0.278999,4.087912,0
0.011458,202.945059,-81.679123,-157.512091,15.172161,-7.570208,8.547009,-0.244200,7.570208,-8.058608,0.732601,0.209402,4.097680,0
0.012500,163.525278,-7.516484,-216.975829,22.688645,-8.547009,5.616606,3.663004,9.035409,-5.128205,-3.174603,0.209402,4.058608,0
0.013541,118.426376,93.705497,-219.648357,2.644689,-8.547009,2.686203,6.593407,9.035409,-2.197802,-6.105006,0.209402,4.078144,0
0.014583,55.621979,172.879125,-193.257147,-12.666667,-7.081807,-0.244200,8.547009,7.570208,1.221001,-8.058608,0.209402,4.087912,0
