1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,-167.200004,6.180220,145.151652,5.985348,6.105006,3.174603,-8.547009,-5.128205,-2.686203,8.547009,-0.278999,2.153846,0
0.001041,-141.476926,-83.349452,160.852751,23.245421,2.686203,6.105006,-8.058608,-2.197802,-5.616606,8.547009,-0.278999,2.124542,0
0.002083,-66.312089,-132.457146,170.206597,9.604396,-0.244200,8.058608,-6.593407,1.221001,-7.570208,7.081807,-0.767399,2.114774,0
0.003126,22.215385,-153.837366,162.857146,-9.326007,-4.151404,9.035409,-4.151404,4.151404,-8.058608,6.105006,-0.767399,2.114774,0
0.004166,100.386815,-168.202202,115.419783,-15.450549,-6.593407,8.058608,-0.732601,7.081807,-7.570208,1.221001,-0.278999,2.105006,0
0.005210,142.813190,-169.538465,33.907693,-1.809524,-8.058608,6.105006,2.197802,8.547009,-5.616606,-2.686203,-0.278999,2.105006,0
0.006252,157.512091,-152.835168,-58.628573,17.956044,-8.547009,3.663004,5.616606,8.547009,-3.174603,-5.128205,-0.278999,2.105006,0
0.007293,169.872531,-92.035167,-118.426376,13.780220,-7.570208,0.244200,7.570208,7.570208,0.244200,-7.081807,-0.278999,2.114774,0
0.008341,166.197806,-6.514286,-147.490113,-2.923077,-5.616606,-2.686203,8.547009,5.616606,3.663004,-8.058608,0.697802,2.134310,0
0.009386,139.138465,84.017584,-162.189015,-18.512821,-2.197802,-5.616606,9.035409,2.686203,6.593407,-7.570208,-0.767399,2.124542,0
0.010422,63.305496,131.454948,-171.876927,-6.820513,0.732601,-8.058608,7.081807,-0.732601,8.058608,-6.593407,-0.278999,2.173382,0
0.011459,-24.219781,152.167036,-164.193410,12.945055,4.151404,-8.547009,6.105006,-4.151404,8.547009,-3.663004,-0.278999,2.124542,0
0.012501,-102.725277,166.531872,-117.090113,18.512821,7.081807,-8.058608,1.709402,-6.593407,8.058608,-0.244200,-0.278999,2.105006,0
0.013542,-144.483520,167.534070,-35.578023,4.315018,8.547009,-6.105006,-1.709402,-8.058608,6.105006,2.686203,-0.278999,2.105006,0
0.014585,-159.850553,150.830773,56.290111,-14.615385,9.035409,-3.174603,-4.639805,-8.058608,4.151404,5.128205,-0.278999,2.105006,0
0.015626,-171.542861,90.698903,116.421981,-9.326007,7.570208,0.244200,-7.081807,-7.081807,0.244200,7.570208,0.209402,2.105006,0
0.016666,-168.536267,5.846154,145.151652,7.098901,5.616606,3.174603,-8.547009,-5.128205,-2.686203,8.547009,-0.767399,2.134310,0
0.017710,-141.476926,-84.017584,160.518685,24.080586,2.686203,6.105006,-8.058608,-1.709402,-5.616606,8.547009,-0.767399,2.144078,0
0.018753,-65.643958,-132.791212,170.874729,10.439560,-0.732601,8.058608,-6.593407,1.221001,-8.058608,6.593407,-0.767399,2.134310,0
0.019793,22.549451,-154.171432,162.857146,-10.439560,-4.151404,8.547009,-4.151404,4.151404,-8.058608,4.151404,-0.767399,2.163614,0
0.020835,101.054947,-168.202202,115.085717,-14.336996,-6.593407,8.058608,-0.732601,6.593407,-7.570208,1.221001,-0.767399,2.105006,0
0.021879,143.147256,-169.204399,32.571429,-0.695971,-8.058608,6.593407,2.197802,8.547009,-5.616606,-1.709402,-0.278999,2.114774,0
0.022918,158.180223,-152.501102,-58.294507,19.069597,-8.058608,3.663004,5.616606,8.547009,-3.174603,-4.639805,-0.278999,2.114774,0
0.023960,169.872531,-92.035167,-117.758244,11.831502,-7.570208,0.732601,8.058608,7.570208,-0.244200,-7.081807,-0.278999,2.114774,0
0.025002,165.863740,-7.182418,-147.156047,-3.201465,-5.128205,-2.686203,8.547009,5.616606,3.663004,-8.058608,-0.278999,2.124542,0
0.026045,139.138465,83.015386,-162.523081,-18.791209,-2.197802,-5.616606,8.547009,2.686203,6.105006,-8.058608,-0.278999,2.124542,0
0.027086,63.639562,131.120882,-172.210993,-5.428571,1.221001,-7.570208,7.570208,-0.732601,8.058608,-6.105006,-0.278999,2.124542,0
0.028127,-23.885715,152.501102,-164.193410,12.666667,4.151404,-8.547009,4.639805,-3.663004,8.547009,-3.663004,-0.278999,2.134310,0
0.029168,-102.725277,166.865938,-116.421981,17.399267,7.081807,-8.058608,1.221001,-6.593407,8.058608,-0.732601,0.697802,2.124542,0
0.030213,-144.483520,167.534070,-33.907693,3.479853,9.035409,-6.105006,-1.709402,-8.058608,6.593407,2.197802,-0.278999,2.134310,0
0.031252,-159.850553,150.830773,56.624177,-14.336996,8.547009,-3.174603,-5.128205,-8.058608,3.174603,5.616606,-0.278999,2.105006,0
0.032293,-170.874729,90.030771,116.421981,-9.604396,8.058608,0.244200,-7.081807,-7.081807,0.244200,7.570208,-0.278999,2.105006,0
0.033336,-167.868136,5.512088,145.485718,5.985348,6.105006,3.174603,-8.058608,-5.128205,-3.174603,8.547009,-0.278999,2.124542,0
0.034377,-141.810992,-84.351650,160.518685,22.131868,2.686203,6.593407,-8.058608,-2.197802,-5.616606,8.547009,-0.278999,2.114774,0
0.035419,-65.309892,-133.125278,170.874729,8.769231,-0.244200,8.058608,-6.593407,1.221001,-7.570208,6.593407,-0.278999,2.114774,0
0.036462,22.883517,-154.505498,161.854949,-10.161172,-4.151404,9.035409,-3.663004,4.151404,-8.058608,4.151404,-0.278999,2.124542,0
0.037502,101.054947,-167.534070,113.749453,-15.172161,-6.593407,8.058608,-0.732601,7.081807,-7.081807,1.221001,-0.767399,2.163614,0
0.038545,143.147256,-169.204399,33.239561,3.479853,-8.547009,6.593407,2.197802,8.547009,-5.616606,-2.197802,-0.767399,2.114774,0
0.039585,158.180223,-152.167036,-58.628573,17.677656,-8.058608,3.663004,5.616606,8.547009,-3.174603,-4.639805,-0.278999,2.153846,0
0.040626,169.204399,-91.367035,-118.426376,12.666667,-7.570208,0.244200,8.058608,7.570208,0.244200,-7.081807,-0.278999,2.105006,0
0.041668,165.863740,-6.514286,-147.490113,-3.479853,-5.616606,-3.174603,8.547009,5.616606,3.663004,-8.058608,-0.278999,2.124542,0
0.042712,139.472531,84.017584,-162.857146,-18.791209,-2.197802,-5.616606,8.547009,2.686203,6.105006,-8.058608,-0.278999,2.124542,0
0.043752,63.973628,131.454948,-171.876927,-5.985348,1.221001,-7.570208,7.081807,-0.732601,8.058608,-6.593407,-0.278999,2.114774,0
0.044795,-25.556045,152.835168,-164.193410,13.501832,4.639805,-8.547009,4.639805,-3.663004,9.035409,-3.663004,-0.278999,2.124542,0
0.045842,-104.395607,167.200004,-115.419783,17.677656,7.081807,-7.570208,1.221001,-6.593407,8.058608,-0.732601,-0.278999,2.105006,0
0.046882,-145.151652,168.870333,-32.237363,2.923077,8.547009,-5.616606,-1.709402,-8.058608,6.105006,2.686203,-0.278999,2.114774,0
0.047928,-160.852751,149.828575,59.964837,-14.336996,8.547009,-3.174603,-5.128205,-8.058608,3.663004,5.616606,-0.278999,2.105006,0
0.048959,-170.874729,89.696705,116.421981,-9.326007,8.058608,0.244200,-7.081807,-7.081807,0.244200,7.570208,-1.744200,2.124542,0
0.050000,-167.868136,5.846154,145.485718,5.428571,6.105006,3.174603,-8.058608,-5.128205,-2.686203,8.547009,-0.278999,2.114774,0
0.051042,-141.142860,-84.685716,160.852751,21.853480,2.686203,6.105006,-8.058608,-2.197802,-6.105006,8.547009,-0.767399,2.124542,0
0.052083,-65.309892,-133.125278,170.206597,9.326007,-0.244200,8.058608,-7.081807,1.221001,-7.570208,7.081807,-0.767399,2.124542,0
0.053125,22.883517,-154.171432,162.523081,-9.882784,-3.663004,9.035409,-4.151404,4.639805,-8.058608,4.151404,-0.767399,2.124542,0
0.054166,100.720881,-168.202202,114.417585,-14.615385,-6.593407,8.058608,-0.732601,7.081807,-7.570208,0.732601,-0.278999,2.105006,0
0.055209,142.479124,-168.870333,33.239561,-1.809524,-8.058608,6.105006,2.197802,8.547009,-6.105006,-1.709402,-0.278999,2.114774,0
0.056250,158.514289,-152.501102,-57.960441,17.399267,-8.547009,3.663004,5.616606,8.547009,-3.174603,-5.128205,-0.278999,2.114774,0
0.057291,169.538465,-91.701101,-118.760442,12.388278,-7.570208,0.244200,7.570208,7.570208,0.244200,-7.081807,-0.767399,2.153846,0
0.058333,166.531872,-6.514286,-147.490113,-4.315018,-5.616606,-2.686203,8.547009,5.128205,3.663004,-8.058608,-0.767399,2.144078,0
0.059375,139.472531,83.015386,-162.857146,-19.069597,-2.686203,-5.616606,8.547009,2.686203,6.593407,-8.058608,-0.278999,2.173382,0
0.060417,63.639562,131.454948,-171.876927,-5.985348,1.221001,-7.570208,7.081807,-0.732601,8.058608,-6.593407,-0.278999,2.124542,0
0.061458,-24.553847,152.501102,-164.527476,12.945055,4.639805,-8.058608,4.639805,-4.151404,8.547009,-3.663004,-0.278999,2.124542,0
0.062500,-102.725277,167.200004,-116.421981,17.956044,7.081807,-7.570208,1.221001,-6.593407,8.058608,-0.732601,-0.278999,2.105006,0
0.063542,-144.149454,167.534070,-34.575825,4.036630,8.547009,-6.105006,-1.709402,-8.058608,6.105006,2.197802,-0.278999,2.114774,0
0.064583,-160.852751,150.496707,56.958243,-14.336996,9.035409,-3.174603,-4.639805,-8.547009,3.174603,5.616606,-0.278999,2.105006,0
0.065625,-171.542861,89.362639,116.756047,-9.047619,8.058608,0.244200,-7.081807,-7.081807,0.244200,7.570208,-0.278999,2.114774,0
0.066667,-167.534070,5.178022,144.149454,7.377289,5.616606,3.174603,-8.547009,-4.639805,-3.174603,8.547009,-0.278999,2.124542,0
0.067716,-140.474728,-87.024178,160.518685,23.245421,2.686203,6.593407,-8.058608,-2.197802,-6.105006,8.547009,-0.278999,2.124542,0
0.068750,-64.975826,-133.125278,170.206597,9.882784,-1.709402,8.058608,-6.593407,1.221001,-7.570208,7.081807,1.186203,2.144078,0
0.069792,23.217583,-154.171432,162.523081,-9.882784,-3.663004,8.547009,-4.151404,4.151404,-8.058608,4.151404,-0.767399,2.075702,0
0.070838,101.723079,-168.202202,114.083519,-14.893773,-6.593407,8.058608,-0.732601,7.081807,-7.570208,1.221001,-0.767399,2.105006,0
0.071875,143.147256,-168.870333,32.905495,-0.974359,-8.058608,6.593407,2.197802,8.058608,-5.616606,-2.197802,-0.278999,2.114774,0
0.072917,158.180223,-152.501102,-58.962639,17.956044,-8.058608,3.663004,5.128205,8.547009,-3.174603,-5.128205,-0.278999,2.105006,0
0.073958,170.206597,-91.032969,-118.426376,12.666667,-7.570208,0.244200,7.570208,7.570208,0.244200,-7.570208,-0.278999,2.105006,0
0.075001,165.863740,-6.514286,-147.490113,-4.036630,-5.128205,-2.686203,9.035409,5.616606,3.663004,-8.058608,-0.278999,2.124542,0
0.076041,138.804399,83.015386,-162.857146,-18.512821,-2.197802,-5.616606,8.547009,2.686203,6.105006,-7.570208,-0.278999,2.124542,0
0.077083,63.639562,131.454948,-172.210993,-6.263736,0.732601,-7.570208,7.570208,-0.732601,8.058608,-6.593407,-0.767399,2.173382,0
0.078125,-24.887913,152.501102,-163.859344,11.553114,4.151404,-8.058608,4.639805,-4.151404,9.035409,-3.663004,-0.767399,2.134310,0
0.079167,-103.059343,166.865938,-116.087915,17.956044,7.081807,-7.570208,1.709402,-6.593407,8.058608,-0.732601,-0.278999,2.163614,0
0.080208,-144.483520,167.534070,-34.241759,1.809524,8.547009,-6.105006,-1.709402,-8.058608,6.105006,2.686203,-0.278999,2.114774,0
0.081250,-159.850553,150.830773,57.292309,-14.615385,9.035409,-3.174603,-5.128205,-8.547009,3.174603,5.616606,-0.278999,2.105006,0
0.082291,-170.874729,89.696705,116.756047,-9.326007,8.058608,0.244200,-7.081807,-7.081807,1.709402,7.570208,-0.278999,2.105006,0
0.083334,-167.534070,4.843956,145.819783,6.820513,5.616606,3.663004,-8.058608,-5.128205,-3.174603,8.547009,0.209402,2.124542,0
0.084375,-142.145058,-85.019782,160.518685,23.523810,2.686203,6.105006,-8.058608,-2.197802,-6.105006,8.547009,-0.278999,2.124542,0
0.085417,-65.309892,-134.461541,170.540663,9.604396,-0.244200,8.058608,-7.081807,1.221001,-7.570208,7.081807,-0.278999,2.124542,0
0.086458,23.551649,-154.839564,162.189015,-10.161172,-4.151404,9.035409,-4.151404,4.639805,-8.058608,4.151404,-0.278999,2.134310,0
0.087500,101.723079,-168.870333,114.751651,-12.109890,-6.593407,8.058608,-0.732601,7.081807,-7.570208,1.221001,-0.767399,2.124542,0
0.088542,142.813190,-169.204399,32.571429,-1.252747,-8.058608,6.593407,2.197802,8.058608,-5.616606,-2.197802,2.651404,2.134310,0
0.089584,158.180223,-152.501102,-59.296705,17.956044,-8.547009,3.663004,5.128205,8.547009,-3.174603,-5.128205,-0.767399,2.144078,0
0.090625,169.872531,-90.364837,-118.760442,11.831502,-7.570208,0.244200,7.570208,7.081807,0.244200,-7.081807,-0.278999,2.114774,0
0.091667,165.863740,-6.180220,-147.490113,-4.036630,-5.128205,-3.174603,9.035409,5.616606,3.663004,-8.058608,-0.278999,2.134310,0
0.092708,139.138465,84.017584,-162.857146,-19.069597,-2.197802,-5.616606,8.058608,2.197802,6.105006,-8.058608,-0.278999,2.124542,0
0.093750,62.971430,131.454948,-171.876927,-5.706960,0.732601,-7.570208,7.570208,-0.732601,8.058608,-6.593407,-0.278999,2.124542,0
0.094792,-25.556045,152.835168,-163.859344,13.501832,4.151404,-8.058608,4.639805,-4.151404,8.547009,-3.663004,0.209402,2.114774,0
0.095833,-103.393409,166.531872,-116.756047,17.956044,6.593407,-7.570208,1.221001,-6.593407,8.058608,-0.732601,-0.278999,2.114774,0
0.096875,-144.483520,167.534070,-34.575825,4.315018,8.547009,-5.616606,-1.709402,-8.058608,6.105006,2.686203,-0.767399,2.134310,0
0.097916,-159.850553,150.496707,56.624177,-11.274725,9.035409,-3.174603,-4.639805,-8.058608,3.174603,5.616606,-0.767399,2.124542,0
0.098959,-171.208795,89.028573,116.756047,-9.326007,7.570208,0.244200,-7.081807,-7.081807,0.244200,7.570208,-0.278999,2.144078,0
0.100000,-167.534070,4.843956,145.485718,4.871795,5.616606,3.174603,-8.058608,-5.128205,-2.686203,8.547009,-0.278999,2.124542,0
0.101042,-141.142860,-85.353848,161.854949,22.131868,2.686203,6.593407,-8.058608,0.244200,-6.105006,8.547009,-0.278999,2.124542,0
0.102083,-64.307694,-133.459344,170.206597,8.769231,-0.732601,8.058608,-7.081807,1.221001,-7.081807,6.593407,-0.767399,2.124542,0
0.103126,23.885715,-154.505498,162.523081,-9.882784,-4.151404,8.547009,-4.151404,4.151404,-8.547009,4.151404,-0.278999,2.124542,0
0.104167,101.054947,-168.536267,113.415387,-14.615385,-6.593407,8.058608,-0.732601,7.081807,-7.570208,1.221001,-0.278999,2.105006,0
0.105208,142.813190,-170.206597,32.237363,-0.695971,-8.058608,6.593407,2.197802,8.547009,-5.616606,-1.709402,-0.278999,2.114774,0
0.106250,159.516487,-152.501102,-59.964837,18.512821,-8.547009,3.663004,5.616606,8.547009,-2.686203,-5.128205,-0.278999,2.105006,0
0.107292,169.872531,-90.698903,-119.094508,11.553114,-7.570208,0.244200,8.058608,7.570208,0.244200,-7.081807,-0.767399,2.134310,0
0.108333,166.197806,-5.846154,-147.824179,-2.644689,-5.616606,-2.686203,8.547009,5.616606,3.663004,-8.058608,-0.767399,2.144078,0
0.109375,139.472531,84.017584,-162.857146,-18.791209,-2.197802,-5.616606,8.547009,2.686203,6.593407,-8.058608,-0.278999,2.124542,0
0.110417,62.971430,131.454948,-171.876927,-5.985348,0.732601,-8.058608,7.081807,-0.732601,8.058608,-6.593407,-0.278999,2.114774,0
