1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,111.745057,127.780223,-177.221982,-20.739927,-3.663004,-4.151404,8.547009,4.151404,4.639805,-7.570208,-0.278999,2.720391,0
0.001042,29.230770,172.545059,-165.529674,-10.161172,-0.732601,-6.593407,7.570208,0.732601,7.081807,-7.081807,0.209402,2.720391,0
0.002083,-73.327474,184.571433,-142.479124,12.945055,2.686203,-8.058608,5.616606,-2.197802,8.058608,-5.128205,-0.278999,2.710623,0
0.003126,-156.509894,168.536267,-89.362639,28.256410,5.616606,-8.058608,2.686203,-5.128205,8.058608,-1.709402,-0.278999,2.691087,0
0.004169,-180.562641,158.514289,5.512088,5.706960,7.570208,-6.593407,0.244200,-6.593407,6.593407,0.732601,0.209402,2.691087,0
0.005210,-180.896707,126.778025,102.725277,-15.450549,8.547009,-4.639805,-3.174603,-7.570208,4.639805,3.663004,0.209402,2.710623,0
0.006252,-167.868136,58.294507,166.531872,-17.120879,8.058608,-1.221001,-5.616606,-7.570208,2.197802,6.593407,0.209402,2.700855,0
0.007298,-151.498904,-39.252748,185.573631,4.036630,7.081807,1.709402,-7.570208,-6.105006,-1.221001,7.570208,-0.278999,2.710623,0
0.008337,-112.413189,-130.786816,174.883520,25.194139,4.151404,4.639805,-8.058608,-3.174603,-4.151404,8.058608,-0.767399,2.720391,0
0.009379,-29.898902,-174.549454,162.857146,14.058608,1.221001,7.081807,-7.570208,-0.244200,-6.593407,7.570208,-0.767399,2.710623,0
0.010419,71.991210,-186.241762,140.140662,-9.604396,-2.197802,8.058608,-5.128205,2.686203,-7.570208,5.616606,0.697802,2.730159,0
0.011459,154.505498,-170.206597,87.358244,-23.802198,-5.128205,8.058608,-2.686203,5.616606,-7.570208,2.686203,-0.278999,2.691087,0
0.012502,178.558246,-159.850553,-8.184616,-2.644689,-7.081807,7.081807,0.244200,7.570208,-6.593407,-0.244200,-0.278999,2.691087,0
0.013543,179.894510,-128.782420,-104.729673,19.347985,-8.058608,5.128205,3.174603,8.058608,-4.639805,-3.174603,-0.278999,2.710623,0
0.014584,166.197806,-59.630771,-167.868136,21.296703,-8.058608,2.197802,6.105006,7.570208,-1.709402,-6.105006,-0.278999,2.710623,0
0.015626,149.494509,36.580221,-187.243960,-0.139194,-6.105006,-1.221001,8.058608,6.593407,1.709402,-7.570208,-0.278999,2.710623,0
0.016668,111.076926,128.114289,-176.553850,-21.018315,-3.663004,-4.151404,8.547009,4.151404,4.639805,-8.058608,-0.278999,2.710623,0
0.017709,28.896704,172.210993,-165.863740,-10.161172,-0.732601,-6.593407,8.058608,1.221001,7.081807,-7.081807,-0.767399,2.720391,0
0.018751,-73.661540,184.237367,-142.813190,13.223443,2.686203,-7.570208,5.616606,-2.197802,8.058608,-5.128205,-0.767399,2.710623,0
0.019793,-156.509894,168.536267,-87.358244,31.597070,5.128205,-7.570208,3.174603,-4.639805,8.058608,-2.197802,-0.278999,2.700855,0
0.020835,-180.228575,158.514289,6.180220,6.263736,7.570208,-7.081807,-0.244200,-7.081807,7.081807,1.221001,-0.278999,2.710623,0
0.021884,-180.896707,125.775827,104.729673,-15.728938,8.058608,-4.639805,-3.174603,-7.570208,4.639805,3.663004,-0.278999,2.720391,0
0.022926,-167.868136,54.619781,166.531872,-12.109890,8.058608,-1.221001,-5.616606,-7.570208,1.709402,6.593407,1.186203,2.710623,0
0.023966,-150.830773,-41.591210,185.239565,4.593407,6.593407,1.221001,-7.570208,-5.616606,-1.221001,8.058608,-0.278999,2.720391,0
0.025006,-112.079123,-132.457146,174.549454,25.194139,4.151404,4.639805,-8.058608,-3.174603,-4.639805,8.058608,-0.278999,2.710623,0
0.026052,-26.892308,-175.217586,163.525278,13.780220,0.732601,7.570208,-7.081807,-0.244200,-7.081807,7.570208,-0.278999,2.710623,0
0.027090,72.659342,-186.575828,139.806597,-9.882784,-2.197802,8.547009,-5.128205,2.686203,-7.570208,5.616606,-0.278999,2.710623,0
