1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,192.254949,-167.200004,46.602199,-22.967033,-5.128205,9.523810,-3.663004,5.616606,-9.035409,4.151404,-0.767399,3.540904,0
0.001043,200.606598,-144.483520,-64.307694,5.706960,-7.570208,8.547009,-0.244200,8.547009,-8.058608,0.244200,-0.278999,3.492063,0
0.002085,185.239565,-97.714288,-152.167036,23.523810,-9.035409,6.105006,3.174603,9.035409,-5.616606,-3.174603,-0.767399,3.511600,0
0.003128,160.852751,-13.529671,-196.931873,17.399267,-9.035409,3.174603,7.081807,9.523810,-2.197802,-6.593407,-0.278999,3.511600,0
0.004169,132.123080,90.030771,-200.272532,-7.098901,-7.570208,-0.732601,9.035409,8.058608,1.221001,-8.547009,0.209402,3.501832,0
0.005211,75.331870,173.547257,-176.553850,-23.523810,-5.128205,-4.151404,10.012210,5.128205,4.639805,-9.035409,-0.278999,3.501832,0
0.006251,-22.549451,199.270334,-157.512091,-4.871795,-1.709402,-7.081807,9.035409,1.709402,7.570208,-8.547009,0.209402,3.501832,0
0.007294,-122.435168,192.923081,-116.087915,17.677656,2.197802,-8.547009,7.081807,-1.709402,8.547009,-6.593407,0.209402,3.501832,0
0.008334,-193.925279,164.527476,-48.606594,27.699634,6.105006,-9.035409,4.151404,-5.128205,9.523810,-3.663004,-0.278999,3.521368,0
0.009375,-203.279125,143.481322,60.632968,1.252747,8.058608,-8.058608,0.732601,-7.570208,8.547009,0.244200,0.209402,3.492063,0
0.010417,-187.243960,95.375826,148.492311,-18.234432,9.035409,-5.616606,-2.686203,-8.547009,6.593407,3.174603,-0.278999,3.511600,0
0.011459,-163.525278,11.859341,194.259345,-11.553114,10.012210,-2.197802,-6.593407,-9.035409,2.686203,7.081807,-0.278999,3.492063,0
0.012500,-134.461541,-91.701101,198.268136,11.831502,8.547009,0.732601,-8.547009,-7.570208,-0.732601,9.035409,-0.278999,3.540904,0
0.013542,-77.336265,-175.551652,174.215389,27.421245,5.616606,4.639805,-9.035409,-5.128205,-4.151404,9.523810,-0.278999,3.492063,0
0.014584,20.879121,-201.608796,155.173630,9.882784,1.709402,7.570208,-8.547009,-1.221001,-7.081807,9.035409,-0.278999,3.492063,0
0.015625,119.094508,-194.927477,114.083519,-12.945055,-1.709402,9.035409,-6.593407,2.197802,-8.547009,6.593407,-0.278999,3.492063,0
0.016669,192.254949,-166.531872,45.934067,-22.967033,-5.128205,10.012210,-3.663004,5.616606,-9.035409,4.151404,-0.278999,3.482295,0
0.017709,200.272532,-146.153849,-63.305496,3.479853,-7.570208,9.035409,-0.244200,8.058608,-8.058608,0.732601,0.209402,3.482295,0
0.018751,184.905499,-98.048354,-149.160443,24.080586,-9.035409,6.105006,3.174603,9.035409,-5.616606,-2.686203,-0.278999,3.501832,0
0.019792,161.854949,-14.531868,-196.931873,18.234432,-9.035409,3.174603,7.081807,9.523810,-2.197802,-6.593407,-0.278999,3.531136,0
0.020833,132.123080,90.030771,-201.274730,-12.109890,-8.058608,-0.732601,9.035409,8.058608,1.221001,-8.547009,-0.278999,3.511600,0
0.021875,75.331870,173.547257,-176.553850,-23.802198,-5.128205,-3.663004,9.523810,5.616606,4.639805,-8.547009,0.209402,3.511600,0
0.022918,-22.883517,199.270334,-157.512091,-4.871795,-1.709402,-7.570208,9.035409,2.197802,7.570208,-8.547009,0.209402,3.540904,0
0.023958,-121.432970,192.923081,-116.756047,18.512821,2.197802,-8.547009,7.081807,-1.709402,9.035409,-6.105006,0.209402,3.501832,0
0.025000,-193.591213,164.861542,-49.274726,27.699634,5.616606,-9.035409,4.151404,-5.128205,9.523810,-3.174603,0.209402,3.482295,0
0.026042,-202.610994,143.815388,61.301100,0.974359,8.058608,-8.058608,0.732601,-7.570208,8.547009,-0.244200,0.209402,3.482295,0
0.027084,-187.912092,95.375826,149.160443,-18.791209,9.523810,-5.616606,-2.686203,-8.547009,6.105006,3.174603,0.209402,3.492063,0
0.028125,-163.525278,11.525275,194.593411,-12.666667,10.012210,-2.197802,-6.105006,-9.035409,2.686203,7.081807,0.209402,3.482295,0
0.029167,-134.795607,-92.369233,197.600004,12.666667,8.058608,1.221001,-8.547009,-7.570208,-0.244200,8.547009,2.651404,3.511600,0
0.030209,-77.336265,-176.219784,173.547257,29.648352,5.616606,5.128205,-9.035409,-4.639805,-4.151404,9.523810,-0.278999,3.521368,0
0.031261,22.883517,-202.276928,153.837366,8.769231,1.709402,7.570208,-8.547009,-1.221001,-7.081807,9.035409,-0.278999,3.501832,0
0.032299,120.764838,-193.257147,112.413189,-11.274725,-2.197802,9.035409,-6.593407,2.197802,-8.058608,6.593407,-0.767399,3.501832,0
0.033335,192.254949,-166.531872,45.934067,-22.967033,-5.128205,9.523810,-3.174603,5.616606,-9.523810,3.663004,-0.278999,3.521368,0
0.034377,200.606598,-145.819783,-64.307694,3.479853,-8.058608,8.547009,-0.244200,8.058608,-8.058608,0.244200,-0.278999,3.492063,0
0.035419,184.571433,-97.380222,-151.832970,23.523810,-9.035409,6.105006,3.174603,9.035409,-5.616606,-3.174603,-0.278999,3.501832,0
0.036462,161.520883,-13.195605,-197.265938,16.842491,-9.035409,3.174603,7.081807,9.523810,-2.686203,-6.593407,0.209402,3.492063,0
0.037502,131.454948,90.698903,-200.606598,-6.820513,-8.058608,-0.732601,9.035409,8.547009,1.221001,-8.058608,-0.278999,3.511600,0
0.038545,73.995606,173.881323,-175.885718,-23.523810,-5.128205,-4.151404,9.523810,5.128205,4.639805,-9.035409,0.209402,3.501832,0
0.039587,-24.553847,199.604400,-157.512091,-4.315018,-1.221001,-7.081807,9.035409,1.709402,7.570208,-8.547009,0.209402,3.501832,0
0.040627,-122.101102,192.923081,-116.756047,18.791209,2.197802,-8.547009,7.081807,-1.709402,9.035409,-6.105006,-0.278999,3.511600,0
0.041671,-193.925279,164.527476,-47.938463,31.318681,5.616606,-9.035409,4.151404,-5.128205,9.523810,-3.174603,-0.278999,3.492063,0
0.042711,-202.945059,143.481322,61.969232,0.974359,8.058608,-8.058608,0.732601,-7.570208,8.547009,0.244200,-0.767399,3.501832,0
0.043752,-187.243960,94.707694,149.828575,-17.956044,9.523810,-5.616606,-2.686203,-8.547009,6.105006,3.174603,0.209402,3.501832,0
0.044799,-163.191212,10.189011,194.593411,-13.223443,9.523810,-2.197802,-6.593407,-9.035409,2.686203,7.081807,0.209402,3.482295,0
0.045835,-134.127476,-92.703299,198.268136,11.274725,8.058608,0.732601,-8.547009,-7.570208,-0.732601,8.058608,0.209402,3.501832,0
0.046877,-77.002200,-175.551652,173.881323,28.813187,5.616606,4.639805,-9.523810,-5.128205,-4.151404,9.523810,0.209402,3.501832,0
0.047921,21.881319,-201.942862,154.505498,9.326007,2.197802,7.570208,-9.035409,-1.221001,-7.081807,9.035409,0.209402,3.492063,0
0.048960,119.762640,-194.927477,111.410991,-12.666667,-1.709402,9.035409,-6.593407,2.197802,-8.547009,6.593407,-0.278999,3.492063,0
0.050005,191.586817,-166.531872,44.931869,-22.410256,-5.128205,10.012210,-3.663004,5.616606,-9.035409,3.663004,0.209402,3.482295,0
0.051046,200.606598,-145.485718,-65.309892,0.417582,-7.570208,8.547009,-0.244200,8.058608,-8.058608,0.732601,-0.767399,3.492063,0
0.052086,184.905499,-97.046156,-152.167036,24.080586,-9.035409,6.105006,3.174603,9.523810,-5.616606,-3.174603,-0.278999,3.511600,0
0.053127,161.186817,-13.195605,-196.931873,17.120879,-9.035409,2.686203,6.593407,9.523810,-2.197802,-6.105006,-0.278999,3.531136,0
0.054172,131.454948,91.701101,-199.938466,-6.820513,-8.058608,-0.244200,8.058608,8.058608,1.221001,-8.058608,-0.278999,3.452991,0
0.055212,74.329672,174.549454,-176.219784,-24.080586,-5.128205,-4.151404,9.523810,5.128205,4.639805,-9.035409,0.209402,3.501832,0
0.056254,-24.553847,199.938466,-156.843960,-4.036630,-1.709402,-7.081807,9.035409,1.709402,7.570208,-8.547009,0.209402,3.492063,0
0.057301,-124.105497,192.923081,-114.751651,17.956044,2.197802,-8.547009,7.081807,-1.709402,8.547009,-6.105006,0.209402,3.501832,0
0.058342,-194.593411,163.859344,-45.600001,26.864469,6.105006,-9.035409,4.151404,-5.128205,9.035409,-3.663004,0.209402,3.472527,0
0.059386,-203.947257,142.145058,64.307694,-0.139194,8.547009,-8.058608,0.732601,-7.570208,8.547009,0.244200,0.209402,3.482295,0
0.060417,-186.909894,94.707694,149.494509,-17.399267,9.523810,-5.616606,-2.686203,-8.547009,6.105006,3.663004,-0.278999,3.521368,0
0.061460,-163.191212,10.857143,194.593411,-12.388278,9.523810,-2.686203,-6.105006,-9.035409,2.686203,6.593407,-0.278999,3.492063,0
