1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,-89.028573,-121.098904,170.206597,13.501832,1.709402,8.547009,-10.012210,-0.732601,-8.547009,9.523810,-0.278999,2.700855,0
0.001042,1.503297,-147.156047,167.534070,-6.820513,-2.686203,10.500611,-7.570208,3.174603,-10.500611,7.081807,-0.767399,2.710623,0
0.002084,96.043958,-160.852751,137.134069,-22.688645,-6.593407,10.500611,-3.663004,6.593407,-10.012210,3.174603,-0.767399,2.710623,0
0.003125,134.795607,-170.540663,53.617584,-6.263736,-9.035409,9.035409,0.244200,9.523810,-9.035409,-0.244200,-0.767399,2.691087,0
0.004167,149.494509,-163.525278,-36.580221,18.512821,-10.500611,6.593407,4.639805,10.500611,-6.105006,-4.151404,-0.278999,2.700855,0
0.005208,164.527476,-113.415387,-110.074728,17.677656,-10.500611,2.686203,7.570208,10.500611,-2.197802,-7.570208,-0.767399,2.681319,0
0.006251,169.538465,-26.558242,-143.815388,0.417582,-8.547009,-1.221001,10.012210,8.547009,1.709402,-10.012210,-0.767399,2.700855,0
0.007292,154.505498,63.973628,-158.180223,-19.626374,-5.128205,-5.616606,10.989011,5.128205,5.616606,-10.500611,-0.278999,2.700855,0
0.008333,86.690112,119.094508,-172.210993,-9.326007,-1.221001,-9.035409,10.012210,1.221001,8.547009,-9.523810,-0.278999,2.700855,0
0.009375,-3.507692,144.817586,-169.538465,10.439560,3.174603,-10.012210,7.570208,-2.686203,10.012210,-7.081807,0.209402,2.700855,0
0.010418,-97.046156,158.180223,-139.806597,26.864469,7.081807,-10.500611,3.663004,-6.593407,10.500611,-3.174603,-0.278999,2.710623,0
0.011458,-136.800003,169.872531,-56.958243,9.604396,9.523810,-9.035409,-0.244200,-9.035409,9.035409,0.732601,0.209402,2.691087,0
0.012500,-151.498904,161.186817,34.241759,-13.501832,10.500611,-6.105006,-4.151404,-10.500611,6.105006,4.639805,-0.767399,2.671551,0
0.013542,-166.197806,111.410991,108.070332,-14.615385,10.500611,-2.686203,-7.570208,-10.012210,2.686203,7.570208,-0.767399,2.691087,0
0.014584,-171.542861,24.553847,141.810992,4.036630,9.035409,1.221001,-10.012210,-8.058608,-1.221001,10.012210,-0.278999,2.730159,0
0.015625,-156.175828,-65.978023,155.841762,24.637363,5.616606,5.616606,-10.989011,-5.128205,-5.616606,10.500611,-0.767399,2.691087,0
0.016667,-88.026376,-121.098904,170.206597,13.780220,1.221001,8.547009,-10.012210,-1.221001,-9.035409,9.523810,-0.767399,2.700855,0
0.017709,1.169231,-146.821981,168.536267,-6.820513,-2.686203,10.500611,-7.570208,2.686203,-10.012210,7.081807,-0.278999,2.710623,0
0.018750,94.373628,-159.850553,139.138465,-22.688645,-6.593407,10.500611,-3.663004,6.593407,-10.012210,3.663004,-0.278999,2.691087,0
0.019792,134.461541,-172.210993,54.953847,-4.871795,-9.035409,9.035409,0.244200,9.523810,-9.035409,-0.244200,-0.278999,2.671551,0
0.020833,149.494509,-163.859344,-37.582418,18.512821,-10.500611,6.593407,4.639805,10.500611,-6.105006,-4.639805,-0.278999,2.671551,0
0.021875,164.527476,-113.749453,-110.742860,19.069597,-10.500611,2.686203,7.570208,10.012210,-2.197802,-7.570208,-0.767399,2.700855,0
0.022917,169.538465,-25.221979,-144.483520,3.201465,-8.547009,-1.221001,10.012210,8.547009,1.709402,-9.523810,-0.767399,2.710623,0
0.023958,154.839564,64.307694,-157.846157,-19.626374,-5.616606,-5.616606,11.477411,5.616606,5.616606,-10.500611,-0.767399,2.700855,0
0.025000,86.690112,118.760442,-171.876927,-9.604396,-1.221001,-8.547009,10.012210,1.221001,9.035409,-9.523810,-0.278999,2.739927,0
0.026042,-2.839561,144.483520,-169.872531,10.996337,2.686203,-10.012210,7.570208,-2.686203,10.500611,-7.081807,-0.278999,2.700855,0
0.027083,-96.712090,158.180223,-140.808794,26.864469,7.081807,-10.500611,3.663004,-6.593407,10.500611,-3.174603,-0.278999,2.681319,0
0.028125,-136.465937,170.206597,-56.624177,8.490842,9.523810,-9.035409,-0.244200,-9.523810,9.035409,-0.244200,-0.278999,2.671551,0
0.029167,-150.162641,161.854949,33.573627,-13.501832,10.989011,-6.105006,-4.151404,-10.500611,6.105006,4.639805,-0.278999,2.671551,0
0.030209,-166.197806,111.410991,107.068134,-15.450549,10.500611,-2.686203,-7.570208,-10.012210,2.686203,8.058608,0.209402,2.681319,0
0.031250,-171.876927,25.221979,141.476926,4.036630,8.547009,1.709402,-10.012210,-8.058608,-1.709402,10.012210,-0.278999,2.700855,0
0.032292,-156.509894,-66.312089,155.841762,23.523810,5.616606,5.616606,-10.500611,-5.128205,-5.616606,10.989011,-0.767399,2.749695,0
0.033333,-88.694507,-120.764838,170.874729,14.058608,1.221001,8.547009,-9.523810,-1.221001,-8.547009,9.523810,-0.767399,2.710623,0
0.034376,1.169231,-146.821981,167.868136,-6.820513,-2.686203,10.500611,-7.570208,2.686203,-10.012210,7.081807,-0.767399,2.720391,0
0.035417,94.707694,-160.184619,138.470333,-22.131868,-6.593407,10.500611,-2.686203,6.593407,-10.500611,3.663004,-0.278999,2.739927,0
0.036459,134.461541,-172.210993,54.619781,-4.593407,-9.523810,9.523810,-0.244200,9.523810,-8.058608,-0.244200,-0.767399,2.681319,0
0.037501,149.160443,-163.525278,-36.246155,17.677656,-10.500611,6.105006,4.151404,10.500611,-6.105006,-4.639805,-0.278999,2.681319,0
0.038542,164.861542,-113.415387,-110.408794,18.791209,-10.500611,2.686203,7.570208,10.012210,-2.686203,-7.570208,-0.278999,2.691087,0
0.039583,169.204399,-27.560440,-143.815388,0.695971,-8.547009,-1.221001,10.012210,8.547009,1.709402,-9.523810,-0.278999,2.700855,0
0.040625,154.839564,63.305496,-158.848355,-19.626374,-5.616606,-5.128205,10.989011,5.128205,5.616606,-10.500611,-0.278999,2.700855,0
0.041667,86.356046,118.426376,-172.545059,-8.212454,-1.221001,-8.547009,10.012210,1.221001,9.035409,-9.523810,-1.255800,2.710623,0
0.042708,-2.505495,144.149454,-170.206597,12.945055,3.174603,-10.012210,7.570208,-2.686203,10.500611,-7.081807,-0.278999,2.700855,0
0.043750,-96.378024,158.180223,-141.142860,27.421245,7.081807,-10.500611,4.151404,-6.105006,10.500611,-3.663004,-0.767399,2.700855,0
0.044792,-136.131871,170.206597,-56.958243,9.604396,9.523810,-9.035409,0.244200,-9.035409,9.035409,0.732601,-0.767399,2.681319,0
0.045834,-150.830773,161.520883,33.573627,-14.336996,10.500611,-6.105006,-4.151404,-10.500611,6.105006,4.639805,-0.278999,2.681319,0
0.046875,-165.863740,111.745057,107.736266,-15.172161,10.500611,-2.686203,-7.570208,-10.012210,2.197802,7.570208,-0.278999,2.681319,0
0.047917,-171.208795,25.556045,141.810992,3.479853,8.547009,1.709402,-9.523810,-8.058608,-1.709402,10.012210,-0.278999,2.700855,0
0.048958,-157.512091,-64.975826,155.841762,23.802198,5.616606,5.616606,-10.989011,-5.128205,-5.616606,10.500611,-0.278999,2.691087,0
0.050001,-89.696705,-121.767036,170.540663,13.501832,1.709402,9.035409,-10.012210,-0.732601,-8.547009,9.523810,-0.278999,2.691087,0
0.051042,0.501099,-146.821981,167.534070,-6.542125,-2.686203,10.500611,-7.570208,2.686203,-10.012210,7.081807,-0.767399,2.720391,0
0.052083,95.375826,-160.518685,138.804399,-23.802198,-6.593407,10.500611,-3.663004,6.593407,-10.012210,3.663004,-0.767399,2.691087,0
0.053125,134.461541,-172.210993,55.287913,-5.706960,-9.523810,9.035409,0.244200,9.035409,-9.035409,-0.244200,-0.767399,2.681319,0
0.054167,149.160443,-163.859344,-35.912089,17.677656,-10.500611,6.593407,4.639805,10.500611,-6.105006,-4.639805,-0.767399,2.681319,0
0.055208,164.193410,-113.749453,-110.074728,19.626374,-10.012210,2.686203,7.570208,10.012210,-2.197802,-8.058608,-0.767399,2.710623,0
0.056250,169.204399,-27.894506,-143.815388,0.417582,-9.035409,-1.221001,9.523810,8.547009,1.709402,-10.012210,-0.767399,2.700855,0
0.057292,155.173630,63.305496,-158.180223,-19.626374,-5.128205,-5.616606,10.989011,5.128205,5.616606,-10.500611,-0.278999,2.691087,0
0.058334,87.358244,118.760442,-171.876927,-10.161172,-1.221001,-8.547009,10.012210,1.221001,8.547009,-9.523810,-0.278999,2.691087,0
0.059375,-2.505495,144.483520,-169.872531,10.439560,2.686203,-10.012210,7.570208,-2.686203,10.500611,-7.081807,0.209402,2.700855,0
0.060417,-96.712090,157.846157,-141.142860,27.142857,6.593407,-10.500611,4.151404,-6.593407,10.500611,-3.174603,-0.278999,2.681319,0
0.061459,-136.465937,169.872531,-57.626375,8.769231,9.523810,-9.035409,0.244200,-9.035409,9.035409,0.732601,-0.278999,2.681319,0
0.062500,-150.830773,161.854949,32.905495,-9.326007,10.500611,-6.105006,-4.151404,-10.012210,6.105006,4.639805,-0.767399,2.681319,0
0.063541,-165.863740,112.079123,107.402200,-14.615385,10.500611,-2.686203,-7.570208,-10.012210,2.686203,7.570208,-0.767399,2.691087,0
0.064583,-171.542861,25.890110,141.810992,4.036630,9.035409,1.221001,-9.523810,-8.547009,-1.221001,10.012210,0.209402,2.710623,0
0.065625,-157.178025,-65.309892,155.841762,22.131868,5.616606,5.128205,-10.500611,-5.128205,-5.616606,10.500611,-0.278999,2.691087,0
0.066667,-89.362639,-120.430772,170.206597,13.501832,1.221001,8.547009,-10.012210,-1.221001,-8.547009,9.523810,-0.767399,2.691087,0
0.067708,0.501099,-146.487915,167.868136,-6.820513,-2.686203,10.500611,-7.570208,2.686203,-10.012210,7.081807,-0.767399,2.710623,0
0.068750,94.707694,-160.184619,138.470333,-23.523810,-6.593407,10.989011,-4.151404,6.593407,-10.012210,3.663004,-0.278999,2.691087,0
0.069792,133.793410,-172.210993,55.621979,-5.428571,-9.523810,9.035409,0.244200,9.035409,-9.035409,-0.732601,-0.278999,2.671551,0
0.070834,148.826377,-164.193410,-36.246155,17.120879,-10.500611,6.105006,4.639805,10.500611,-6.105006,-4.639805,-0.767399,2.681319,0
0.071875,163.859344,-114.417585,-110.408794,19.904762,-10.500611,2.686203,7.570208,10.500611,-2.197802,-7.570208,-0.278999,2.710623,0
0.072917,169.538465,-28.228572,-143.815388,1.809524,-8.547009,-1.221001,10.012210,8.547009,1.709402,-9.523810,-0.767399,2.710623,0
0.073959,154.839564,63.305496,-158.180223,-18.234432,-5.616606,-5.616606,10.989011,5.128205,6.105006,-10.989011,-0.767399,2.710623,0
0.075000,87.692310,118.426376,-171.876927,-9.047619,-1.709402,-8.547009,10.012210,1.221001,8.547009,-9.523810,-0.278999,2.730159,0
0.076042,-2.171429,144.483520,-169.872531,9.326007,2.686203,-10.500611,7.570208,-2.686203,10.500611,-7.081807,-0.278999,2.700855,0
0.077083,-95.709892,158.180223,-141.476926,27.699634,6.593407,-10.500611,4.151404,-6.593407,10.500611,-3.174603,-0.278999,2.691087,0
0.078126,-135.797805,170.206597,-57.960441,8.769231,9.523810,-9.035409,0.244200,-9.035409,9.035409,0.732601,-0.278999,2.691087,0
0.079166,-150.162641,162.189015,32.905495,-13.501832,10.500611,-6.105006,-4.151404,-10.500611,6.105006,4.639805,-0.278999,2.671551,0
0.080208,-166.197806,112.079123,106.734068,-15.172161,10.500611,-2.197802,-7.570208,-10.012210,2.686203,8.058608,-0.278999,2.681319,0
0.081250,-170.874729,26.224176,141.142860,4.036630,9.035409,1.221001,-10.012210,-8.058608,-1.221001,10.012210,-0.767399,2.710623,0
0.082292,-156.509894,-64.975826,155.507696,23.523810,5.616606,6.105006,-10.989011,-5.128205,-5.616606,10.500611,-0.767399,2.730159,0
0.083333,-90.030771,-120.096706,169.872531,14.336996,1.709402,9.035409,-10.012210,-1.221001,-8.547009,9.523810,-0.767399,2.710623,0
0.084375,0.167033,-146.487915,167.200004,-6.263736,-2.686203,10.500611,-7.570208,3.174603,-10.012210,7.081807,-1.255800,2.710623,0
0.085416,94.373628,-160.184619,139.138465,-23.523810,-6.593407,10.500611,-3.663004,6.593407,-10.500611,3.663004,-0.767399,2.720391,0
0.086460,134.461541,-171.876927,55.287913,-8.212454,-9.523810,9.035409,0.244200,9.523810,-9.035409,-0.244200,-0.767399,2.681319,0
0.087500,148.826377,-164.193410,-35.578023,18.512821,-10.500611,6.105006,4.151404,10.500611,-6.105006,-4.151404,-0.278999,2.681319,0
0.088541,164.193410,-114.417585,-109.740662,19.904762,-10.012210,2.686203,7.570208,10.012210,-2.686203,-7.570208,-0.278999,2.671551,0
0.089584,169.204399,-28.228572,-144.149454,1.531136,-8.547009,-1.221001,10.012210,8.547009,1.709402,-10.012210,-0.278999,2.691087,0
0.090625,155.507696,62.637364,-157.846157,-20.183150,-5.616606,-5.128205,10.989011,5.128205,5.616606,-10.500611,0.209402,2.691087,0
0.091667,87.692310,118.092310,-172.210993,-9.326007,-1.221001,-8.547009,10.012210,1.221001,8.547009,-9.523810,-0.278999,2.710623,0
0.092708,-1.503297,144.149454,-170.540663,14.336996,2.686203,-10.012210,8.058608,-2.197802,10.500611,-7.081807,-0.278999,2.710623,0
0.093750,-95.709892,158.180223,-141.476926,27.699634,6.593407,-10.500611,4.151404,-6.105006,10.500611,-3.174603,-0.767399,2.700855,0
0.094792,-135.797805,170.206597,-58.294507,9.047619,9.523810,-9.035409,-0.244200,-9.035409,9.035409,0.732601,-0.278999,2.700855,0
0.095833,-150.496707,162.189015,32.905495,-12.666667,10.989011,-6.105006,-4.151404,-10.500611,6.105006,4.639805,-0.278999,2.739927,0
0.096875,-165.863740,112.747255,107.402200,-16.285714,10.500611,-2.686203,-8.058608,-10.012210,2.197802,7.570208,-0.278999,2.681319,0
0.097917,-171.208795,26.224176,141.810992,10.161172,9.035409,1.221001,-9.523810,-8.058608,-1.709402,10.012210,-0.278999,2.700855,0
0.098959,-156.843960,-64.307694,155.841762,22.688645,5.616606,5.616606,-10.500611,-5.128205,-5.616606,10.989011,-0.278999,2.700855,0
0.100000,-90.364837,-121.432970,170.206597,13.223443,1.709402,9.035409,-10.012210,-1.221001,-8.547009,9.523810,-0.278999,2.691087,0
0.101042,-0.167033,-146.487915,167.534070,-5.706960,-2.686203,10.500611,-7.570208,2.686203,-10.012210,7.081807,-0.278999,2.710623,0
0.102084,94.373628,-160.518685,138.804399,-22.967033,-6.593407,10.500611,-3.663004,6.593407,-10.500611,3.174603,2.163004,2.700855,0
0.103125,133.793410,-171.208795,55.621979,-5.150183,-9.523810,9.523810,0.244200,9.523810,-9.035409,-0.244200,-0.767399,2.681319,0
0.104166,149.160443,-164.193410,-34.575825,18.234432,-10.500611,7.081807,4.639805,10.500611,-5.616606,-4.151404,-0.767399,2.691087,0
0.105208,164.193410,-114.751651,-109.406596,19.626374,-10.500611,2.686203,7.570208,10.012210,-2.197802,-7.570208,-0.278999,2.700855,0
0.106251,169.204399,-28.896704,-143.815388,1.252747,-9.035409,-1.221001,10.012210,8.547009,1.221001,-9.523810,-0.767399,2.700855,0
0.107292,155.507696,62.637364,-157.846157,-19.904762,-5.128205,-5.616606,10.989011,5.128205,5.616606,-10.500611,-0.278999,2.700855,0
0.108333,88.360442,118.092310,-171.876927,-9.604396,-1.221001,-8.547009,10.012210,1.709402,8.547009,-9.523810,-0.278999,2.691087,0
0.109375,-2.171429,144.483520,-170.206597,10.717949,3.174603,-10.500611,7.570208,-2.197802,10.500611,-7.570208,0.209402,2.700855,0
0.110417,-96.043958,157.846157,-141.476926,27.978022,6.593407,-10.500611,4.151404,-6.105006,10.500611,-3.174603,-0.278999,2.691087,0
