1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,184.571433,-168.536267,57.292309,-24.080586,-5.128205,9.523810,-4.151404,5.128205,-9.035409,4.639805,-0.278999,3.501832,0
0.001040,198.268136,-149.828575,-48.272529,2.644689,-7.570208,8.547009,-0.732601,7.570208,-8.547009,0.732601,-0.767399,3.482295,0
0.002082,186.575828,-107.068134,-138.804399,22.688645,-9.035409,6.593407,2.686203,9.035409,-6.105006,-2.686203,-0.767399,3.550672,0
0.003123,161.520883,-29.230770,-192.923081,14.893773,-9.523810,3.174603,6.105006,9.523810,-3.174603,-6.105006,-1.744200,3.501832,0
0.004166,134.795607,75.331870,-202.945059,0.139194,-8.547009,-0.244200,8.547009,8.058608,0.732601,-8.547009,-0.278999,3.501832,0
0.005207,84.017584,162.189015,-179.560444,-22.410256,-5.616606,-3.663004,9.523810,5.616606,4.151404,-9.035409,-0.278999,3.501832,0
0.006248,-6.514286,196.597807,-159.182421,-7.934066,-2.197802,-7.081807,9.523810,2.197802,7.081807,-9.035409,0.209402,3.492063,0
0.007290,-109.740662,193.257147,-123.771431,16.285714,1.221001,-8.547009,7.570208,-1.221001,8.547009,-7.081807,0.209402,3.501832,0
0.008333,-187.578026,165.863740,-59.964837,29.926740,5.128205,-9.035409,4.639805,-4.639805,9.523810,-4.151404,0.209402,3.472527,0
0.009373,-201.274730,147.156047,44.597803,4.036630,8.058608,-8.547009,0.732601,-7.570208,8.547009,-0.244200,-0.278999,3.482295,0
0.010416,-188.914290,104.395607,136.131871,-16.842491,9.035409,-6.105006,-2.197802,-9.035409,6.593407,3.174603,-2.721001,3.501832,0
0.011457,-163.525278,28.562638,189.582422,-12.388278,9.523810,-3.174603,-6.105006,-9.523810,3.174603,6.593407,-0.278999,3.492063,0
0.012499,-136.800003,-77.336265,200.272532,5.985348,8.547009,0.244200,-8.058608,-8.058608,-0.244200,8.547009,-1.744200,3.501832,0
0.013540,-86.356046,-164.527476,176.887916,27.978022,5.616606,3.663004,-9.523810,-5.616606,-3.663004,9.035409,-0.278999,3.492063,0
0.014582,3.841758,-198.936268,155.841762,14.893773,2.197802,7.081807,-9.035409,-1.709402,-7.081807,9.035409,-0.767399,3.492063,0
0.015624,107.068134,-195.261543,121.767036,-11.553114,-1.221001,9.035409,-7.570208,1.221001,-8.547009,7.081807,-0.278999,3.492063,0
0.016665,185.239565,-168.202202,57.626375,-24.915751,-4.639805,9.523810,-4.639805,4.639805,-9.523810,4.151404,-0.278999,3.472527,0
0.017707,198.936268,-149.494509,-47.938463,-2.087912,-7.570208,8.547009,-0.732601,7.570208,-8.547009,0.732601,-0.278999,3.482295,0
0.018748,186.575828,-107.402200,-139.138465,22.410256,-9.035409,6.593407,2.686203,9.035409,-6.105006,-2.686203,-0.278999,3.492063,0
0.019791,160.852751,-29.564836,-193.257147,22.131868,-9.523810,3.174603,6.593407,9.035409,-2.686203,-6.105006,-0.278999,3.492063,0
0.020832,134.461541,75.331870,-202.945059,-1.809524,-8.058608,-0.244200,8.547009,8.058608,0.732601,-8.547009,-0.767399,3.589744,0
0.021873,84.017584,162.523081,-178.558246,-21.853480,-5.616606,-4.151404,9.523810,5.616606,3.663004,-9.035409,-0.278999,3.501832,0
0.022915,-6.514286,196.597807,-159.182421,-8.212454,-2.197802,-7.081807,9.035409,2.197802,7.081807,-9.035409,-0.767399,3.501832,0
0.023957,-109.406596,193.257147,-124.105497,15.728938,1.221001,-8.547009,9.523810,-1.709402,8.547009,-7.081807,-0.278999,3.501832,0
0.024999,-187.243960,165.863740,-59.964837,30.483516,5.128205,-9.523810,4.639805,-4.639805,9.035409,-4.151404,-0.278999,3.482295,0
0.026040,-201.608796,147.156047,45.265935,4.315018,8.058608,-8.547009,1.221001,-7.570208,8.547009,-0.732601,-0.278999,3.472527,0
0.027082,-188.246158,104.729673,136.131871,-16.842491,9.035409,-6.105006,-2.686203,-9.035409,6.593407,2.686203,0.209402,3.492063,0
0.028124,-163.859344,27.560440,190.584620,-16.564103,9.523810,-3.174603,-6.105006,-9.523810,3.174603,6.105006,0.209402,3.482295,0
0.029165,-137.468135,-77.670331,199.604400,6.542125,8.547009,0.244200,-8.547009,-8.058608,-0.244200,8.547009,-0.278999,3.492063,0
0.030207,-86.021980,-165.195608,176.553850,27.978022,5.616606,3.663004,-9.523810,-5.616606,-4.151404,9.035409,0.209402,3.511600,0
0.031248,4.175824,-198.936268,156.175828,13.780220,2.197802,7.081807,-9.035409,-2.197802,-6.593407,9.035409,-0.767399,3.443223,0
0.032291,107.068134,-195.261543,121.767036,-10.996337,-1.221001,9.035409,-7.081807,1.221001,-8.547009,7.081807,-0.278999,3.501832,0
0.033332,184.905499,-168.536267,57.626375,-23.802198,-5.128205,9.523810,-4.639805,5.128205,-9.035409,4.151404,-0.278999,3.540904,0
0.034374,197.600004,-149.494509,-47.604397,2.087912,-8.058608,8.547009,-1.221001,7.570208,-8.547009,0.732601,-0.278999,3.472527,0
0.035415,186.575828,-107.402200,-138.804399,21.853480,-9.035409,6.593407,2.686203,9.035409,-6.593407,-2.686203,-0.278999,3.579976,0
0.036457,161.520883,-29.230770,-192.923081,21.018315,-9.523810,3.174603,6.105006,9.523810,-3.174603,-6.105006,-0.278999,3.482295,0
0.037498,135.129673,75.331870,-202.945059,-1.252747,-8.547009,0.244200,8.547009,8.547009,0.732601,-8.547009,0.209402,3.501832,0
0.038540,83.683518,162.189015,-180.228575,-22.688645,-5.616606,-3.663004,9.523810,5.616606,3.663004,-9.035409,0.209402,3.501832,0
0.039582,-6.848352,196.263741,-157.512091,-7.655678,-2.197802,-7.081807,9.523810,2.197802,7.081807,-9.035409,-0.278999,3.492063,0
0.040624,-110.074728,192.923081,-124.439563,17.399267,1.221001,-8.547009,7.570208,-1.221001,8.547009,-6.593407,-0.278999,3.511600,0
0.041665,-186.909894,166.197806,-60.298902,30.761905,5.128205,-9.523810,4.639805,-4.639805,9.523810,-4.151404,-0.278999,3.492063,0
0.042707,-200.940664,147.156047,45.265935,3.758242,8.058608,-9.035409,1.221001,-7.570208,8.547009,-0.244200,-0.278999,3.492063,0
0.043749,-188.914290,104.729673,136.131871,-16.564103,9.035409,-6.105006,-1.221001,-8.547009,6.105006,2.686203,-0.278999,3.492063,0
0.044790,-163.525278,27.560440,190.250554,-16.285714,9.523810,-3.174603,-6.105006,-8.058608,2.686203,6.105006,-0.278999,3.482295,0
0.045831,-137.134069,-77.336265,200.272532,7.377289,8.547009,0.244200,-8.547009,-8.058608,-0.244200,8.547009,-0.278999,3.492063,0
0.046873,-86.021980,-164.193410,177.221982,27.142857,5.616606,3.663004,-9.523810,-5.616606,-4.151404,9.035409,-0.278999,3.492063,0
0.047915,3.841758,-198.602202,157.178025,12.666667,2.197802,7.081807,-9.035409,-2.197802,-7.081807,8.547009,-0.278999,3.492063,0
0.048957,107.068134,-195.595609,121.098904,-10.996337,-1.709402,9.035409,-7.570208,1.709402,-8.547009,7.081807,-0.278999,3.492063,0
0.049998,184.905499,-168.870333,57.292309,-25.750916,-4.639805,9.523810,-4.639805,4.639805,-9.523810,4.151404,0.697802,3.482295,0
0.051040,198.936268,-149.828575,-48.272529,1.252747,-7.570208,9.035409,-0.732601,7.570208,-8.547009,0.732601,-0.767399,3.482295,0
0.052083,186.575828,-107.068134,-139.472531,22.967033,-9.035409,6.593407,3.174603,9.035409,-6.105006,-2.686203,-0.278999,3.492063,0
0.053123,161.186817,-29.230770,-192.923081,20.461538,-9.523810,3.174603,6.105006,9.523810,-3.174603,-6.105006,-0.278999,3.511600,0
0.054165,134.795607,74.997804,-202.945059,-2.366300,-8.547009,-0.244200,8.547009,8.058608,0.244200,-8.547009,-0.278999,3.492063,0
0.055207,84.017584,162.189015,-179.560444,-22.410256,-5.616606,-3.663004,9.523810,5.616606,4.151404,-9.523810,-0.278999,3.492063,0
0.056249,-6.848352,196.597807,-159.182421,-8.212454,-1.709402,-7.081807,9.523810,2.197802,7.081807,-9.035409,0.209402,3.492063,0
0.057290,-109.406596,193.257147,-124.439563,16.564103,1.221001,-8.547009,7.570208,-1.221001,8.547009,-7.081807,0.209402,3.501832,0
0.058331,-187.243960,165.529674,-59.964837,30.205128,4.639805,-9.523810,4.639805,-4.639805,9.523810,-4.151404,0.209402,3.472527,0
0.059375,-200.940664,146.821981,44.931869,4.315018,8.058608,-8.547009,1.221001,-7.570208,8.547009,-0.732601,-0.278999,3.482295,0
0.060416,-189.248356,104.061541,136.800003,-16.285714,9.035409,-6.105006,-2.686203,-8.547009,6.105006,3.174603,-0.278999,3.521368,0
0.061457,-163.525278,27.560440,189.916488,-15.728938,9.523810,-3.174603,-6.105006,-9.035409,3.174603,6.593407,-0.278999,3.492063,0
0.062498,-137.134069,-77.336265,200.272532,7.655678,8.547009,0.244200,-8.547009,-8.058608,-0.244200,8.547009,-0.767399,3.501832,0
0.063540,-86.356046,-164.527476,177.221982,27.699634,5.616606,4.151404,-9.523810,-5.616606,-4.151404,9.523810,-0.278999,3.521368,0
0.064582,3.841758,-198.936268,156.509894,13.780220,2.197802,7.081807,-9.035409,-2.197802,-7.081807,9.035409,-0.278999,3.492063,0
0.065623,107.068134,-195.261543,121.767036,-11.274725,-1.221001,9.035409,-7.570208,1.221001,-8.547009,6.593407,-0.278999,3.501832,0
0.066665,185.239565,-168.202202,57.960441,-24.358974,-5.128205,9.523810,-5.128205,5.128205,-9.523810,4.151404,0.209402,3.482295,0
0.067707,198.602202,-149.494509,-48.272529,0.417582,-7.570208,8.547009,-0.732601,7.570208,-8.547009,0.732601,0.209402,3.472527,0
0.068749,186.575828,-107.736266,-139.138465,21.853480,-9.035409,6.593407,2.686203,9.035409,-6.593407,-3.174603,-0.278999,3.550672,0
0.069790,160.852751,-30.232968,-193.257147,21.853480,-9.523810,3.174603,6.105006,9.523810,-3.174603,-6.105006,-1.255800,3.501832,0
