1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,23.885715,-151.498904,166.865938,-12.388278,-3.663004,10.500611,-6.593407,3.663004,-10.012210,6.105006,-0.278999,2.691087,0
0.001042,104.729673,-166.197806,119.094508,-16.842491,-7.081807,10.500611,-2.686203,7.570208,-10.012210,2.686203,-0.278999,2.671551,0
0.002084,143.815388,-170.540663,32.237363,-0.139194,-9.523810,9.035409,1.709402,10.012210,-8.058608,-0.732601,-0.278999,2.671551,0
0.003125,154.839564,-158.514289,-60.967034,22.410256,-10.500611,5.616606,5.616606,10.989011,-5.128205,-5.128205,-0.767399,2.691087,0
0.004167,168.202202,-96.378024,-120.764838,18.234432,-9.523810,1.709402,8.058608,10.012210,-1.221001,-8.547009,-0.767399,2.671551,0
0.005208,168.870333,-5.846154,-147.490113,-4.315018,-7.570208,-2.197802,10.500611,7.570208,2.686203,-9.523810,-0.767399,2.691087,0
0.006251,145.151652,87.358244,-159.850553,-23.245421,-4.639805,-6.105006,10.989011,4.639805,6.593407,-10.012210,-0.278999,2.700855,0
0.007292,66.646155,132.123080,-172.879125,-8.490842,-0.244200,-9.035409,9.523810,0.732601,9.523810,-8.547009,-0.278999,2.691087,0
0.008333,-26.224176,149.494509,-168.870333,16.285714,4.151404,-10.500611,6.593407,-3.663004,10.500611,-6.105006,-0.278999,2.681319,0
0.009375,-106.400002,164.193410,-120.764838,21.575092,7.570208,-10.012210,3.174603,-7.081807,10.500611,-2.197802,-0.278999,2.671551,0
0.010417,-146.153849,168.870333,-34.575825,3.201465,10.012210,-8.547009,-0.732601,-9.523810,8.547009,1.709402,0.209402,2.671551,0
0.011459,-156.843960,156.175828,58.628573,-18.234432,10.989011,-5.128205,-5.128205,-10.500611,5.128205,5.128205,0.209402,2.671551,0
0.012500,-170.206597,93.371431,117.424178,-10.161172,10.500611,-1.221001,-7.570208,-9.523810,1.709402,8.547009,2.651404,2.681319,0
