1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,119.428574,102.057145,-217.643961,-11.274725,-8.058608,3.174603,7.081807,9.523810,-2.197802,-5.616606,1.186203,4.068376,0
0.001042,53.617584,179.560444,-188.580224,-4.871795,-6.593407,-0.244200,9.035409,7.570208,1.221001,-8.058608,1.186203,4.078144,0
0.002084,-32.237363,229.336269,-144.149454,15.728938,-4.151404,-4.151404,9.523810,5.128205,5.128205,-8.058608,1.186203,4.068376,0
0.003125,-131.454948,211.630774,-93.371431,4.315018,-1.221001,-6.105006,9.523810,2.197802,7.570208,-7.570208,1.674603,4.068376,0
0.004167,-195.595609,175.217586,-26.224176,7.098901,2.686203,-8.058608,7.081807,-1.221001,9.035409,-5.616606,1.186203,4.068376,0
0.005214,-223.991214,129.784618,73.661540,-7.655678,6.105006,-8.547009,4.151404,-4.639805,9.523810,-2.686203,1.186203,4.078144,0
0.006256,-199.270334,76.668134,159.516487,-4.315018,8.547009,-7.570208,0.732601,-6.593407,8.547009,0.732601,3.628205,4.097680,0
0.007294,-159.850553,1.169231,219.648357,-1.531136,9.523810,-4.639805,-3.174603,-8.547009,5.616606,4.151404,1.186203,4.078144,0
0.008333,-117.758244,-100.386815,218.980225,12.388278,9.523810,-1.709402,-5.616606,-8.058608,3.174603,7.081807,1.186203,4.068376,0
0.009375,-51.613188,-178.224180,189.582422,8.212454,8.058608,1.221001,-7.570208,-6.593407,-0.244200,8.547009,1.186203,4.078144,0
0.010418,34.241759,-227.665939,145.485718,-12.945055,5.128205,5.128205,-8.547009,-3.663004,-3.663004,9.523810,1.186203,4.058608,0
0.011458,133.459344,-209.960444,94.707694,-2.366300,2.197802,7.570208,-8.058608,-1.221001,-6.105006,7.570208,1.186203,4.058608,0
0.012500,198.268136,-174.215389,27.894506,-3.758242,-1.221001,9.035409,-6.105006,2.686203,-8.058608,6.105006,1.186203,4.068376,0
0.013542,226.663741,-128.782420,-71.323079,9.882784,-4.639805,10.012210,-3.174603,5.616606,-8.547009,4.151404,1.186203,4.078144,0
0.014584,202.276928,-74.997804,-157.846157,7.377289,-7.081807,8.547009,0.244200,8.058608,-7.570208,0.732601,1.186203,4.087912,0
0.015625,161.520883,0.167033,-217.309895,3.479853,-8.547009,5.616606,4.151404,9.035409,-4.639805,-3.174603,0.697802,4.078144,0
0.016666,119.094508,102.391211,-217.643961,-10.717949,-8.058608,3.174603,7.081807,9.035409,-2.197802,-5.616606,0.209402,4.078144,0
0.017708,53.283518,179.894510,-188.246158,-4.871795,-6.593407,-0.244200,9.035409,7.570208,1.709402,-7.570208,1.674603,4.078144,0
0.018750,-32.571429,229.336269,-144.149454,15.450549,-3.663004,-4.151404,10.012210,5.128205,5.128205,-8.547009,1.186203,4.058608,0
0.019792,-132.123080,211.296708,-93.037365,4.315018,-0.732601,-6.593407,9.035409,2.197802,7.570208,-7.570208,1.186203,4.058608,0
0.020833,-195.929675,175.551652,-26.224176,6.542125,2.686203,-8.058608,7.081807,-1.221001,9.035409,-5.616606,1.186203,4.078144,0
0.021875,-225.327478,130.452750,73.327474,-7.098901,6.105006,-8.547009,4.151404,-4.639805,9.523810,-2.686203,1.186203,4.078144,0
0.022917,-198.936268,76.000002,159.516487,-4.871795,8.547009,-7.081807,1.221001,-7.081807,9.035409,0.732601,1.186203,4.087912,0
0.023958,-159.850553,1.169231,219.982422,0.417582,9.523810,-4.639805,-3.174603,-8.058608,5.616606,4.151404,1.186203,4.068376,0
0.025000,-117.424178,-100.720881,218.312093,14.615385,9.523810,-1.709402,-5.616606,-8.058608,3.174603,6.593407,1.186203,4.078144,0
0.026042,-51.613188,-177.890114,190.250554,7.934066,8.058608,1.709402,-7.570208,-6.593407,-0.244200,8.547009,1.186203,4.126984,0
0.027083,34.909891,-227.665939,145.485718,-12.945055,5.128205,5.128205,-8.547009,-4.151404,-3.663004,9.523810,1.186203,4.068376,0
0.028125,134.127476,-209.960444,94.039563,-2.087912,2.197802,7.570208,-8.058608,-1.221001,-6.105006,8.547009,1.186203,4.146520,0
0.029167,198.268136,-173.881323,27.226374,-4.036630,-1.221001,9.035409,-6.105006,2.686203,-7.570208,6.593407,1.186203,4.078144,0
0.030209,226.663741,-128.448355,-72.659342,10.161172,-4.639805,10.012210,-3.174603,5.616606,-8.058608,4.151404,1.186203,4.078144,0
0.031250,200.606598,-74.663738,-157.846157,7.098901,-7.081807,8.547009,0.244200,8.058608,-7.081807,0.732601,1.186203,4.097680,0
0.032292,161.186817,0.835165,-217.978027,2.644689,-8.547009,6.105006,4.151404,9.523810,-4.639805,-3.174603,1.186203,4.058608,0
0.033333,119.428574,103.059343,-216.975829,-11.553114,-8.058608,3.174603,7.081807,9.035409,-1.709402,-5.616606,1.186203,4.068376,0
0.034375,52.281320,180.896707,-187.578026,-5.706960,-6.593407,-0.732601,9.035409,7.570208,1.709402,-7.570208,1.674603,4.068376,0
0.035417,-33.573627,229.670335,-144.149454,16.564103,-4.151404,-4.151404,10.012210,5.128205,5.128205,-8.058608,1.186203,4.068376,0
0.036458,-132.457146,211.296708,-92.369233,5.150183,-0.732601,-6.105006,9.523810,2.197802,7.570208,-7.570208,0.697802,4.078144,0
0.037500,-196.597807,175.551652,-25.556045,8.212454,2.686203,-8.058608,7.081807,-1.221001,9.035409,-5.616606,1.674603,4.087912,0
0.038542,-224.993412,130.118684,73.661540,-7.655678,6.105006,-8.547009,4.639805,-4.639805,9.523810,-2.686203,1.186203,4.068376,0
0.039583,-199.270334,76.000002,159.850553,-4.593407,8.547009,-7.570208,1.221001,-7.081807,8.547009,0.732601,1.186203,4.097680,0
0.040625,-159.516487,0.501099,219.982422,-0.139194,9.035409,-4.639805,-3.174603,-8.547009,5.616606,4.151404,1.186203,4.058608,0
0.041666,-117.090113,-101.723079,218.646159,14.336996,9.523810,-1.709402,-5.616606,-7.570208,3.174603,6.593407,1.186203,4.068376,0
0.042709,-50.945056,-179.226378,189.248356,8.490842,8.058608,1.709402,-8.058608,-6.105006,-0.732601,8.547009,1.186203,4.078144,0
0.043750,35.243957,-227.665939,144.817586,-13.501832,5.128205,5.616606,-8.547009,-3.663004,-3.663004,9.523810,1.186203,4.068376,0
0.044791,134.461541,-209.292312,93.705497,-2.366300,2.197802,7.570208,-8.058608,-1.221001,-6.105006,9.035409,1.186203,4.058608,0
0.045834,198.602202,-173.547257,27.226374,-3.479853,-1.221001,9.523810,-6.105006,2.686203,-8.058608,6.593407,1.186203,4.078144,0
0.046875,226.997807,-128.448355,-72.659342,10.161172,-4.639805,9.523810,-3.174603,6.105006,-8.058608,4.151404,1.186203,4.126984,0
0.047916,200.606598,-74.329672,-158.180223,8.490842,-7.081807,8.547009,0.244200,8.547009,-7.081807,0.732601,1.186203,4.117216,0
0.048958,160.852751,1.503297,-218.646159,3.479853,-8.547009,6.105006,4.151404,9.523810,-4.639805,-2.686203,1.186203,4.136752,0
0.050000,118.760442,103.727475,-216.975829,-11.831502,-8.058608,3.174603,7.081807,9.523810,-1.709402,-5.616606,1.186203,4.068376,0
0.051041,52.615386,181.230773,-187.578026,-5.985348,-6.593407,-0.244200,9.523810,7.570208,1.709402,-7.570208,1.674603,4.078144,0
0.052083,-34.575825,229.336269,-143.481322,16.842491,-4.151404,-4.151404,10.012210,5.128205,5.128205,-8.547009,1.186203,4.068376,0
0.053125,-132.791212,211.296708,-92.369233,4.593407,-1.221001,-6.593407,9.035409,2.197802,7.570208,-8.058608,1.186203,4.068376,0
0.054167,-196.931873,174.883520,-24.553847,7.098901,2.686203,-8.058608,7.081807,-1.221001,9.035409,-5.616606,1.186203,4.068376,0
0.055213,-224.993412,129.450552,74.997804,-8.490842,6.105006,-8.058608,4.151404,-4.639805,9.523810,-2.686203,1.674603,4.078144,0
0.056257,-198.602202,74.997804,160.852751,-4.871795,8.058608,-7.570208,0.732601,-7.081807,8.547009,0.732601,1.674603,4.087912,0
0.057296,-158.180223,-1.503297,221.986818,0.139194,9.523810,-4.639805,-3.174603,-8.058608,6.105006,4.639805,1.186203,4.058608,0
0.058334,-117.090113,-102.057145,218.646159,15.172161,9.035409,-1.709402,-5.616606,-8.058608,3.174603,7.081807,1.674603,4.078144,0
0.059375,-50.945056,-179.226378,188.914290,7.934066,8.058608,1.709402,-7.570208,-6.593407,-0.244200,8.547009,1.186203,4.087912,0
0.060417,36.246155,-227.665939,144.817586,-13.501832,5.128205,5.128205,-8.547009,-4.151404,-4.151404,9.035409,1.186203,4.068376,0
0.061458,135.129673,-209.626378,93.037365,-2.923077,2.197802,8.058608,-7.570208,-0.732601,-6.105006,8.547009,1.186203,4.068376,0
0.062501,199.270334,-173.547257,26.558242,-4.315018,-1.709402,9.035409,-6.105006,2.686203,-7.570208,6.593407,1.186203,4.068376,0
0.063542,226.663741,-127.780223,-73.327474,10.439560,-4.639805,10.012210,-3.174603,5.616606,-8.058608,4.151404,1.186203,4.078144,0
0.064584,200.272532,-73.661540,-158.514289,7.377289,-7.081807,8.547009,0.244200,8.547009,-7.081807,0.732601,1.186203,4.097680,0
0.065625,160.184619,2.171429,-218.312093,3.201465,-8.547009,6.105006,4.151404,9.523810,-4.639805,-3.174603,1.186203,4.068376,0
0.066667,118.092310,104.395607,-215.305499,-11.274725,-8.058608,3.174603,7.081807,9.523810,-1.709402,-5.616606,1.186203,4.068376,0
0.067708,52.281320,181.230773,-187.243960,-6.542125,-6.593407,-0.244200,9.035409,8.058608,1.709402,-7.081807,1.186203,4.156288,0
0.068750,-34.909891,229.336269,-143.481322,17.399267,-3.663004,-4.151404,10.012210,5.128205,5.128205,-8.058608,1.186203,4.087912,0
0.069794,-134.127476,210.962642,-91.701101,5.150183,-0.732601,-6.593407,9.035409,2.197802,7.570208,-7.570208,1.186203,4.058608,0
0.070834,-197.265938,174.883520,-24.553847,7.098901,2.686203,-8.058608,7.081807,-1.221001,9.035409,-5.128205,1.186203,4.078144,0
0.071875,-224.993412,129.784618,74.997804,-8.212454,6.105006,-8.547009,4.151404,-4.639805,9.523810,-2.686203,1.186203,4.078144,0
0.072917,-198.936268,75.331870,160.184619,-5.150183,8.547009,-7.081807,0.732601,-6.593407,8.547009,0.732601,1.674603,4.097680,0
0.073960,-158.514289,-1.169231,220.984620,-0.417582,9.523810,-4.639805,-3.174603,-8.058608,6.105006,4.639805,1.186203,4.058608,0
0.075000,-117.424178,-102.391211,218.312093,15.172161,9.523810,-1.709402,-5.616606,-8.058608,2.686203,6.593407,1.186203,4.068376,0
0.076042,-50.945056,-179.894510,188.914290,9.326007,8.058608,1.709402,-7.570208,-6.593407,-0.244200,9.035409,1.186203,4.078144,0
0.077083,37.248352,-227.665939,144.483520,-13.501832,5.128205,5.128205,-8.547009,-3.663004,-4.151404,9.523810,1.186203,4.068376,0
0.078125,135.797805,-209.626378,93.037365,-3.479853,2.197802,7.570208,-8.058608,-0.732601,-6.105006,9.035409,1.186203,4.136752,0
0.079167,199.270334,-173.213191,25.556045,-3.479853,-1.709402,9.523810,-6.105006,2.686203,-7.570208,7.081807,2.651404,4.097680,0
0.080209,226.663741,-128.114289,-73.995606,10.996337,-4.639805,10.012210,-3.174603,5.616606,-8.058608,3.663004,1.186203,4.078144,0
0.081250,200.272532,-73.327474,-159.182421,7.655678,-7.081807,8.547009,0.244200,8.058608,-7.081807,0.732601,1.186203,4.087912,0
0.082292,160.184619,2.839561,-219.314291,2.923077,-8.058608,6.105006,4.639805,9.523810,-4.639805,-3.174603,1.186203,4.058608,0
0.083333,118.092310,105.063739,-216.641763,-12.388278,-8.058608,3.174603,7.081807,9.035409,-1.709402,-5.616606,1.186203,4.068376,0
0.084375,51.947254,181.564839,-187.243960,-5.985348,-6.593407,-0.732601,9.035409,8.058608,1.709402,-7.570208,1.186203,4.068376,0
0.085416,-34.909891,229.670335,-143.147256,17.120879,-3.663004,-4.151404,9.523810,5.128205,5.128205,-8.547009,1.674603,4.058608,0
0.086459,-134.461541,210.294510,-91.032969,5.428571,-0.732601,-6.105006,9.035409,2.197802,7.570208,-7.570208,1.674603,4.068376,0
0.087500,-197.934070,174.215389,-24.553847,7.655678,2.686203,-8.058608,7.081807,-1.221001,9.035409,-5.616606,1.674603,4.087912,0
0.088541,-224.993412,129.116486,75.331870,-9.326007,6.105006,-8.058608,4.151404,-4.639805,9.523810,-2.686203,1.674603,4.126984,0
0.089583,-198.936268,75.331870,160.852751,-5.706960,8.058608,-7.570208,0.732601,-7.081807,8.058608,0.244200,1.674603,4.107448,0
0.090635,-157.178025,-2.839561,221.986818,-0.139194,9.523810,-4.639805,-3.174603,-8.058608,5.616606,4.639805,1.186203,4.136752,0
0.091668,-116.421981,-103.059343,217.643961,14.893773,9.523810,-1.709402,-6.105006,-7.570208,2.686203,6.593407,1.186203,4.068376,0
0.092708,-49.942858,-179.894510,188.580224,8.769231,8.058608,1.709402,-7.570208,-7.570208,-0.732601,8.547009,1.186203,4.078144,0
0.093751,38.584616,-227.331873,144.817586,-14.615385,5.128205,5.128205,-8.547009,-3.663004,-3.663004,9.523810,1.186203,4.068376,0
0.094795,136.465937,-209.292312,92.369233,-3.479853,2.197802,8.058608,-7.570208,-0.732601,-6.593407,8.547009,1.186203,4.068376,0
0.095836,199.604400,-172.545059,25.221979,-4.593407,-1.221001,9.035409,-5.616606,2.686203,-8.058608,6.593407,1.186203,4.078144,0
0.096882,226.329675,-126.778025,-76.000002,12.388278,-5.128205,9.523810,-2.686203,5.616606,-8.547009,4.151404,1.186203,4.078144,0
0.097926,199.270334,-71.991210,-159.850553,8.212454,-7.081807,8.547009,0.732601,8.058608,-7.081807,0.732601,1.186203,4.097680,0
0.098967,158.180223,4.509890,-220.650554,2.644689,-8.058608,6.105006,4.639805,9.523810,-4.639805,-3.174603,1.186203,4.068376,0
0.100003,117.090113,106.400002,-215.973631,-12.388278,-8.058608,2.686203,7.081807,9.523810,-1.709402,-5.616606,1.186203,4.078144,0
0.101042,51.279122,182.232971,-186.909894,-7.098901,-6.593407,-0.732601,9.035409,8.058608,1.709402,-7.570208,1.186203,4.087912,0
0.102084,-36.246155,229.002203,-143.147256,17.120879,-4.151404,-4.151404,10.012210,5.128205,5.128205,-8.058608,1.186203,4.068376,0
0.103125,-134.127476,210.962642,-91.032969,5.150183,-0.732601,-6.593407,9.035409,2.197802,7.570208,-7.081807,1.186203,4.068376,0
0.104167,-198.268136,174.215389,-23.217583,7.377289,2.686203,-8.058608,7.081807,-1.221001,9.035409,-5.128205,1.186203,4.078144,0
0.105215,-224.993412,128.448355,78.004397,-10.161172,6.105006,-8.547009,4.151404,-4.639805,9.523810,-2.686203,1.186203,4.078144,0
0.106256,-197.934070,73.661540,162.189015,-5.428571,8.547009,-7.081807,0.732601,-7.081807,8.058608,0.732601,1.186203,4.087912,0
0.107292,-157.512091,-1.503297,220.984620,-0.139194,10.012210,-4.639805,-3.174603,-8.058608,5.616606,4.151404,1.186203,4.058608,0
0.108333,-116.087915,-103.727475,216.975829,15.728938,9.523810,-1.709402,-5.616606,-8.058608,2.686203,7.081807,1.186203,4.068376,0
