1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,100.720881,-162.857146,132.457146,-21.575092,-6.105006,10.500611,-3.174603,7.081807,-10.012210,3.174603,-0.278999,2.671551,0
0.001042,140.140662,-171.542861,46.936265,-4.593407,-9.523810,9.035409,0.732601,10.012210,-8.547009,-0.732601,-0.278999,2.661783,0
0.002084,153.169234,-161.520883,-44.931869,18.791209,-10.500611,6.105006,5.128205,10.500611,-5.128205,-4.639805,-0.278999,2.652015,0
0.003125,166.197806,-108.070332,-115.753849,18.791209,-10.012210,2.197802,8.058608,10.012210,-2.197802,-8.058608,-0.278999,2.671551,0
0.004166,170.206597,-19.208792,-145.819783,-1.809524,-8.058608,-1.709402,10.012210,8.058608,2.197802,-9.523810,-0.278999,2.691087,0
0.005208,150.830773,71.991210,-161.186817,-19.626374,-5.128205,-5.616606,10.989011,5.128205,6.105006,-10.012210,-0.767399,2.749695,0
0.006250,79.340661,125.107695,-172.545059,-9.604396,-0.732601,-8.547009,10.012210,1.221001,9.035409,-9.035409,-0.767399,2.691087,0
0.007292,-11.525275,148.826377,-169.872531,12.945055,3.174603,-10.012210,7.570208,-2.686203,10.500611,-6.105006,-0.278999,2.700855,0
0.008333,-102.057145,161.186817,-134.461541,24.080586,7.081807,-10.500611,3.663004,-6.593407,10.500611,-2.686203,-0.278999,2.671551,0
0.009375,-142.145058,170.206597,-49.274726,9.326007,10.012210,-8.547009,-0.244200,-9.035409,9.035409,1.221001,-0.278999,2.661783,0
0.010417,-155.507696,160.184619,43.261539,-14.893773,10.500611,-5.616606,-4.639805,-10.500611,5.616606,5.128205,-0.278999,2.661783,0
0.011458,-168.202202,105.397805,113.081321,-14.336996,10.500611,-1.709402,-7.570208,-9.523810,2.197802,8.058608,0.209402,2.661783,0
0.012500,-172.545059,17.538462,143.147256,5.985348,9.035409,2.197802,-9.523810,-8.058608,-1.709402,10.012210,-0.278999,2.681319,0
0.013542,-152.501102,-74.663738,158.180223,23.802198,5.128205,6.105006,-10.500611,-4.639805,-5.616606,10.500611,-0.278999,2.681319,0
0.014585,-81.010991,-128.114289,170.540663,13.223443,1.221001,9.523810,-9.523810,-0.244200,-8.547009,9.523810,-0.278999,2.691087,0
0.015624,9.854945,-150.496707,167.534070,-8.490842,-3.174603,10.500611,-7.081807,3.174603,-10.012210,6.593407,-0.767399,2.700855,0
0.016666,100.386815,-163.191212,132.457146,-21.575092,-6.593407,10.500611,-3.174603,7.081807,-9.523810,3.174603,-0.278999,2.681319,0
0.017709,140.474728,-171.542861,46.936265,-3.758242,-9.035409,9.035409,0.732601,10.012210,-8.547009,-0.732601,-0.767399,2.681319,0
0.018749,153.503300,-161.854949,-45.934067,19.347985,-10.012210,6.105006,4.639805,10.500611,-5.616606,-4.639805,-0.278999,2.652015,0
0.019791,166.531872,-107.402200,-115.419783,18.791209,-10.012210,2.197802,8.058608,10.012210,-1.709402,-8.058608,-0.278999,2.652015,0
0.020833,170.206597,-18.874726,-145.485718,-1.531136,-8.058608,-1.221001,10.012210,8.058608,2.197802,-10.012210,-0.278999,2.671551,0
0.021878,150.830773,73.661540,-160.518685,-20.739927,-4.639805,-5.616606,10.989011,5.128205,6.105006,-10.500611,-0.278999,2.671551,0
0.022917,79.006595,125.441761,-172.210993,-9.326007,-0.732601,-8.547009,10.012210,1.221001,10.012210,-9.035409,-0.278999,2.671551,0
0.023958,-11.859341,148.158245,-170.206597,12.666667,3.174603,-10.012210,7.570208,-2.686203,10.500611,-6.593407,-0.278999,2.691087,0
0.025000,-102.391211,161.186817,-134.461541,25.472527,7.081807,-10.012210,3.663004,-6.593407,10.500611,-2.686203,-0.278999,2.700855,0
0.026043,-142.479124,169.538465,-48.940660,12.109890,9.523810,-9.035409,-0.244200,-9.035409,9.035409,1.221001,-0.278999,2.671551,0
0.027083,-155.507696,159.850553,42.259342,-14.893773,10.989011,-5.616606,-4.151404,-10.012210,5.616606,5.128205,-0.278999,2.671551,0
0.028125,-168.202202,105.063739,113.415387,-14.058608,10.500611,-1.709402,-7.570208,-9.523810,2.197802,8.547009,-0.278999,2.681319,0
0.029167,-172.210993,16.870330,143.147256,5.428571,8.547009,2.197802,-10.012210,-8.058608,-1.709402,10.012210,-0.278999,2.671551,0
0.030209,-152.167036,-74.997804,158.848355,24.637363,5.128205,6.105006,-10.989011,-4.639805,-5.616606,10.989011,-0.278999,2.671551,0
0.031253,-80.342859,-127.780223,170.874729,12.388278,1.221001,9.035409,-9.523810,-0.732601,-9.035409,9.035409,-0.278999,2.681319,0
0.032292,9.854945,-151.164839,168.202202,-9.604396,-3.174603,10.500611,-7.081807,3.174603,-10.500611,6.593407,-0.278999,2.691087,0
0.033334,100.386815,-163.191212,132.123080,-21.853480,-6.593407,10.989011,-3.174603,7.081807,-10.012210,3.174603,-0.278999,2.671551,0
0.034375,140.474728,-171.542861,48.272529,-3.758242,-9.523810,9.523810,1.221001,9.523810,-8.058608,-0.732601,-0.278999,2.671551,0
0.035416,153.503300,-162.189015,-45.600001,17.956044,-10.012210,6.105006,5.128205,10.500611,-5.128205,-4.639805,-0.767399,2.671551,0
0.036458,166.531872,-105.397805,-116.421981,18.234432,-10.012210,2.197802,8.058608,10.012210,-1.221001,-7.570208,-0.767399,2.671551,0
0.037500,170.540663,-18.540660,-145.485718,-2.366300,-8.547009,-1.709402,10.500611,8.547009,2.197802,-9.523810,0.209402,2.700855,0
0.038542,150.162641,73.327474,-161.186817,-20.739927,-4.639805,-5.616606,10.989011,5.128205,6.105006,-10.012210,-0.278999,2.671551,0
0.039583,79.006595,125.775827,-173.213191,-9.047619,-0.244200,-8.547009,10.012210,0.732601,9.523810,-9.035409,-0.278999,2.671551,0
0.040625,-12.527473,148.826377,-169.538465,12.945055,3.174603,-10.012210,7.081807,-3.174603,10.500611,-6.593407,-0.278999,2.691087,0
0.041667,-102.391211,161.520883,-133.125278,25.750916,7.081807,-10.012210,3.663004,-6.593407,10.500611,-3.174603,-0.278999,2.671551,0
0.042708,-143.147256,169.538465,-48.272529,7.934066,9.523810,-8.547009,-0.244200,-9.035409,8.547009,1.221001,-0.278999,2.661783,0
0.043750,-155.507696,159.516487,43.261539,-16.007326,10.989011,-5.616606,-4.639805,-10.012210,6.105006,5.128205,-0.278999,2.661783,0
0.044792,-168.870333,104.729673,113.081321,-14.336996,10.500611,-1.709402,-7.570208,-9.523810,2.197802,8.547009,7.047009,2.671551,0
0.045841,-172.545059,14.865934,143.147256,6.542125,8.547009,2.197802,-10.012210,-7.570208,-1.709402,10.012210,-0.278999,2.681319,0
0.046888,-151.498904,-78.672529,158.848355,25.472527,5.128205,6.593407,-10.500611,-4.151404,-5.616606,10.989011,2.163004,2.691087,0
0.047919,-80.342859,-128.448355,171.208795,12.109890,1.221001,9.035409,-9.523810,-0.244200,-8.547009,9.523810,-1.255800,2.700855,0
0.048960,11.191209,-150.830773,168.202202,-10.439560,-3.174603,10.500611,-7.081807,3.174603,-10.012210,7.081807,-0.767399,2.681319,0
