1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,52.949452,134.127476,-171.208795,-3.758242,1.221001,-8.058608,7.081807,-1.221001,8.547009,-6.593407,-0.767399,2.144078,0
0.001042,-33.573627,153.837366,-161.186817,14.893773,4.639805,-8.547009,4.151404,-4.151404,8.547009,-3.174603,-0.767399,2.134310,0
0.002085,-105.731870,166.197806,-107.068134,20.461538,7.081807,-7.570208,0.732601,-6.593407,7.570208,-0.244200,-0.767399,2.134310,0
0.003125,-142.145058,166.865938,-21.881319,0.139194,8.547009,-5.616606,-2.197802,-8.058608,6.105006,2.686203,-0.767399,2.183150,0
0.004167,-160.184619,145.151652,66.646155,-19.626374,8.547009,-3.174603,-5.128205,-8.547009,3.174603,6.105006,-0.278999,2.124542,0
0.005208,-170.874729,80.342859,118.760442,-7.934066,7.570208,0.244200,-7.570208,-7.081807,-0.244200,7.570208,-0.278999,2.124542,0
0.006251,-164.861542,-3.507692,144.817586,9.604396,5.616606,3.663004,-8.547009,-5.128205,-3.663004,8.547009,-0.278999,2.134310,0
0.007292,-133.125278,-92.369233,159.850553,21.853480,2.197802,6.593407,-8.547009,-1.709402,-6.593407,8.547009,-0.278999,2.144078,0
0.008333,-54.619781,-135.797805,168.536267,7.098901,-1.221001,8.058608,-6.593407,1.221001,-8.058608,6.593407,-0.767399,2.144078,0
0.009375,31.569231,-154.839564,158.514289,-10.717949,-4.151404,9.035409,-4.151404,4.639805,-8.547009,3.663004,-0.278999,2.144078,0
0.010417,104.395607,-168.536267,104.061541,-12.666667,-7.081807,8.058608,-0.244200,7.081807,-7.570208,0.244200,-2.721001,2.134310,0
0.011458,140.474728,-168.536267,19.876924,5.706960,-8.547009,6.105006,2.686203,8.058608,-5.616606,-2.686203,-0.767399,2.153846,0
0.012500,158.514289,-146.821981,-68.316485,19.626374,-8.547009,3.174603,5.616606,9.035409,-2.686203,-5.616606,-0.767399,2.144078,0
0.013543,169.872531,-82.013189,-120.764838,11.831502,-7.081807,0.244200,7.570208,7.570208,0.732601,-7.570208,-0.767399,2.124542,0
0.014583,162.857146,1.837363,-146.821981,-5.428571,-5.128205,-3.174603,8.547009,5.128205,3.663004,-8.547009,-0.767399,2.144078,0
0.015625,132.123080,90.030771,-161.520883,-18.512821,-2.197802,-6.105006,9.035409,2.197802,6.105006,-8.058608,-0.278999,2.144078,0
0.016667,52.615386,134.461541,-171.208795,-4.036630,1.221001,-8.058608,7.081807,-1.221001,8.058608,-6.105006,-0.278999,2.153846,0
0.017709,-33.239561,153.169234,-160.184619,14.893773,4.639805,-8.547009,4.151404,-4.639805,9.035409,-3.663004,0.209402,2.134310,0
0.018750,-105.731870,166.197806,-106.065936,15.728938,7.081807,-7.570208,1.221001,-6.593407,8.058608,-0.244200,-0.278999,2.124542,0
0.019792,-142.813190,166.531872,-22.549451,-1.252747,8.547009,-6.105006,-2.197802,-8.058608,5.616606,2.686203,-0.278999,2.144078,0
0.020833,-159.850553,144.817586,65.978023,-16.007326,9.035409,-3.174603,-5.128205,-8.058608,3.174603,5.616606,-0.767399,2.144078,0
0.021876,-171.208795,80.342859,118.760442,-9.047619,7.570208,0.244200,-7.570208,-7.081807,-0.244200,7.570208,-0.767399,2.134310,0
0.022918,-164.193410,-3.507692,144.817586,9.604396,5.616606,3.663004,-8.547009,-4.639805,-3.663004,8.547009,1.186203,2.153846,0
0.023958,-133.793410,-91.701101,159.516487,23.523810,2.197802,6.593407,-8.547009,-1.709402,-6.105006,8.547009,-0.767399,2.144078,0
0.025000,-54.619781,-135.797805,168.870333,7.098901,-1.221001,8.058608,-6.593407,1.221001,-8.058608,6.593407,-0.278999,2.153846,0
0.026043,31.569231,-154.839564,158.848355,-10.996337,-4.639805,8.547009,-4.151404,4.639805,-8.547009,3.663004,-0.767399,2.144078,0
0.027083,103.727475,-167.868136,104.729673,-12.109890,-6.593407,8.058608,-0.732601,7.081807,-7.570208,0.732601,-0.767399,2.124542,0
0.028125,138.470333,-168.202202,19.876924,3.758242,-8.547009,6.105006,2.686203,8.547009,-5.616606,-2.686203,-0.278999,2.124542,0
0.029167,158.514289,-147.490113,-67.982419,19.069597,-8.547009,3.174603,5.616606,8.547009,-2.686203,-5.616606,-0.278999,2.124542,0
0.030209,169.872531,-82.681321,-120.764838,10.996337,-7.570208,-0.244200,7.570208,7.081807,0.732601,-7.570208,-0.767399,2.134310,0
0.031250,162.523081,1.503297,-146.821981,-6.263736,-5.616606,-3.174603,9.035409,5.128205,3.663004,-8.547009,-1.255800,2.134310,0
0.032291,132.457146,89.696705,-161.854949,-16.842491,-2.197802,-6.105006,8.547009,2.197802,6.593407,-8.058608,-0.767399,2.153846,0
0.033334,52.949452,134.127476,-171.208795,-3.758242,1.221001,-8.547009,7.081807,-1.221001,8.547009,-6.593407,-0.278999,2.144078,0
0.034375,-32.905495,152.835168,-160.852751,11.553114,4.639805,-8.547009,4.151404,-4.151404,8.547009,-3.663004,-0.278999,2.124542,0
0.035417,-105.731870,166.197806,-106.734068,15.728938,7.081807,-8.058608,0.732601,-7.081807,8.058608,-0.244200,-0.278999,2.124542,0
0.036458,-141.810992,166.865938,-22.549451,-0.139194,8.547009,-6.105006,-2.197802,-8.058608,5.616606,2.686203,-0.278999,2.124542,0
0.037500,-159.516487,145.819783,65.643958,-15.450549,8.547009,-3.174603,-5.616606,-8.547009,3.174603,5.616606,-0.767399,2.124542,0
0.038542,-170.874729,80.342859,118.426376,-8.212454,8.058608,0.244200,-7.081807,-7.081807,-0.244200,7.570208,-0.767399,2.124542,0
0.039583,-165.195608,-2.839561,148.158245,9.326007,5.616606,3.663004,-8.547009,-4.639805,-3.663004,8.547009,-0.278999,2.144078,0
