1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,-190.584620,51.279122,177.221982,-13.780220,8.547009,-7.081807,-0.732601,-8.058608,7.081807,1.221001,0.209402,4.087912,0
0.001041,-145.151652,-35.912089,225.995609,-12.388278,9.523810,-4.639805,-4.639805,-9.035409,4.151404,5.128205,0.209402,4.068376,0
0.002083,-99.384618,-132.457146,209.626378,10.439560,8.547009,-1.221001,-7.081807,-9.035409,1.221001,7.570208,-0.278999,4.078144,0
0.003124,-31.235166,-199.938466,174.549454,22.688645,6.593407,2.197802,-8.547009,-6.593407,-2.197802,8.547009,0.209402,4.087912,0
0.004169,67.314287,-225.661543,127.780223,10.996337,4.151404,5.616606,-9.035409,-3.663004,-5.128205,8.547009,0.209402,4.087912,0
0.005208,157.512091,-202.276928,71.323079,-9.047619,0.732601,7.570208,-8.058608,-0.244200,-7.570208,8.058608,0.209402,4.097680,0
0.006249,216.307697,-158.848355,-3.507692,-17.677656,-3.174603,9.035409,-5.616606,3.174603,-8.547009,5.128205,-0.278999,4.117216,0
0.007291,216.307697,-118.426376,-103.727475,6.542125,-6.105006,9.035409,-2.686203,6.105006,-8.547009,2.686203,-0.278999,4.107448,0
0.008334,187.912092,-53.617584,-180.562641,19.904762,-8.058608,7.081807,0.732601,8.058608,-7.081807,-1.221001,-0.278999,4.126984,0
0.009374,142.813190,32.905495,-228.668137,18.791209,-9.035409,4.151404,4.639805,9.523810,-4.151404,-4.639805,-0.278999,4.078144,0
0.010416,96.712090,129.450552,-212.632972,-3.201465,-8.547009,1.709402,7.081807,8.547009,-1.221001,-7.081807,0.209402,4.078144,0
0.011458,27.894506,197.265938,-177.890114,-16.285714,-6.593407,-2.197802,8.547009,6.593407,2.197802,-8.547009,0.209402,4.087912,0
0.012500,-68.650551,223.323082,-130.786816,-5.150183,-3.663004,-5.616606,9.035409,3.663004,5.128205,-8.547009,-0.278999,4.087912,0
0.013541,-161.186817,199.270334,-73.995606,15.450549,-0.244200,-7.570208,8.058608,0.732601,7.570208,-7.570208,0.209402,4.097680,0
0.014583,-218.980225,157.512091,-0.501099,24.637363,3.174603,-9.035409,5.616606,-3.174603,9.035409,-5.616606,-0.278999,4.078144,0
0.015625,-218.646159,115.753849,99.718684,1.809524,6.105006,-9.035409,2.686203,-6.105006,8.547009,-2.197802,-1.744200,4.107448,0
0.016666,-190.584620,51.613188,176.219784,-12.945055,8.058608,-7.081807,-0.732601,-8.058608,7.570208,1.221001,-0.278999,4.107448,0
0.017708,-145.151652,-35.243957,225.995609,-12.388278,9.035409,-4.639805,-4.639805,-9.035409,4.639805,4.639805,-3.209402,4.087912,0
0.018749,-99.384618,-132.123080,209.626378,9.326007,8.547009,-1.221001,-7.081807,-8.058608,1.221001,7.081807,-0.278999,4.078144,0
0.019792,-30.567034,-199.604400,174.883520,22.131868,6.593407,2.197802,-8.058608,-6.593407,-2.197802,8.547009,0.209402,4.097680,0
0.020833,66.312089,-225.661543,128.114289,12.388278,3.663004,5.616606,-9.035409,-3.663004,-5.128205,9.035409,-0.278999,4.078144,0
0.021874,157.846157,-201.608796,70.989013,-8.490842,0.244200,8.058608,-8.058608,-0.732601,-7.570208,7.570208,-0.278999,4.097680,0
0.022916,214.971433,-160.184619,-2.505495,-18.512821,-3.174603,9.035409,-5.616606,3.174603,-8.547009,5.128205,-0.278999,4.058608,0
0.023959,215.973631,-119.094508,-102.391211,4.593407,-6.105006,9.035409,-2.686203,6.105006,-8.547009,2.197802,-0.278999,4.087912,0
0.024999,188.246158,-54.619781,-180.228575,19.347985,-8.058608,7.570208,0.732601,8.058608,-7.081807,-0.732601,-0.278999,4.097680,0
0.026041,142.813190,32.905495,-229.670335,18.234432,-9.035409,4.639805,4.639805,9.035409,-4.151404,-4.639805,-0.278999,4.097680,0
0.027083,97.046156,129.450552,-212.298906,-4.315018,-8.547009,1.709402,7.081807,8.547009,-1.221001,-7.081807,-0.278999,4.087912,0
0.028125,28.562638,196.931873,-177.890114,-16.564103,-6.593407,-2.197802,9.035409,6.593407,2.197802,-8.058608,0.209402,4.146520,0
0.029166,-68.650551,222.989016,-131.120882,-5.428571,-4.151404,-5.128205,9.035409,3.663004,5.128205,-9.035409,0.209402,4.087912,0
0.030208,-160.518685,199.270334,-74.663738,15.450549,-0.244200,-7.570208,8.058608,0.732601,7.570208,-8.058608,-0.278999,4.087912,0
0.031249,-218.312093,158.180223,-0.501099,24.358974,3.174603,-8.547009,5.616606,-3.174603,8.547009,-4.639805,-0.278999,4.068376,0
0.032292,-218.646159,115.753849,99.718684,1.531136,6.105006,-8.547009,2.686203,-6.105006,8.547009,-2.686203,0.209402,4.087912,0
0.033334,-191.252752,51.947254,177.221982,-13.780220,8.058608,-7.081807,-0.732601,-8.058608,6.593407,1.221001,0.209402,4.087912,0
0.034374,-146.153849,-35.243957,225.661543,-13.223443,9.523810,-4.639805,-4.639805,-9.035409,4.639805,4.639805,-0.278999,4.068376,0
0.035417,-99.718684,-131.789014,209.626378,10.996337,8.547009,-1.221001,-7.081807,-8.058608,1.221001,7.081807,-7.116606,4.087912,0
0.036458,-30.901100,-198.602202,174.215389,22.688645,6.593407,2.197802,-8.547009,-6.593407,-1.709402,8.547009,-0.278999,4.107448,0
0.037499,66.646155,-225.661543,128.114289,10.996337,3.663004,5.128205,-9.035409,-3.663004,-5.128205,9.035409,0.209402,4.097680,0
0.038541,157.846157,-201.942862,71.657144,-10.439560,0.244200,7.570208,-8.058608,-0.244200,-7.570208,8.058608,-0.278999,4.136752,0
0.039583,215.973631,-160.518685,-2.839561,-19.904762,-3.174603,9.035409,-5.616606,3.174603,-8.547009,5.128205,-0.278999,4.068376,0
0.040625,216.307697,-118.760442,-102.725277,4.593407,-6.105006,8.547009,-2.686203,5.616606,-8.547009,2.686203,-0.278999,4.097680,0
0.041666,188.580224,-53.951650,-179.894510,19.347985,-8.058608,7.081807,0.732601,8.058608,-7.081807,-2.197802,-0.278999,4.097680,0
0.042707,142.813190,32.237363,-229.002203,18.512821,-9.035409,4.639805,4.639805,9.035409,-4.639805,-4.639805,0.209402,4.068376,0
0.043750,97.046156,128.782420,-212.298906,-3.479853,-8.547009,1.709402,7.570208,8.547009,-1.221001,-7.081807,0.209402,4.078144,0
0.044791,28.896704,195.929675,-178.224180,-16.007326,-6.593407,-1.709402,9.035409,6.593407,2.197802,-8.058608,0.209402,4.097680,0
0.045833,-68.650551,223.323082,-131.454948,-4.871795,-3.663004,-5.616606,9.035409,4.151404,5.128205,-8.547009,-1.744200,4.097680,0
0.046874,-159.850553,199.270334,-74.997804,14.336996,-0.244200,-8.058608,8.058608,0.732601,7.570208,-8.058608,-0.767399,4.107448,0
0.047917,-218.312093,157.846157,-0.835165,23.802198,3.174603,-9.035409,5.616606,-3.663004,8.547009,-5.128205,-0.278999,4.126984,0
0.048958,-218.646159,116.087915,99.384618,-1.809524,6.105006,-8.547009,2.686203,-6.105006,8.547009,-2.197802,0.209402,4.087912,0
0.049999,-190.918686,51.947254,176.887916,-13.780220,8.058608,-7.081807,-0.732601,-8.547009,7.081807,1.221001,0.209402,4.097680,0
0.051041,-145.485718,-34.909891,225.995609,-12.666667,9.035409,-4.639805,-4.639805,-9.035409,4.151404,4.639805,0.209402,4.068376,0
0.052083,-99.718684,-131.789014,209.960444,7.655678,8.547009,-1.221001,-7.081807,-8.547009,1.221001,7.081807,0.209402,4.078144,0
0.053124,-30.232968,-199.270334,174.883520,21.853480,7.081807,2.197802,-8.547009,-6.593407,-1.221001,8.058608,-0.278999,4.087912,0
0.054166,65.643958,-226.663741,128.448355,11.274725,3.663004,5.616606,-9.035409,-3.174603,-5.128205,8.547009,0.209402,4.087912,0
0.055208,157.178025,-202.276928,71.657144,-9.047619,0.732601,7.570208,-8.058608,-0.244200,-7.570208,7.570208,0.209402,4.097680,0
0.056250,215.639565,-160.852751,-1.503297,-17.956044,-3.174603,9.035409,-5.128205,3.174603,-8.547009,5.616606,-0.767399,4.136752,0
0.057291,216.641763,-119.094508,-102.391211,4.036630,-6.105006,9.035409,-2.686203,6.105006,-8.547009,2.686203,0.209402,4.107448,0
0.058333,188.580224,-54.285715,-179.894510,18.791209,-8.058608,7.570208,0.732601,8.058608,-7.081807,-0.732601,-0.278999,4.156288,0
0.059375,143.147256,31.903297,-229.002203,19.904762,-9.035409,4.639805,4.639805,9.035409,-4.639805,-4.639805,0.209402,4.068376,0
0.060416,97.714288,128.782420,-212.632972,-5.706960,-9.035409,1.709402,7.081807,8.547009,-1.221001,-7.081807,0.209402,4.078144,0
0.061458,29.230770,196.263741,-178.224180,-15.728938,-6.593407,-2.197802,8.547009,6.593407,1.709402,-9.035409,0.209402,4.087912,0
0.062499,-67.982419,222.989016,-131.454948,-4.593407,-4.151404,-5.128205,9.035409,3.663004,5.128205,-7.570208,0.209402,4.087912,0
0.063542,-160.184619,199.270334,-74.997804,15.172161,-0.244200,-7.570208,8.547009,0.244200,7.570208,-7.570208,0.209402,4.097680,0
0.064583,-218.980225,157.846157,-2.505495,23.523810,3.174603,-9.035409,5.616606,-3.174603,8.547009,-5.616606,0.209402,4.078144,0
0.065625,-218.646159,116.087915,99.384618,2.087912,6.105006,-9.035409,2.686203,-6.105006,9.035409,-2.686203,-1.255800,4.097680,0
0.066666,-190.918686,51.947254,176.219784,-14.058608,8.058608,-7.081807,-0.732601,-8.058608,7.081807,1.221001,-0.278999,4.117216,0
0.067708,-145.485718,-34.575825,226.329675,-13.501832,9.035409,-4.639805,-4.151404,-9.035409,4.151404,4.639805,1.186203,4.097680,0
0.068750,-100.386815,-131.120882,209.626378,7.377289,8.547009,-1.221001,-7.081807,-8.547009,1.221001,7.081807,-0.278999,4.078144,0
0.069791,-31.903297,-198.936268,175.551652,22.410256,6.105006,2.197802,-8.547009,-6.593407,-2.197802,8.547009,0.209402,4.097680,0
0.070833,65.978023,-225.995609,128.782420,10.717949,3.663004,5.128205,-9.035409,-3.663004,-5.128205,9.035409,0.209402,4.087912,0
0.071875,157.512091,-201.942862,71.991210,-8.490842,0.732601,7.570208,-8.058608,-0.732601,-7.570208,6.593407,-0.278999,4.097680,0
0.072916,215.305499,-160.518685,-1.837363,-18.234432,-3.174603,9.035409,-5.616606,3.174603,-9.035409,5.128205,0.209402,4.068376,0
0.073958,216.307697,-116.756047,-101.723079,4.315018,-6.105006,9.035409,-2.686203,6.105006,-8.547009,2.686203,0.209402,4.097680,0
0.074999,188.580224,-54.953847,-179.894510,18.791209,-8.058608,7.570208,0.732601,8.058608,-7.081807,-1.221001,-0.278999,4.097680,0
0.076042,143.147256,31.903297,-229.670335,19.069597,-9.035409,4.639805,4.639805,9.035409,-4.639805,-4.639805,-0.767399,4.087912,0
0.077083,97.714288,128.448355,-212.632972,-5.985348,-8.547009,1.221001,7.081807,8.547009,-1.221001,-7.081807,-0.278999,4.087912,0
