1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,-131.454948,-97.714288,194.927477,13.780220,8.058608,1.221001,-8.547009,-7.570208,-0.732601,9.035409,-0.278999,3.501832,0
0.001042,-73.327474,-178.892312,172.210993,28.813187,5.616606,4.639805,-9.523810,-4.639805,-4.639805,9.523810,-0.278999,3.492063,0
0.002084,27.226374,-201.608796,153.169234,7.934066,1.709402,8.058608,-8.547009,-1.221001,-7.570208,9.035409,0.209402,3.492063,0
0.003125,123.437365,-193.257147,110.408794,-13.223443,-1.709402,9.523810,-6.593407,2.197802,-8.547009,6.593407,-0.278999,3.501832,0
0.004167,192.923081,-165.529674,39.920880,-21.575092,-5.128205,9.523810,-3.174603,6.105006,-9.035409,3.663004,-0.767399,3.589744,0
0.005209,200.940664,-140.808794,-69.318683,7.655678,-8.058608,9.035409,-0.244200,8.058608,-8.058608,0.244200,-0.767399,3.492063,0
0.006251,182.901103,-93.371431,-155.841762,24.358974,-9.035409,6.105006,3.174603,9.523810,-5.616606,-3.174603,-0.767399,3.501832,0
0.007292,159.182421,-7.516484,-197.265938,16.564103,-9.523810,2.686203,7.081807,9.523810,-2.197802,-6.593407,-0.278999,3.511600,0
0.008334,129.450552,95.709892,-198.268136,-12.388278,-8.058608,-0.732601,9.035409,8.058608,1.709402,-8.547009,0.209402,3.501832,0
0.009376,70.989013,177.221982,-174.215389,-24.915751,-5.128205,-4.151404,9.523810,5.128205,4.639805,-9.035409,0.209402,3.492063,0
0.010417,-28.896704,199.270334,-155.173630,-2.087912,-1.221001,-7.081807,9.035409,1.709402,7.570208,-8.547009,-0.278999,3.492063,0
0.011459,-125.775827,190.918686,-112.747255,19.626374,2.197802,-8.547009,7.081807,-1.709402,9.035409,-6.105006,0.209402,3.492063,0
0.012500,-195.261543,161.854949,-40.923078,25.750916,5.616606,-9.035409,3.663004,-5.128205,9.523810,-3.174603,0.209402,3.482295,0
0.013542,-203.279125,139.472531,66.646155,1.252747,8.547009,-8.058608,0.244200,-7.570208,8.058608,0.244200,-0.278999,3.492063,0
0.014583,-185.239565,90.698903,152.835168,-19.904762,9.523810,-5.616606,-3.174603,-9.035409,6.105006,3.663004,-0.278999,3.501832,0
0.015625,-161.186817,5.846154,195.261543,-10.439560,9.523810,-2.197802,-6.593407,-8.547009,2.686203,7.081807,-0.278999,3.492063,0
0.016667,-131.120882,-98.716486,195.595609,12.945055,8.058608,1.221001,-9.035409,-7.570208,-0.732601,9.035409,-0.278999,3.511600,0
0.017709,-72.659342,-178.892312,171.876927,29.926740,5.128205,4.639805,-8.547009,-4.639805,-4.151404,9.523810,-0.278999,3.589744,0
0.018750,27.560440,-201.274730,152.501102,6.820513,1.709402,7.570208,-8.547009,-1.221001,-7.081807,9.035409,-0.278999,3.492063,0
0.019792,123.771431,-192.589015,110.074728,-14.893773,-1.709402,9.035409,-6.105006,2.197802,-8.547009,6.593407,-0.278999,3.501832,0
0.020833,192.923081,-164.861542,39.252748,-21.296703,-5.128205,10.012210,-3.174603,5.616606,-9.035409,3.663004,-0.278999,3.482295,0
0.021876,200.940664,-141.476926,-69.986815,4.036630,-8.058608,8.547009,-0.244200,8.058608,-8.058608,-0.244200,-0.278999,3.492063,0
0.022917,182.567037,-93.371431,-156.509894,24.080586,-9.035409,6.105006,3.663004,9.035409,-5.616606,-3.174603,0.209402,3.492063,0
0.023958,158.514289,-7.182418,-197.600004,17.120879,-9.035409,2.686203,7.081807,9.523810,-2.197802,-6.593407,0.697802,3.492063,0
0.025000,129.116486,96.378024,-197.934070,-8.490842,-7.570208,-1.221001,9.035409,8.058608,1.709402,-8.547009,-0.278999,3.531136,0
0.026042,70.320881,177.221982,-173.881323,-19.904762,-4.639805,-4.639805,10.012210,5.128205,4.639805,-9.035409,-0.278999,3.501832,0
0.027083,-29.898902,199.270334,-155.173630,-2.366300,-1.221001,-7.570208,9.035409,1.709402,7.570208,-8.547009,-0.278999,3.540904,0
0.028126,-126.443959,190.918686,-112.747255,17.120879,2.197802,-9.035409,7.081807,-1.709402,9.035409,-6.105006,-0.278999,3.501832,0
0.029167,-194.593411,162.857146,-40.589012,26.307692,5.616606,-9.523810,4.151404,-5.128205,9.523810,-3.174603,-0.278999,3.482295,0
0.030209,-203.279125,139.472531,67.648353,0.974359,8.547009,-8.058608,0.244200,-8.058608,8.058608,0.244200,0.209402,3.482295,0
0.031250,-184.571433,90.698903,153.503300,-19.904762,9.523810,-5.616606,-3.174603,-8.547009,5.616606,3.663004,0.209402,3.482295,0
0.032292,-161.186817,4.509890,195.261543,-11.831502,9.523810,-2.197802,-6.593407,-9.035409,2.197802,7.081807,0.209402,3.482295,0
0.033334,-131.454948,-98.716486,195.595609,13.223443,8.058608,1.221001,-8.547009,-7.081807,-0.732601,8.547009,0.209402,3.501832,0
0.034375,-71.991210,-179.894510,171.542861,29.926740,5.616606,5.128205,-9.523810,-4.639805,-4.639805,9.523810,-0.767399,3.540904,0
0.035417,27.894506,-200.940664,152.167036,7.934066,1.709402,8.058608,-8.547009,-0.732601,-7.081807,8.547009,-0.278999,3.501832,0
0.036458,124.439563,-192.589015,109.406596,-14.615385,-2.197802,9.523810,-6.593407,2.197802,-8.547009,6.593407,-0.278999,3.501832,0
0.037501,192.589015,-164.861542,38.918682,-20.739927,-5.616606,9.523810,-3.663004,6.105006,-9.035409,3.174603,-0.278999,3.531136,0
0.038542,201.274730,-141.476926,-69.986815,4.036630,-8.058608,8.547009,-0.244200,7.570208,-8.058608,0.244200,-0.278999,3.482295,0
0.039584,182.567037,-92.703299,-156.509894,24.637363,-9.035409,6.105006,3.663004,9.523810,-5.616606,-3.174603,-0.278999,3.492063,0
0.040625,159.516487,-6.514286,-197.600004,16.007326,-9.035409,2.686203,7.081807,9.035409,-2.197802,-7.081807,-0.278999,3.472527,0
0.041667,129.450552,96.712090,-197.934070,-9.047619,-7.570208,-0.732601,9.523810,8.058608,1.221001,-8.547009,-0.278999,3.492063,0
0.042708,69.652749,177.221982,-173.547257,-24.358974,-4.639805,-4.639805,10.012210,5.128205,4.639805,-9.035409,0.209402,3.492063,0
0.043750,-30.567034,199.270334,-155.507696,-1.531136,-1.221001,-7.081807,9.035409,1.709402,8.058608,-8.547009,-0.278999,3.511600,0
0.044792,-128.782420,190.250554,-112.413189,20.461538,2.197802,-8.547009,7.081807,-1.709402,9.035409,-6.105006,-0.278999,3.560440,0
0.045834,-194.927477,162.523081,-40.589012,26.029304,6.105006,-9.523810,4.151404,-5.128205,9.523810,-3.174603,-0.278999,3.492063,0
0.046875,-203.279125,139.138465,67.982419,0.417582,8.547009,-8.058608,0.732601,-8.058608,8.058608,0.244200,-0.278999,3.492063,0
0.047917,-184.571433,90.364837,154.171432,-20.461538,9.523810,-6.105006,-3.174603,-9.035409,6.105006,3.663004,-0.278999,3.482295,0
0.048958,-161.186817,4.843956,195.261543,-10.717949,9.523810,-2.197802,-6.593407,-8.547009,2.197802,7.081807,0.209402,3.482295,0
0.050001,-130.786816,-99.050552,195.261543,13.780220,8.058608,1.221001,-9.035409,-7.081807,-1.221001,9.035409,0.209402,3.501832,0
0.051042,-72.659342,-179.894510,171.876927,28.813187,5.616606,4.639805,-9.523810,-4.639805,-4.639805,9.523810,-0.278999,3.492063,0
0.052083,27.894506,-201.942862,152.835168,5.985348,1.709402,8.058608,-8.547009,-1.221001,-7.081807,9.035409,0.209402,3.492063,0
0.053125,125.107695,-192.589015,109.072530,-15.450549,-1.709402,9.035409,-6.105006,2.197802,-8.547009,6.593407,-0.278999,3.501832,0
0.054168,192.923081,-164.861542,37.582418,-21.296703,-5.616606,9.523810,-3.174603,6.105006,-9.035409,3.174603,-0.278999,3.531136,0
0.055209,201.274730,-140.808794,-70.989013,3.201465,-8.058608,9.035409,0.244200,8.547009,-8.058608,0.244200,-0.278999,3.492063,0
0.056250,182.567037,-92.369233,-158.180223,25.472527,-9.523810,6.105006,3.663004,9.035409,-5.616606,-3.174603,-0.278999,3.501832,0
0.057292,158.848355,-6.180220,-197.265938,16.564103,-9.035409,2.686203,7.081807,9.035409,-1.709402,-6.593407,-0.278999,3.521368,0
0.058334,128.782420,97.380222,-197.934070,-12.388278,-7.570208,-1.221001,9.035409,8.058608,1.221001,-8.547009,-0.278999,3.501832,0
0.059375,69.652749,177.556048,-173.881323,-24.358974,-4.639805,-4.639805,10.012210,5.128205,4.639805,-9.035409,-0.278999,3.492063,0
0.060417,-30.567034,199.270334,-154.839564,-1.531136,-1.221001,-7.570208,9.035409,1.709402,7.570208,-8.547009,0.209402,3.492063,0
0.061459,-126.778025,190.584620,-111.410991,19.626374,2.686203,-9.035409,6.593407,-2.197802,9.035409,-6.105006,0.209402,3.492063,0
0.062500,-195.261543,162.189015,-40.589012,25.750916,6.105006,-9.035409,3.663004,-5.128205,9.523810,-3.174603,-0.278999,3.482295,0
