1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,-164.193410,177.556048,-80.008793,11.553114,4.151404,-8.547009,6.105006,-3.174603,9.523810,-4.639805,0.697802,3.452991,0
0.001041,-195.261543,156.175828,11.191209,-12.109890,7.570208,-9.035409,2.686203,-6.593407,9.523810,-1.221001,0.697802,3.462759,0
0.002083,-194.927477,123.437365,114.083519,-8.490842,9.523810,-7.081807,-0.732601,-8.058608,7.570208,2.197802,0.697802,3.482295,0
0.003125,-165.863740,62.303298,185.239565,-1.252747,10.500611,-3.663004,-4.639805,-9.035409,4.639805,6.105006,0.697802,3.452991,0
0.004167,-148.492311,-43.929671,200.272532,17.120879,9.523810,-0.244200,-7.570208,-8.547009,1.221001,9.035409,0.697802,3.462759,0
0.005208,-104.395607,-136.800003,186.909894,8.212454,7.081807,3.174603,-8.547009,-6.105006,-2.197802,9.523810,0.697802,3.462759,0
0.006250,-26.558242,-191.920883,163.859344,-15.172161,4.151404,7.081807,-9.035409,-2.686203,-5.616606,10.012210,1.186203,3.452991,0
0.007291,78.672529,-201.942862,137.468135,-12.945055,0.244200,9.035409,-7.570208,0.732601,-7.570208,8.547009,1.186203,3.452991,0
0.008333,165.863740,-175.885718,81.345057,-6.820513,-3.174603,10.012210,-5.128205,4.151404,-8.547009,5.616606,0.697802,3.452991,0
0.009375,196.597807,-155.173630,-10.523077,15.728938,-6.593407,10.012210,-1.709402,7.570208,-8.547009,2.197802,0.697802,3.511600,0
0.010416,196.263741,-122.101102,-112.747255,12.388278,-8.547009,8.058608,1.709402,9.523810,-6.593407,-1.221001,1.186203,3.472527,0
0.011458,167.200004,-60.967034,-183.903301,3.201465,-9.035409,4.639805,6.105006,10.012210,-3.663004,-4.639805,0.697802,3.452991,0
0.012500,150.162641,46.268133,-198.936268,-14.058608,-8.547009,1.221001,8.547009,9.035409,0.244200,-7.570208,0.697802,3.443223,0
0.013541,106.065936,138.136267,-185.573631,-5.985348,-5.616606,-2.197802,10.012210,7.081807,3.663004,-8.547009,0.697802,3.462759,0
0.014583,27.894506,193.925279,-163.191212,17.399267,-2.686203,-6.105006,10.500611,3.663004,7.081807,-8.547009,0.697802,3.462759,0
0.015625,-77.670331,203.613191,-135.463739,15.728938,0.732601,-7.570208,8.547009,0.244200,9.035409,-7.081807,1.186203,3.462759,0
0.016667,-165.195608,177.556048,-80.342859,9.882784,4.151404,-8.547009,6.105006,-2.686203,9.523810,-4.151404,1.186203,3.443223,0
0.017708,-195.261543,155.841762,12.861539,-12.945055,7.570208,-8.547009,2.686203,-6.593407,9.523810,-1.709402,1.186203,3.443223,0
0.018750,-194.927477,123.437365,114.417585,-7.934066,9.523810,-6.593407,-0.732601,-8.058608,7.570208,2.197802,1.186203,3.482295,0
0.019791,-165.863740,61.635166,185.239565,-1.809524,10.012210,-3.663004,-4.639805,-8.547009,4.639805,5.616606,1.186203,3.511600,0
0.020834,-148.826377,-44.931869,200.940664,20.739927,9.523810,-0.244200,-7.081807,-8.058608,1.221001,8.547009,0.697802,3.462759,0
0.021874,-103.727475,-137.134069,186.575828,8.212454,6.593407,3.174603,-8.547009,-5.616606,-2.197802,9.523810,0.697802,3.482295,0
0.022916,-25.556045,-191.920883,164.193410,-15.450549,4.151404,7.081807,-9.035409,-2.686203,-6.105006,9.523810,0.697802,3.462759,0
0.023958,79.674727,-201.942862,136.465937,-15.450549,0.244200,9.035409,-7.570208,0.732601,-7.570208,8.058608,1.186203,3.462759,0
0.025000,167.200004,-175.551652,80.676925,-7.377289,-3.174603,10.012210,-5.128205,4.151404,-8.547009,6.105006,0.697802,3.452991,0
0.026041,196.931873,-154.839564,-11.525275,15.450549,-6.593407,9.523810,-1.221001,7.570208,-8.547009,2.197802,1.186203,3.452991,0
0.027083,195.929675,-121.432970,-114.083519,10.996337,-8.547009,8.058608,2.197802,9.523810,-6.593407,-1.221001,1.186203,3.472527,0
0.028125,167.200004,-60.632968,-183.569235,3.201465,-9.035409,5.128205,5.616606,10.012210,-3.663004,-4.639805,1.186203,3.452991,0
0.029166,149.828575,47.604397,-198.936268,-14.058608,-8.547009,1.221001,9.035409,9.035409,-0.244200,-7.570208,1.186203,3.462759,0
0.030209,105.397805,138.470333,-185.239565,-6.263736,-6.105006,-2.197802,10.012210,7.081807,3.663004,-8.058608,0.697802,3.501832,0
0.031256,24.887913,193.257147,-162.523081,16.564103,-2.686203,-6.105006,10.012210,3.663004,7.081807,-8.547009,1.186203,3.482295,0
0.032292,-78.672529,203.279125,-135.463739,16.564103,0.732601,-8.058608,9.035409,0.244200,9.035409,-7.081807,0.697802,3.472527,0
0.033333,-165.529674,176.887916,-79.674727,9.604396,4.151404,-8.547009,6.105006,-3.174603,9.523810,-4.639805,0.697802,3.452991,0
0.034375,-195.261543,156.175828,13.863737,-13.780220,7.570208,-8.547009,4.151404,-6.593407,9.523810,-0.732601,0.697802,3.452991,0
0.035417,-194.593411,123.103299,115.419783,-9.047619,9.523810,-6.593407,-0.732601,-8.058608,7.570208,2.686203,0.697802,3.472527,0
0.036458,-165.529674,60.967034,185.907696,-0.695971,10.012210,-3.663004,-4.639805,-8.547009,4.639805,5.616606,1.186203,3.462759,0
0.037500,-148.826377,-44.931869,199.938466,16.842491,9.523810,-0.244200,-8.058608,-8.058608,1.221001,8.058608,1.186203,3.452991,0
0.038541,-103.059343,-138.804399,186.575828,8.490842,7.081807,3.663004,-8.547009,-5.616606,-2.197802,9.523810,1.186203,3.462759,0
0.039583,-25.221979,-192.254949,166.531872,-14.058608,3.663004,7.081807,-9.035409,-2.686203,-5.616606,9.523810,0.697802,3.462759,0
0.040625,81.345057,-201.942862,136.800003,-14.615385,0.244200,9.035409,-7.570208,1.221001,-7.570208,8.547009,0.697802,3.521368,0
0.041666,166.865938,-175.551652,80.676925,-7.098901,-3.174603,10.012210,-4.639805,4.151404,-8.547009,5.616606,0.697802,3.443223,0
0.042708,196.931873,-154.839564,-12.193407,15.728938,-6.593407,10.012210,-1.221001,7.570208,-8.058608,2.197802,1.186203,3.452991,0
0.043750,196.263741,-121.767036,-114.417585,10.717949,-8.547009,7.570208,2.197802,9.523810,-6.593407,-1.221001,0.697802,3.472527,0
0.044792,166.865938,-58.962639,-184.571433,0.974359,-9.035409,5.128205,5.616606,10.012210,-3.663004,-4.639805,0.697802,3.452991,0
0.045833,150.162641,47.938463,-198.936268,-14.893773,-8.547009,1.221001,9.035409,9.035409,-0.244200,-7.081807,1.186203,3.462759,0
0.046876,104.729673,139.138465,-184.905499,-5.428571,-5.616606,-2.197802,10.500611,7.081807,3.663004,-8.547009,1.186203,3.462759,0
