1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,-11.525275,148.492311,-167.868136,14.336996,3.663004,-10.012210,7.570208,-2.686203,10.500611,-6.105006,0.209402,2.681319,0
0.001042,-100.386815,163.525278,-131.120882,-8.490842,7.570208,-10.012210,4.151404,-6.593407,10.500611,-2.686203,0.697802,2.671551,0
0.002087,-140.474728,169.538465,-44.263737,-5.706960,10.012210,-8.058608,-0.244200,-9.035409,8.547009,1.221001,0.697802,2.661783,0
0.003125,-151.164839,160.184619,45.265935,-7.934066,11.477411,-5.128205,-4.151404,-10.012210,6.593407,5.616606,0.697802,2.652015,0
0.004167,-167.868136,106.400002,115.753849,9.326007,10.989011,-1.221001,-7.570208,-9.523810,2.686203,9.035409,0.697802,2.661783,0
0.005208,-169.538465,17.872528,140.808794,13.223443,9.035409,2.686203,-9.523810,-7.570208,-1.221001,10.500611,-1.744200,2.691087,0
0.006251,-150.496707,-72.993408,158.514289,12.109890,5.616606,6.593407,-10.500611,-4.151404,-5.616606,11.477411,0.697802,2.681319,0
0.007291,-78.338463,-125.107695,172.545059,-4.036630,0.732601,9.523810,-9.035409,-0.244200,-8.547009,10.012210,0.209402,2.681319,0
0.008333,12.861539,-147.156047,168.870333,-12.388278,-2.686203,10.989011,-6.593407,4.151404,-9.523810,7.081807,0.209402,2.691087,0
0.009375,101.389013,-162.189015,131.789014,9.604396,-6.593407,10.989011,-2.686203,7.570208,-9.523810,3.663004,0.209402,2.671551,0
0.010417,141.810992,-168.536267,45.934067,6.820513,-9.035409,9.523810,1.709402,9.523810,-8.058608,-0.732601,0.209402,2.661783,0
0.011458,152.167036,-159.182421,-44.263737,9.882784,-10.500611,6.105006,5.128205,10.989011,-5.128205,-6.593407,0.209402,2.661783,0
0.012500,169.204399,-104.395607,-114.417585,-7.377289,-9.523810,2.686203,8.547009,10.500611,-1.221001,-7.570208,0.697802,2.661783,0
0.013542,170.206597,-16.202198,-139.472531,-10.996337,-8.058608,-1.221001,10.989011,8.547009,2.686203,-9.523810,0.697802,2.681319,0
