1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,158.180223,-152.167036,-59.296705,17.677656,-8.547009,3.663004,5.128205,8.547009,-3.174603,-5.128205,-0.767399,2.095238,0
0.001042,169.538465,-91.032969,-119.094508,12.945055,-7.570208,0.244200,8.058608,7.570208,-1.221001,-7.081807,-0.278999,2.114774,0
0.002083,165.863740,-6.514286,-147.824179,-3.201465,-5.616606,-3.174603,9.035409,5.128205,3.174603,-8.058608,-0.278999,2.124542,0
0.003125,139.472531,83.015386,-163.191212,-18.791209,-2.197802,-5.616606,8.547009,2.686203,6.105006,-8.058608,-0.278999,2.114774,0
0.004167,63.305496,131.120882,-171.876927,-5.985348,1.221001,-7.570208,7.081807,-0.732601,8.058608,-6.105006,-0.278999,2.114774,0
0.005209,-24.553847,151.832970,-164.527476,13.223443,4.639805,-8.547009,4.639805,-3.663004,8.547009,-3.663004,0.209402,2.124542,0
0.006250,-103.727475,166.531872,-116.421981,16.842491,7.081807,-7.570208,1.221001,-6.593407,8.058608,-0.732601,-0.767399,2.222222,0
0.007291,-144.483520,167.200004,-33.907693,3.479853,8.547009,-6.105006,-1.709402,-7.570208,6.105006,2.686203,-0.767399,2.124542,0
0.008333,-159.850553,150.496707,56.958243,-19.904762,8.547009,-3.174603,-4.639805,-8.058608,3.174603,5.616606,-0.278999,2.105006,0
0.009375,-170.874729,89.362639,116.756047,-9.604396,7.570208,0.244200,-7.081807,-7.081807,-0.244200,7.570208,-0.278999,2.105006,0
0.010416,-167.534070,4.843956,145.485718,5.706960,5.616606,3.174603,-8.058608,-5.128205,-2.686203,8.547009,-0.278999,2.114774,0
0.011458,-141.476926,-84.685716,160.852751,22.688645,2.686203,6.105006,-8.547009,-2.197802,-6.105006,8.058608,-0.278999,2.124542,0
0.012500,-66.312089,-133.125278,170.540663,8.769231,-0.732601,8.058608,-7.081807,1.221001,-7.570208,6.593407,-0.278999,2.114774,0
0.013542,22.883517,-154.505498,162.189015,-10.161172,-4.151404,9.035409,-4.151404,4.151404,-8.058608,4.151404,-0.767399,2.124542,0
0.014583,102.057145,-168.870333,114.083519,-14.893773,-6.593407,8.058608,-0.732601,7.081807,-7.570208,1.221001,-0.278999,2.114774,0
0.015625,143.147256,-167.534070,31.903297,-0.974359,-8.058608,6.593407,2.686203,8.547009,-5.616606,-2.197802,-0.767399,2.144078,0
0.016667,158.180223,-152.167036,-59.630771,14.336996,-8.547009,3.663004,5.616606,8.547009,-3.174603,-4.639805,-0.767399,2.114774,0
0.017708,169.538465,-91.032969,-119.094508,12.666667,-7.570208,0.244200,7.570208,7.570208,0.244200,-7.081807,-1.255800,2.124542,0
0.018750,165.529674,-6.514286,-147.824179,-6.542125,-5.616606,-2.686203,9.035409,5.616606,3.174603,-8.058608,-0.767399,2.124542,0
0.019792,139.472531,82.681321,-162.857146,-19.626374,-2.686203,-5.616606,8.547009,2.686203,6.105006,-8.058608,-0.278999,2.114774,0
0.020833,63.973628,130.786816,-172.210993,-5.985348,1.221001,-8.058608,7.081807,-0.732601,8.058608,-6.593407,-0.278999,2.114774,0
0.021875,-24.219781,152.167036,-164.193410,12.109890,4.639805,-8.547009,4.639805,-3.663004,8.547009,-3.663004,0.209402,2.114774,0
0.022916,-103.727475,166.531872,-116.421981,17.399267,7.081807,-8.058608,1.221001,-6.105006,8.058608,-0.732601,-0.278999,2.114774,0
0.023958,-145.151652,166.865938,-35.578023,4.036630,8.547009,-5.616606,-1.709402,-8.058608,6.105006,2.686203,-0.278999,2.114774,0
0.025000,-159.516487,149.828575,56.958243,-14.336996,9.035409,-3.174603,-5.128205,-8.058608,3.174603,5.616606,0.697802,2.124542,0
0.026042,-170.874729,89.362639,116.421981,-8.769231,8.058608,0.244200,-7.081807,-7.081807,0.244200,8.058608,-0.767399,2.124542,0
0.027083,-167.534070,5.178022,145.485718,5.706960,6.105006,3.174603,-8.058608,-5.128205,-2.686203,8.547009,-1.744200,2.153846,0
0.028125,-141.476926,-84.685716,160.852751,21.296703,2.686203,7.570208,-8.058608,-2.197802,-5.616606,8.547009,-0.767399,2.124542,0
0.029167,-65.643958,-133.125278,170.206597,9.326007,-0.732601,8.058608,-7.081807,1.221001,-7.570208,7.081807,-0.278999,2.114774,0
0.030208,23.217583,-154.171432,162.189015,-10.439560,-3.663004,8.547009,-4.151404,4.151404,-8.058608,4.151404,-0.278999,2.114774,0
0.031250,101.389013,-168.202202,114.417585,-15.172161,-6.593407,8.058608,-0.732601,7.081807,-7.570208,0.732601,-0.278999,2.105006,0
0.032292,143.147256,-168.870333,32.905495,-1.252747,-8.058608,6.105006,2.197802,8.547009,-5.616606,-2.197802,-0.278999,2.105006,0
0.033334,157.846157,-152.501102,-58.628573,17.677656,-8.547009,3.663004,5.128205,8.547009,-3.174603,-5.616606,-0.278999,2.105006,0
0.034375,169.538465,-92.369233,-118.426376,12.666667,-7.570208,0.244200,7.570208,7.570208,0.244200,-7.081807,-0.278999,2.114774,0
0.035417,165.529674,-6.848352,-148.492311,-2.366300,-5.128205,-2.686203,8.547009,5.616606,3.663004,-8.058608,-0.767399,2.153846,0
0.036458,139.806597,83.015386,-164.193410,-19.347985,-2.197802,-5.616606,8.547009,2.686203,6.593407,-8.058608,-0.278999,2.124542,0
0.037500,64.307694,131.120882,-172.210993,-5.706960,1.221001,-7.570208,7.570208,-0.732601,8.058608,-6.593407,-0.278999,2.173382,0
0.038541,-24.219781,152.167036,-164.527476,13.223443,4.151404,-8.547009,4.639805,-3.663004,8.547009,-3.663004,-0.278999,2.114774,0
0.039583,-103.393409,166.531872,-116.421981,17.956044,7.081807,-7.570208,1.221001,-6.593407,8.058608,-0.244200,-0.278999,2.105006,0
0.040625,-144.817586,167.200004,-35.243957,3.758242,8.547009,-6.105006,-1.709402,-8.058608,6.105006,2.686203,-0.278999,2.105006,0
0.041666,-159.516487,150.496707,56.290111,-15.172161,8.547009,-3.174603,-5.128205,-8.058608,3.174603,5.616606,-0.278999,2.105006,0
0.042708,-170.874729,89.696705,116.087915,-9.604396,8.058608,0.244200,-7.081807,-7.081807,0.244200,7.570208,-0.278999,2.105006,0
0.043750,-167.868136,5.512088,143.815388,5.985348,6.105006,3.174603,-8.058608,-5.128205,-3.174603,8.547009,-0.278999,2.124542,0
0.044792,-141.810992,-84.017584,160.518685,22.688645,2.686203,6.105006,-8.058608,-1.709402,-5.616606,8.547009,-0.767399,2.144078,0
0.045833,-65.643958,-133.125278,170.206597,9.047619,-0.732601,8.058608,-6.593407,0.732601,-7.570208,7.081807,-0.767399,2.134310,0
0.046875,22.549451,-154.171432,162.189015,-9.604396,-3.663004,9.035409,-4.151404,4.151404,-8.058608,4.151404,-0.278999,2.153846,0
0.047917,101.389013,-168.202202,114.751651,-17.956044,-6.593407,8.058608,-1.221001,7.081807,-7.570208,1.221001,-0.278999,2.114774,0
0.048958,143.147256,-168.870333,33.239561,-0.417582,-8.058608,6.105006,2.197802,8.547009,-5.616606,-2.197802,-0.278999,2.114774,0
0.050000,158.180223,-152.501102,-58.294507,16.564103,-8.547009,3.663004,5.128205,8.547009,-3.174603,-5.128205,-0.767399,2.105006,0
0.051042,169.204399,-91.367035,-118.760442,12.945055,-7.570208,0.244200,7.570208,7.570208,0.244200,-6.593407,-0.278999,2.114774,0
0.052083,165.195608,-6.848352,-147.824179,2.087912,-5.128205,-2.686203,8.547009,5.616606,3.174603,-8.058608,-0.278999,2.124542,0
0.053126,139.472531,82.347255,-163.191212,-20.461538,-2.686203,-5.616606,9.035409,2.686203,7.081807,-8.058608,-0.278999,2.114774,0
0.054167,64.641760,130.118684,-172.210993,-6.263736,1.221001,-7.570208,7.081807,-0.732601,8.058608,-6.593407,-0.278999,2.124542,0
0.055208,-23.885715,151.164839,-164.861542,13.501832,4.151404,-8.547009,4.639805,-3.663004,8.547009,-3.663004,-0.767399,2.173382,0
0.056250,-103.393409,166.531872,-116.756047,18.512821,7.081807,-7.570208,1.221001,-6.593407,8.058608,-0.732601,-0.278999,2.114774,0
0.057292,-144.483520,167.200004,-35.243957,3.758242,8.547009,-5.616606,-1.709402,-8.058608,6.105006,2.686203,-0.278999,2.163614,0
0.058333,-159.516487,150.496707,56.290111,-15.172161,9.035409,-3.174603,-5.128205,-8.058608,3.174603,5.616606,-0.278999,2.105006,0
0.059375,-170.540663,90.030771,116.087915,-10.161172,8.058608,0.244200,-7.570208,-7.570208,0.244200,7.570208,-0.278999,2.114774,0
0.060417,-167.534070,5.846154,145.485718,5.985348,5.616606,3.174603,-8.058608,-5.128205,-3.174603,8.547009,-0.278999,2.114774,0
0.061459,-141.476926,-84.017584,160.852751,22.410256,2.686203,6.593407,-8.058608,-2.197802,-6.105006,8.547009,-0.278999,2.124542,0
0.062500,-66.312089,-132.791212,169.872531,9.047619,-0.732601,8.058608,-6.593407,1.221001,-7.570208,6.593407,-0.278999,2.114774,0
0.063542,21.547253,-153.837366,161.186817,-9.882784,-4.151404,9.035409,-4.151404,4.151404,-8.058608,4.639805,-0.767399,2.114774,0
0.064583,101.389013,-168.536267,114.751651,-14.893773,-6.593407,8.058608,-0.732601,7.081807,-7.570208,1.221001,-1.255800,2.114774,0
0.065625,143.481322,-168.870333,34.575825,0.417582,-8.058608,6.593407,2.686203,8.547009,-5.616606,-2.197802,-0.767399,2.095238,0
0.066667,158.180223,-152.501102,-57.960441,17.677656,-8.058608,3.663004,5.128205,8.547009,-3.174603,-5.128205,-2.232601,2.134310,0
0.067708,169.204399,-92.035167,-118.426376,10.996337,-7.570208,0.732601,7.570208,7.570208,0.244200,-7.081807,-0.767399,2.105006,0
0.068750,165.863740,-6.848352,-147.490113,-2.644689,-5.616606,-3.174603,9.035409,5.128205,3.663004,-8.058608,-0.767399,2.114774,0
0.069791,140.140662,82.347255,-163.191212,-19.904762,-2.197802,-6.105006,9.035409,2.686203,6.105006,-8.058608,-0.278999,2.114774,0
0.070833,64.307694,130.786816,-171.876927,-6.542125,1.221001,-7.570208,7.081807,-0.732601,8.058608,-6.593407,-0.278999,2.114774,0
0.071875,-23.885715,152.167036,-164.527476,12.945055,4.151404,-8.058608,4.639805,-3.663004,9.035409,-3.663004,-0.278999,2.114774,0
0.072917,-103.059343,164.861542,-116.756047,17.677656,7.081807,-7.570208,1.221001,-6.105006,8.058608,-1.221001,-0.278999,2.105006,0
0.073958,-144.149454,166.865938,-35.912089,4.593407,8.547009,-6.105006,-1.709402,-8.058608,6.105006,2.686203,-0.278999,2.114774,0
0.075000,-159.850553,150.830773,54.285715,-14.336996,8.547009,-3.174603,-4.639805,-8.058608,3.174603,5.616606,-0.767399,2.163614,0
0.076042,-170.540663,90.364837,116.087915,-9.047619,7.570208,0.244200,-7.081807,-7.081807,0.244200,7.570208,-0.278999,2.124542,0
0.077084,-167.534070,5.846154,145.151652,6.263736,5.616606,3.174603,-8.058608,-4.639805,-2.686203,8.547009,-0.278999,2.163614,0
0.078125,-141.476926,-84.017584,160.852751,20.739927,2.686203,6.105006,-8.058608,-2.197802,-5.616606,8.058608,-0.278999,2.124542,0
0.079167,-66.646155,-132.457146,170.206597,9.604396,-0.732601,8.058608,-7.081807,0.732601,-7.570208,6.593407,-0.767399,2.124542,0
0.080208,21.881319,-153.837366,162.523081,-10.161172,-3.663004,9.035409,-4.151404,4.151404,-8.547009,4.151404,-0.278999,2.124542,0
0.081250,101.723079,-168.202202,115.085717,-14.615385,-6.593407,8.058608,-0.732601,6.593407,-7.570208,0.732601,-0.278999,2.114774,0
0.082291,142.813190,-168.870333,33.239561,-1.531136,-8.058608,6.105006,2.197802,8.547009,-5.616606,-2.197802,-0.278999,2.114774,0
0.083333,157.512091,-152.835168,-58.294507,18.234432,-8.547009,3.663004,5.616606,8.547009,-2.686203,-4.639805,-0.278999,2.105006,0
0.084375,168.870333,-92.369233,-118.426376,13.501832,-7.570208,0.732601,7.570208,7.570208,0.244200,-7.081807,-0.767399,2.114774,0
