1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,165.195608,-70.989013,-166.531872,24.358974,-7.570208,2.197802,6.105006,8.058608,-2.197802,-5.616606,-0.278999,2.700855,0
0.001042,152.501102,24.219781,-185.573631,2.644689,-6.593407,-0.732601,8.058608,7.081807,1.221001,-7.570208,-0.278999,2.700855,0
0.002083,116.756047,117.758244,-179.226378,-18.512821,-4.151404,-3.663004,8.058608,4.151404,4.151404,-7.570208,-0.278999,2.700855,0
0.003125,38.918682,170.206597,-166.197806,-13.501832,-0.732601,-6.593407,8.058608,1.221001,7.081807,-7.081807,-0.278999,2.700855,0
0.004167,-63.305496,183.569235,-146.153849,10.439560,2.197802,-7.570208,6.105006,-1.709402,8.058608,-5.128205,-0.278999,2.710623,0
0.005208,-146.487915,170.874729,-97.046156,28.534799,5.128205,-8.058608,3.663004,-4.639805,8.058608,-2.686203,2.651404,2.691087,0
0.006250,-178.224180,159.182421,-5.512088,9.047619,7.570208,-7.081807,-0.244200,-6.593407,7.081807,0.732601,-0.278999,2.700855,0
0.007291,-183.569235,130.118684,93.037365,-12.666667,8.547009,-4.639805,-2.686203,-7.570208,5.128205,3.663004,-0.278999,2.710623,0
0.008334,-167.200004,68.984617,164.527476,-20.739927,8.058608,-2.197802,-5.616606,-7.570208,2.686203,6.105006,-0.278999,2.720391,0
0.009375,-154.171432,-26.558242,183.235169,-0.139194,7.081807,1.221001,-7.570208,-6.593407,-0.732601,8.058608,-0.278999,2.700855,0
0.010416,-118.426376,-120.096706,176.887916,22.967033,4.639805,4.151404,-8.058608,-4.151404,-4.151404,8.058608,-0.278999,2.700855,0
0.011458,-40.923078,-172.210993,163.525278,17.956044,1.221001,6.593407,-7.570208,-0.732601,-6.593407,7.570208,0.209402,2.700855,0
0.012500,61.301100,-185.907696,144.149454,-7.655678,-1.709402,8.058608,-5.616606,2.197802,-7.570208,5.616606,-0.278999,2.710623,0
0.013541,145.485718,-173.213191,94.373628,-24.637363,-5.128205,8.547009,-3.174603,5.128205,-7.570208,2.686203,-0.278999,2.671551,0
0.014583,175.885718,-161.520883,2.171429,-5.985348,-7.081807,7.570208,0.244200,7.081807,-6.593407,-0.244200,-0.278999,2.691087,0
0.015625,181.564839,-132.457146,-96.043958,17.399267,-8.058608,5.128205,3.174603,8.547009,-4.639805,-3.174603,-0.767399,2.739927,0
0.016667,165.195608,-70.320881,-166.197806,25.194139,-8.058608,2.197802,6.105006,8.058608,-1.709402,-5.616606,-0.767399,2.700855,0
0.017708,151.832970,25.221979,-185.573631,2.923077,-6.593407,-0.732601,8.058608,6.593407,1.221001,-7.570208,-3.209402,2.720391,0
0.018750,116.421981,118.092310,-179.226378,-17.677656,-4.151404,-4.151404,8.058608,4.151404,4.151404,-7.570208,-0.278999,2.700855,0
0.019792,38.584616,170.206597,-166.197806,-13.501832,-0.732601,-6.593407,8.058608,1.221001,7.081807,-7.081807,-0.278999,2.700855,0
0.020833,-63.305496,184.237367,-146.153849,10.439560,2.197802,-7.570208,6.105006,-1.709402,8.058608,-5.128205,-0.278999,2.710623,0
0.021875,-147.824179,171.208795,-96.712090,26.586081,5.128205,-7.570208,3.174603,-4.639805,8.058608,-2.686203,-0.278999,2.681319,0
0.022916,-178.558246,159.516487,-4.843956,8.212454,7.570208,-7.081807,0.244200,-7.081807,7.081807,0.732601,-0.278999,2.681319,0
0.023958,-183.569235,129.784618,93.705497,-13.501832,8.058608,-4.639805,-2.686203,-7.570208,4.639805,3.663004,0.209402,2.710623,0
0.025000,-166.865938,67.982419,164.193410,-20.183150,8.058608,-2.197802,-5.616606,-7.570208,2.197802,6.105006,-2.721001,2.700855,0
0.026041,-154.171432,-27.226374,182.567037,0.695971,7.081807,1.221001,-7.570208,-6.593407,-0.732601,7.570208,-0.278999,2.710623,0
0.027083,-118.092310,-121.098904,177.221982,21.296703,4.639805,4.151404,-8.058608,-4.151404,-3.663004,8.058608,-0.767399,2.720391,0
0.028126,-40.254946,-172.545059,163.525278,16.842491,1.221001,7.081807,-7.570208,-0.732601,-6.593407,7.570208,-0.278999,2.798535,0
0.029166,61.635166,-185.907696,143.815388,-1.809524,-1.709402,8.058608,-6.105006,2.197802,-7.570208,5.616606,-0.278999,2.710623,0
0.030208,145.819783,-172.879125,93.705497,-22.688645,-4.639805,8.058608,-3.174603,5.128205,-7.570208,3.174603,-0.278999,2.691087,0
0.031250,176.219784,-161.186817,2.505495,-5.428571,-7.081807,7.570208,0.732601,7.081807,-6.593407,-0.244200,-0.278999,2.681319,0
0.032292,181.898905,-131.789014,-96.378024,17.120879,-8.058608,5.128205,3.174603,8.547009,-4.639805,-3.174603,-0.278999,2.710623,0
0.033333,165.195608,-69.986815,-167.200004,22.967033,-8.058608,2.197802,6.105006,8.058608,-1.709402,-5.616606,-0.278999,2.700855,0
0.034374,151.164839,25.221979,-186.909894,3.479853,-6.593407,-0.732601,8.058608,6.593407,1.221001,-7.570208,-0.278999,2.710623,0
0.035416,116.087915,118.426376,-179.226378,-18.791209,-4.151404,-3.663004,8.547009,4.151404,4.151404,-7.570208,-2.232601,2.720391,0
0.036458,38.250550,170.206597,-165.863740,-10.161172,-0.732601,-6.593407,8.058608,1.221001,7.081807,-7.081807,-0.278999,2.710623,0
0.037500,-63.639562,184.237367,-145.485718,10.717949,2.686203,-7.570208,6.105006,-1.709402,8.058608,-5.128205,-0.767399,2.720391,0
0.038541,-148.158245,171.208795,-96.378024,27.421245,5.128205,-8.058608,3.174603,-4.639805,8.058608,-2.686203,-0.767399,2.691087,0
0.039583,-178.558246,159.182421,-5.178022,8.769231,7.570208,-7.081807,-0.244200,-7.570208,7.081807,0.244200,-0.278999,2.681319,0
0.040625,-183.235169,129.450552,94.373628,-13.780220,8.547009,-5.128205,-2.686203,-8.058608,5.128205,3.174603,-0.278999,2.700855,0
0.041666,-167.200004,67.648353,164.861542,-21.018315,8.058608,-1.709402,-5.616606,-7.570208,2.197802,4.639805,-0.278999,2.691087,0
0.042708,-154.839564,-27.226374,183.235169,1.252747,7.081807,1.221001,-7.570208,-6.105006,-0.732601,8.058608,-0.278999,2.700855,0
0.043750,-118.092310,-121.432970,176.553850,22.688645,4.639805,4.151404,-8.058608,-3.663004,-3.663004,8.058608,-0.278999,2.710623,0
0.044792,-39.920880,-172.545059,162.857146,16.842491,1.221001,7.081807,-7.570208,-0.732601,-6.105006,7.570208,-0.767399,2.710623,0
0.045833,62.303298,-186.909894,143.147256,-6.542125,-1.709402,8.547009,-5.616606,2.197802,-7.570208,5.616606,-0.767399,2.739927,0
0.046875,146.153849,-172.879125,93.037365,-20.183150,-4.639805,8.058608,-2.686203,5.128205,-7.570208,2.686203,-0.767399,2.700855,0
0.047917,176.553850,-161.186817,2.171429,-5.428571,-7.081807,7.570208,0.244200,7.570208,-6.593407,0.244200,-0.278999,2.691087,0
0.048958,181.564839,-131.789014,-96.712090,15.728938,-8.058608,5.128205,3.174603,8.058608,-4.639805,-3.174603,-0.767399,2.691087,0
0.050000,165.195608,-69.986815,-166.531872,24.358974,-8.058608,2.197802,5.616606,8.058608,-1.709402,-6.105006,-0.278999,2.691087,0
0.051041,151.498904,25.890110,-185.907696,2.366300,-6.593407,-1.221001,8.058608,6.593407,1.221001,-7.081807,0.209402,2.700855,0
0.052083,116.087915,119.094508,-178.892312,-18.234432,-4.151404,-3.663004,8.058608,4.151404,4.151404,-7.570208,-0.278999,2.700855,0
0.053125,37.582418,170.540663,-165.529674,-13.223443,-0.732601,-6.593407,8.058608,1.221001,6.593407,-7.081807,-0.278999,2.700855,0
0.054166,-64.641760,183.903301,-146.487915,10.439560,2.197802,-7.570208,6.105006,-1.709402,8.058608,-5.128205,-0.278999,2.710623,0
0.055208,-149.160443,170.874729,-96.378024,28.256410,5.128205,-7.570208,3.174603,-4.639805,8.058608,-2.197802,-0.278999,2.720391,0
0.056251,-178.558246,159.182421,-3.841758,5.150183,7.570208,-7.081807,0.244200,-6.593407,7.081807,0.244200,-0.278999,2.700855,0
0.057291,-183.235169,129.450552,94.373628,-12.945055,8.547009,-5.128205,-2.686203,-7.570208,5.128205,3.174603,-1.744200,2.720391,0
0.058333,-167.200004,67.648353,164.527476,-17.956044,8.058608,-1.709402,-5.616606,-7.570208,2.197802,6.105006,-0.278999,2.681319,0
0.059375,-153.503300,-27.894506,183.903301,0.974359,7.081807,1.221001,-7.570208,-6.593407,-1.221001,8.058608,-0.278999,2.700855,0
0.060417,-117.758244,-121.432970,176.887916,22.131868,4.151404,4.639805,-8.058608,-3.663004,-4.151404,8.058608,-0.278999,2.700855,0
0.061458,-39.252748,-172.545059,163.525278,16.285714,1.221001,7.081807,-7.570208,-0.732601,-6.593407,7.570208,0.209402,2.700855,0
0.062500,61.969232,-185.907696,143.147256,-7.655678,-1.709402,8.058608,-5.616606,2.197802,-7.570208,5.616606,-0.278999,2.710623,0
0.063541,146.487915,-172.879125,93.705497,-22.967033,-4.639805,8.547009,-2.686203,5.128205,-8.058608,2.686203,-0.278999,2.691087,0
0.064584,176.887916,-161.520883,1.503297,-5.706960,-7.081807,7.570208,0.732601,7.570208,-6.593407,0.244200,-0.278999,2.691087,0
0.065625,181.230773,-131.789014,-98.048354,18.512821,-8.058608,5.128205,3.174603,8.058608,-4.639805,-3.174603,-0.767399,2.739927,0
0.066666,165.529674,-69.318683,-165.863740,23.245421,-7.570208,2.197802,6.105006,8.058608,-1.709402,-5.616606,-0.278999,2.710623,0
0.067708,151.498904,26.224176,-186.241762,3.758242,-6.593407,-0.732601,8.058608,6.593407,1.709402,-7.570208,-0.278999,2.759463,0
0.068750,115.419783,119.762640,-178.892312,-17.956044,-4.151404,-4.151404,8.058608,4.151404,4.151404,-7.570208,-0.278999,2.700855,0
0.069791,36.914287,170.540663,-165.863740,-12.666667,-1.221001,-6.593407,7.570208,1.221001,6.593407,-7.570208,-0.278999,2.700855,0
0.070833,-64.975826,184.237367,-145.819783,11.553114,2.197802,-8.058608,6.105006,-2.197802,7.570208,-5.616606,-0.278999,2.710623,0
0.071875,-148.826377,170.874729,-95.375826,27.421245,5.128205,-8.058608,3.174603,-4.639805,8.058608,-2.686203,-0.278999,2.691087,0
0.072917,-178.892312,158.848355,-3.841758,8.769231,7.570208,-7.081807,0.244200,-7.081807,7.081807,0.732601,-0.278999,2.691087,0
0.073958,-183.569235,129.116486,94.039563,-13.501832,8.547009,-5.128205,-2.686203,-7.570208,5.128205,3.663004,0.209402,2.710623,0
0.075000,-167.200004,66.646155,164.527476,-19.347985,8.058608,-1.709402,-5.616606,-7.570208,2.197802,6.105006,0.697802,2.700855,0
0.076042,-153.503300,-28.562638,183.569235,-0.139194,7.081807,1.221001,-7.570208,-6.105006,-1.221001,8.058608,-0.278999,2.710623,0
0.077083,-117.424178,-122.101102,176.553850,22.967033,3.663004,4.151404,-8.058608,-3.663004,-4.151404,8.058608,1.186203,2.720391,0
0.078125,-38.918682,-172.545059,163.191212,16.285714,1.221001,7.081807,-7.570208,-0.732601,-6.593407,7.570208,-0.767399,2.739927,0
0.079166,63.305496,-186.241762,143.147256,-6.263736,-1.709402,8.058608,-6.105006,2.197802,-7.570208,5.616606,-0.278999,2.710623,0
0.080209,147.156047,-172.879125,93.037365,-23.802198,-4.639805,8.058608,-2.686203,5.128205,-7.570208,2.686203,-0.278999,2.681319,0
0.081250,176.887916,-160.852751,1.169231,-4.593407,-7.081807,7.570208,0.732601,7.570208,-7.081807,-0.244200,-0.278999,2.681319,0
0.082291,181.230773,-131.120882,-98.048354,17.956044,-8.058608,5.128205,3.174603,8.058608,-4.639805,-2.686203,0.209402,2.710623,0
0.083333,164.861542,-69.318683,-166.531872,24.080586,-8.058608,2.197802,6.105006,8.058608,-1.709402,-6.105006,-0.767399,2.691087,0
0.084375,150.496707,26.892308,-186.575828,2.923077,-6.593407,-0.732601,8.058608,7.081807,1.709402,-7.570208,-0.278999,2.700855,0
0.085416,115.419783,120.096706,-179.226378,-17.399267,-3.663004,-4.151404,8.547009,4.151404,4.639805,-7.570208,-0.767399,2.778999,0
0.086458,36.580221,170.874729,-165.863740,-12.388278,-0.732601,-6.593407,8.058608,1.221001,6.593407,-7.081807,-0.278999,2.720391,0
0.087500,-65.309892,184.237367,-145.485718,11.553114,2.197802,-8.058608,6.105006,-2.197802,8.058608,-5.128205,-0.278999,2.769231,0
