1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,161.854949,-181.230773,81.345057,-22.410256,-3.174603,9.523810,-5.128205,3.663004,-9.035409,5.128205,-0.278999,3.482295,0
0.001042,197.934070,-157.846157,-8.184616,-9.047619,-6.593407,9.523810,-1.709402,7.081807,-8.547009,2.197802,-0.278999,3.482295,0
0.002084,195.595609,-124.773629,-113.415387,16.285714,-8.547009,7.570208,1.709402,9.035409,-6.593407,-1.221001,-0.767399,3.521368,0
0.003125,168.870333,-64.307694,-187.912092,31.040293,-9.035409,4.639805,5.128205,9.523810,-4.151404,-5.128205,-0.767399,3.579976,0
0.004167,148.492311,42.259342,-202.610994,2.644689,-8.058608,1.221001,8.058608,8.547009,-0.732601,-7.570208,-0.278999,3.492063,0
0.005208,104.395607,135.797805,-190.250554,-16.285714,-6.593407,-2.197802,9.035409,6.593407,3.174603,-8.547009,0.209402,3.531136,0
0.006251,28.562638,193.591213,-165.863740,-17.120879,-3.174603,-6.105006,9.523810,3.663004,6.593407,-9.035409,0.209402,3.501832,0
0.007292,-77.002200,202.276928,-138.470333,7.098901,1.221001,-8.547009,8.547009,-0.244200,8.547009,-8.058608,0.209402,3.501832,0
0.008333,-164.527476,178.892312,-84.351650,26.864469,3.663004,-9.035409,5.616606,-3.174603,9.035409,-5.128205,0.209402,3.492063,0
0.009375,-198.268136,155.173630,8.184616,12.945055,7.081807,-8.547009,2.197802,-6.593407,9.035409,-1.709402,0.209402,3.482295,0
0.010418,-197.934070,123.103299,110.742860,-11.553114,9.035409,-7.081807,-1.221001,-8.058608,7.570208,1.709402,0.209402,3.501832,0
0.011458,-171.542861,60.298902,184.571433,-25.194139,9.523810,-4.151404,-4.639805,-9.035409,4.639805,5.128205,0.209402,3.492063,0
0.012500,-150.830773,-45.265935,199.270334,0.974359,9.035409,-0.732601,-7.570208,-8.547009,1.221001,8.058608,-0.767399,3.589744,0
0.013542,-106.734068,-138.470333,187.912092,21.853480,6.593407,2.686203,-9.035409,-6.105006,-2.686203,9.523810,-0.278999,3.511600,0
0.014584,-30.901100,-196.263741,163.191212,22.131868,3.663004,6.593407,-9.523810,-3.174603,-6.105006,9.523810,-0.767399,3.531136,0
0.015625,74.663738,-204.615389,135.797805,-1.252747,0.244200,8.547009,-8.058608,0.244200,-8.058608,8.058608,-0.278999,3.501832,0
0.016667,162.523081,-180.896707,81.010991,-21.296703,-3.663004,9.523810,-5.128205,3.663004,-9.035409,5.128205,-0.278999,3.482295,0
0.017709,197.934070,-157.512091,-11.525275,-8.490842,-7.081807,9.035409,-1.709402,6.593407,-8.547009,1.709402,-0.278999,3.482295,0
0.018750,195.595609,-124.439563,-113.081321,15.728938,-8.547009,7.570208,1.709402,9.035409,-7.081807,-1.221001,-0.278999,3.511600,0
0.019792,168.202202,-63.305496,-187.578026,28.813187,-9.035409,4.639805,5.616606,9.523810,-3.663004,-4.639805,0.209402,3.492063,0
0.020833,147.824179,42.593408,-202.945059,4.593407,-8.547009,1.221001,8.058608,8.547009,-0.732601,-7.570208,-0.278999,3.492063,0
0.021875,104.061541,135.797805,-190.250554,-17.120879,-6.105006,-2.197802,9.523810,6.593407,2.686203,-9.035409,-0.278999,3.560440,0
0.022917,27.894506,193.257147,-166.531872,-16.842491,-3.174603,-6.105006,9.523810,3.663004,6.593407,-9.035409,-0.278999,3.501832,0
0.023958,-77.670331,202.276928,-139.806597,7.655678,0.244200,-8.058608,8.547009,-0.244200,8.547009,-7.570208,-0.278999,3.511600,0
0.025000,-164.861542,178.558246,-83.683518,26.586081,3.663004,-8.547009,6.105006,-3.174603,9.035409,-4.639805,-0.278999,3.521368,0
0.026043,-200.272532,155.173630,9.520879,14.336996,7.081807,-8.547009,2.197802,-6.593407,9.035409,-1.709402,-0.278999,3.482295,0
0.027084,-197.600004,121.767036,110.408794,-11.553114,9.035409,-7.570208,-0.732601,-8.547009,7.570208,1.709402,0.209402,3.501832,0
0.028125,-170.874729,60.298902,185.239565,-25.472527,10.012210,-4.151404,-4.151404,-9.035409,4.639805,5.128205,0.209402,3.482295,0
0.029167,-150.830773,-45.600001,199.270334,0.139194,9.035409,-0.732601,-7.570208,-8.547009,0.732601,8.058608,0.209402,3.492063,0
0.030209,-106.734068,-138.470333,187.578026,21.018315,6.593407,3.174603,-9.035409,-6.105006,-2.686203,9.035409,0.209402,3.501832,0
0.031250,-31.235166,-196.263741,162.523081,21.296703,3.663004,6.593407,-9.523810,-3.174603,-6.105006,9.523810,-0.278999,3.501832,0
0.032292,73.995606,-204.949455,135.463739,-2.644689,-0.244200,8.547009,-7.570208,0.732601,-8.058608,8.058608,-0.278999,3.521368,0
