1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,166.197806,-83.349452,-163.859344,29.091575,-8.058608,2.686203,5.616606,8.547009,-2.197802,-5.616606,-0.767399,2.730159,0
0.001041,156.843960,12.527473,-182.901103,3.479853,-7.081807,-0.244200,8.058608,7.081807,0.732601,-7.081807,-1.255800,2.710623,0
0.002083,122.769234,107.736266,-180.562641,-16.564103,-4.639805,-3.663004,8.547009,4.639805,4.151404,-7.570208,-0.278999,2.730159,0
0.003124,49.942858,167.534070,-168.536267,-13.780220,-1.709402,-6.105006,8.058608,1.709402,6.593407,-7.570208,-0.278999,2.700855,0
0.004167,-48.940660,184.905499,-150.830773,7.655678,2.197802,-8.058608,6.593407,-0.244200,8.058608,-6.105006,-0.278999,2.720391,0
0.005208,-138.470333,173.881323,-107.068134,25.750916,4.639805,-7.570208,3.663004,-4.151404,8.058608,-3.174603,-0.278999,2.691087,0
0.006249,-175.551652,161.854949,-16.870330,11.274725,7.081807,-7.081807,0.732601,-6.593407,7.570208,0.244200,-0.278999,2.681319,0
0.007292,-186.241762,135.129673,82.681321,-10.439560,8.547009,-5.128205,-2.686203,-7.081807,5.616606,2.686203,-0.278999,2.700855,0
0.008333,-168.536267,81.010991,160.852751,-24.080586,8.547009,-2.197802,-5.128205,-7.570208,2.686203,6.105006,-0.278999,2.700855,0
0.009374,-159.182421,-14.865934,179.560444,-0.974359,7.081807,0.732601,-7.570208,-6.593407,-0.244200,7.570208,-5.651404,2.710623,0
0.010416,-124.773629,-109.740662,177.890114,20.739927,4.639805,4.151404,-7.570208,-4.151404,-3.663004,8.058608,-0.278999,2.720391,0
0.011458,-51.279122,-169.204399,165.863740,19.069597,1.709402,6.593407,-8.058608,-1.221001,-6.105006,7.570208,-0.767399,2.720391,0
0.012499,47.604397,-186.909894,148.492311,-3.479853,-1.709402,8.058608,-6.105006,1.709402,-7.570208,6.105006,-0.278999,2.749695,0
0.013541,136.465937,-175.551652,104.395607,-22.688645,-4.639805,8.058608,-3.174603,4.639805,-8.058608,3.174603,-0.278999,2.691087,0
0.014583,174.215389,-163.859344,14.531868,-7.655678,-6.593407,7.570208,-0.244200,8.058608,-7.081807,0.244200,-0.278999,2.691087,0
0.015625,182.901103,-137.468135,-85.353848,13.501832,-7.570208,5.616606,2.686203,8.058608,-5.128205,-2.686203,-0.278999,2.710623,0
0.016666,165.863740,-83.015386,-163.525278,27.978022,-8.058608,2.686203,5.616606,8.058608,-2.197802,-5.616606,-0.278999,2.700855,0
0.017708,156.509894,12.527473,-181.898905,4.593407,-7.081807,-0.244200,8.058608,7.081807,1.221001,-7.570208,-0.278999,2.700855,0
0.018749,122.435168,107.736266,-181.898905,-16.007326,-4.151404,-3.663004,8.547009,4.639805,4.151404,-7.570208,-0.278999,2.710623,0
0.019792,49.608792,167.200004,-168.870333,-15.172161,-1.221001,-6.105006,8.058608,1.709402,6.593407,-7.570208,-0.278999,2.730159,0
0.020833,-49.608792,184.905499,-151.498904,12.388278,1.709402,-8.058608,6.105006,-1.221001,8.058608,-5.616606,-0.767399,2.730159,0
0.021874,-138.804399,173.547257,-106.065936,25.194139,4.639805,-8.058608,3.663004,-4.151404,8.058608,-2.686203,-0.278999,2.720391,0
0.022916,-175.885718,161.854949,-16.536264,12.388278,7.081807,-7.081807,0.244200,-6.593407,7.081807,0.244200,-0.278999,2.691087,0
0.023958,-184.571433,135.129673,83.349452,-10.161172,8.547009,-5.128205,-2.686203,-8.058608,5.616606,3.174603,-0.278999,2.700855,0
0.024999,-167.868136,80.676925,161.520883,-23.245421,8.547009,-2.197802,-5.616606,-7.570208,2.686203,6.105006,-0.278999,2.700855,0
0.026041,-158.514289,-14.865934,179.894510,-0.417582,7.570208,1.221001,-7.570208,-6.593407,-0.732601,7.570208,-0.278999,2.700855,0
0.027083,-125.107695,-110.408794,178.224180,19.904762,5.128205,3.663004,-7.570208,-4.151404,-3.663004,8.058608,-0.767399,2.710623,0
0.028125,-51.613188,-169.872531,165.195608,19.069597,1.709402,7.081807,-7.570208,-1.221001,-6.105006,8.058608,-0.278999,2.710623,0
0.029166,47.938463,-187.578026,148.158245,-3.758242,-1.221001,8.058608,-6.105006,1.709402,-7.570208,6.105006,-0.278999,2.720391,0
0.030208,136.465937,-175.217586,103.059343,-22.131868,-4.151404,8.058608,-3.174603,4.639805,-7.570208,3.174603,-0.767399,2.788767,0
0.031250,174.215389,-163.859344,14.197803,-7.098901,-6.593407,7.570208,-0.244200,7.081807,-6.593407,0.244200,-0.767399,2.691087,0
0.032291,182.567037,-137.134069,-85.353848,14.336996,-8.058608,6.593407,2.686203,8.058608,-5.128205,-2.686203,-0.767399,2.759463,0
0.033333,166.197806,-83.015386,-163.859344,25.472527,-8.058608,2.686203,5.616606,8.058608,-2.197802,-5.128205,-0.278999,2.691087,0
0.034374,156.509894,13.195605,-182.567037,5.150183,-7.081807,-0.732601,7.570208,7.081807,1.221001,-7.081807,-0.278999,2.700855,0
0.035417,122.435168,108.404398,-180.896707,-16.007326,-4.151404,-3.663004,9.035409,4.639805,3.663004,-8.058608,0.209402,2.700855,0
0.036458,48.940660,167.534070,-168.202202,-15.450549,-1.221001,-6.105006,8.058608,1.221001,6.593407,-7.570208,-0.278999,2.700855,0
0.037499,-49.942858,184.905499,-150.496707,7.377289,2.197802,-7.570208,6.593407,-1.221001,8.058608,-5.616606,0.209402,2.710623,0
0.038541,-139.472531,173.213191,-107.402200,25.750916,4.639805,-8.058608,3.663004,-4.151404,8.058608,-2.686203,-0.278999,2.700855,0
