1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,162.523081,19.208792,-149.828575,-9.047619,-4.639805,-3.663004,9.035409,4.639805,4.639805,-8.058608,0.209402,2.239316,0
0.001042,120.764838,99.050552,-166.865938,-15.172161,-1.221001,-6.593407,8.547009,1.709402,7.081807,-7.570208,-0.278999,2.239316,0
0.002083,40.589012,140.474728,-168.870333,-1.809524,2.197802,-8.058608,7.081807,-1.221001,8.547009,-5.616606,0.209402,2.244200,0
0.003125,-48.606594,157.846157,-155.173630,18.234432,5.616606,-8.058608,3.663004,-4.639805,9.035409,-2.686203,0.209402,2.234432,0
0.004167,-115.419783,169.872531,-92.369233,10.717949,7.570208,-7.081807,0.732601,-6.593407,7.570208,0.732601,-1.255800,2.268620,0
0.005208,-145.819783,165.529674,-6.848352,-3.479853,8.547009,-5.128205,-2.686203,-8.058608,5.616606,3.663004,-0.278999,2.219780,0
0.006250,-160.184619,139.806597,81.010991,-19.069597,9.035409,-2.197802,-5.616606,-8.058608,2.686203,6.593407,0.209402,2.234432,0
0.007292,-168.536267,67.314287,128.782420,-6.263736,7.570208,1.221001,-7.081807,-6.593407,-0.244200,8.058608,0.209402,2.234432,0
0.008333,-164.193410,-19.542858,148.826377,12.109890,5.128205,4.151404,-8.058608,-4.151404,-3.663004,9.035409,-0.278999,2.249084,0
0.009375,-117.090113,-100.052749,165.529674,18.512821,1.709402,7.081807,-7.570208,-0.732601,-6.593407,8.058608,-0.278999,2.249084,0
0.010417,-34.241759,-141.810992,164.861542,5.706960,-1.221001,9.035409,-6.105006,2.197802,-8.058608,6.593407,-0.278999,2.249084,0
0.011458,65.309892,-154.505498,180.896707,-14.058608,-4.639805,9.035409,-3.174603,5.616606,-8.058608,3.663004,-0.278999,2.253968,0
0.012500,114.083519,-158.514289,96.043958,-14.615385,-7.081807,8.058608,0.244200,7.570208,-6.593407,0.244200,-1.255800,2.312576,0
0.013541,145.151652,-166.531872,6.180220,8.212454,-8.058608,5.616606,3.174603,9.035409,-4.639805,-2.686203,-0.767399,2.415140,0
0.014584,160.518685,-141.142860,-82.013189,14.336996,-8.547009,3.174603,6.105006,9.035409,-1.709402,-5.616606,0.209402,2.263736,0
0.015625,169.872531,-68.316485,-129.116486,10.161172,-7.081807,0.244200,8.058608,7.570208,1.221001,-7.570208,0.209402,2.249084,0
0.016666,162.857146,18.206594,-149.494509,-9.326007,-4.639805,-3.663004,8.058608,4.639805,4.151404,-8.058608,0.209402,2.253968,0
0.017708,121.432970,98.716486,-166.865938,-14.615385,-1.221001,-6.105006,8.058608,1.709402,7.081807,-7.570208,-0.278999,2.249084,0
0.018751,39.920880,140.808794,-167.868136,-2.087912,2.197802,-8.058608,7.081807,-1.221001,9.035409,-7.570208,0.209402,2.249084,0
0.019792,-51.947254,159.516487,-153.503300,18.234432,5.616606,-8.058608,4.151404,-4.639805,9.035409,-2.686203,0.209402,2.244200,0
0.020833,-148.826377,172.545059,-83.683518,13.223443,7.570208,-6.593407,0.732601,-6.593407,7.570208,0.732601,0.209402,2.229548,0
0.021875,-145.485718,158.848355,-5.178022,-2.923077,9.035409,-5.128205,-2.197802,-7.570208,5.616606,3.663004,-0.278999,2.249084,0
0.022917,-160.852751,140.140662,69.652749,-18.234432,9.035409,-2.197802,-5.616606,-8.058608,3.174603,6.593407,0.209402,2.288156,0
0.023958,-170.206597,67.982419,127.780223,-7.098901,7.570208,0.732601,-7.570208,-6.593407,-0.244200,8.058608,-0.278999,2.239316,0
0.025000,-163.859344,-18.540660,148.492311,13.501832,5.128205,4.151404,-8.058608,-4.151404,-3.663004,8.547009,0.209402,2.249084,0
0.026041,-123.103299,-99.384618,165.529674,19.069597,1.709402,7.081807,-7.570208,-1.221001,-6.593407,8.058608,0.209402,2.244200,0
0.027083,-42.927473,-140.808794,167.534070,5.150183,-1.221001,8.547009,-6.105006,2.197802,-8.058608,6.593407,-0.278999,2.249084,0
0.028125,46.936265,-158.514289,154.839564,-14.336996,-4.639805,9.035409,-3.174603,5.128205,-8.058608,3.663004,-0.278999,2.239316,0
0.029167,116.087915,-170.874729,91.701101,-10.161172,-6.593407,7.570208,0.244200,7.570208,-7.081807,1.221001,-0.278999,2.224664,0
0.030209,172.210993,-171.542861,2.839561,7.098901,-8.058608,6.105006,3.174603,9.035409,-4.639805,-2.686203,0.209402,2.234432,0
0.031250,152.835168,-153.503300,-79.674727,21.575092,-8.547009,2.686203,6.105006,8.547009,-2.197802,-5.616606,-0.278999,2.249084,0
0.032292,169.872531,-69.652749,-99.050552,4.315018,-7.081807,-0.244200,8.058608,7.570208,1.221001,-7.570208,-0.767399,2.336996,0
0.033333,162.857146,17.204396,-149.494509,-16.007326,-4.151404,-3.663004,9.035409,4.639805,4.639805,-7.570208,-1.255800,2.532357,0
0.034375,122.769234,98.048354,-166.531872,-21.575092,-1.221001,-6.593407,8.547009,1.709402,7.081807,-7.570208,-0.278999,2.200244,0
0.035417,41.257144,140.140662,-168.536267,-2.087912,2.197802,-8.058608,6.593407,-1.221001,8.547009,-5.616606,0.209402,2.244200,0
0.036458,-48.606594,157.512091,-156.509894,17.399267,5.616606,-8.058608,4.151404,-4.639805,9.035409,-3.174603,0.209402,2.239316,0
0.037500,-112.079123,169.872531,-93.371431,14.058608,7.570208,-7.081807,0.244200,-6.593407,7.570208,0.244200,0.209402,2.224664,0
0.038542,-137.802201,165.529674,-9.854945,-2.923077,8.547009,-5.128205,-2.197802,-8.058608,5.616606,3.174603,0.209402,2.234432,0
0.039583,-192.923081,144.817586,81.679123,-18.791209,9.035409,-2.197802,-5.616606,-8.058608,3.174603,6.105006,0.209402,2.239316,0
0.040625,-150.830773,41.591210,131.454948,-7.934066,7.570208,1.221001,-7.081807,-7.081807,-0.244200,8.058608,-0.278999,2.253968,0
0.041666,-163.525278,-19.542858,121.432970,10.161172,5.616606,4.639805,-8.058608,-4.151404,-3.174603,9.035409,-0.278999,2.336996,0
0.042709,-123.437365,-98.716486,166.531872,22.131868,2.197802,7.081807,-8.058608,-1.221001,-6.105006,8.058608,-4.674603,2.395604,0
0.043750,-43.261539,-140.808794,167.534070,0.974359,-1.221001,8.547009,-6.105006,2.197802,-8.058608,6.593407,0.209402,2.302808,0
0.044791,45.934067,-158.180223,155.507696,-12.666667,-5.128205,9.035409,-3.174603,5.128205,-8.058608,3.663004,-0.278999,2.239316,0
0.045833,113.081321,-170.206597,93.371431,-10.717949,-7.081807,8.058608,0.244200,7.570208,-7.081807,0.732601,-0.278999,2.229548,0
0.046875,144.149454,-166.865938,7.850550,6.542125,-8.058608,6.105006,3.174603,8.547009,-4.639805,-2.686203,-0.278999,2.234432,0
0.047919,160.518685,-141.142860,-80.008793,21.575092,-8.058608,3.174603,6.593407,9.035409,-2.197802,-5.616606,0.209402,2.239316,0
0.048958,169.538465,-69.986815,-128.114289,9.604396,-7.081807,-0.244200,8.547009,7.570208,1.221001,-7.570208,0.209402,2.244200,0
0.050000,162.857146,16.202198,-149.160443,-9.047619,-4.639805,-3.663004,9.523810,4.639805,4.639805,-8.058608,0.209402,2.249084,0
0.051044,122.769234,98.048354,-166.197806,-14.336996,-1.221001,-6.593407,8.547009,1.709402,7.081807,-7.081807,0.209402,2.249084,0
0.052083,43.261539,139.806597,-168.536267,-2.366300,2.197802,-8.058608,7.081807,-1.709402,8.547009,-5.616606,0.209402,2.249084,0
0.053125,-45.934067,157.512091,-156.175828,10.996337,5.616606,-8.058608,3.663004,-4.639805,8.547009,-2.686203,5.093407,2.400488,0
0.054167,-114.751651,169.538465,-95.375826,14.893773,7.570208,-7.081807,0.732601,-6.593407,7.570208,0.732601,0.209402,2.224664,0
0.055208,-143.481322,166.197806,-9.186813,-2.366300,9.035409,-5.128205,-2.197802,-8.058608,6.105006,3.174603,0.209402,2.229548,0
0.056250,-162.189015,140.808794,78.004397,-17.956044,9.035409,-2.197802,-5.616606,-8.058608,3.174603,6.593407,-0.278999,2.234432,0
0.057291,-170.540663,69.986815,126.443959,-7.098901,7.570208,0.732601,-7.081807,-6.593407,-0.244200,8.058608,0.209402,2.244200,0
0.058334,-168.536267,-16.870330,149.494509,12.388278,5.128205,4.151404,-8.058608,-5.128205,-3.663004,8.547009,-0.278999,2.249084,0
0.059375,-112.079123,-93.705497,170.206597,19.069597,2.197802,7.081807,-8.058608,-0.732601,-6.105006,8.547009,0.209402,2.244200,0
0.060421,-30.901100,-141.476926,174.883520,5.706960,-1.221001,8.547009,-6.105006,2.197802,-7.570208,6.593407,-0.278999,2.249084,0
0.061458,44.931869,-157.846157,129.450552,-10.996337,-4.639805,9.035409,-3.174603,5.128205,-8.058608,3.663004,-2.232601,2.336996,0
0.062501,113.749453,-170.206597,94.039563,-17.120879,-6.593407,8.058608,0.244200,7.570208,-7.081807,0.244200,-0.278999,2.610501,0
0.063542,144.149454,-166.865938,8.852747,13.780220,-8.058608,6.105006,3.174603,8.547009,-5.128205,-2.686203,-0.278999,2.288156,0
0.064583,159.516487,-142.145058,-78.338463,22.410256,-8.547009,2.686203,6.105006,9.035409,-2.197802,-5.616606,0.209402,2.234432,0
0.065625,169.204399,-71.323079,-128.114289,10.717949,-7.081807,-0.244200,8.058608,7.570208,0.732601,-7.081807,-0.278999,2.239316,0
0.066667,163.191212,15.200000,-149.494509,-9.882784,-4.639805,-3.663004,9.035409,5.128205,4.151404,-8.058608,0.209402,2.244200,0
0.067708,124.105497,97.046156,-166.197806,-15.172161,-1.221001,-6.105006,8.547009,2.197802,7.570208,-7.570208,0.209402,2.244200,0
0.068750,20.879121,141.476926,-164.193410,-2.366300,2.197802,-8.058608,7.081807,-1.221001,9.035409,-6.105006,0.209402,2.244200,0
0.069791,-32.905495,159.516487,-153.837366,16.564103,5.128205,-8.058608,4.151404,-4.639805,9.035409,-2.686203,0.209402,2.239316,0
0.070835,-114.083519,172.210993,-95.709892,14.615385,7.570208,-7.081807,0.732601,-6.593407,8.058608,0.732601,0.209402,2.224664,0
0.071875,-144.483520,166.531872,-10.189011,-2.644689,9.035409,-5.128205,-2.197802,-8.058608,6.105006,3.663004,0.209402,2.229548,0
0.072916,-160.852751,141.810992,76.668134,-17.399267,9.035409,-2.197802,-5.616606,-8.058608,2.686203,6.593407,-0.278999,2.234432,0
0.073958,-170.206597,70.654947,126.443959,-6.263736,8.058608,0.732601,-7.570208,-6.593407,-0.244200,8.058608,0.209402,2.239316,0
0.075007,-163.525278,-17.204396,148.158245,12.666667,5.616606,4.151404,-8.058608,-4.151404,-3.663004,9.035409,0.209402,2.249084,0
0.076051,-123.771431,-98.716486,165.195608,19.626374,2.197802,7.081807,-8.058608,-0.732601,-6.105006,8.058608,-0.278999,2.244200,0
0.077088,-44.597803,-140.474728,167.534070,6.263736,-1.221001,9.035409,-6.105006,2.197802,-8.058608,6.593407,-0.278999,2.249084,0
0.078127,43.261539,-158.180223,156.509894,-13.501832,-4.639805,9.035409,-3.174603,5.128205,-8.058608,4.151404,-0.278999,2.239316,0
0.079169,91.367035,-168.536267,94.707694,-9.882784,-6.593407,8.058608,0.244200,8.058608,-7.081807,0.732601,0.209402,2.234432,0
0.080210,165.529674,-156.175828,-10.857143,6.542125,-8.058608,6.105006,3.174603,9.035409,-4.639805,-2.197802,-0.278999,2.244200,0
0.081252,160.184619,-142.145058,-89.028573,19.347985,-8.547009,3.174603,6.593407,9.035409,-2.197802,-5.616606,-2.232601,2.322344,0
0.082295,169.538465,-70.989013,-136.465937,10.161172,-7.081807,-0.244200,8.058608,7.570208,1.221001,-7.570208,-0.278999,2.463980,0
0.083335,163.191212,14.865934,-149.160443,-17.399267,-4.639805,-3.174603,9.035409,5.128205,4.639805,-8.058608,-0.278999,2.327228,0
0.084376,125.107695,96.712090,-165.529674,-14.893773,-1.221001,-6.105006,8.547009,2.197802,7.081807,-7.570208,0.209402,2.244200,0
0.085418,42.593408,139.138465,-168.536267,-2.087912,2.197802,-7.570208,6.593407,-1.221001,8.547009,-5.616606,0.209402,2.249084,0
0.086460,-46.268133,157.178025,-156.175828,16.842491,5.128205,-8.058608,4.151404,-4.151404,9.035409,-2.686203,-0.278999,2.239316,0
0.087502,-105.397805,168.536267,-97.714288,13.501832,7.570208,-7.081807,0.732601,-6.593407,7.570208,0.732601,0.209402,2.229548,0
0.088544,-140.808794,167.534070,-9.520879,-2.087912,9.035409,-5.128205,-2.197802,-8.058608,6.105006,3.174603,-0.278999,2.234432,0
0.091909,-159.516487,-33.907693,153.169234,24.915751,4.639805,5.128205,-8.547009,-3.663004,-4.151404,8.547009,0.209402,2.283272,0
0.092311,-147.156047,-68.650551,160.852751,20.461538,3.663004,6.105006,-8.058608,-2.197802,-5.128205,9.035409,0.209402,2.229548,0
0.092701,-126.109893,-96.712090,164.193410,-9.326007,2.197802,7.081807,-8.058608,-1.221001,-6.105006,8.058608,0.209402,2.239316,0
0.093089,-98.716486,-113.415387,169.204399,0.417582,1.221001,7.570208,-7.570208,0.244200,-7.081807,8.058608,0.209402,2.239316,0
0.093753,-45.934067,-139.806597,167.534070,6.263736,-1.221001,8.547009,-6.593407,2.197802,-8.058608,6.593407,-0.278999,2.244200,0
0.094799,44.597803,-158.514289,155.173630,-12.945055,-4.639805,9.035409,-3.174603,5.616606,-8.058608,3.663004,0.209402,2.234432,0
0.095845,113.081321,-169.872531,93.705497,-10.717949,-7.081807,8.058608,-0.244200,7.570208,-7.081807,0.244200,-0.278999,2.214896,0
0.096885,144.149454,-167.200004,8.518682,5.428571,-8.058608,6.105006,3.174603,9.035409,-5.128205,-2.686203,-0.278999,2.224664,0
0.097926,160.184619,-142.145058,-78.672529,22.688645,-8.058608,2.686203,6.105006,9.035409,-2.197802,-5.616606,-0.278999,2.229548,0
0.098959,169.872531,-72.659342,-126.778025,13.501832,-7.081807,-0.244200,8.058608,7.081807,0.732601,-7.081807,0.209402,2.229548,0
0.100000,162.857146,13.195605,-148.826377,-8.212454,-4.639805,-3.174603,8.547009,5.128205,4.151404,-8.058608,0.209402,2.244200,0
0.101041,126.109893,96.043958,-165.529674,-16.285714,-1.221001,-6.105006,9.035409,2.197802,7.081807,-7.570208,0.209402,2.234432,0
0.102083,46.602199,138.470333,-168.870333,-4.593407,2.197802,-8.058608,7.081807,-1.221001,8.547009,-5.616606,0.209402,2.356532,0
0.103126,-42.927473,156.843960,-157.178025,11.553114,5.616606,-8.058608,4.151404,-4.151404,9.035409,-3.174603,-0.278999,2.229548,0
0.104167,-111.745057,169.204399,-97.380222,15.728938,8.058608,-7.081807,0.732601,-6.593407,7.570208,0.244200,-0.278999,2.214896,0
0.105211,-143.815388,166.531872,-11.191209,-2.087912,9.035409,-5.128205,-2.197802,-8.058608,5.616606,3.174603,0.209402,2.219780,0
0.106250,-161.186817,142.145058,74.329672,-17.120879,9.035409,-2.686203,-5.616606,-8.058608,2.686203,6.105006,0.209402,2.224664,0
0.107292,-180.228575,73.995606,123.771431,-7.098901,8.058608,1.221001,-7.081807,-6.593407,0.244200,7.570208,0.209402,2.234432,0
0.108333,-151.498904,-18.206594,138.804399,12.388278,5.616606,4.151404,-8.058608,-4.151404,-3.174603,9.035409,0.209402,2.244200,0
0.109375,-126.109893,-94.373628,170.540663,20.183150,2.197802,7.081807,-7.570208,-1.221001,-6.105006,8.547009,0.209402,2.293040,0
0.110417,-47.270331,-139.472531,168.202202,6.263736,-1.221001,9.035409,-6.105006,1.709402,-8.058608,6.593407,-12.000611,2.429792,0
0.111458,41.257144,-157.512091,156.175828,-14.615385,-4.639805,9.523810,-3.663004,5.128205,-8.058608,3.663004,-1.255800,2.288156,0
0.112500,111.745057,-169.872531,97.046156,-9.326007,-6.593407,8.058608,-0.244200,7.570208,-7.081807,0.732601,-0.278999,2.210012,0
0.113541,142.479124,-167.534070,11.525275,5.985348,-8.058608,6.105006,3.174603,8.547009,-5.128205,-2.197802,-0.278999,2.229548,0
0.114584,159.182421,-143.147256,-75.331870,20.739927,-8.547009,3.174603,6.105006,9.035409,-2.197802,-5.616606,-0.278999,2.234432,0
