1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,-135.797805,5.846154,156.509894,-12.109890,8.058608,-0.244200,-6.105006,-7.081807,1.221001,7.570208,0.209402,2.864469,0
0.001042,-145.485718,-59.964837,188.246158,10.161172,6.593407,2.686203,-7.570208,-5.616606,-1.709402,8.547009,0.209402,2.898657,0
0.002084,-96.712090,-148.826377,169.204399,22.967033,3.663004,5.616606,-8.058608,-2.686203,-5.128205,8.547009,0.209402,3.030525,0
0.003125,-5.846154,-178.224180,160.518685,8.490842,0.732601,8.058608,-6.593407,0.244200,-6.593407,7.570208,-0.767399,2.923077,0
0.004167,95.041760,-182.567037,130.452750,-34.102564,-1.709402,8.547009,-4.639805,3.663004,-7.081807,5.128205,0.209402,2.849817,0
0.005209,162.857146,-166.197806,62.637364,-18.234432,-5.616606,8.058608,-1.709402,6.105006,-7.570208,2.197802,0.209402,2.830281,0
0.006250,181.564839,-151.498904,-31.569231,1.531136,-7.570208,7.081807,1.221001,8.058608,-6.105006,-1.221001,0.209402,2.840049,0
0.007291,176.553850,-115.753849,-126.443959,23.245421,-8.058608,4.639805,4.639805,8.058608,-4.151404,-3.663004,-0.278999,2.849817,0
0.008334,169.538465,-35.578023,-169.204399,16.007326,-7.570208,1.221001,7.081807,8.058608,-0.244200,-5.616606,-0.278999,2.849817,0
0.009375,142.145058,62.971430,-184.237367,-7.098901,-5.616606,-2.197802,8.547009,6.105006,3.174603,-7.570208,0.209402,2.864469,0
0.010417,95.709892,147.490113,-170.540663,-24.637363,-2.686203,-4.639805,9.035409,3.174603,5.616606,-7.570208,0.209402,2.840049,0
0.011459,4.843956,177.221982,-161.520883,-5.150183,0.732601,-7.081807,7.570208,0.244200,7.570208,-6.593407,0.209402,2.849817,0
0.012502,-95.709892,181.564839,-131.789014,18.512821,3.663004,-7.570208,5.128205,-2.686203,8.058608,-4.151404,0.209402,2.849817,0
0.013542,-165.195608,165.195608,-64.641760,22.688645,6.593407,-7.570208,2.197802,-5.616606,8.058608,-1.221001,0.209402,2.830281,0
0.014583,-183.235169,150.496707,27.894506,2.644689,8.058608,-6.105006,-0.732601,-7.570208,6.593407,1.709402,0.209402,2.844933,0
0.015625,-177.221982,115.085717,123.771431,-19.626374,8.547009,-3.663004,-4.151404,-8.058608,4.151404,4.639805,0.209402,2.849817,0
0.016668,-164.193410,34.909891,169.872531,-12.666667,8.058608,-0.244200,-6.105006,-7.081807,1.221001,7.570208,0.209402,2.844933,0
0.017708,-145.819783,-63.639562,182.567037,11.274725,6.593407,2.686203,-8.058608,-5.616606,-2.197802,8.547009,-0.278999,2.864469,0
0.018750,-85.353848,-148.826377,167.868136,27.699634,3.663004,5.616606,-8.058608,-2.686203,-5.128205,8.547009,0.209402,2.844933,0
0.019792,-1.503297,-164.527476,143.815388,9.047619,0.732601,7.570208,-7.081807,0.732601,-6.593407,7.570208,-0.278999,2.854701,0
0.020834,94.373628,-182.567037,126.109893,-14.893773,-2.686203,8.547009,-4.151404,3.663004,-7.570208,4.639805,-0.767399,2.888889,0
0.021875,164.193410,-166.531872,63.639562,-23.523810,-5.616606,8.058608,-1.709402,6.105006,-7.570208,2.197802,-21.768620,2.981685,0
0.022917,181.564839,-151.498904,-30.232968,-0.139194,-7.570208,7.081807,1.709402,8.547009,-6.105006,-1.221001,0.209402,2.888889,0
0.023958,177.556048,-116.087915,-125.107695,24.358974,-8.058608,4.639805,4.639805,8.547009,-3.663004,-3.663004,-0.278999,2.854701,0
0.025001,163.525278,-36.246155,-170.874729,16.007326,-7.081807,1.709402,9.523810,7.570208,-0.732601,-6.105006,0.209402,2.854701,0
0.026042,145.485718,62.303298,-183.903301,-7.655678,-6.105006,-1.709402,8.547009,6.593407,2.686203,-7.570208,0.209402,2.874237,0
0.027083,95.041760,146.487915,-170.874729,-23.245421,-3.174603,-5.128205,8.547009,3.663004,5.616606,-7.570208,0.209402,2.854701,0
0.028126,16.202198,175.217586,-164.861542,-4.315018,0.732601,-7.081807,7.570208,0.244200,7.570208,-6.593407,0.209402,2.854701,0
0.029167,-128.448355,182.567037,-121.767036,18.234432,3.663004,-7.570208,5.616606,-2.686203,8.547009,-4.151404,0.209402,2.859585,0
0.030208,-164.527476,161.854949,-97.714288,21.853480,6.105006,-7.570208,2.686203,-5.128205,8.058608,-1.221001,0.697802,2.869353,0
0.031250,-182.901103,150.830773,21.881319,0.974359,8.547009,-6.105006,-0.732601,-7.081807,6.593407,2.197802,0.209402,2.981685,0
0.032293,-177.890114,115.085717,123.437365,-11.274725,8.547009,-3.663004,-3.663004,-7.570208,4.151404,4.639805,0.697802,3.118437,0
0.033334,-163.525278,36.246155,169.538465,-12.109890,8.547009,-0.732601,-6.105006,-7.081807,1.221001,7.081807,0.209402,2.849817,0
0.034375,-146.153849,-62.971430,182.232971,11.831502,6.593407,2.686203,-7.570208,-5.616606,-1.709402,8.547009,0.209402,2.864469,0
0.035417,-98.048354,-147.490113,169.872531,27.421245,3.663004,5.616606,-8.058608,-2.686203,-4.639805,8.547009,-0.278999,2.844933,0
0.036459,-6.848352,-177.890114,160.518685,8.490842,0.732601,8.058608,-7.081807,0.244200,-6.593407,7.570208,-0.278999,2.849817,0
0.037500,93.037365,-182.901103,131.120882,-14.058608,-2.686203,8.547009,-4.639805,3.663004,-7.570208,5.128205,-0.278999,2.849817,0
0.038542,163.859344,-166.197806,64.975826,-19.069597,-5.616606,8.547009,-1.709402,6.105006,-7.570208,2.197802,0.209402,2.825397,0
0.039583,181.898905,-152.167036,-28.896704,1.252747,-7.570208,7.081807,1.709402,8.058608,-6.105006,-1.221001,-0.278999,2.840049,0
0.040626,176.887916,-117.090113,-124.439563,23.523810,-8.058608,4.639805,4.151404,8.547009,-3.174603,-3.663004,0.209402,2.849817,0
0.041667,163.191212,-37.582418,-170.874729,16.007326,-7.570208,1.221001,7.081807,8.058608,-0.732601,-6.105006,-1.744200,2.854701,0
0.042708,145.485718,61.635166,-183.903301,-27.978022,-5.616606,-1.709402,8.547009,6.105006,2.686203,-7.570208,0.209402,2.864469,0
