1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,156.175828,15.534066,-181.564839,5.428571,-6.593407,-0.244200,8.058608,7.081807,1.221001,-7.081807,0.209402,2.827839,0
0.001041,123.437365,112.079123,-181.564839,-18.512821,-4.151404,-3.174603,8.547009,4.639805,4.151404,-7.570208,-0.278999,2.827839,0
0.002084,47.270331,166.531872,-166.197806,-14.336996,-1.221001,-6.105006,8.058608,1.709402,7.081807,-7.081807,0.209402,2.818071,0
0.003124,-51.947254,184.571433,-149.828575,10.161172,2.197802,-8.058608,6.593407,-1.709402,8.058608,-5.616606,0.209402,2.827839,0
0.004166,-141.142860,172.210993,-102.725277,27.142857,5.128205,-7.570208,3.663004,-4.151404,8.058608,-2.686203,0.209402,2.808303,0
0.005208,-174.549454,161.186817,-14.197803,10.717949,7.570208,-7.081807,0.732601,-6.105006,7.570208,0.244200,0.209402,2.808303,0
0.006249,-184.237367,134.461541,86.356046,-10.996337,8.547009,-5.128205,-2.197802,-7.570208,5.128205,3.174603,0.209402,2.827839,0
0.007291,-165.195608,78.004397,161.186817,-22.967033,8.547009,-2.197802,-5.128205,-7.570208,2.686203,6.105006,0.209402,2.818071,0
0.008332,-157.178025,-16.870330,180.228575,-0.974359,7.570208,1.221001,-7.081807,-6.593407,-0.732601,8.058608,0.209402,2.827839,0
0.009375,-124.439563,-113.415387,179.894510,22.131868,4.639805,4.151404,-7.570208,-4.151404,-3.174603,8.547009,-0.278999,2.837607,0
0.010416,-48.606594,-167.868136,164.193410,18.791209,1.709402,7.081807,-7.570208,-0.732601,-6.105006,8.058608,0.209402,2.818071,0
0.011457,51.279122,-185.573631,147.824179,-5.706960,-1.221001,8.547009,-5.616606,2.197802,-7.570208,6.105006,0.209402,2.827839,0
0.012499,140.140662,-173.881323,100.386815,-22.410256,-4.151404,8.547009,-3.174603,5.128205,-7.570208,3.174603,0.209402,2.808303,0
0.013541,173.213191,-162.523081,12.527473,-6.542125,-6.593407,7.570208,0.244200,7.081807,-7.081807,0.244200,0.209402,2.808303,0
0.014582,182.901103,-136.131871,-88.360442,15.172161,-8.058608,5.616606,3.174603,8.547009,-4.639805,-2.686203,0.209402,2.837607,0
0.015624,163.859344,-79.006595,-162.189015,26.586081,-7.570208,2.686203,6.105006,8.058608,-1.709402,-5.128205,-0.278999,2.827839,0
0.016666,156.175828,15.534066,-181.564839,4.593407,-6.593407,-0.244200,8.058608,7.081807,1.221001,-7.081807,0.209402,2.837607,0
0.017708,123.103299,112.413189,-181.564839,-17.956044,-4.151404,-3.174603,8.547009,4.639805,4.151404,-7.570208,0.209402,2.827839,0
0.018749,47.604397,166.531872,-166.197806,-14.058608,-1.221001,-6.105006,8.547009,1.709402,7.081807,-7.081807,0.209402,2.818071,0
0.019791,-52.281320,184.237367,-149.828575,9.604396,2.197802,-7.570208,6.593407,-1.221001,8.547009,-5.128205,0.209402,2.827839,0
0.020833,-141.476926,172.210993,-102.391211,27.421245,5.128205,-7.570208,3.663004,-4.151404,8.058608,-2.686203,0.209402,2.808303,0
0.021875,-174.549454,161.520883,-13.863737,11.553114,7.570208,-7.081807,0.732601,-6.593407,7.570208,0.732601,0.209402,2.808303,0
0.022916,-184.237367,134.461541,86.021980,-10.161172,8.547009,-4.639805,-2.686203,-7.570208,5.616606,3.663004,0.209402,2.827839,0
0.023957,-165.195608,77.670331,161.186817,-22.967033,8.547009,-2.197802,-5.128205,-7.570208,2.686203,6.105006,0.209402,2.827839,0
0.024999,-157.178025,-16.870330,180.228575,-0.974359,7.081807,1.221001,-7.570208,-6.593407,-0.732601,7.570208,0.209402,2.827839,0
0.026042,-124.105497,-113.415387,179.894510,22.688645,4.639805,4.151404,-8.058608,-4.151404,-3.174603,8.547009,0.209402,2.837607,0
0.027082,-48.606594,-167.868136,164.527476,18.512821,1.709402,7.081807,-7.570208,-0.732601,-6.105006,8.058608,0.209402,2.818071,0
0.028124,50.945056,-185.573631,147.824179,-5.706960,-1.709402,8.547009,-6.105006,2.197802,-7.570208,6.105006,-0.278999,2.827839,0
0.029166,139.806597,-173.547257,100.386815,-22.131868,-4.151404,8.058608,-3.174603,5.128205,-7.081807,3.174603,-0.278999,2.808303,0
0.030208,173.547257,-162.523081,12.193407,-6.820513,-6.593407,8.058608,0.244200,7.081807,-6.593407,0.244200,0.209402,2.808303,0
0.031250,182.901103,-135.797805,-88.026376,14.336996,-8.058608,5.616606,3.174603,8.547009,-4.639805,-3.174603,0.209402,2.827839,0
0.032291,163.859344,-78.672529,-162.189015,27.421245,-7.570208,2.686203,5.616606,8.058608,-1.709402,-5.128205,0.209402,2.827839,0
0.033333,155.841762,16.202198,-181.564839,4.593407,-6.593407,-0.244200,8.058608,7.081807,1.221001,-7.081807,-0.278999,2.837607,0
0.034374,123.103299,112.747255,-181.564839,-18.512821,-4.151404,-3.663004,8.547009,4.639805,4.151404,-7.081807,0.209402,2.827839,0
0.035416,46.936265,166.531872,-166.197806,-14.615385,-1.221001,-6.593407,8.058608,1.709402,7.081807,-7.081807,0.209402,2.827839,0
0.036458,-52.281320,184.571433,-149.828575,9.882784,2.197802,-8.058608,6.593407,-1.709402,8.058608,-5.616606,-0.278999,2.818071,0
0.037500,-141.476926,172.210993,-101.389013,27.699634,5.128205,-8.058608,3.663004,-4.151404,8.058608,-2.686203,0.209402,2.798535,0
0.038541,-174.883520,161.186817,-13.863737,10.996337,7.570208,-7.081807,0.732601,-6.593407,7.570208,0.244200,0.209402,2.808303,0
0.039583,-184.237367,134.461541,86.356046,-10.717949,8.547009,-5.128205,-2.197802,-7.570208,5.616606,3.174603,0.209402,2.827839,0
0.040624,-165.195608,77.002200,161.520883,-22.688645,8.547009,-2.197802,-5.616606,-7.570208,2.686203,6.105006,0.209402,2.827839,0
0.041667,-157.178025,-17.204396,180.228575,-1.531136,7.570208,1.221001,-7.081807,-6.105006,-0.732601,8.058608,0.209402,2.827839,0
0.042707,-124.105497,-113.749453,179.894510,22.131868,4.639805,4.151404,-8.058608,-3.663004,-3.663004,8.058608,-0.278999,2.837607,0
0.043749,-48.272529,-167.868136,164.527476,18.512821,1.709402,6.593407,-7.570208,-0.732601,-6.105006,8.058608,-0.278999,2.818071,0
0.044791,50.945056,-185.573631,148.158245,-4.871795,-1.709402,8.547009,-5.616606,2.197802,-7.570208,6.105006,-0.278999,2.837607,0
0.045834,140.140662,-173.547257,99.718684,-22.410256,-4.639805,8.058608,-3.174603,5.128205,-7.570208,3.663004,-0.278999,2.808303,0
0.046874,173.547257,-162.523081,11.859341,-8.490842,-6.593407,7.570208,-0.244200,7.570208,-7.081807,0.244200,0.209402,2.818071,0
