1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,-150.162641,-26.224176,146.153849,1.531136,4.639805,4.639805,-9.035409,-3.663004,-4.151404,9.523810,-1.255800,2.297924,0
0.001042,-101.389013,-93.037365,167.868136,1.252747,2.197802,8.058608,-7.570208,-1.221001,-7.570208,7.570208,1.674603,2.293040,0
0.002084,-23.217583,-135.129673,160.518685,1.531136,-1.221001,10.500611,-5.128205,2.197802,-9.523810,5.616606,2.651404,2.312576,0
0.003125,52.615386,-156.843960,138.804399,2.923077,-5.616606,9.523810,-3.174603,6.105006,-8.547009,3.174603,0.209402,2.307692,0
0.004168,110.074728,-170.540663,73.327474,2.366300,-8.547009,7.081807,-0.244200,9.035409,-6.593407,0.732601,-2.232601,2.283272,0
0.005211,140.808794,-154.171432,-4.843956,1.252747,-9.523810,5.128205,3.663004,10.012210,-4.151404,-3.174603,-2.232601,2.283272,0
0.006251,159.850553,-120.764838,-78.338463,1.531136,-8.058608,3.174603,7.570208,8.547009,-2.197802,-6.593407,1.186203,2.293040,0
0.007292,167.868136,-48.272529,-125.107695,1.809524,-6.105006,0.244200,10.012210,6.593407,0.732601,-9.035409,2.651404,2.302808,0
0.008334,150.162641,26.224176,-146.487915,1.809524,-4.151404,-3.663004,10.012210,4.151404,5.128205,-9.035409,1.186203,2.302808,0
0.009375,101.723079,92.703299,-167.868136,0.417582,-1.709402,-7.570208,8.058608,1.709402,8.547009,-7.081807,-1.744200,2.288156,0
0.010419,22.883517,135.129673,-160.852751,1.809524,1.709402,-9.523810,6.105006,-1.221001,10.012210,-4.639805,-2.721001,2.307692,0
0.011459,-52.281320,156.175828,-139.138465,1.531136,5.616606,-8.547009,3.663004,-5.128205,9.035409,-2.197802,-0.278999,2.302808,0
0.012500,-109.740662,171.208795,-73.661540,1.809524,9.035409,-6.593407,1.221001,-8.058608,7.081807,0.244200,2.163004,2.283272,0
0.013542,-140.474728,153.837366,4.175824,1.809524,10.012210,-4.639805,-2.686203,-9.035409,4.639805,3.663004,1.674603,2.283272,0
0.014584,-160.518685,120.764838,78.004397,2.087912,9.035409,-2.197802,-6.593407,-8.058608,3.174603,7.081807,-1.255800,2.288156,0
0.015626,-167.868136,47.938463,125.107695,1.531136,7.081807,0.244200,-9.035409,-5.616606,0.244200,9.523810,-2.721001,2.302808,0
0.016667,-150.162641,-26.224176,145.819783,2.366300,4.639805,4.639805,-9.035409,-3.663004,-4.151404,9.523810,-1.255800,2.302808,0
