1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,-122.101102,-91.367035,184.905499,3.479853,9.035409,-2.197802,-5.616606,-8.547009,3.174603,6.105006,0.209402,4.293040,0
0.001041,-58.628573,-175.885718,191.586817,31.040293,8.058608,1.221001,-7.570208,-7.081807,-0.244200,8.547009,0.697802,4.459096,0
0.002082,23.551649,-230.004401,146.487915,20.461538,5.128205,4.639805,-8.547009,-4.151404,-4.151404,9.035409,0.209402,4.166056,0
0.003124,126.443959,-212.632972,98.382420,-4.036630,0.732601,7.081807,-8.058608,-1.709402,-6.105006,8.547009,0.209402,4.273504,0
0.004166,192.923081,-179.560444,30.232968,-14.336996,-1.221001,9.035409,-6.593407,2.197802,-8.058608,6.593407,0.209402,4.283272,0
0.005213,225.995609,-134.127476,-69.318683,-5.150183,-5.128205,9.035409,-3.663004,5.616606,-8.547009,3.663004,0.209402,4.293040,0
0.006249,202.276928,-81.010991,-156.843960,15.172161,-7.081807,8.547009,-0.244200,8.058608,-7.570208,0.732601,0.209402,4.312576,0
0.007291,151.164839,-5.846154,-213.969236,23.245421,-8.547009,5.616606,3.663004,9.035409,-5.128205,-3.174603,-0.278999,4.283272,0
0.008333,118.760442,96.043958,-226.997807,2.923077,-8.547009,3.174603,6.593407,9.035409,-2.197802,-5.616606,0.209402,4.283272,0
0.009374,57.292309,178.558246,-196.597807,-11.831502,-7.081807,-0.244200,8.547009,7.570208,1.221001,-7.570208,0.209402,4.293040,0
0.010416,-25.556045,228.334071,-119.428574,-21.296703,-4.151404,-4.151404,9.523810,5.128205,4.639805,-8.547009,-1.255800,4.312576,0
0.011458,-128.448355,210.962642,-100.386815,2.923077,-1.709402,-6.105006,9.035409,2.197802,7.081807,-7.570208,1.186203,4.507937,0
0.012500,-195.595609,178.224180,-31.903297,12.388278,2.197802,-8.058608,7.081807,-1.221001,8.547009,-5.616606,0.209402,4.390720,0
0.013541,-228.000005,133.459344,65.643958,12.109890,5.616606,-8.547009,4.639805,-5.128205,9.523810,-3.174603,0.697802,4.283272,0
0.014583,-202.610994,79.674727,153.503300,-9.604396,7.570208,-7.570208,1.221001,-7.081807,8.547009,-0.244200,0.697802,4.312576,0
0.015625,-163.525278,6.514286,215.305499,-18.234432,9.035409,-5.616606,-2.686203,-8.547009,6.105006,3.663004,0.209402,4.273504,0
0.016666,-124.105497,-96.712090,220.650554,3.479853,9.035409,-2.197802,-5.616606,-8.058608,3.174603,6.105006,0.697802,4.283272,0
0.017708,-73.995606,-173.881323,194.593411,17.677656,7.570208,1.221001,-7.570208,-7.081807,-0.244200,8.058608,0.209402,4.293040,0
0.018749,-11.191209,-229.002203,151.164839,21.018315,5.128205,4.639805,-8.547009,-4.151404,-3.663004,9.035409,0.209402,4.263736,0
0.019791,126.109893,-223.323082,91.367035,-4.036630,2.197802,7.081807,-8.058608,-1.709402,-6.105006,8.547009,-0.278999,4.273504,0
0.020833,193.257147,-179.560444,44.597803,-12.945055,-1.221001,9.035409,-6.105006,2.197802,-8.058608,6.593407,0.209402,4.293040,0
0.021874,226.663741,-135.129673,-66.980221,-3.479853,-4.639805,9.523810,-3.663004,5.128205,-8.547009,3.663004,5.093407,4.293040,0
0.022916,202.945059,-81.345057,-155.841762,0.974359,-7.570208,8.547009,-0.244200,7.570208,-7.570208,0.732601,0.209402,4.195360,0
0.023958,163.859344,-7.850550,-216.641763,23.245421,-8.547009,6.105006,3.663004,9.523810,-5.128205,-2.686203,0.209402,4.273504,0
0.024999,122.101102,95.375826,-221.652752,2.923077,-8.547009,3.174603,6.593407,9.035409,-2.197802,-5.616606,0.209402,4.283272,0
0.026041,57.960441,173.213191,-193.925279,-11.274725,-7.081807,-0.244200,8.547009,8.547009,1.221001,-7.570208,0.209402,4.293040,0
0.027083,-25.556045,229.002203,-148.158245,-15.728938,-4.639805,-4.151404,9.523810,6.105006,4.639805,-8.547009,0.209402,4.263736,0
0.028125,-142.479124,213.635170,-99.384618,10.717949,-1.221001,-6.593407,9.035409,2.197802,7.081807,-7.570208,0.697802,4.263736,0
0.029166,-214.303301,176.553850,-41.591210,20.183150,2.197802,-8.058608,7.081807,-1.221001,8.547009,-5.616606,0.697802,4.283272,0
0.030208,-228.000005,121.098904,91.701101,12.666667,5.616606,-8.547009,4.151404,-4.639805,9.035409,-3.174603,0.209402,4.283272,0
0.031249,-203.947257,79.674727,161.186817,-7.934066,7.570208,-7.570208,0.732601,-7.081807,8.547009,-0.244200,0.697802,4.322344,0
0.032292,-165.529674,6.848352,214.303301,-22.967033,9.035409,-5.128205,-2.686203,-8.547009,6.105006,3.663004,0.697802,4.302808,0
