1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,-126.109893,169.204399,-68.650551,12.388278,7.081807,-4.639805,-1.221001,-6.105006,5.616606,2.197802,-0.278999,1.770452,0
0.001041,-150.830773,156.843960,13.529671,-4.871795,7.570208,-2.686203,-3.663004,-6.593407,3.174603,4.639805,0.209402,1.814408,0
0.002083,-162.523081,122.101102,99.384618,-16.842491,7.081807,-0.244200,-5.616606,-6.593407,1.221001,6.105006,-0.278999,1.824176,0
0.003125,-165.529674,44.597803,138.136267,-4.036630,5.128205,2.686203,-7.081807,-4.639805,-1.709402,7.081807,-0.278999,1.829060,0
0.004167,-163.191212,-38.584616,160.518685,12.945055,3.174603,5.128205,-6.593407,-1.709402,-4.151404,7.081807,-0.278999,1.833944,0
0.005208,-106.400002,-108.404398,175.551652,14.336996,0.244200,7.081807,-5.616606,0.732601,-6.105006,6.105006,-0.278999,1.833944,0
0.006250,-0.835165,-172.210993,165.529674,0.417582,-2.197802,7.570208,-3.663004,3.663004,-6.593407,4.151404,-0.278999,1.848596,0
0.007292,70.320881,-148.826377,141.142860,-13.223443,-5.128205,7.081807,-1.221001,5.616606,-6.105006,1.221001,-0.278999,1.892552,0
0.008333,125.441761,-169.538465,62.637364,-17.956044,-6.105006,5.616606,1.709402,6.593407,-4.639805,-1.221001,-1.744200,1.946276,0
0.009375,152.167036,-157.846157,-15.200000,21.853480,-6.593407,3.174603,4.151404,7.570208,-2.686203,-3.663004,0.697802,1.916972,0
0.010416,164.527476,-122.435168,-100.052749,19.904762,-6.105006,1.221001,6.593407,6.593407,0.244200,-5.616606,-0.278999,1.838828,0
0.011459,167.200004,-44.263737,-139.138465,8.769231,-4.639805,-1.709402,7.081807,5.128205,2.686203,-6.593407,-0.278999,1.843712,0
0.012500,151.498904,40.254946,-159.516487,-9.604396,-2.197802,-4.151404,7.570208,3.174603,5.128205,-6.593407,-0.278999,1.848596,0
0.013542,97.046156,110.742860,-169.538465,-10.717949,0.732601,-6.105006,6.593407,-0.244200,7.081807,-5.128205,0.209402,1.843712,0
0.014583,15.200000,146.487915,-165.529674,2.923077,3.663004,-6.593407,4.639805,-2.197802,7.570208,-3.663004,0.209402,1.853480,0
0.015625,-71.657144,165.529674,-139.472531,17.956044,5.616606,-6.105006,2.197802,-4.639805,7.081807,-0.732601,-0.278999,1.843712,0
0.016667,-125.441761,168.536267,-74.997804,10.996337,7.081807,-5.128205,-1.221001,-6.105006,5.616606,2.197802,-0.278999,1.838828,0
0.017708,-152.501102,156.843960,25.221979,-3.479853,7.570208,-2.686203,-3.663004,-6.593407,3.174603,4.639805,-0.278999,1.897436,0
0.018750,-165.195608,121.432970,98.716486,-13.223443,7.081807,-0.244200,-5.616606,-6.105006,1.221001,6.593407,-0.278999,2.283272,0
0.019792,-167.200004,43.929671,138.470333,0.695971,5.616606,2.686203,-6.593407,-4.151404,-1.709402,7.081807,-0.278999,1.853480,0
0.020833,-152.835168,-41.257144,158.180223,13.780220,2.686203,5.128205,-6.593407,-1.709402,-4.151404,7.570208,-0.278999,1.858364,0
0.021875,-96.712090,-112.079123,168.870333,14.615385,0.244200,6.593407,-6.105006,0.732601,-6.105006,6.105006,-0.278999,1.858364,0
0.022916,-18.540660,-147.156047,165.863740,0.139194,-2.686203,7.570208,-4.151404,3.174603,-7.081807,4.151404,-0.278999,1.868132,0
0.023959,80.008793,-167.200004,135.129673,-14.058608,-4.639805,7.081807,-1.221001,5.616606,-6.105006,1.709402,-0.278999,1.853480,0
0.025000,139.472531,-189.916488,66.980221,-6.820513,-6.593407,5.616606,1.709402,7.081807,-4.639805,-1.221001,-0.278999,1.853480,0
0.026042,147.156047,-157.178025,-17.872528,12.388278,-6.593407,3.663004,4.639805,7.570208,-2.686203,-3.663004,-0.767399,1.916972,0
0.027083,164.193410,-122.435168,-122.769234,15.728938,-6.105006,1.221001,6.593407,7.081807,-0.244200,-5.616606,-0.278999,2.009768,0
