1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,-149.160443,164.861542,19.542858,-10.717949,10.500611,-6.105006,-3.174603,-10.012210,7.081807,4.151404,0.209402,2.796093,0
0.001042,-161.854949,127.780223,104.395607,-19.904762,10.989011,-2.686203,-7.081807,-10.012210,3.663004,7.570208,0.209402,2.800977,0
0.002084,-169.538465,45.600001,141.476926,-3.479853,9.523810,0.732601,-9.035409,-8.058608,-0.244200,10.012210,0.209402,2.820513,0
0.003125,-161.520883,-45.934067,154.171432,20.461538,6.593407,5.128205,-10.500611,-5.128205,-4.639805,10.989011,-0.278999,2.815629,0
0.004167,-104.729673,-116.421981,168.202202,16.842491,2.197802,8.547009,-9.523810,-1.221001,-7.570208,10.012210,0.209402,2.800977,0
0.005209,-13.195605,-145.819783,170.206597,-3.201465,-1.709402,10.500611,-7.570208,2.686203,-9.523810,8.058608,0.209402,2.820513,0
0.006250,77.002200,-161.520883,148.158245,-22.131868,-5.616606,10.989011,-4.151404,6.105006,-10.012210,4.639805,-0.278999,2.805861,0
0.007292,128.782420,-171.542861,71.991210,-8.212454,-8.547009,9.523810,0.244200,9.035409,-8.547009,0.732601,0.209402,2.786325,0
0.008333,148.492311,-166.197806,-19.542858,14.615385,-9.523810,7.081807,3.663004,10.500611,-6.105006,-3.174603,0.209402,2.791209,0
0.009375,160.852751,-129.116486,-105.397805,23.245421,-10.012210,3.663004,7.570208,10.500611,-2.686203,-7.081807,0.209402,2.805861,0
0.010417,169.204399,-46.936265,-142.813190,7.377289,-8.547009,-0.244200,10.012210,9.523810,1.221001,-9.035409,-0.278999,2.815629,0
0.011458,160.184619,44.597803,-155.173630,-16.564103,-5.616606,-4.639805,10.989011,6.105006,5.128205,-10.012210,-0.278999,2.810745,0
0.012500,103.727475,114.751651,-163.859344,-13.780220,-1.709402,-7.570208,10.500611,2.197802,8.547009,-9.035409,0.209402,2.815629,0
0.013542,12.527473,144.817586,-171.208795,9.882784,2.686203,-9.523810,8.547009,-1.221001,10.012210,-7.081807,3.628205,2.908425,0
0.014583,-77.336265,160.184619,-149.494509,22.131868,6.593407,-10.012210,5.128205,-5.616606,10.989011,-3.663004,0.209402,2.742369,0
0.015625,-129.450552,170.874729,-73.995606,12.945055,10.012210,-9.035409,1.221001,-8.058608,9.523810,0.244200,0.209402,2.786325,0
0.016667,-149.494509,165.195608,18.540660,-10.161172,10.500611,-5.128205,-3.174603,-9.523810,7.081807,4.151404,0.209402,2.796093,0
0.017709,-161.520883,128.782420,104.061541,-19.904762,10.989011,-2.686203,-6.593407,-9.523810,3.663004,7.570208,0.209402,2.800977,0
0.018750,-170.206597,46.268133,141.476926,-3.758242,9.523810,0.732601,-9.035409,-8.058608,-0.244200,9.523810,0.209402,2.815629,0
0.019792,-161.186817,-44.931869,153.837366,20.183150,6.593407,5.128205,-10.012210,-5.128205,-4.151404,10.989011,0.209402,2.810745,0
0.020833,-104.729673,-116.087915,168.202202,17.399267,2.686203,8.547009,-9.523810,-1.221001,-8.058608,10.012210,-0.278999,2.805861,0
0.021876,-13.529671,-146.153849,170.206597,-3.479853,-1.709402,10.500611,-7.570208,2.686203,-9.523810,8.058608,-0.278999,2.825397,0
0.022916,76.000002,-161.520883,148.158245,-22.131868,-5.616606,10.989011,-4.151404,6.593407,-10.012210,4.639805,0.209402,2.810745,0
0.023958,128.448355,-171.876927,72.325276,-7.934066,-8.547009,10.012210,0.244200,9.035409,-8.547009,0.732601,0.209402,2.786325,0
0.025000,148.492311,-166.197806,-19.208792,17.120879,-10.012210,7.081807,3.663004,10.500611,-6.105006,-3.174603,-0.278999,2.800977,0
0.026042,160.852751,-129.450552,-105.063739,22.967033,-10.012210,3.663004,7.570208,10.500611,-2.686203,-6.593407,0.209402,2.805861,0
0.027083,169.204399,-47.604397,-142.479124,7.655678,-8.547009,-0.244200,9.523810,9.035409,1.221001,-9.035409,-0.278999,2.820513,0
0.028125,160.184619,43.929671,-154.839564,-14.615385,-5.616606,-4.151404,10.989011,6.105006,5.128205,-10.012210,-0.278999,2.815629,0
0.029167,104.395607,114.751651,-169.204399,-13.501832,-1.709402,-7.570208,10.500611,2.197802,8.547009,-9.035409,0.209402,2.810745,0
0.030208,13.529671,144.149454,-171.208795,7.098901,2.686203,-9.523810,8.547009,-1.709402,10.500611,-7.081807,0.209402,2.825397,0
0.031250,-76.334068,160.518685,-149.828575,23.802198,6.105006,-10.500611,5.128205,-5.616606,10.989011,-3.663004,0.209402,2.810745,0
0.032292,-129.450552,171.208795,-74.329672,13.780220,9.523810,-9.035409,0.732601,-8.058608,9.523810,0.244200,0.209402,2.791209,0
0.033334,-149.160443,165.195608,17.538462,-10.717949,10.500611,-6.593407,-3.174603,-9.523810,7.081807,4.151404,0.697802,2.800977,0
0.034389,-162.523081,126.109893,105.731870,-19.069597,10.989011,-2.686203,-6.593407,-10.012210,3.174603,7.570208,0.209402,2.805861,0
0.035425,-169.538465,44.931869,141.810992,-2.644689,9.523810,1.221001,-9.035409,-8.058608,-0.244200,10.012210,0.209402,2.820513,0
0.036461,-161.520883,-45.265935,153.503300,19.626374,6.593407,5.616606,-10.012210,-5.128205,-4.639805,10.500611,-0.278999,2.815629,0
0.037501,-105.731870,-116.087915,168.202202,18.234432,2.686203,8.547009,-10.012210,-1.709402,-7.570208,10.012210,0.209402,2.810745,0
0.038542,-14.531868,-145.485718,170.206597,-2.366300,-1.709402,10.500611,-7.570208,2.197802,-9.523810,8.058608,0.209402,2.825397,0
0.039583,77.002200,-161.520883,148.492311,-20.461538,-5.616606,10.989011,-4.151404,6.105006,-10.012210,4.639805,0.209402,2.805861,0
0.040625,127.780223,-169.204399,72.993408,-7.934066,-8.547009,9.523810,-0.244200,9.035409,-8.547009,0.732601,0.209402,2.791209,0
0.041667,148.492311,-166.197806,-22.215385,13.780220,-10.012210,7.081807,3.663004,10.989011,-6.105006,-3.174603,-0.278999,2.805861,0
0.042708,160.518685,-130.452750,-104.729673,21.853480,-10.012210,3.663004,7.570208,10.500611,-3.174603,-7.081807,1.186203,2.859585,0
0.043750,169.204399,-48.272529,-142.145058,8.490842,-8.547009,-0.244200,10.012210,9.035409,1.221001,-9.035409,0.209402,2.810745,0
0.044792,160.518685,43.261539,-154.839564,-16.007326,-5.616606,-4.639805,10.989011,6.105006,5.616606,-10.012210,0.209402,2.815629,0
0.045834,104.395607,114.751651,-169.204399,-14.336996,-1.709402,-7.570208,10.500611,2.197802,8.547009,-9.035409,0.209402,2.805861,0
0.046875,14.197803,144.149454,-171.208795,6.263736,2.197802,-9.523810,8.547009,-1.221001,10.500611,-7.081807,0.209402,2.820513,0
0.047917,-76.000002,160.184619,-150.830773,24.358974,6.593407,-10.012210,5.128205,-5.616606,10.989011,-4.151404,0.209402,2.805861,0
0.048958,-128.782420,170.874729,-76.000002,13.223443,9.035409,-9.035409,0.732601,-8.058608,9.523810,0.244200,-0.278999,2.791209,0
0.050000,-148.158245,164.861542,16.870330,-9.882784,10.500611,-6.593407,-3.174603,-9.523810,7.081807,4.151404,0.209402,2.791209,0
0.051042,-161.186817,130.118684,103.393409,-20.461538,10.989011,-2.686203,-6.593407,-10.012210,3.663004,7.570208,0.209402,2.800977,0
0.052083,-170.206597,47.604397,140.474728,-5.428571,9.523810,0.732601,-9.035409,-8.058608,-0.244200,9.523810,0.209402,2.815629,0
0.053125,-161.854949,-43.595605,153.503300,19.904762,6.593407,5.128205,-10.500611,-5.616606,-4.639805,10.989011,-0.767399,2.810745,0
0.054167,-106.400002,-115.419783,168.202202,17.956044,2.686203,8.547009,-9.523810,-1.221001,-7.570208,10.012210,-0.278999,2.805861,0
0.055208,-15.534066,-145.151652,170.206597,-2.644689,-1.709402,10.012210,-8.058608,2.686203,-9.523810,8.058608,0.209402,2.825397,0
0.056250,74.329672,-161.186817,149.160443,-20.183150,-5.616606,10.989011,-4.639805,6.105006,-10.012210,4.639805,0.209402,2.810745,0
0.057292,127.446157,-171.876927,73.995606,-8.490842,-8.547009,10.012210,-0.244200,9.035409,-8.547009,0.732601,0.209402,2.791209,0
