1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,-175.551652,109.406596,133.459344,-21.296703,8.547009,-3.174603,-4.151404,-7.570208,4.151404,4.639805,0.209402,2.827839,0
0.001041,-163.525278,24.553847,170.874729,-9.326007,8.058608,-0.244200,-6.593407,-7.081807,1.221001,7.081807,0.209402,2.837607,0
0.002082,-142.479124,-76.000002,183.569235,14.336996,6.105006,3.174603,-7.570208,-5.128205,-2.197802,8.547009,0.209402,2.857143,0
0.003125,-87.692310,-158.514289,165.529674,29.091575,3.174603,5.616606,-8.058608,-2.197802,-5.128205,8.058608,0.209402,2.837607,0
0.004166,4.509890,-179.894510,159.850553,5.150183,-0.244200,8.058608,-6.593407,0.732601,-7.081807,7.081807,-0.278999,2.837607,0
0.005207,105.731870,-182.901103,125.441761,-15.728938,-3.174603,8.547009,-4.151404,3.663004,-7.081807,4.639805,0.209402,2.837607,0
0.006249,164.861542,-166.531872,52.281320,-15.172161,-5.616606,8.547009,-1.221001,6.593407,-7.081807,1.709402,-0.278999,2.827839,0
0.007291,184.237367,-149.160443,-43.929671,5.150183,-7.570208,6.593407,2.197802,8.058608,-6.105006,-1.221001,0.209402,2.837607,0
0.008332,174.549454,-110.408794,-135.129673,25.750916,-8.058608,4.151404,4.639805,8.547009,-3.174603,-4.151404,-0.278999,2.837607,0
0.009374,162.523081,-26.224176,-172.545059,13.501832,-7.570208,1.221001,7.081807,8.058608,-0.244200,-7.081807,-0.278999,2.837607,0
0.010416,141.142860,74.663738,-185.239565,-10.439560,-5.616606,-2.197802,8.547009,6.105006,2.686203,-7.570208,0.209402,2.857143,0
0.011458,86.356046,156.843960,-166.865938,-24.358974,-2.197802,-5.128205,8.547009,3.174603,6.105006,-7.570208,0.209402,2.827839,0
0.012499,-6.180220,178.558246,-161.186817,-0.974359,0.732601,-7.570208,7.570208,-0.244200,7.570208,-6.593407,0.209402,2.837607,0
0.013541,-106.734068,181.898905,-127.112091,20.739927,4.151404,-7.570208,4.639805,-3.174603,8.058608,-3.663004,0.209402,2.837607,0
0.014582,-166.197806,165.195608,-53.951650,20.183150,6.593407,-7.570208,2.197802,-5.616606,8.058608,-0.732601,0.209402,2.818071,0
