1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,-94.039563,166.531872,-73.661540,11.553114,8.058608,-6.593407,0.244200,-7.081807,7.570208,1.221001,-0.278999,2.214896,0
0.001042,-148.826377,162.857146,11.525275,-6.542125,9.035409,-4.151404,-3.174603,-8.058608,5.128205,4.151404,-0.278999,2.214896,0
0.002084,-162.189015,127.780223,96.712090,-17.677656,8.547009,-1.221001,-6.105006,-7.570208,2.197802,6.593407,0.209402,2.224664,0
0.003125,-169.204399,49.942858,136.131871,-4.036630,7.081807,1.709402,-7.570208,-6.105006,-1.221001,8.547009,-0.278999,2.234432,0
0.004167,-158.180223,-37.248352,154.171432,15.728938,4.639805,5.128205,-8.058608,-3.663004,-4.151404,9.035409,-0.278999,2.234432,0
0.005209,-104.729673,-109.740662,168.202202,16.007326,1.221001,7.570208,-7.570208,-0.244200,-7.081807,8.058608,0.209402,2.229548,0
0.006250,-19.542858,-143.815388,167.868136,-0.974359,-2.197802,8.547009,-5.616606,3.174603,-7.570208,5.616606,-0.278999,2.239316,0
0.007292,67.314287,-162.857146,145.485718,-16.285714,-5.128205,9.035409,-2.686203,6.105006,-8.058608,2.686203,-0.278999,2.219780,0
0.008334,127.112091,-170.206597,74.997804,-9.326007,-7.081807,7.570208,1.221001,8.058608,-6.593407,-2.197802,0.209402,2.205128,0
0.009376,147.490113,-163.525278,-9.854945,10.996337,-8.058608,5.128205,4.151404,8.547009,-4.151404,-3.663004,-0.278999,2.214896,0
0.010417,161.854949,-131.120882,-63.305496,20.183150,-8.058608,2.197802,6.593407,8.547009,-1.221001,-6.105006,0.209402,2.239316,0
0.011459,168.870333,-50.276924,-128.448355,-0.695971,-6.105006,-1.221001,8.058608,7.081807,2.197802,-7.570208,-0.767399,2.336996,0
0.012500,157.178025,35.912089,-154.839564,-4.871795,-3.663004,-4.639805,9.035409,4.151404,5.128205,-7.570208,0.697802,2.268620,0
0.013543,103.727475,108.738464,-169.204399,-41.062271,-0.244200,-6.593407,8.058608,1.221001,7.570208,-7.081807,0.209402,2.214896,0
0.014584,18.206594,143.147256,-168.870333,3.758242,2.686203,-7.570208,6.593407,-2.197802,8.547009,-5.128205,-0.278999,2.239316,0
0.015625,-64.975826,161.854949,-146.487915,19.069597,6.105006,-8.058608,3.174603,-5.128205,8.547009,-2.197802,0.209402,2.224664,0
0.016667,-123.103299,170.206597,-74.663738,13.501832,8.058608,-6.105006,-0.732601,-7.081807,7.081807,1.221001,0.209402,2.210012,0
0.017709,-157.512091,161.186817,12.861539,-7.377289,8.547009,-4.151404,-2.686203,-8.058608,5.128205,4.151404,0.209402,2.219780,0
0.018750,-190.918686,132.123080,97.046156,-16.842491,8.547009,-1.221001,-6.105006,-7.570208,2.197802,6.593407,0.209402,2.229548,0
0.019792,-165.195608,48.272529,131.454948,-4.315018,7.570208,1.709402,-7.570208,-6.105006,-0.732601,8.058608,-0.278999,2.249084,0
0.020834,-157.846157,-31.903297,128.114289,15.728938,4.639805,5.128205,-8.547009,-3.174603,-4.639805,8.547009,-0.278999,2.288156,0
0.021876,-104.729673,-109.406596,168.202202,19.626374,0.732601,7.570208,-7.570208,0.244200,-7.081807,8.058608,-11.512210,2.434676,0
0.022917,-20.545055,-143.815388,168.202202,14.615385,-1.709402,9.035409,-5.616606,3.174603,-8.058608,5.616606,-0.278999,2.278388,0
0.023959,66.312089,-162.857146,145.819783,-16.285714,-5.128205,9.035409,-2.686203,6.105006,-8.058608,2.686203,0.209402,2.229548,0
0.025001,122.435168,-170.540663,74.663738,-5.985348,-7.081807,7.570208,1.221001,8.058608,-6.593407,-0.244200,-0.278999,2.219780,0
0.026042,148.492311,-162.523081,-11.859341,10.439560,-8.058608,5.128205,4.151404,8.547009,-4.151404,-3.663004,-0.278999,2.219780,0
0.027084,161.854949,-129.450552,-97.380222,21.296703,-8.058608,2.197802,6.593407,8.547009,-1.221001,-6.105006,-0.278999,2.229548,0
0.028125,168.870333,-50.945056,-136.800003,7.098901,-6.593407,-0.732601,8.547009,7.081807,1.709402,-7.570208,-0.278999,2.239316,0
0.029168,157.178025,35.578023,-155.173630,-11.831502,-3.663004,-4.151404,9.035409,4.151404,5.128205,-8.058608,-0.278999,2.234432,0
0.030209,104.395607,108.738464,-169.204399,-12.109890,-0.244200,-6.593407,8.058608,0.732601,7.570208,-7.081807,-0.278999,2.229548,0
0.031250,19.542858,143.147256,-169.204399,3.201465,2.686203,-8.058608,6.105006,-2.197802,8.547009,-5.128205,0.209402,2.239316,0
0.032292,-67.648353,161.854949,-146.821981,26.864469,6.105006,-8.058608,3.174603,-5.128205,8.547009,-2.197802,-0.767399,2.688645,0
0.033334,-122.101102,170.540663,-76.000002,-12.666667,8.058608,-6.593407,0.244200,-7.081807,7.081807,1.221001,-0.278999,2.205128,0
0.034376,-147.824179,161.854949,10.523077,-6.263736,9.035409,-4.639805,-3.174603,-8.058608,5.128205,4.151404,-0.278999,2.214896,0
0.035417,-163.191212,128.782420,96.043958,-18.512821,8.547009,-0.732601,-5.616606,-7.570208,2.197802,7.081807,0.209402,2.229548,0
0.036459,-169.538465,50.276924,136.131871,-4.036630,7.570208,1.709402,-7.570208,-5.616606,-0.732601,8.058608,0.209402,2.234432,0
0.037501,-169.204399,-36.580221,154.839564,14.893773,4.639805,5.128205,-8.058608,-3.663004,-4.151404,9.035409,-0.278999,2.234432,0
0.038542,-92.703299,-112.747255,173.213191,16.285714,1.221001,7.570208,-7.081807,-0.244200,-7.081807,8.058608,0.209402,2.234432,0
0.039584,-22.549451,-140.140662,173.881323,2.087912,-2.197802,9.035409,-5.616606,2.686203,-8.058608,6.105006,-0.278999,2.297924,0
0.040625,66.646155,-162.523081,154.505498,-3.479853,-5.128205,9.035409,-2.197802,6.105006,-8.058608,3.174603,-1.744200,2.444444,0
0.041669,122.769234,-170.540663,74.663738,0.695971,-7.081807,7.081807,1.221001,8.058608,-6.593407,-0.244200,-0.278999,2.424908,0
0.042709,148.826377,-162.857146,-10.857143,7.655678,-8.058608,5.128205,4.151404,8.547009,-4.151404,-3.174603,-0.278999,2.214896,0
0.043750,161.854949,-129.784618,-97.380222,21.296703,-8.058608,2.197802,7.081807,8.547009,-1.221001,-6.105006,-0.278999,2.224664,0
0.044792,168.870333,-51.613188,-136.800003,7.655678,-6.593407,-1.221001,8.547009,7.081807,1.709402,-7.570208,0.209402,2.234432,0
0.045834,159.182421,35.243957,-154.505498,-12.109890,-4.151404,-4.151404,9.523810,4.639805,5.128205,-8.058608,-0.278999,2.234432,0
0.046875,107.068134,108.738464,-169.538465,-11.831502,-0.244200,-6.593407,8.058608,1.221001,7.570208,-7.081807,0.209402,2.229548,0
0.047917,-2.171429,144.483520,-166.531872,4.036630,2.686203,-8.058608,6.593407,-2.197802,8.547009,-4.639805,0.209402,2.234432,0
0.048959,-86.690112,165.529674,-147.490113,19.626374,6.105006,-8.058608,3.174603,-5.128205,8.547009,-2.197802,0.209402,2.229548,0
0.050001,-122.769234,170.206597,-76.334068,12.388278,8.058608,-6.593407,-0.244200,-6.593407,7.081807,1.221001,0.209402,2.214896,0
0.051042,-148.492311,161.854949,9.520879,-6.263736,9.035409,-4.151404,-3.174603,-8.058608,5.128205,4.151404,0.209402,2.219780,0
0.052083,-162.189015,129.116486,96.043958,-17.399267,8.547009,-1.221001,-6.105006,-7.570208,2.197802,7.081807,0.209402,2.229548,0
0.053126,-169.538465,50.610990,135.797805,-4.593407,7.081807,1.709402,-7.570208,-6.105006,-0.732601,8.547009,0.209402,2.239316,0
0.054167,-158.180223,-35.912089,153.837366,15.450549,4.639805,5.128205,-8.058608,-3.663004,-4.639805,9.035409,0.209402,2.234432,0
0.055209,-105.731870,-109.072530,168.202202,16.285714,1.221001,7.570208,-7.570208,-0.244200,-6.593407,8.058608,-0.278999,2.229548,0
0.056250,-21.213187,-143.481322,167.534070,-0.417582,-2.197802,8.547009,-5.616606,3.174603,-7.570208,5.616606,-0.278999,2.244200,0
0.057293,65.309892,-162.857146,146.821981,-16.564103,-5.128205,9.035409,-2.197802,5.616606,-8.058608,2.686203,-0.278999,2.229548,0
0.058334,88.026376,-168.202202,85.687914,-8.212454,-7.081807,7.570208,0.732601,7.570208,-6.593407,-0.244200,-0.278999,2.219780,0
0.059376,145.819783,-163.859344,7.516484,11.553114,-8.058608,5.128205,3.663004,9.035409,-4.639805,-3.663004,-0.278999,2.239316,0
0.060417,161.520883,-130.118684,-99.718684,24.637363,-8.058608,2.197802,6.593407,8.547009,-1.709402,-6.105006,0.209402,2.307692,0
0.061460,168.870333,-51.279122,-136.800003,-3.758242,-6.593407,-1.221001,8.547009,7.081807,1.709402,-7.570208,-0.278999,2.429792,0
0.062501,156.843960,35.243957,-154.839564,-9.326007,-3.663004,-4.151404,9.035409,4.151404,5.128205,-8.058608,0.209402,2.263736,0
0.063542,104.061541,108.070332,-169.872531,-11.553114,-0.244200,-6.593407,8.058608,0.732601,7.570208,-7.081807,0.209402,2.234432,0
0.064583,22.883517,142.813190,-168.870333,3.758242,2.686203,-7.081807,6.105006,-1.709402,8.547009,-5.128205,0.209402,2.239316,0
0.065626,-67.314287,161.854949,-147.824179,19.347985,6.105006,-8.058608,3.174603,-4.639805,8.547009,-2.197802,0.209402,2.229548,0
0.066667,-124.105497,170.874729,-74.997804,12.388278,8.058608,-6.593407,-0.244200,-7.081807,7.081807,1.221001,-0.278999,2.219780,0
0.067709,-146.487915,164.193410,9.854945,-6.542125,9.035409,-4.639805,-3.174603,-8.058608,4.639805,4.151404,-0.278999,2.224664,0
0.068750,-170.540663,129.450552,84.685716,-18.234432,9.035409,-1.709402,-5.616606,-7.570208,1.709402,6.593407,0.209402,2.244200,0
0.069792,-169.538465,39.252748,115.419783,-4.315018,7.081807,1.709402,-7.570208,-6.105006,-1.221001,8.058608,-0.767399,2.273504,0
0.070834,-158.180223,-35.243957,153.503300,4.315018,4.639805,5.128205,-8.058608,-3.174603,-4.151404,9.035409,8.512210,2.376068,0
0.071875,-105.397805,-108.738464,168.536267,23.802198,1.221001,7.570208,-7.570208,-0.244200,-7.081807,8.058608,-0.278999,2.268620,0
0.072918,-20.879121,-143.481322,168.202202,-10.717949,-2.197802,8.547009,-5.616606,2.686203,-8.058608,6.105006,-0.278999,2.244200,0
0.073959,65.643958,-162.523081,146.821981,-16.007326,-5.128205,9.035409,-2.686203,6.105006,-8.058608,2.686203,-0.278999,2.229548,0
0.075000,121.767036,-170.874729,75.665936,-8.212454,-7.570208,7.570208,0.732601,8.058608,-6.593407,-0.244200,0.209402,2.214896,0
0.076042,148.158245,-162.857146,-10.523077,10.717949,-8.058608,5.128205,3.663004,9.035409,-4.151404,-3.174603,-0.278999,2.219780,0
0.077084,161.520883,-130.118684,-97.046156,22.410256,-8.058608,2.197802,7.081807,8.547009,-1.221001,-6.105006,0.209402,2.229548,0
0.078126,168.870333,-51.947254,-136.465937,8.769231,-6.593407,-0.732601,8.058608,7.081807,1.709402,-7.570208,-0.278999,2.234432,0
0.079168,157.846157,34.909891,-154.839564,-11.553114,-3.663004,-4.151404,9.035409,4.151404,5.128205,-8.058608,-0.278999,2.239316,0
