1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,-224.993412,136.800003,63.305496,-6.542125,6.105006,-8.547009,4.639805,-4.151404,9.523810,-2.686203,0.209402,4.224664,0
0.001043,-202.610994,84.017584,153.503300,-7.098901,8.547009,-7.570208,1.709402,-6.593407,8.547009,0.244200,1.674603,4.283272,0
0.002090,-163.525278,10.857143,214.303301,1.252747,9.035409,-4.639805,-2.686203,-8.058608,6.105006,4.639805,1.674603,4.214896,0
0.003131,-121.432970,-93.037365,221.652752,13.223443,9.523810,-2.197802,-5.616606,-8.058608,3.174603,7.081807,1.674603,4.195360,0
0.004167,-59.630771,-171.208795,193.591213,3.201465,8.547009,1.709402,-7.570208,-7.081807,0.244200,8.547009,1.674603,4.205128,0
0.005209,22.549451,-226.997807,149.828575,-6.542125,5.616606,5.128205,-8.547009,-4.151404,-3.663004,10.012210,1.186203,4.185592,0
0.006250,125.107695,-210.628576,104.395607,-2.644689,2.686203,7.570208,-8.058608,-1.221001,-5.616606,9.035409,1.674603,4.195360,0
0.007292,192.923081,-177.890114,35.578023,-0.974359,-0.732601,9.523810,-6.105006,2.197802,-7.570208,7.081807,1.674603,4.205128,0
0.008333,227.331873,-134.461541,-61.969232,10.996337,-4.151404,10.012210,-3.174603,5.616606,-8.058608,4.639805,1.674603,4.205128,0
0.009375,204.615389,-82.013189,-151.498904,9.326007,-6.593407,9.035409,0.244200,8.547009,-7.570208,1.221001,1.186203,4.263736,0
0.010417,166.531872,-9.520879,-211.964840,2.366300,-8.058608,6.593407,4.151404,9.523810,-4.639805,-2.197802,1.674603,4.195360,0
0.011458,124.439563,94.373628,-219.982422,-9.047619,-8.058608,3.663004,7.081807,9.523810,-1.709402,-5.128205,1.674603,4.253968,0
0.012500,61.635166,173.881323,-191.920883,-1.809524,-7.081807,0.244200,9.523810,8.058608,1.709402,-7.081807,1.674603,4.214896,0
0.013542,-19.542858,229.670335,-148.158245,9.604396,-4.151404,-3.663004,10.012210,5.616606,5.128205,-8.058608,2.163004,4.195360,0
0.014584,-123.771431,212.967038,-102.057145,5.150183,-1.221001,-6.105006,9.523810,2.686203,7.081807,-7.570208,1.674603,4.195360,0
0.015625,-190.584620,180.228575,-33.239561,4.315018,2.197802,-7.570208,7.570208,-0.732601,9.035409,-5.616606,1.674603,4.205128,0
0.016667,-224.659346,136.465937,64.307694,-6.263736,6.105006,-8.547009,5.128205,-4.151404,10.012210,-2.686203,2.163004,4.205128,0
0.017708,-202.610994,83.349452,154.505498,-6.542125,8.058608,-7.081807,1.221001,-6.593407,9.035409,0.244200,2.163004,4.214896,0
0.018751,-164.193410,11.859341,213.969236,0.974359,9.523810,-5.128205,-2.686203,-8.058608,6.105006,4.151404,1.674603,4.205128,0
0.019792,-121.767036,-92.703299,221.652752,13.780220,9.523810,-1.709402,-5.128205,-8.058608,3.663004,6.593407,1.674603,4.253968,0
