1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,24.219781,139.806597,-170.874729,4.871795,1.709402,-9.523810,8.547009,-1.221001,10.500611,-7.570208,0.209402,2.818071,0
0.001041,-66.312089,156.843960,-154.171432,22.967033,6.105006,-10.500611,5.616606,-5.128205,10.989011,-4.151404,0.209402,2.808303,0
0.002083,-123.771431,170.874729,-82.681321,14.058608,9.035409,-9.035409,1.221001,-8.058608,9.523810,-0.244200,0.209402,2.798535,0
0.003124,-146.487915,165.863740,7.182418,-8.212454,10.500611,-7.081807,-2.686203,-10.012210,7.570208,3.663004,0.209402,2.798535,0
0.004166,-158.514289,136.465937,97.380222,-21.296703,10.989011,-3.663004,-6.593407,-10.012210,4.151404,7.081807,0.209402,2.808303,0
0.005208,-169.204399,53.283518,135.463739,-4.593407,10.012210,0.244200,-9.035409,-9.035409,0.244200,9.523810,-0.278999,2.808303,0
0.006250,-163.191212,-35.243957,149.160443,17.399267,7.081807,4.639805,-10.500611,-6.105006,-4.151404,10.989011,-0.278999,2.818071,0
0.007291,-113.749453,-110.408794,167.200004,20.739927,2.686203,8.547009,-10.012210,-1.709402,-7.081807,10.500611,0.209402,2.808303,0
0.008333,-25.556045,-140.808794,169.204399,-0.974359,-1.221001,10.500611,-8.058608,1.709402,-9.523810,8.547009,0.209402,2.827839,0
0.009374,65.309892,-158.180223,152.835168,-18.791209,-5.128205,11.477411,-4.639805,5.616606,-10.012210,5.128205,0.209402,2.808303,0
0.010416,122.101102,-171.542861,80.342859,-9.326007,-8.547009,10.012210,-0.244200,8.547009,-9.035409,1.221001,0.209402,2.788767,0
0.011458,145.151652,-167.200004,-9.186813,12.109890,-10.012210,7.570208,3.174603,10.500611,-6.593407,-2.686203,0.209402,2.798535,0
0.012500,156.843960,-138.136267,-99.384618,26.029304,-10.500611,4.151404,7.081807,10.500611,-3.174603,-6.593407,-0.278999,2.798535,0
0.013541,168.202202,-54.953847,-136.800003,9.047619,-9.035409,0.244200,10.012210,9.523810,0.732601,-8.547009,0.209402,2.798535,0
0.014583,161.854949,33.573627,-150.496707,-13.780220,-6.105006,-4.151404,10.989011,6.593407,5.128205,-10.012210,0.209402,2.808303,0
0.015624,112.079123,109.406596,-168.870333,-16.285714,-2.197802,-7.570208,10.989011,2.686203,8.058608,-9.523810,0.209402,2.808303,0
0.016667,23.885715,139.806597,-170.874729,5.428571,1.709402,-9.523810,9.035409,-1.221001,10.500611,-7.570208,0.209402,2.808303,0
0.017708,-66.980221,156.843960,-154.171432,22.967033,6.105006,-10.500611,5.128205,-5.616606,10.989011,-4.151404,0.209402,2.808303,0
0.018749,-124.105497,170.206597,-82.013189,14.058608,9.035409,-9.035409,1.221001,-8.058608,9.523810,-0.244200,0.209402,2.788767,0
0.019792,-146.487915,165.529674,7.850550,-7.934066,10.500611,-7.081807,-2.686203,-10.012210,7.570208,3.663004,0.209402,2.798535,0
0.020833,-158.180223,136.800003,97.714288,-21.575092,11.477411,-3.663004,-6.593407,-10.012210,4.151404,7.081807,0.209402,2.798535,0
0.021874,-169.204399,52.949452,135.797805,-4.593407,10.012210,0.732601,-9.035409,-8.547009,0.244200,9.523810,0.209402,2.808303,0
0.022916,-163.525278,-35.243957,149.160443,18.234432,7.081807,4.639805,-10.500611,-5.616606,-4.151404,10.500611,-0.278999,2.818071,0
0.023958,-113.415387,-110.742860,167.200004,20.739927,3.174603,8.058608,-10.012210,-1.709402,-7.570208,10.500611,0.209402,2.818071,0
0.025000,-25.556045,-140.808794,168.536267,-1.252747,-0.732601,10.500611,-8.058608,2.197802,-9.523810,8.547009,0.209402,2.827839,0
0.026041,65.643958,-158.180223,152.501102,-19.069597,-5.616606,10.989011,-4.639805,5.616606,-10.500611,5.128205,0.209402,2.818071,0
0.027083,122.435168,-171.208795,80.008793,-8.769231,-8.547009,10.012210,-0.732601,9.035409,-9.035409,1.221001,-0.278999,2.798535,0
0.028125,145.151652,-167.200004,-9.186813,11.553114,-10.012210,7.570208,3.663004,10.989011,-6.593407,-2.686203,-0.278999,2.808303,0
0.029166,156.843960,-138.136267,-99.050552,26.029304,-10.500611,4.151404,7.081807,10.989011,-3.174603,-6.593407,-0.278999,2.818071,0
0.030208,168.202202,-54.285715,-137.134069,9.326007,-9.035409,0.244200,10.012210,9.523810,0.732601,-9.035409,0.209402,2.808303,0
0.031249,161.520883,34.241759,-150.830773,-14.615385,-6.105006,-4.151404,10.989011,6.593407,5.128205,-10.012210,0.209402,2.818071,0
0.032292,112.079123,109.406596,-168.870333,-16.564103,-2.197802,-7.570208,10.500611,3.174603,8.058608,-9.523810,0.209402,2.818071,0
0.033333,24.219781,139.472531,-170.874729,5.428571,2.197802,-9.523810,9.035409,-0.732601,10.500611,-7.570208,0.209402,2.818071,0
0.034375,-66.980221,156.843960,-154.171432,24.080586,6.105006,-10.500611,5.128205,-5.128205,10.989011,-4.151404,-0.278999,2.808303,0
0.035416,-124.439563,170.540663,-82.013189,13.780220,9.035409,-9.035409,1.221001,-8.547009,10.012210,-0.244200,0.209402,2.798535,0
0.036458,-146.821981,165.863740,7.516484,-8.212454,10.500611,-7.081807,-2.686203,-9.523810,7.570208,3.663004,0.209402,2.798535,0
0.037500,-158.514289,136.465937,97.380222,-21.575092,10.989011,-3.174603,-6.593407,-10.012210,4.151404,7.081807,0.209402,2.798535,0
0.038541,-169.538465,52.615386,135.797805,-4.315018,10.012210,0.244200,-9.035409,-9.035409,0.244200,9.523810,0.209402,2.808303,0
0.039583,-162.857146,-35.243957,149.160443,18.234432,7.081807,4.639805,-10.500611,-5.616606,-4.151404,10.989011,-0.278999,2.818071,0
0.040625,-113.415387,-110.742860,167.534070,20.739927,3.174603,8.058608,-10.012210,-1.709402,-7.570208,10.012210,0.209402,2.818071,0
0.041666,-25.556045,-140.808794,169.204399,-0.695971,-1.221001,10.500611,-8.058608,1.709402,-9.523810,8.058608,-0.278999,2.827839,0
0.042708,65.643958,-158.180223,152.501102,-19.347985,-5.128205,10.989011,-4.639805,6.105006,-10.012210,5.128205,0.209402,2.808303,0
0.043749,122.435168,-171.876927,80.008793,-9.326007,-8.058608,10.500611,-0.732601,8.547009,-9.035409,1.221001,-0.278999,2.788767,0
0.044792,145.151652,-167.200004,-9.520879,11.553114,-10.012210,7.570208,3.174603,10.500611,-6.593407,-2.686203,0.209402,2.798535,0
0.045833,156.843960,-137.802201,-99.384618,26.586081,-10.500611,4.151404,7.570208,10.989011,-3.174603,-6.593407,0.209402,2.798535,0
0.046874,168.202202,-53.951650,-136.800003,7.934066,-9.035409,0.732601,10.012210,9.523810,0.732601,-9.035409,0.209402,2.798535,0
0.047917,161.854949,34.575825,-150.830773,-14.058608,-6.105006,-4.151404,10.989011,6.593407,5.128205,-10.012210,0.209402,2.808303,0
0.048958,112.079123,109.406596,-168.870333,-16.285714,-2.197802,-7.570208,10.500611,2.686203,8.058608,-9.523810,0.209402,2.808303,0
0.049999,23.551649,139.472531,-170.874729,5.428571,2.197802,-9.523810,8.547009,-1.221001,10.500611,-7.570208,0.209402,2.808303,0
0.051041,-67.648353,156.509894,-154.171432,22.688645,6.105006,-10.500611,5.128205,-5.128205,10.500611,-4.151404,0.209402,2.808303,0
0.052083,-124.105497,170.540663,-82.013189,14.058608,9.035409,-9.035409,1.221001,-8.058608,10.012210,-0.244200,0.209402,2.788767,0
0.053124,-146.487915,165.529674,8.518682,-7.655678,10.500611,-7.081807,-2.686203,-9.523810,7.570208,3.663004,0.209402,2.798535,0
