1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,-197.934070,125.775827,107.068134,-10.161172,9.523810,-7.081807,-0.732601,-8.058608,7.570208,1.709402,0.697802,3.667888,0
0.001041,-169.538465,65.978023,178.558246,-25.750916,10.012210,-4.151404,-4.151404,-9.035409,4.639805,5.616606,0.697802,3.648352,0
0.002083,-151.498904,-36.580221,197.600004,0.695971,9.523810,-0.732601,-7.570208,-8.547009,1.221001,8.547009,0.209402,3.658120,0
0.003124,-109.740662,-132.457146,187.243960,22.131868,7.081807,2.686203,-8.547009,-6.105006,-2.197802,9.035409,0.209402,3.658120,0
0.004167,-36.914287,-193.257147,162.523081,22.688645,3.663004,6.593407,-9.523810,-2.686203,-5.616606,9.523810,0.209402,3.648352,0
0.005208,68.984617,-203.613191,138.136267,-1.809524,0.244200,9.035409,-8.058608,0.244200,-8.058608,8.058608,0.209402,3.648352,0
0.006250,157.512091,-179.560444,83.683518,-21.575092,-3.174603,9.523810,-5.616606,3.663004,-8.547009,5.616606,0.209402,3.638584,0
0.007291,194.593411,-156.843960,-3.841758,-9.326007,-6.593407,9.523810,-1.709402,7.081807,-8.547009,2.686203,0.209402,3.638584,0
0.008334,196.263741,-126.778025,-109.072530,15.450549,-8.547009,8.058608,1.709402,9.035409,-7.081807,-1.221001,0.209402,3.667888,0
0.009375,167.868136,-67.314287,-180.896707,30.483516,-9.035409,5.128205,5.616606,9.523810,-4.151404,-4.639805,0.209402,3.648352,0
0.010416,149.828575,34.909891,-199.604400,5.150183,-8.547009,1.221001,8.058608,9.035409,-0.244200,-7.570208,0.209402,3.648352,0
0.011458,108.404398,130.452750,-189.248356,-17.956044,-6.593407,-1.709402,9.523810,7.081807,2.686203,-8.058608,0.209402,3.658120,0
0.012500,35.243957,191.586817,-164.527476,-17.120879,-3.174603,-5.616606,10.500611,3.663004,6.593407,-9.035409,0.209402,3.648352,0
0.013541,-70.654947,201.942862,-140.140662,7.098901,0.732601,-8.058608,8.547009,0.732601,9.035409,-7.570208,0.209402,3.648352,0
0.014583,-159.850553,178.224180,-86.021980,26.586081,3.663004,-8.547009,6.105006,-3.174603,9.523810,-5.128205,0.209402,3.628816,0
0.015625,-196.263741,155.507696,2.171429,15.728938,7.570208,-9.035409,2.686203,-6.593407,9.523810,-1.221001,0.209402,3.638584,0
0.016667,-198.268136,125.441761,107.068134,-9.882784,9.035409,-7.570208,-0.732601,-8.058608,8.058608,1.709402,0.697802,3.667888,0
0.017708,-169.538465,65.643958,178.892312,-24.915751,10.012210,-4.151404,-4.639805,-9.035409,5.128205,5.616606,0.209402,3.648352,0
0.018750,-151.164839,-36.580221,197.600004,-0.139194,9.523810,-0.732601,-7.081807,-8.547009,1.221001,8.058608,0.209402,3.658120,0
0.019792,-109.740662,-132.457146,187.243960,23.245421,7.081807,2.686203,-9.035409,-6.105006,-1.709402,9.523810,-0.278999,3.658120,0
0.020834,-36.914287,-193.257147,162.857146,22.967033,4.151404,6.593407,-9.035409,-3.174603,-6.105006,10.012210,0.209402,3.658120,0
0.021875,68.984617,-203.613191,138.136267,-1.531136,0.244200,8.547009,-8.058608,0.732601,-8.058608,8.547009,0.697802,3.658120,0
0.022916,157.512091,-179.560444,83.683518,-21.296703,-3.174603,9.523810,-5.616606,3.663004,-9.035409,5.616606,0.209402,3.638584,0
0.023959,194.593411,-157.178025,-4.843956,-9.047619,-6.593407,9.523810,-2.197802,7.081807,-8.547009,2.686203,0.209402,3.638584,0
0.025000,195.929675,-127.112091,-109.072530,15.728938,-8.547009,8.058608,1.709402,9.035409,-7.081807,-1.221001,0.209402,3.667888,0
0.026041,168.202202,-67.648353,-180.896707,30.205128,-9.523810,5.128205,5.128205,10.012210,-4.151404,-4.639805,0.209402,3.658120,0
0.027083,149.828575,34.909891,-199.604400,4.871795,-9.035409,1.221001,8.058608,9.035409,-0.732601,-7.570208,0.697802,3.658120,0
0.028125,107.402200,130.786816,-188.580224,-17.120879,-6.593407,-2.197802,9.523810,7.081807,2.686203,-8.547009,0.209402,3.667888,0
0.029167,34.909891,191.252752,-164.527476,-17.956044,-3.174603,-5.616606,10.012210,4.151404,6.593407,-9.035409,0.697802,3.658120,0
0.030208,-70.989013,201.608796,-140.140662,6.820513,0.244200,-8.058608,8.547009,0.244200,8.547009,-7.570208,0.209402,3.638584,0
0.031250,-159.182421,177.556048,-86.021980,25.750916,3.663004,-9.035409,6.105006,-3.174603,9.523810,-5.128205,0.209402,3.638584,0
0.032292,-195.929675,155.173630,2.505495,14.893773,7.570208,-9.035409,2.686203,-6.105006,9.523810,-1.221001,0.697802,3.638584,0
0.033333,-197.934070,125.107695,107.402200,-11.274725,9.035409,-7.081807,-0.732601,-8.547009,8.058608,1.709402,0.697802,3.658120,0
0.034375,-169.538465,65.643958,179.226378,-25.194139,10.012210,-4.639805,-4.639805,-9.035409,5.128205,5.616606,0.209402,3.658120,0
0.035416,-151.498904,-37.248352,197.600004,-0.974359,9.523810,-0.732601,-7.570208,-8.058608,1.709402,8.058608,0.209402,3.648352,0
0.036459,-109.406596,-132.791212,187.243960,22.410256,7.081807,2.686203,-8.547009,-6.105006,-2.197802,9.523810,0.209402,3.658120,0
0.037500,-36.914287,-193.257147,162.523081,22.967033,4.151404,6.593407,-9.523810,-2.686203,-5.616606,9.523810,0.209402,3.648352,0
0.038541,68.650551,-203.279125,138.136267,-2.366300,0.244200,9.035409,-8.058608,0.732601,-7.570208,8.547009,0.209402,3.648352,0
0.039583,157.846157,-179.560444,83.349452,-21.018315,-3.174603,9.523810,-5.128205,3.663004,-8.547009,5.616606,0.209402,3.628816,0
0.040626,194.593411,-156.843960,-4.509890,-9.604396,-6.593407,10.012210,-1.709402,7.081807,-9.035409,2.686203,0.209402,3.628816,0
0.041666,196.263741,-127.112091,-109.072530,14.893773,-8.547009,8.058608,1.709402,9.035409,-7.081807,-1.221001,0.209402,3.667888,0
0.042708,167.868136,-67.314287,-180.896707,30.761905,-9.523810,5.128205,5.128205,10.012210,-4.151404,-4.639805,0.209402,3.648352,0
0.043750,149.494509,35.578023,-199.604400,4.593407,-8.547009,1.709402,8.547009,9.523810,-0.732601,-7.570208,0.209402,3.648352,0
0.044792,108.070332,131.120882,-189.248356,-17.120879,-6.105006,-2.197802,9.523810,7.081807,2.686203,-8.547009,0.209402,3.658120,0
0.045833,34.909891,191.586817,-164.527476,-17.120879,-3.174603,-5.616606,10.012210,3.663004,6.593407,-9.035409,0.697802,3.648352,0
0.046874,-70.989013,201.942862,-140.140662,7.377289,0.244200,-8.058608,8.547009,0.244200,8.547009,-7.570208,0.209402,3.638584,0
0.047917,-159.516487,177.556048,-85.687914,26.307692,3.663004,-9.035409,6.105006,-3.174603,9.523810,-5.128205,0.209402,3.628816,0
0.048958,-196.597807,155.507696,1.837363,14.336996,7.081807,-8.547009,2.686203,-6.105006,9.035409,-1.709402,0.697802,3.628816,0
0.050000,-197.934070,125.107695,107.068134,-10.161172,9.035409,-7.081807,-0.732601,-8.547009,8.058608,1.709402,0.697802,3.658120,0
0.051042,-169.538465,65.643958,178.892312,-24.637363,10.500611,-4.151404,-4.151404,-9.035409,4.639805,5.616606,0.209402,3.648352,0
0.052083,-151.164839,-37.248352,197.934070,0.139194,9.523810,-0.732601,-7.570208,-8.547009,1.221001,8.547009,0.209402,3.648352,0
0.053126,-109.072530,-133.125278,187.243960,22.967033,7.081807,2.686203,-8.547009,-6.593407,-2.197802,9.035409,0.209402,3.648352,0
0.054166,-36.580221,-193.257147,162.523081,22.967033,4.151404,6.593407,-9.035409,-3.174603,-5.616606,9.523810,0.209402,3.648352,0
0.055208,69.318683,-203.613191,137.802201,-2.087912,0.244200,9.035409,-8.058608,0.244200,-8.058608,8.547009,0.209402,3.648352,0
0.056250,157.846157,-179.226378,83.349452,-21.296703,-2.686203,10.012210,-5.616606,3.663004,-8.547009,5.616606,0.209402,3.638584,0
0.057291,194.593411,-157.178025,-4.175824,-8.769231,-6.593407,9.523810,-1.709402,7.081807,-8.547009,2.197802,0.209402,3.638584,0
0.058333,195.929675,-126.778025,-109.406596,15.450549,-8.547009,8.058608,1.221001,9.035409,-7.081807,-0.732601,0.209402,3.667888,0
0.059375,167.868136,-66.980221,-181.230773,30.205128,-9.523810,5.128205,5.128205,10.012210,-4.151404,-4.639805,0.209402,3.658120,0
0.060417,149.494509,35.912089,-199.604400,4.871795,-9.035409,1.709402,8.547009,9.035409,-0.244200,-7.570208,0.209402,3.648352,0
0.061459,107.736266,131.120882,-188.914290,-17.120879,-6.593407,-2.197802,9.523810,7.081807,2.686203,-8.547009,0.209402,3.658120,0
0.062500,34.909891,191.586817,-164.527476,-17.120879,-3.174603,-5.616606,10.012210,3.663004,6.593407,-9.035409,0.209402,3.658120,0
0.063541,-70.989013,201.942862,-139.806597,7.098901,0.244200,-8.058608,8.547009,0.244200,8.547009,-7.570208,0.697802,3.648352,0
0.064584,-159.850553,177.556048,-85.687914,25.750916,3.663004,-9.035409,6.105006,-3.174603,9.523810,-5.128205,0.697802,3.638584,0
0.065625,-196.263741,155.173630,2.171429,15.172161,7.570208,-8.547009,2.686203,-6.105006,9.523810,-1.221001,0.697802,3.638584,0
0.066666,-197.934070,125.107695,107.402200,-10.161172,9.035409,-7.081807,-0.732601,-8.058608,7.570208,1.709402,0.209402,3.658120,0
0.067708,-169.538465,65.643958,179.226378,-25.194139,10.012210,-4.151404,-4.639805,-9.523810,5.128205,5.616606,0.209402,3.648352,0
0.068750,-151.498904,-37.582418,197.600004,1.531136,9.523810,-0.732601,-7.570208,-8.547009,1.221001,8.058608,0.697802,3.648352,0
0.069791,-109.406596,-133.125278,187.243960,21.575092,7.081807,3.174603,-8.547009,-6.105006,-2.197802,9.035409,0.209402,3.658120,0
0.070833,-36.246155,-193.257147,162.523081,22.967033,4.151404,6.593407,-9.035409,-3.174603,-5.616606,9.523810,0.209402,3.648352,0
0.071875,69.318683,-203.613191,138.136267,-2.087912,0.244200,9.035409,-7.570208,0.244200,-8.058608,8.547009,0.209402,3.638584,0
