1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,35.243957,168.536267,-163.859344,-10.996337,-0.732601,-6.593407,8.547009,1.221001,7.081807,-7.081807,0.209402,2.837607,0
0.001042,-65.309892,182.232971,-144.817586,11.553114,2.686203,-8.058608,6.105006,-1.709402,8.547009,-5.128205,-0.278999,2.857143,0
0.002083,-150.830773,167.534070,-92.369233,28.813187,5.616606,-8.058608,3.663004,-4.639805,8.547009,-2.197802,0.209402,2.827839,0
0.003126,-175.217586,158.180223,-1.837363,7.377289,7.570208,-7.081807,0.244200,-6.593407,7.570208,0.732601,0.209402,2.827839,0
0.004166,-180.896707,129.784618,98.716486,-15.450549,8.547009,-4.639805,-2.686203,-8.058608,5.128205,3.663004,0.209402,2.857143,0
0.005208,-164.861542,64.307694,160.518685,-17.956044,8.547009,-1.709402,-5.616606,-7.570208,2.197802,6.105006,0.209402,2.847375,0
0.006250,-151.832970,-29.230770,182.232971,3.201465,7.570208,1.709402,-8.058608,-6.105006,-0.732601,8.547009,0.209402,2.857143,0
0.007293,-118.092310,-123.103299,175.217586,26.029304,4.639805,4.639805,-8.058608,-3.663004,-3.663004,8.547009,0.209402,2.847375,0
0.008334,-36.580221,-169.872531,162.189015,15.172161,1.709402,7.570208,-7.570208,-0.244200,-6.593407,8.058608,0.209402,2.847375,0
0.009375,64.307694,-183.903301,143.147256,-7.098901,-1.709402,8.547009,-5.616606,2.686203,-7.570208,5.616606,0.209402,2.857143,0
0.010417,149.160443,-168.870333,90.364837,-24.637363,-4.639805,8.547009,-2.686203,5.128205,-7.570208,3.174603,0.209402,2.837607,0
0.011458,173.881323,-159.182421,0.501099,-2.923077,-7.081807,8.058608,0.732601,7.570208,-6.593407,-0.244200,0.209402,2.837607,0
0.012500,179.560444,-131.454948,-99.718684,19.347985,-8.058608,5.616606,3.663004,8.547009,-4.151404,-2.686203,0.209402,2.857143,0
0.013542,163.859344,-65.309892,-162.523081,21.853480,-7.570208,2.197802,6.593407,8.547009,-1.709402,-5.616606,-0.278999,2.857143,0
0.014584,150.496707,27.894506,-183.569235,2.644689,-6.593407,-0.732601,8.547009,7.081807,1.709402,-7.570208,0.209402,2.866911,0
0.015625,116.421981,122.435168,-177.221982,-20.739927,-3.663004,-3.663004,8.547009,4.151404,4.639805,-7.570208,0.209402,2.857143,0
0.016667,34.909891,168.536267,-163.859344,-10.161172,-0.732601,-6.593407,8.058608,1.221001,7.570208,-7.081807,0.209402,2.857143,0
0.017708,-65.978023,182.232971,-144.483520,11.553114,2.686203,-8.058608,6.593407,-1.709402,8.058608,-5.128205,0.209402,2.857143,0
