1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,-62.971430,-182.232971,169.204399,5.706960,5.616606,5.616606,-9.035409,-3.663004,-4.639805,10.012210,1.186203,3.570208,0
0.001041,41.925276,-200.272532,151.498904,-12.388278,1.709402,8.547009,-8.058608,-0.244200,-7.081807,9.523810,1.186203,3.560440,0
0.002083,137.468135,-188.246158,105.731870,-7.934066,-1.709402,9.523810,-5.616606,2.686203,-8.058608,6.593407,1.186203,3.570208,0
0.003125,194.259345,-161.520883,27.226374,17.399267,-5.616606,10.012210,-2.686203,6.593407,-8.547009,3.663004,1.674603,3.570208,0
0.004167,204.281323,-135.463739,-77.336265,12.388278,-7.570208,9.035409,0.732601,9.035409,-7.081807,0.244200,1.186203,3.667888,0
0.005208,179.894510,-82.681321,-162.523081,10.996337,-8.547009,6.105006,4.151404,9.523810,-4.639805,-3.174603,1.186203,3.579976,0
0.006250,158.180223,6.180220,-195.261543,-12.666667,-8.547009,2.686203,8.058608,9.523810,-1.221001,-6.593407,1.186203,3.570208,0
0.007291,127.112091,110.074728,-196.263741,-9.326007,-6.593407,-0.732601,9.523810,8.058608,2.197802,-8.058608,1.674603,3.589744,0
0.008333,65.643958,184.571433,-167.534070,-1.809524,-4.151404,-4.151404,10.500611,5.128205,5.616606,-8.547009,1.674603,3.570208,0
0.009375,-39.586814,202.276928,-150.162641,14.615385,-0.244200,-7.081807,9.523810,1.709402,8.547009,-7.570208,1.674603,3.570208,0
0.010416,-135.463739,189.582422,-103.727475,11.831502,3.174603,-8.058608,7.570208,-1.709402,9.035409,-5.128205,0.697802,3.570208,0
0.011458,-191.252752,163.525278,-24.553847,-14.893773,6.593407,-9.035409,4.151404,-5.128205,10.012210,-2.197802,1.186203,3.589744,0
0.012499,-201.942862,137.468135,79.674727,-8.490842,9.035409,-7.570208,0.244200,-7.570208,8.547009,1.221001,1.674603,3.579976,0
0.013541,-177.890114,84.685716,165.195608,-8.212454,10.012210,-5.616606,-2.686203,-8.547009,6.105006,4.639805,0.697802,3.579976,0
0.014583,-156.175828,-3.507692,197.600004,15.728938,10.012210,-1.221001,-6.105006,-8.547009,2.686203,8.058608,1.186203,3.589744,0
0.015625,-124.105497,-108.404398,198.268136,12.109890,8.058608,2.197802,-8.058608,-6.593407,-0.732601,9.523810,1.186203,3.589744,0
0.016666,-62.971430,-181.898905,169.204399,4.315018,5.128205,6.105006,-9.035409,-3.663004,-4.151404,9.035409,1.674603,3.570208,0
0.017708,42.593408,-199.938466,151.498904,-12.945055,1.709402,8.547009,-8.058608,-0.244200,-7.081807,9.035409,1.674603,3.560440,0
0.018750,141.142860,-187.243960,104.729673,-7.934066,-1.709402,9.523810,-5.616606,3.174603,-7.570208,7.081807,1.186203,3.560440,0
0.019792,194.259345,-161.186817,27.226374,17.677656,-5.128205,10.012210,-2.686203,6.593407,-8.547009,3.174603,1.186203,3.560440,0
0.020833,203.947257,-135.463739,-77.670331,13.223443,-7.570208,9.035409,0.732601,9.035409,-7.570208,0.244200,1.186203,3.570208,0
