1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,41.257144,168.870333,-165.529674,-14.336996,-1.221001,-6.593407,8.058608,1.709402,7.081807,-7.570208,-0.278999,2.866911,0
0.001042,-60.632968,183.903301,-146.821981,8.490842,2.197802,-8.058608,6.105006,-1.709402,8.058608,-5.616606,-0.278999,2.818071,0
0.002084,-143.815388,170.874729,-99.718684,27.421245,5.128205,-8.058608,3.174603,-4.639805,8.058608,-2.686203,-0.278999,2.818071,0
0.003125,-175.551652,159.182421,-8.518682,8.769231,7.570208,-7.081807,0.244200,-7.081807,7.081807,0.244200,-0.278999,2.778999,0
0.004167,-182.901103,130.786816,91.032969,-12.388278,8.547009,-5.128205,-2.686203,-8.058608,5.128205,3.174603,-0.278999,2.808303,0
0.005209,-165.863740,70.654947,164.861542,-21.575092,8.547009,-2.197802,-5.616606,-8.058608,2.197802,6.105006,-0.278999,2.798535,0
0.006250,-154.505498,-22.883517,182.232971,0.417582,7.081807,1.221001,-7.570208,-6.593407,-1.221001,8.058608,-0.278999,2.798535,0
0.007292,-119.762640,-116.421981,176.219784,22.688645,4.639805,4.151404,-8.058608,-4.151404,-3.663004,8.547009,-0.278999,2.798535,0
0.008333,-42.593408,-170.540663,162.189015,18.512821,1.221001,7.081807,-8.058608,-1.221001,-6.105006,7.570208,-0.278999,2.808303,0
0.009376,59.296705,-185.239565,144.817586,-5.706960,-1.709402,8.058608,-6.105006,2.197802,-8.058608,6.105006,-1.744200,2.818071,0
0.010417,141.810992,-172.210993,97.380222,-22.688645,-4.639805,8.547009,-3.174603,5.128205,-7.570208,3.174603,-0.767399,2.788767,0
0.011458,174.215389,-160.852751,7.182418,-5.706960,-7.081807,7.570208,-0.244200,7.081807,-7.081807,0.244200,-0.278999,2.798535,0
0.012500,181.564839,-132.123080,-92.703299,15.172161,-8.058608,5.128205,3.174603,8.058608,-5.128205,-3.174603,-0.278999,2.847375,0
0.013542,164.861542,-73.327474,-165.863740,25.472527,-8.058608,2.197802,5.616606,8.058608,-2.197802,-5.616606,-0.767399,2.808303,0
0.014584,153.503300,21.213187,-183.569235,4.315018,-6.593407,-0.732601,7.570208,6.593407,1.221001,-7.570208,-0.278999,2.808303,0
0.015625,118.426376,115.085717,-177.890114,-18.234432,-4.151404,-3.663004,8.547009,4.151404,4.151404,-8.058608,-0.278999,2.808303,0
0.016667,41.257144,168.870333,-164.527476,-14.336996,-1.221001,-6.593407,8.058608,1.221001,6.593407,-7.570208,-0.278999,2.808303,0
0.017709,-59.964837,183.569235,-146.153849,10.439560,1.709402,-8.058608,6.105006,-1.709402,8.058608,-5.616606,-0.278999,2.818071,0
0.018750,-143.481322,170.874729,-102.391211,27.978022,5.128205,-8.058608,3.663004,-4.639805,8.058608,-2.686203,-0.767399,2.788767,0
0.019792,-175.217586,159.516487,-10.189011,10.996337,7.081807,-7.081807,0.244200,-7.081807,7.570208,0.244200,-0.278999,2.808303,0
0.020834,-182.567037,130.786816,91.032969,-12.666667,8.058608,-5.128205,-2.686203,-8.058608,5.128205,3.174603,-0.767399,2.808303,0
0.021875,-165.863740,71.657144,164.861542,-21.853480,8.058608,-2.197802,-5.616606,-7.570208,2.686203,6.105006,-1.744200,2.818071,0
0.022917,-154.839564,-21.547253,181.564839,-3.201465,7.081807,1.221001,-9.035409,-6.593407,-0.732601,7.570208,-0.278999,2.798535,0
0.023958,-120.096706,-115.753849,176.553850,21.853480,4.639805,4.151404,-8.058608,-4.151404,-3.663004,8.058608,-0.767399,2.808303,0
0.025001,-42.927473,-169.872531,163.191212,18.791209,1.709402,6.593407,-7.570208,-1.221001,-6.593407,7.570208,-0.278999,2.798535,0
0.026042,58.294507,-184.905499,144.817586,-5.706960,-1.709402,8.547009,-5.616606,1.709402,-8.058608,5.616606,-0.278999,2.808303,0
0.027083,140.808794,-172.210993,97.714288,-22.131868,-4.639805,8.547009,-3.174603,5.128205,-8.058608,3.174603,-0.278999,2.778999,0
0.028125,173.547257,-161.186817,7.516484,-5.985348,-7.081807,7.570208,0.244200,7.081807,-7.081807,0.244200,-0.278999,2.788767,0
0.029167,181.230773,-132.791212,-92.035167,16.007326,-8.058608,5.616606,3.174603,8.058608,-5.128205,-3.174603,-0.278999,2.808303,0
0.030208,165.195608,-73.995606,-166.531872,26.029304,-8.058608,2.686203,6.105006,8.058608,-2.197802,-5.616606,-0.767399,2.818071,0
0.031250,154.171432,20.210989,-183.569235,4.315018,-7.081807,-0.732601,7.570208,7.081807,1.221001,-7.570208,-0.767399,2.818071,0
0.032293,118.760442,114.083519,-177.890114,-16.842491,-4.639805,-3.663004,8.547009,4.639805,4.151404,-8.058608,-0.278999,2.837607,0
