1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,166.865938,-177.890114,78.338463,-22.967033,-3.663004,9.523810,-5.128205,4.151404,-8.547009,5.128205,-0.278999,3.579976,0
0.001042,196.263741,-156.843960,-16.202198,-5.985348,-7.081807,9.035409,-1.709402,7.081807,-8.547009,1.709402,-3.697802,3.589744,0
0.002083,192.923081,-121.767036,-115.753849,18.234432,-9.035409,7.570208,1.709402,9.035409,-7.081807,-1.709402,-0.767399,3.658120,0
0.003126,166.197806,-59.296705,-188.914290,29.926740,-9.523810,4.639805,5.616606,9.523810,-4.151404,-5.128205,-0.767399,3.599512,0
0.004167,148.158245,48.606594,-201.274730,2.087912,-8.547009,0.732601,8.058608,8.547009,-0.732601,-7.570208,-0.278999,3.609280,0
0.005208,102.725277,139.138465,-187.243960,-14.893773,-6.593407,-2.686203,9.035409,6.593407,3.174603,-9.035409,-0.278999,3.599512,0
0.006250,23.885715,191.920883,-164.193410,-15.172161,-3.174603,-6.105006,9.523810,3.174603,6.593407,-9.035409,0.209402,3.589744,0
0.007292,-82.013189,200.940664,-135.797805,9.604396,0.244200,-8.547009,8.058608,-0.244200,8.547009,-7.570208,0.209402,3.599512,0
0.008333,-168.536267,176.553850,-81.010991,27.421245,4.151404,-9.035409,5.616606,-3.174603,9.035409,-5.128205,0.209402,3.579976,0
0.009377,-198.602202,155.173630,14.197803,12.388278,7.081807,-9.035409,2.197802,-6.593407,9.035409,-1.709402,0.209402,3.579976,0
0.010417,-194.593411,120.096706,112.413189,-12.109890,9.035409,-7.081807,-1.221001,-8.547009,7.081807,1.709402,0.209402,3.599512,0
0.011459,-168.536267,56.958243,186.909894,-24.637363,9.523810,-4.151404,-5.128205,-9.523810,4.639805,5.128205,-0.278999,3.599512,0
0.012500,-148.826377,-50.610990,198.602202,6.263736,9.035409,-0.732601,-7.570208,-8.547009,0.732601,8.058608,-0.278999,3.589744,0
0.013542,-104.729673,-140.808794,184.905499,22.967033,6.593407,2.686203,-9.035409,-6.105006,-2.686203,9.035409,-0.767399,3.619048,0
0.014584,-25.556045,-193.925279,162.857146,20.739927,3.174603,6.105006,-9.523810,-3.174603,-6.105006,9.523810,-0.278999,3.677656,0
0.015625,80.342859,-202.610994,134.127476,-4.593407,-0.244200,8.547009,-8.058608,0.244200,-8.058608,7.570208,-0.278999,3.599512,0
0.016666,166.531872,-177.890114,79.006595,-22.688645,-4.151404,9.523810,-5.616606,3.663004,-9.035409,6.593407,-0.278999,3.579976,0
0.017708,197.265938,-156.509894,-15.868132,-6.820513,-7.081807,9.035409,-2.197802,7.081807,-8.547009,1.709402,-0.278999,3.579976,0
0.018750,192.589015,-122.101102,-115.085717,16.842491,-8.547009,7.570208,1.709402,9.035409,-7.081807,-1.709402,-0.278999,3.599512,0
0.019792,165.863740,-59.296705,-189.248356,30.205128,-9.523810,4.639805,5.128205,9.523810,-4.151404,-5.128205,-0.278999,3.589744,0
0.020833,147.156047,48.606594,-201.274730,2.923077,-8.547009,0.732601,8.058608,8.547009,-0.732601,-7.570208,-0.278999,3.589744,0
0.021875,103.059343,138.804399,-187.578026,-17.677656,-6.593407,-2.686203,9.523810,6.105006,3.174603,-8.547009,-0.278999,3.609280,0
0.022917,24.219781,191.920883,-165.529674,-14.615385,-3.174603,-6.105006,9.523810,3.174603,6.593407,-9.035409,-0.278999,3.599512,0
0.023958,-81.679123,200.940664,-135.797805,9.047619,0.244200,-8.547009,8.058608,-0.244200,8.058608,-7.570208,-0.278999,3.628816,0
