1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,163.525278,-44.597803,-194.259345,27.142857,-9.035409,4.151404,6.105006,10.012210,-3.174603,-5.616606,0.209402,3.667888,0
0.001042,143.815388,61.969232,-202.610994,0.139194,-8.547009,0.244200,9.035409,8.547009,0.244200,-7.570208,0.209402,3.667888,0
0.002084,93.037365,151.164839,-184.571433,-19.626374,-5.616606,-2.686203,9.523810,6.593407,4.151404,-9.035409,0.209402,3.658120,0
0.003125,7.182418,196.597807,-161.854949,-11.274725,-2.197802,-6.593407,10.012210,3.174603,7.570208,-8.547009,0.697802,3.648352,0
0.004167,-98.716486,198.936268,-131.454948,13.501832,1.709402,-8.058608,8.058608,-0.244200,9.035409,-7.081807,0.697802,3.658120,0
0.005209,-177.556048,172.210993,-69.986815,29.091575,5.128205,-9.035409,5.128205,-3.663004,9.523810,-4.151404,0.697802,3.628816,0
0.006251,-199.270334,151.832970,29.898902,9.047619,7.570208,-8.547009,2.197802,-7.081807,9.035409,-0.732601,0.697802,3.638584,0
0.007292,-193.925279,111.410991,127.112091,-13.501832,9.523810,-6.593407,-1.709402,-8.547009,7.081807,2.686203,0.697802,3.667888,0
0.008333,-164.861542,43.595605,192.589015,-21.853480,10.012210,-3.174603,-5.616606,-9.035409,4.151404,6.593407,0.209402,3.658120,0
0.009375,-145.485718,-62.971430,200.940664,4.593407,9.523810,0.244200,-8.058608,-8.058608,0.732601,8.547009,0.209402,3.658120,0
0.010418,-94.707694,-152.501102,182.901103,24.637363,6.593407,3.663004,-9.035409,-5.616606,-2.686203,9.523810,0.209402,3.658120,0
0.011458,-8.852747,-198.268136,159.850553,17.120879,3.174603,7.081807,-9.035409,-2.197802,-6.105006,9.523810,0.209402,3.648352,0
0.012500,97.046156,-200.272532,129.450552,-9.047619,-0.732601,9.035409,-7.081807,1.221001,-8.058608,7.570208,0.209402,3.658120,0
0.013542,176.219784,-173.881323,68.316485,-23.245421,-4.151404,10.012210,-4.639805,4.639805,-8.547009,5.128205,0.209402,3.628816,0
0.014584,198.268136,-153.503300,-31.235166,-2.644689,-7.081807,9.523810,-1.221001,7.570208,-8.547009,1.709402,0.209402,3.638584,0
0.015626,192.589015,-113.081321,-129.116486,19.347985,-8.547009,7.570208,2.197802,9.523810,-6.105006,-2.197802,0.209402,3.667888,0
0.016666,163.525278,-44.931869,-194.259345,26.864469,-9.035409,4.151404,6.593407,10.012210,-3.174603,-5.616606,0.209402,3.658120,0
0.017708,144.149454,61.635166,-202.945059,0.139194,-8.058608,0.732601,8.547009,8.547009,0.244200,-7.570208,0.209402,3.648352,0
0.018751,93.371431,150.830773,-184.905499,-19.347985,-5.616606,-3.174603,9.523810,6.105006,3.663004,-8.547009,0.697802,3.648352,0
0.019793,7.516484,196.597807,-161.520883,-11.553114,-2.197802,-6.593407,9.523810,3.174603,7.081807,-8.547009,0.209402,3.648352,0
0.020833,-98.048354,198.602202,-131.120882,14.615385,1.709402,-8.547009,8.547009,-0.244200,9.035409,-7.081807,0.697802,3.658120,0
0.021875,-177.556048,172.210993,-70.989013,28.534799,4.639805,-9.035409,5.616606,-3.663004,9.523810,-4.151404,0.697802,3.638584,0
0.022917,-199.604400,151.832970,29.230770,9.047619,8.058608,-8.547009,1.709402,-7.081807,9.035409,-0.732601,0.209402,3.638584,0
0.023958,-193.925279,111.745057,126.778025,-13.501832,9.035409,-6.593407,-1.709402,-8.547009,7.081807,2.686203,0.209402,3.667888,0
0.025000,-165.195608,44.263737,192.589015,-22.131868,10.012210,-3.174603,-5.128205,-9.035409,4.151404,6.105006,0.697802,3.648352,0
0.026042,-145.485718,-62.971430,200.940664,5.706960,9.035409,0.244200,-8.058608,-8.058608,0.732601,8.547009,0.209402,3.658120,0
0.027084,-94.707694,-152.501102,182.901103,24.915751,6.593407,3.663004,-8.547009,-5.616606,-2.686203,9.523810,0.697802,3.658120,0
0.028125,-8.852747,-198.268136,159.850553,16.842491,3.174603,7.081807,-8.547009,-2.197802,-6.593407,9.523810,0.209402,3.648352,0
