1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,-184.571433,149.828575,30.901100,2.923077,8.058608,-6.593407,-0.732601,-7.570208,6.593407,1.709402,-0.278999,2.749695,0
0.001042,-176.219784,114.417585,123.103299,-18.791209,8.058608,-3.663004,-4.151404,-8.058608,3.663004,4.151404,-0.767399,2.778999,0
0.002083,-163.525278,33.573627,169.538465,-10.717949,8.058608,-0.732601,-6.593407,-7.081807,1.221001,7.081807,-0.278999,2.837607,0
0.003125,-142.813190,-67.648353,181.898905,12.666667,6.105006,2.197802,-8.058608,-5.616606,-2.197802,8.058608,-0.278999,2.788767,0
0.004167,-96.043958,-150.830773,168.536267,28.813187,4.151404,5.128205,-8.058608,-3.174603,-5.128205,8.547009,-0.278999,2.778999,0
0.005209,-4.509890,-178.224180,159.850553,8.769231,0.244200,7.570208,-7.081807,0.244200,-7.081807,7.081807,-0.767399,2.778999,0
0.006250,95.709892,-181.230773,129.116486,-14.336996,-3.174603,8.058608,-4.639805,2.686203,-8.058608,4.639805,-0.278999,2.778999,0
0.007292,164.193410,-166.865938,60.632968,-18.512821,-6.105006,8.547009,-1.709402,6.105006,-7.570208,1.709402,-0.278999,2.759463,0
0.008333,182.567037,-151.498904,-33.907693,2.923077,-8.058608,6.593407,1.221001,8.058608,-6.105006,-1.221001,-0.767399,2.769231,0
0.009376,173.547257,-116.087915,-124.773629,24.358974,-8.058608,4.151404,4.639805,8.058608,-3.663004,-4.151404,-1.744200,2.778999,0
0.010417,162.523081,-33.907693,-171.876927,16.285714,-7.570208,1.221001,7.081807,7.570208,-0.244200,-6.593407,-0.767399,2.720391,0
0.011458,141.810992,66.312089,-183.569235,-6.542125,-5.616606,-2.197802,8.547009,6.105006,2.686203,-8.058608,-0.767399,2.798535,0
0.012500,94.707694,149.160443,-169.872531,-23.802198,-3.174603,-6.105006,8.547009,3.174603,5.128205,-8.058608,-0.278999,2.818071,0
0.013542,2.839561,176.887916,-161.186817,-9.326007,0.244200,-7.570208,7.570208,0.244200,7.570208,-6.593407,-0.767399,2.778999,0
0.014584,-96.378024,179.894510,-130.452750,18.234432,3.174603,-8.058608,5.128205,-3.174603,8.058608,-4.151404,-0.278999,2.778999,0
0.015625,-165.863740,165.529674,-62.971430,21.853480,6.105006,-8.058608,2.197802,-5.616606,8.058608,-1.709402,-0.278999,2.759463,0
0.016667,-184.905499,150.162641,31.903297,2.087912,8.058608,-6.593407,-0.732601,-7.570208,6.105006,1.709402,0.209402,2.769231,0
0.017709,-176.219784,115.419783,123.437365,-19.626374,8.547009,-3.663004,-4.151404,-8.058608,3.663004,4.639805,-0.278999,2.769231,0
0.018750,-163.525278,33.573627,169.204399,-9.326007,8.058608,-0.732601,-6.593407,-7.081807,0.732601,7.081807,-0.767399,2.778999,0
0.019792,-142.813190,-67.648353,181.564839,13.223443,6.105006,2.197802,-8.058608,-5.616606,-2.197802,8.058608,-0.767399,2.798535,0
0.020834,-95.709892,-150.496707,168.536267,29.369963,3.174603,5.128205,-8.547009,-2.686203,-5.128205,8.058608,-0.278999,2.788767,0
0.021875,-4.175824,-178.224180,159.850553,8.490842,0.244200,7.570208,-7.081807,0.244200,-7.081807,7.081807,-0.278999,2.818071,0
0.022916,95.041760,-181.230773,129.116486,-19.069597,-3.174603,8.058608,-5.128205,3.174603,-7.570208,4.639805,-0.278999,2.788767,0
0.023958,164.527476,-166.865938,60.967034,-18.234432,-5.616606,8.058608,-1.709402,4.151404,-7.570208,1.709402,-0.278999,2.769231,0
0.025001,182.901103,-151.164839,-33.239561,2.366300,-7.570208,6.593407,1.221001,8.058608,-6.593407,-1.221001,-0.278999,2.769231,0
0.026042,175.551652,-115.753849,-124.773629,23.523810,-8.058608,4.151404,4.151404,8.058608,-3.663004,-4.151404,-0.278999,2.778999,0
0.027083,162.189015,-34.909891,-170.874729,14.893773,-7.570208,1.221001,7.081807,7.570208,-0.244200,-6.593407,-0.278999,2.769231,0
0.028126,141.476926,66.312089,-183.569235,-8.490842,-6.105006,-2.197802,8.547009,6.105006,2.197802,-7.570208,-0.278999,2.788767,0
0.029167,92.369233,148.492311,-170.206597,-23.802198,-3.174603,-5.128205,8.547009,3.174603,5.616606,-8.058608,-2.721001,2.788767,0
0.030209,3.173626,176.553850,-161.186817,-4.871795,0.244200,-7.081807,7.570208,0.244200,7.570208,-6.593407,-0.278999,2.788767,0
0.031250,-96.378024,179.560444,-130.452750,18.234432,2.686203,-8.058608,5.128205,-2.686203,8.058608,-4.151404,-0.767399,2.798535,0
0.032292,-165.863740,165.529674,-62.303298,22.688645,6.105006,-7.570208,2.197802,-5.616606,8.058608,-1.221001,-0.767399,2.788767,0
0.033334,-184.571433,150.162641,31.903297,2.644689,8.058608,-6.593407,-0.732601,-7.570208,6.105006,1.709402,-0.278999,2.769231,0
0.034375,-176.219784,114.083519,123.771431,-19.626374,8.547009,-3.663004,-4.151404,-8.058608,3.174603,4.639805,-0.278999,2.769231,0
0.035416,-163.525278,33.573627,169.872531,-11.274725,8.058608,-0.732601,-6.593407,-7.081807,0.732601,7.081807,0.209402,2.769231,0
0.036458,-143.147256,-67.314287,182.232971,11.831502,6.105006,2.197802,-8.058608,-5.616606,-2.197802,8.547009,-0.278999,2.788767,0
0.037501,-95.709892,-150.496707,169.204399,28.534799,3.174603,5.128205,-8.058608,-2.686203,-5.128205,8.058608,-0.278999,2.788767,0
0.038541,-4.175824,-178.224180,159.182421,8.769231,0.244200,7.570208,-7.081807,0.244200,-7.081807,7.081807,-0.278999,2.778999,0
0.039583,95.041760,-181.230773,128.448355,-13.780220,-3.174603,8.058608,-4.639805,3.174603,-7.570208,4.639805,-0.767399,2.788767,0
0.040625,164.527476,-166.865938,61.301100,-15.728938,-6.105006,8.058608,-1.709402,6.105006,-7.570208,2.197802,-0.767399,2.769231,0
0.041667,182.901103,-150.830773,-33.907693,3.479853,-7.570208,6.593407,1.221001,8.058608,-6.105006,-1.709402,-0.278999,2.778999,0
0.042708,175.217586,-115.419783,-124.773629,25.750916,-8.058608,4.151404,4.151404,8.058608,-3.663004,-4.151404,-0.767399,2.778999,0
0.043750,162.189015,-35.243957,-171.208795,16.285714,-7.570208,0.732601,7.081807,7.570208,-0.732601,-6.593407,-0.767399,2.769231,0
0.044792,141.810992,66.312089,-183.569235,-8.212454,-6.105006,-2.197802,8.058608,6.105006,2.197802,-8.058608,-0.278999,2.788767,0
0.045833,95.041760,148.826377,-170.206597,-24.915751,-3.174603,-5.128205,8.547009,3.174603,5.616606,-8.058608,-0.278999,2.769231,0
0.046875,3.173626,176.553850,-161.186817,-4.315018,0.244200,-7.081807,7.570208,0.244200,7.570208,-6.593407,0.209402,2.778999,0
0.047917,-97.046156,179.560444,-132.457146,18.234432,3.174603,-8.058608,5.128205,-3.174603,8.058608,-4.639805,-0.278999,2.778999,0
0.048959,-166.865938,165.195608,-62.637364,22.131868,6.105006,-7.570208,2.197802,-5.616606,8.058608,-1.221001,1.186203,2.769231,0
0.050000,-184.571433,149.494509,31.569231,3.758242,8.058608,-6.593407,-1.221001,-7.570208,6.593407,1.709402,-0.767399,2.778999,0
0.051042,-176.219784,114.083519,123.103299,-19.626374,8.547009,-4.151404,-3.663004,-7.570208,3.663004,4.639805,-0.767399,2.788767,0
0.052083,-163.525278,33.239561,169.204399,-11.553114,7.570208,-0.732601,-6.593407,-7.570208,0.732601,7.081807,-0.278999,2.769231,0
