1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,-164.527476,37.916484,168.870333,-11.831502,8.058608,-0.732601,-6.593407,-7.081807,1.221001,7.081807,0.209402,2.818071,0
0.001040,-145.485718,-63.305496,182.901103,11.553114,6.593407,2.686203,-8.058608,-5.616606,-2.197802,8.547009,0.209402,2.827839,0
0.002082,-99.050552,-147.824179,170.874729,28.534799,3.663004,5.616606,-8.058608,-2.686203,-4.639805,8.058608,-0.278999,2.818071,0
0.003124,-8.852747,-177.556048,161.186817,8.769231,0.244200,7.570208,-7.081807,0.244200,-7.081807,7.081807,-0.278999,2.818071,0
0.004166,91.701101,-182.232971,131.120882,-14.058608,-2.686203,8.547009,-4.639805,3.174603,-7.570208,5.128205,-0.278999,2.818071,0
0.005207,165.195608,-166.531872,64.975826,-19.626374,-5.616606,8.547009,-1.709402,6.105006,-7.081807,2.686203,0.209402,2.788767,0
0.006249,183.235169,-152.835168,-29.230770,0.974359,-7.570208,7.081807,1.221001,8.058608,-6.105006,-0.732601,0.209402,2.808303,0
0.007290,176.887916,-117.758244,-122.101102,23.802198,-8.058608,4.639805,4.151404,8.547009,-3.663004,-4.151404,-0.278999,2.818071,0
0.008333,163.191212,-38.918682,-170.206597,17.120879,-7.570208,1.709402,7.081807,7.570208,-0.732601,-6.593407,0.209402,2.808303,0
0.009374,144.483520,62.637364,-184.237367,-7.377289,-5.616606,-2.197802,8.547009,6.105006,2.686203,-7.570208,0.209402,2.827839,0
0.010416,97.714288,146.821981,-171.542861,-25.750916,-3.174603,-4.639805,9.035409,3.663004,5.616606,-7.570208,-0.278999,2.808303,0
0.011457,7.516484,176.553850,-162.523081,-4.593407,0.244200,-7.081807,7.570208,0.244200,7.570208,-6.593407,-0.278999,2.808303,0
0.012499,-93.037365,181.230773,-132.457146,18.791209,3.663004,-7.570208,5.128205,-2.686203,8.547009,-4.151404,0.209402,2.818071,0
0.013540,-165.863740,165.195608,-66.646155,23.802198,6.105006,-7.570208,2.686203,-5.128205,8.058608,-1.221001,0.209402,2.798535,0
0.014582,-183.903301,151.498904,28.228572,4.036630,8.547009,-6.593407,-0.732601,-7.570208,7.081807,1.709402,0.209402,2.808303,0
0.015624,-177.556048,116.756047,120.764838,-18.512821,8.547009,-4.151404,-3.663004,-7.570208,4.151404,4.639805,0.209402,2.808303,0
0.016666,-164.527476,37.916484,168.870333,-12.945055,8.547009,-0.732601,-6.105006,-7.081807,1.221001,7.081807,0.209402,2.808303,0
0.017707,-145.151652,-63.639562,182.901103,11.553114,6.593407,2.686203,-7.570208,-5.616606,-1.709402,8.547009,0.209402,2.827839,0
0.018749,-98.716486,-147.824179,170.540663,28.534799,3.663004,5.616606,-8.058608,-2.686203,-5.128205,8.547009,0.209402,2.818071,0
0.019791,-7.850550,-177.890114,161.186817,8.490842,0.732601,7.570208,-7.081807,0.244200,-7.081807,7.570208,0.209402,2.808303,0
0.020832,91.701101,-182.232971,131.120882,-14.058608,-2.686203,8.547009,-4.639805,3.174603,-7.570208,4.639805,0.209402,2.818071,0
0.021874,165.195608,-166.531872,64.307694,-18.791209,-5.616606,8.547009,-1.709402,6.105006,-7.570208,2.197802,-0.278999,2.798535,0
0.022916,183.235169,-152.501102,-29.564836,1.809524,-7.570208,7.081807,1.709402,8.058608,-6.105006,-1.221001,-0.278999,2.818071,0
0.023958,176.887916,-117.758244,-122.435168,23.802198,-8.058608,4.639805,4.639805,8.547009,-3.174603,-4.151404,-0.278999,2.808303,0
0.024999,163.191212,-38.250550,-170.540663,17.399267,-7.081807,1.221001,7.081807,8.058608,-0.244200,-6.593407,0.209402,2.818071,0
0.026040,144.149454,63.639562,-184.237367,-7.655678,-5.616606,-1.709402,8.547009,6.105006,2.686203,-7.570208,0.209402,2.827839,0
0.027082,97.380222,146.821981,-171.876927,-24.080586,-3.174603,-4.639805,8.547009,3.174603,5.616606,-8.058608,0.209402,2.808303,0
0.028124,6.848352,176.553850,-162.523081,-4.036630,0.244200,-7.081807,7.570208,0.244200,7.570208,-6.593407,0.209402,2.818071,0
0.029166,-92.703299,181.230773,-132.123080,18.512821,3.663004,-7.570208,5.128205,-2.686203,8.058608,-4.151404,0.209402,2.818071,0
0.030208,-166.197806,165.529674,-65.643958,23.802198,6.105006,-7.570208,2.686203,-5.616606,8.058608,-1.221001,0.209402,2.798535,0
0.031249,-183.903301,151.164839,28.562638,3.479853,8.058608,-6.593407,-0.732601,-7.570208,6.593407,1.709402,0.209402,2.808303,0
0.032291,-177.890114,116.756047,121.098904,-18.791209,8.547009,-3.663004,-3.663004,-7.570208,4.151404,4.639805,0.209402,2.808303,0
0.033332,-164.193410,37.248352,168.870333,-12.666667,8.547009,-0.732601,-6.593407,-7.081807,1.221001,7.081807,0.209402,2.808303,0
0.034374,-145.151652,-64.307694,182.901103,11.831502,6.593407,2.197802,-8.058608,-5.616606,-2.197802,8.058608,-0.278999,2.827839,0
0.035416,-98.382420,-147.824179,170.540663,25.750916,3.663004,5.616606,-8.058608,-2.686203,-5.128205,8.547009,0.209402,2.818071,0
0.036458,-7.516484,-177.556048,161.186817,9.047619,0.244200,8.058608,-7.081807,0.732601,-7.081807,7.081807,0.209402,2.808303,0
0.037499,92.035167,-182.232971,130.786816,-14.058608,-2.686203,8.547009,-4.639805,3.174603,-7.570208,4.639805,-0.278999,2.808303,0
0.038540,165.529674,-166.531872,63.973628,-17.956044,-5.616606,8.058608,-1.709402,6.105006,-7.570208,2.197802,0.209402,2.798535,0
0.039582,182.901103,-152.501102,-30.232968,2.644689,-7.570208,7.081807,1.709402,8.058608,-6.105006,-0.732601,-0.278999,2.798535,0
0.040626,176.553850,-117.090113,-123.437365,24.080586,-8.058608,4.639805,4.151404,8.547009,-3.663004,-3.663004,-0.278999,2.818071,0
0.041665,163.191212,-37.916484,-170.540663,17.120879,-7.570208,1.709402,7.081807,8.058608,-0.244200,-6.593407,0.209402,2.808303,0
0.042707,144.149454,63.639562,-184.237367,-6.542125,-6.105006,-1.709402,8.547009,6.105006,2.686203,-7.570208,0.209402,2.818071,0
0.043749,97.380222,147.490113,-171.876927,-21.018315,-2.686203,-4.639805,8.547009,3.663004,5.616606,-8.058608,0.209402,2.808303,0
0.044791,6.848352,176.553850,-162.189015,-4.593407,0.244200,-7.081807,7.570208,0.244200,7.570208,-6.593407,0.209402,2.808303,0
0.045832,-93.705497,181.230773,-132.123080,19.069597,3.663004,-7.570208,5.128205,-2.686203,8.058608,-4.151404,0.209402,2.808303,0
0.046874,-166.197806,165.529674,-64.975826,23.802198,6.593407,-7.570208,2.197802,-5.616606,8.058608,-1.709402,0.209402,2.798535,0
0.047916,-184.237367,150.830773,29.230770,2.366300,8.058608,-6.593407,-0.732601,-7.081807,7.081807,1.709402,0.209402,2.808303,0
0.048957,-177.556048,116.087915,121.767036,-18.791209,8.547009,-3.663004,-3.663004,-7.570208,4.151404,4.639805,-0.278999,2.808303,0
0.049999,-164.193410,36.914287,168.870333,-12.666667,8.058608,-0.732601,-6.593407,-7.081807,1.221001,7.081807,-0.278999,2.808303,0
0.051040,-144.817586,-65.309892,182.901103,12.945055,6.593407,2.686203,-7.570208,-5.616606,-1.709402,8.547009,0.209402,2.827839,0
0.052083,-98.048354,-148.826377,170.206597,29.648352,3.663004,5.616606,-8.058608,-2.686203,-5.128205,8.547009,0.209402,2.818071,0
0.053124,-7.182418,-177.890114,161.186817,7.934066,0.244200,8.058608,-7.081807,0.732601,-7.081807,7.081807,-0.278999,2.808303,0
0.054165,92.369233,-181.898905,130.452750,-14.058608,-2.686203,8.547009,-4.639805,3.174603,-7.570208,4.639805,-0.278999,2.818071,0
0.055207,165.529674,-166.531872,63.305496,-18.512821,-5.616606,8.547009,-1.709402,6.593407,-7.570208,2.197802,0.209402,2.798535,0
0.056250,183.569235,-152.167036,-30.567034,1.531136,-7.570208,7.081807,1.221001,8.058608,-6.105006,-1.221001,0.209402,2.818071,0
0.057290,176.553850,-117.424178,-123.103299,23.245421,-8.058608,4.639805,4.639805,8.547009,-3.663004,-4.151404,0.209402,2.818071,0
0.058332,163.525278,-37.248352,-170.874729,16.564103,-7.570208,1.221001,7.081807,8.058608,-0.732601,-6.593407,0.209402,2.818071,0
0.059374,143.815388,64.307694,-184.237367,-7.377289,-5.616606,-1.709402,8.547009,6.105006,2.686203,-7.570208,0.209402,2.827839,0
0.060416,96.712090,148.158245,-171.208795,-23.245421,-3.174603,-4.639805,8.547009,3.174603,5.616606,-7.570208,0.209402,2.818071,0
