1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,96.043958,-160.518685,138.136267,-23.245421,-6.593407,10.500611,-3.663004,6.593407,-10.012210,3.663004,-0.278999,2.759463,0
0.001040,135.463739,-171.876927,53.951650,-5.428571,-9.523810,9.523810,0.244200,8.547009,-8.547009,-0.244200,-0.767399,2.739927,0
0.002082,149.828575,-163.191212,-36.246155,18.234432,-10.500611,6.105006,4.151404,10.500611,-6.105006,-4.639805,-0.278999,2.739927,0
0.003123,164.527476,-112.747255,-110.408794,19.347985,-10.012210,2.686203,8.058608,10.012210,-2.686203,-7.570208,-0.278999,2.739927,0
0.004165,169.538465,-27.894506,-143.481322,-0.417582,-8.547009,-1.221001,10.012210,8.547009,1.709402,-9.523810,-0.278999,2.769231,0
0.005207,154.839564,64.307694,-158.180223,-19.069597,-5.616606,-5.616606,11.477411,5.128205,5.616606,-10.989011,-0.278999,2.759463,0
0.006248,86.690112,118.760442,-172.210993,-9.047619,-1.221001,-8.547009,10.012210,1.221001,9.035409,-9.523810,-0.767399,2.769231,0
0.007292,-2.839561,143.815388,-170.540663,11.274725,2.686203,-10.012210,7.570208,-2.686203,10.500611,-7.081807,-0.767399,2.778999,0
0.008332,-97.046156,159.182421,-140.140662,27.699634,7.081807,-10.500611,4.151404,-6.105006,10.500611,-3.174603,-0.767399,2.759463,0
0.009373,-136.465937,170.874729,-56.624177,7.655678,9.523810,-9.035409,-0.244200,-9.035409,9.035409,0.732601,-0.278999,2.759463,0
0.010415,-151.498904,161.854949,34.909891,-13.501832,10.500611,-6.105006,-4.151404,-10.500611,6.105006,4.639805,-0.767399,2.739927,0
0.011457,-165.863740,111.745057,108.404398,-15.450549,10.500611,-2.197802,-7.570208,-10.012210,2.686203,7.570208,-0.278999,2.739927,0
0.012499,-171.208795,24.887913,142.145058,3.758242,9.035409,1.221001,-9.523810,-8.058608,-1.709402,10.012210,-0.278999,2.759463,0
0.013540,-160.184619,-65.643958,156.843960,22.410256,6.105006,5.616606,-10.989011,-5.128205,-5.616606,10.989011,-0.278999,2.769231,0
0.014582,-88.360442,-121.098904,169.872531,13.780220,1.709402,9.035409,-10.012210,-0.732601,-8.547009,9.523810,-0.278999,2.769231,0
0.015623,1.169231,-146.821981,167.868136,-5.985348,-2.686203,10.500611,-7.081807,3.174603,-10.012210,7.081807,-1.744200,2.778999,0
0.016665,95.709892,-160.852751,138.136267,-21.018315,-6.593407,10.989011,-3.663004,6.593407,-10.500611,3.663004,-0.767399,2.700855,0
0.017707,135.129673,-172.210993,55.287913,-4.315018,-9.523810,9.035409,0.244200,9.523810,-8.547009,-0.244200,-0.767399,2.749695,0
0.018748,149.828575,-163.525278,-35.912089,18.512821,-10.500611,6.593407,4.151404,10.500611,-6.105006,-4.151404,0.209402,2.759463,0
0.019790,164.527476,-112.747255,-109.740662,18.512821,-10.012210,2.686203,7.570208,10.012210,-1.709402,-7.570208,-0.278999,2.769231,0
0.020832,170.206597,-26.224176,-144.149454,-0.417582,-8.547009,-1.221001,10.500611,8.547009,1.709402,-9.523810,-0.278999,2.769231,0
0.021873,154.839564,64.641760,-158.514289,-18.512821,-5.128205,-5.616606,10.989011,5.128205,5.616606,-10.989011,-0.278999,2.749695,0
0.022915,86.690112,119.094508,-172.210993,-9.326007,-1.221001,-8.547009,10.500611,1.709402,9.035409,-9.523810,-0.278999,2.759463,0
0.023956,-2.839561,145.819783,-169.204399,10.996337,3.174603,-10.012210,7.570208,-2.686203,10.500611,-7.081807,-0.278999,2.769231,0
0.025000,-97.046156,158.514289,-139.138465,26.864469,6.593407,-10.500611,4.151404,-6.105006,10.500611,-3.174603,-0.278999,2.749695,0
0.026040,-135.463739,170.874729,-57.626375,8.769231,9.523810,-9.035409,0.244200,-9.035409,9.035409,0.732601,-0.767399,2.749695,0
0.027082,-151.164839,162.189015,33.573627,-12.666667,10.500611,-6.105006,-4.151404,-10.012210,6.105006,4.639805,-0.767399,2.739927,0
0.028123,-165.863740,112.079123,108.070332,-15.450549,10.500611,-2.686203,-7.570208,-10.012210,2.686203,8.058608,-0.278999,2.759463,0
0.029166,-171.208795,25.556045,142.479124,2.923077,8.547009,1.709402,-9.523810,-8.058608,-1.221001,10.012210,-0.278999,2.798535,0
0.030207,-156.509894,-65.643958,156.509894,23.802198,5.616606,5.616606,-10.500611,-5.128205,-5.616606,10.500611,-0.767399,2.759463,0
0.031248,-88.360442,-120.430772,170.540663,14.058608,1.709402,8.547009,-10.012210,-1.221001,-8.547009,9.523810,-0.767399,2.769231,0
0.032290,1.169231,-146.487915,168.870333,-5.985348,-2.686203,10.500611,-7.570208,2.686203,-10.012210,7.081807,-0.278999,2.769231,0
0.033334,94.707694,-159.850553,138.470333,-23.523810,-6.105006,10.989011,-3.663004,6.593407,-10.012210,3.663004,-0.767399,2.749695,0
0.034373,134.461541,-172.545059,55.287913,-4.036630,-9.523810,9.035409,0.244200,9.523810,-8.547009,-0.244200,-0.278999,2.739927,0
0.035415,148.826377,-163.525278,-35.578023,17.399267,-10.500611,6.105006,4.639805,10.500611,-6.105006,-4.151404,-0.767399,2.739927,0
0.036459,164.527476,-113.749453,-110.074728,18.791209,-10.500611,2.686203,7.570208,10.012210,-2.197802,-7.570208,-0.767399,2.759463,0
0.037498,169.872531,-26.892308,-144.149454,4.036630,-8.547009,-1.221001,10.012210,8.547009,1.709402,-9.523810,-0.767399,2.769231,0
0.038540,155.173630,63.639562,-157.846157,-19.626374,-5.616606,-5.128205,10.989011,5.616606,6.105006,-10.500611,-0.767399,2.778999,0
0.039581,87.692310,118.760442,-171.876927,-10.439560,-1.221001,-8.547009,10.012210,1.709402,8.547009,-9.523810,-0.278999,2.759463,0
0.040624,-1.837363,145.151652,-169.538465,10.439560,2.686203,-10.012210,7.570208,-2.686203,10.500611,-7.081807,-0.278999,2.759463,0
0.041665,-96.378024,158.848355,-140.808794,27.421245,7.081807,-10.500611,4.151404,-6.593407,10.500611,-3.174603,-0.278999,2.749695,0
0.042707,-135.797805,171.542861,-57.626375,8.490842,9.523810,-9.035409,-0.244200,-9.035409,9.035409,0.244200,-0.767399,2.739927,0
0.043748,-151.164839,162.189015,33.239561,-13.780220,10.500611,-6.105006,-4.151404,-10.012210,6.105006,4.639805,-0.278999,2.739927,0
0.044790,-166.197806,112.079123,106.065936,-14.615385,10.500611,-2.197802,-8.058608,-10.012210,2.197802,7.570208,-0.278999,2.739927,0
0.045832,-170.874729,25.556045,142.479124,3.479853,9.035409,1.709402,-9.523810,-8.058608,-1.221001,10.012210,-0.767399,2.827839,0
0.046873,-157.178025,-63.639562,155.841762,22.967033,5.616606,5.616606,-10.989011,-5.128205,-5.616606,10.989011,-0.767399,2.769231,0
0.047915,-89.362639,-120.096706,170.540663,14.058608,1.709402,8.547009,-10.012210,-1.221001,-8.547009,9.523810,-2.232601,2.778999,0
0.048959,0.835165,-146.487915,168.202202,-4.871795,-2.686203,10.500611,-7.570208,2.686203,-10.012210,7.081807,-0.278999,2.730159,0
0.049998,94.707694,-160.184619,139.138465,-23.802198,-6.593407,10.500611,-4.151404,6.593407,-10.012210,3.663004,-0.767399,2.759463,0
0.051042,134.795607,-172.545059,55.621979,-4.593407,-9.035409,9.523810,-0.244200,9.523810,-9.035409,-0.732601,-0.767399,2.749695,0
0.052082,149.828575,-163.859344,-34.575825,18.234432,-10.500611,6.593407,4.151404,10.500611,-6.105006,-4.151404,-0.278999,2.739927,0
0.053124,164.527476,-114.083519,-109.072530,19.069597,-10.500611,2.686203,7.570208,10.500611,-2.197802,-7.570208,-0.278999,2.749695,0
0.054165,169.538465,-27.894506,-144.483520,0.974359,-8.547009,-1.221001,10.012210,8.547009,1.709402,-10.012210,-0.278999,2.769231,0
0.055206,155.173630,62.971430,-158.514289,-18.512821,-5.128205,-5.128205,10.989011,5.128205,5.616606,-10.500611,3.628205,2.769231,0
0.056249,88.026376,118.426376,-171.876927,-7.934066,-1.221001,-8.547009,10.500611,1.221001,9.035409,-9.035409,-0.278999,2.769231,0
0.057290,-1.503297,144.817586,-169.538465,10.996337,2.686203,-10.500611,7.570208,-2.686203,10.012210,-7.081807,-0.278999,2.778999,0
0.058332,-95.709892,158.514289,-141.142860,27.142857,6.593407,-10.500611,4.151404,-6.593407,10.500611,-3.174603,-2.721001,2.769231,0
0.059373,-135.463739,171.208795,-58.294507,10.439560,9.523810,-9.035409,-0.244200,-9.035409,9.035409,0.244200,-0.278999,2.739927,0
0.060415,-150.496707,162.523081,32.571429,-13.780220,10.500611,-6.593407,-4.151404,-10.012210,6.105006,4.639805,-0.278999,2.739927,0
0.061457,-165.863740,112.747255,107.736266,-15.728938,10.500611,-2.197802,-7.570208,-10.012210,2.686203,7.570208,-0.278999,2.749695,0
0.062498,-171.542861,26.892308,142.479124,2.923077,9.035409,1.709402,-10.012210,-8.547009,-1.709402,10.012210,0.209402,2.759463,0
0.063540,-157.512091,-64.307694,156.843960,23.245421,5.616606,5.616606,-10.500611,-5.128205,-5.616606,10.500611,-0.278999,2.759463,0
0.064582,-90.364837,-120.096706,170.206597,13.501832,1.709402,9.035409,-9.523810,-1.221001,-8.547009,9.523810,-0.278999,2.769231,0
0.065623,0.835165,-146.821981,168.202202,-6.542125,-2.686203,10.500611,-7.570208,2.686203,-10.012210,7.081807,-0.767399,2.749695,0
0.066665,94.039563,-161.854949,138.804399,-23.523810,-6.593407,10.500611,-3.663004,6.593407,-10.012210,3.663004,-0.767399,2.759463,0
0.067707,134.127476,-172.210993,56.958243,-4.315018,-9.035409,9.523810,0.244200,9.523810,-9.035409,0.244200,-0.767399,2.759463,0
0.068749,149.494509,-163.859344,-34.575825,16.842491,-10.500611,6.105006,4.639805,10.500611,-6.105006,-4.151404,-0.278999,2.769231,0
0.069790,164.527476,-114.417585,-109.406596,19.347985,-10.500611,2.686203,7.570208,10.012210,-2.197802,-7.570208,-0.767399,2.739927,0
0.070832,169.538465,-28.562638,-144.149454,0.974359,-8.547009,-1.221001,9.523810,8.547009,1.709402,-10.012210,-0.278999,2.759463,0
