1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,115.085717,98.382420,-166.531872,-13.780220,-1.221001,-6.593407,8.547009,1.221001,7.081807,-7.570208,-0.278999,2.192918,0
0.001042,35.243957,140.140662,-169.538465,1.252747,2.197802,-8.058608,6.593407,-1.709402,8.547009,-6.105006,-0.767399,2.241758,0
0.002084,-53.617584,157.512091,-153.837366,17.956044,5.616606,-8.547009,3.663004,-5.128205,8.547009,-2.686203,-0.767399,2.202686,0
0.003125,-114.417585,169.538465,-89.028573,11.274725,7.570208,-7.081807,0.244200,-7.081807,7.570208,0.244200,-0.767399,2.163614,0
0.004167,-144.817586,164.861542,-3.507692,-4.593407,8.547009,-5.128205,-2.686203,-8.058608,5.128205,3.663004,-0.278999,2.183150,0
0.005208,-160.184619,137.468135,86.690112,-19.347985,9.035409,-2.197802,-6.105006,-8.547009,2.686203,6.105006,-0.278999,2.183150,0
0.006251,-170.540663,62.303298,129.450552,-5.706960,7.081807,1.221001,-7.570208,-7.081807,-1.221001,8.058608,-0.278999,2.183150,0
0.007292,-162.523081,-24.219781,149.160443,14.058608,4.639805,4.639805,-8.547009,-4.151404,-4.151404,9.035409,-0.278999,2.192918,0
0.008333,-117.090113,-100.052749,165.195608,17.120879,1.709402,7.081807,-8.058608,-1.221001,-7.081807,8.058608,-0.278999,2.192918,0
0.009375,-36.914287,-141.142860,168.536267,2.923077,-1.221001,8.547009,-6.593407,2.197802,-8.058608,6.105006,-0.278999,2.202686,0
0.010417,52.281320,-157.512091,151.832970,-14.615385,-4.639805,8.547009,-3.174603,5.128205,-8.547009,3.174603,-1.255800,2.192918,0
0.011458,112.747255,-169.872531,88.026376,-9.604396,-7.570208,7.570208,0.244200,7.570208,-7.081807,-0.244200,-1.255800,2.183150,0
0.012500,143.815388,-165.863740,2.505495,7.377289,-8.058608,5.616606,3.174603,8.547009,-4.639805,-3.174603,-0.767399,2.183150,0
0.013541,158.848355,-139.138465,-87.692310,22.967033,-8.547009,2.686203,6.105006,8.547009,-2.197802,-6.105006,-0.278999,2.183150,0
0.014584,169.538465,-63.639562,-131.120882,9.326007,-7.081807,-0.732601,8.058608,7.081807,1.221001,-8.058608,-0.767399,2.183150,0
0.015625,161.186817,22.549451,-150.162641,-10.161172,-4.639805,-4.151404,9.035409,4.639805,4.151404,-9.035409,-0.278999,2.183150,0
0.016667,116.421981,98.716486,-166.197806,-13.780220,-1.221001,-7.081807,8.547009,1.709402,7.081807,-8.058608,-0.278999,2.183150,0
0.017708,31.903297,140.140662,-169.872531,0.695971,2.197802,-8.058608,6.593407,-1.709402,8.058608,-6.105006,-0.278999,2.192918,0
0.018751,-53.951650,157.512091,-153.837366,19.069597,5.616606,-8.058608,3.663004,-4.639805,9.035409,-3.174603,-0.278999,2.183150,0
0.019792,-116.421981,168.870333,-89.696705,12.388278,7.570208,-7.081807,0.244200,-7.081807,7.570208,0.244200,-0.278999,2.173382,0
0.020833,-144.817586,164.861542,-4.509890,-4.315018,8.547009,-5.128205,-2.686203,-8.058608,5.616606,3.663004,-0.767399,2.192918,0
