1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,196.263741,-156.843960,-10.189011,-7.655678,-6.593407,9.523810,-1.709402,7.081807,-9.035409,1.709402,-0.278999,3.570208,0
0.001043,193.591213,-124.773629,-113.081321,16.285714,-9.035409,7.570208,1.709402,8.547009,-7.081807,-1.709402,0.209402,3.599512,0
0.002084,167.200004,-62.637364,-186.909894,30.205128,-9.523810,4.151404,5.128205,9.523810,-4.151404,-5.128205,-0.767399,3.589744,0
0.003125,148.158245,41.257144,-201.608796,8.769231,-8.547009,1.221001,8.058608,9.035409,-0.732601,-7.570208,-0.767399,3.589744,0
0.004167,105.397805,135.129673,-188.246158,-16.564103,-6.593407,-2.197802,9.523810,6.593407,3.174603,-9.035409,-0.767399,3.609280,0
0.005209,29.564836,192.254949,-165.195608,-17.677656,-3.663004,-6.593407,9.523810,3.663004,6.593407,-9.035409,-0.278999,3.589744,0
0.006250,-76.334068,201.608796,-137.134069,7.098901,0.244200,-8.547009,8.058608,-0.244200,8.058608,-7.570208,-0.278999,3.589744,0
0.007292,-163.859344,177.890114,-84.351650,26.307692,3.663004,-9.035409,6.105006,-3.663004,9.035409,-5.128205,-0.278999,3.579976,0
0.008334,-198.268136,155.173630,7.850550,12.666667,7.081807,-9.035409,2.197802,-7.081807,9.035409,-1.221001,0.209402,3.570208,0
0.009375,-193.257147,122.769234,108.738464,-10.996337,9.035409,-7.570208,-1.221001,-8.547009,7.570208,1.709402,0.209402,3.589744,0
0.010417,-169.538465,60.298902,184.571433,-33.824176,10.012210,-4.151404,-5.128205,-9.035409,4.639805,5.128205,-0.278999,3.579976,0
0.011458,-150.496707,-43.595605,198.268136,0.417582,9.035409,-0.732601,-7.570208,-8.547009,1.221001,8.058608,-0.767399,3.579976,0
0.012500,-107.402200,-137.134069,185.907696,22.688645,7.081807,2.686203,-9.035409,-6.593407,-2.686203,9.035409,-0.767399,3.609280,0
0.013542,-31.569231,-194.259345,162.857146,22.131868,3.663004,6.593407,-9.523810,-3.174603,-6.105006,9.523810,-0.767399,3.599512,0
0.014584,74.663738,-203.279125,135.463739,-2.644689,0.244200,8.547009,-8.058608,0.244200,-8.058608,8.058608,-0.278999,3.609280,0
0.015625,161.520883,-179.560444,82.013189,-22.131868,-3.663004,9.523810,-5.128205,3.663004,-9.035409,5.616606,-0.278999,3.589744,0
0.016668,196.597807,-157.178025,-9.854945,-7.098901,-7.081807,9.035409,-2.197802,6.593407,-9.035409,2.197802,-0.278999,3.579976,0
0.017708,193.925279,-124.105497,-111.076926,15.450549,-8.547009,7.570208,1.221001,8.547009,-7.081807,-1.221001,-0.278999,3.599512,0
0.018750,167.868136,-62.971430,-185.907696,30.205128,-9.523810,4.639805,5.128205,9.523810,-4.151404,-5.128205,0.209402,3.589744,0
0.019792,148.158245,41.925276,-200.272532,4.036630,-8.547009,1.221001,8.058608,9.035409,-0.732601,-7.570208,0.209402,3.579976,0
0.020834,105.397805,134.461541,-186.575828,-17.120879,-6.593407,-2.197802,9.523810,6.593407,2.686203,-9.035409,0.209402,3.609280,0
0.021875,30.567034,191.920883,-165.195608,-16.842491,-3.174603,-6.105006,10.012210,3.174603,6.105006,-9.035409,-0.278999,3.619048,0
0.022917,-76.668134,201.608796,-137.134069,8.490842,0.244200,-8.058608,8.547009,-0.244200,8.547009,-7.570208,-0.278999,3.648352,0
0.023959,-163.525278,178.224180,-84.685716,27.421245,3.663004,-9.035409,6.105006,-3.663004,9.035409,-5.128205,-0.278999,3.589744,0
0.025001,-198.268136,155.173630,8.184616,12.945055,7.081807,-9.035409,2.197802,-6.593407,9.035409,-1.709402,0.209402,3.599512,0
0.026042,-195.595609,122.435168,109.072530,-15.450549,9.035409,-7.081807,-1.221001,-8.547009,7.570208,1.709402,0.209402,3.599512,0
0.027083,-168.870333,61.301100,184.237367,-24.915751,9.523810,-4.639805,-4.639805,-9.523810,4.639805,5.128205,0.209402,3.579976,0
0.028125,-149.828575,-42.927473,198.602202,0.139194,9.035409,-0.732601,-8.058608,-8.547009,0.732601,8.058608,0.209402,3.579976,0
0.029167,-106.734068,-136.465937,186.241762,21.575092,6.593407,2.686203,-9.035409,-6.593407,-2.686203,9.035409,-0.278999,3.599512,0
0.030209,-31.569231,-194.593411,163.191212,21.575092,3.663004,6.105006,-9.523810,-3.174603,-6.105006,9.523810,-0.278999,3.599512,0
0.031250,73.995606,-203.947257,134.795607,-2.923077,-0.244200,8.547009,-8.058608,0.244200,-8.547009,8.058608,-0.278999,3.599512,0
0.032292,161.854949,-179.560444,82.013189,-21.018315,-3.663004,9.035409,-5.128205,3.663004,-9.035409,5.616606,-0.278999,3.599512,0
0.033334,196.597807,-156.843960,-9.854945,-8.212454,-7.081807,9.523810,-2.197802,7.081807,-9.035409,2.197802,-0.767399,3.579976,0
0.034375,193.925279,-124.439563,-110.742860,15.728938,-8.547009,7.570208,1.221001,8.547009,-7.081807,-1.221001,-0.767399,3.609280,0
0.035417,167.868136,-62.971430,-186.241762,29.926740,-9.523810,4.151404,5.128205,9.523810,-4.639805,-5.128205,-0.278999,3.579976,0
0.036459,148.492311,41.925276,-200.940664,5.428571,-9.035409,0.732601,8.058608,8.547009,-0.732601,-8.058608,-0.278999,3.579976,0
0.037500,105.397805,134.461541,-188.246158,-17.399267,-6.593407,-2.686203,9.523810,6.593407,2.686203,-9.035409,-0.278999,3.599512,0
0.038542,29.898902,192.589015,-164.861542,-16.842491,-3.174603,-6.105006,9.523810,3.663004,6.105006,-9.035409,0.209402,3.589744,0
0.039584,-76.668134,201.608796,-137.134069,6.542125,0.244200,-8.058608,8.547009,0.244200,8.058608,-8.058608,0.209402,3.589744,0
0.040626,-163.525278,177.890114,-85.019782,26.307692,3.663004,-9.035409,5.616606,-3.174603,9.523810,-5.128205,0.209402,3.579976,0
0.041667,-196.597807,154.839564,7.516484,13.780220,7.081807,-9.035409,2.197802,-7.081807,9.035409,-1.221001,-0.278999,3.599512,0
0.042709,-195.595609,122.769234,108.070332,-10.439560,9.035409,-7.570208,-1.221001,-8.547009,7.570208,1.709402,-0.278999,3.609280,0
0.043750,-169.204399,61.635166,183.903301,-25.472527,10.012210,-4.639805,-5.128205,-9.523810,4.639805,5.128205,-1.744200,3.599512,0
0.044793,-150.162641,-43.261539,198.602202,1.531136,9.035409,-0.732601,-7.570208,-8.547009,0.732601,8.058608,-0.278999,3.677656,0
0.045834,-107.402200,-136.131871,186.575828,22.131868,7.081807,2.686203,-9.035409,-6.593407,-2.686203,9.035409,-0.278999,3.599512,0
0.046875,-31.903297,-193.925279,162.857146,21.296703,3.663004,6.105006,-9.523810,-3.174603,-6.105006,9.523810,-0.278999,3.599512,0
